t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,40068,36062,4006,35846,25122,0.70083,6,18,34,3648,0,3,0,0,89.79,0.05,1,113,89.79,74767,0,0,0,0,0,240573,75699
2,40421,36379,4042,36018,31326,0.86973,7,18,28,59,0,0,0,0,108.12,0.00,0,113,108.13,0,0,0,0,0,0,240573,75699
3,40301,36271,4030,35682,32222,0.90303,8,19,31,60,0,0,0,0,121.64,0.00,0,113,121.64,0,0,0,0,0,0,240573,75699
4,40426,36383,4043,35643,32014,0.89818,8,19,29,59,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,240573,75699
5,40064,36058,4006,35273,32432,0.91946,9,21,30,57,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,240573,75699
6,40354,36319,4035,35512,31481,0.88649,9,21,31,61,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,240573,75699
7,40265,36238,4027,35341,31811,0.90012,8,20,29,60,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,240573,75699
8,40060,36054,4006,35123,30928,0.88056,9,22,31,70,0,0,0,0,127.97,0.20,3,113,127.97,0,0,0,0,0,0,240573,75699
9,40293,36264,4029,35285,30694,0.86989,9,22,31,60,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,240573,75699
10,40078,36070,4008,35042,30496,0.87027,8,21,29,60,0,0,0,0,127.97,0.01,1,113,127.97,0,0,0,0,0,0,240573,75699
11,40061,36055,4006,35022,29060,0.82976,8,19,28,57,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,240573,75699
12,40331,36298,4033,35189,29626,0.84191,9,22,32,57,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,240573,75699
13,40460,36414,4046,36546,28208,0.77185,6,22,35,3712,1,4,1,0,116.07,0.05,1,121,116.08,11564,0,0,0,0,0,276478,86528
14,40417,36375,4042,36368,25676,0.70601,6,21,35,3904,1,5,0,0,81.90,0.16,3,117,81.95,20468,0,0,0,0,0,322855,103634
15,40421,36379,4042,36164,24414,0.67509,6,16,30,3328,0,2,0,0,105.90,0.00,0,115,105.91,498,0,0,0,0,0,342488,108860
16,40358,36322,4036,36061,29394,0.81512,5,15,28,2432,0,1,0,0,115.66,0.00,0,114,115.68,4101,0,0,0,0,0,351615,112969
17,40072,36065,4007,35712,31247,0.87497,7,17,26,54,0,0,0,0,127.97,0.11,2,114,127.97,0,0,0,0,0,0,351615,112969
18,40316,36284,4032,35782,31480,0.87977,8,19,29,57,0,0,0,0,127.97,0.02,1,114,127.97,0,0,0,0,0,0,351615,112969
19,40153,36138,4015,35660,29257,0.82044,8,21,31,57,0,0,0,0,127.97,0.01,1,114,127.97,0,0,0,0,0,0,351615,112969
20,40073,36065,4008,35695,29503,0.82653,8,21,31,56,0,0,0,0,127.97,0.19,2,114,127.97,0,0,0,0,0,0,351615,112969
21,40243,36220,4023,35778,31202,0.87210,9,22,32,59,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,351615,112969
22,40055,36049,4006,35508,31212,0.87901,9,21,31,60,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,351615,112969
23,40060,36054,4006,35456,29820,0.84104,9,21,30,56,0,0,0,0,127.97,0.07,3,114,127.97,0,0,0,0,0,0,351615,112969
24,40037,36033,4004,35366,27331,0.77280,9,22,31,64,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,351615,112969
25,40061,36054,4007,35362,27595,0.78036,10,23,33,60,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,351615,112969
26,40202,36183,4019,35408,28323,0.79990,9,22,31,57,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,351615,112969
27,40437,36393,4044,36541,26182,0.71651,7,23,37,3392,1,4,1,0,109.78,0.33,3,122,109.81,13876,0,0,0,0,0,386014,124710
28,40038,36034,4004,35977,24604,0.68388,6,21,37,3776,1,5,0,0,89.60,0.00,0,117,89.64,15427,0,0,0,0,0,433258,142449
29,40534,36481,4053,36103,28274,0.78315,5,17,31,3136,0,3,0,0,81.99,0.00,0,114,82.00,7017,0,0,0,0,0,457909,149907
30,40271,36244,4027,35865,30140,0.84037,8,19,30,58,0,0,0,0,104.36,0.02,1,114,104.39,0,0,0,0,0,0,457909,149907
31,40306,36275,4031,35818,30427,0.84949,8,19,30,59,0,0,0,0,124.65,0.16,3,114,124.66,0,0,0,0,0,0,457909,149907
32,40370,36333,4037,35840,31198,0.87048,8,20,29,58,0,0,0,0,127.97,0.07,2,114,127.97,0,0,0,0,0,0,457909,149907
33,40043,36039,4004,35381,31761,0.89769,8,21,30,58,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,457909,149907
34,40333,36300,4033,35481,31598,0.89056,8,19,29,58,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,457909,149907
35,40435,36391,4044,35525,31573,0.88875,8,20,29,56,0,0,0,0,127.97,0.08,1,114,127.97,0,0,0,0,0,0,457909,149907
36,40109,36098,4011,35102,31362,0.89345,9,21,31,61,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,457909,149907
37,40063,36057,4006,34856,31508,0.90395,9,22,30,59,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,457909,149907
38,40046,36041,4005,34663,31335,0.90399,8,20,30,68,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,457909,149907
39,40105,36095,4010,34945,30429,0.87077,9,21,31,58,0,0,0,0,127.97,0.03,2,114,127.97,0,0,0,0,0,0,457909,149907
40,40092,36083,4009,35052,27745,0.79154,9,22,32,57,0,0,0,0,127.97,0.10,1,114,127.97,0,0,0,0,0,0,457909,149907
41,39674,35658,4016,35714,26867,0.75228,7,24,39,4608,1,3,1,0,97.82,0.14,3,123,97.83,13621,0,0,0,0,0,482427,163805
42,40816,36783,4033,36959,25393,0.68706,6,20,35,3456,1,4,0,0,86.84,0.29,3,119,86.87,15838,0,0,0,0,0,524164,178344
43,40318,36286,4032,36135,22414,0.62029,6,22,37,3584,0,5,0,0,85.39,0.45,3,115,85.41,10237,0,0,0,0,0,570764,190508
44,40169,36152,4017,35949,27547,0.76628,5,14,23,41,0,0,0,0,116.25,0.23,5,114,116.25,0,0,0,0,0,0,570764,190508
45,40432,36389,4043,36060,31064,0.86145,8,20,30,60,0,0,0,0,127.97,0.09,2,114,127.97,0,0,0,0,0,0,570764,190508
46,40221,36199,4022,35828,30645,0.85534,8,21,30,57,0,0,0,0,127.97,0.15,3,114,127.97,0,0,0,0,0,0,570764,190508
47,40126,36113,4013,35740,30209,0.84524,9,22,32,59,0,0,0,0,127.97,0.03,1,114,127.97,0,0,0,0,0,0,570764,190508
48,40343,36310,4033,35965,28185,0.78368,9,22,33,58,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,570764,190508
