t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,40092,36084,4008,35868,30484,0.84989,5,19,33,3904,0,4,0,0,115.61,6.46,4,113,115.63,62399,24123,15357,0,46274,29987,240574,45525
2,40227,36204,4023,35868,33193,0.92542,8,16,26,55,0,0,0,0,125.70,6.45,3,113,125.70,0,24218,15357,0,46274,32411,240574,45525
3,40093,36084,4009,35498,32832,0.92490,6,15,27,53,0,0,0,0,127.97,4.85,5,113,127.97,0,26302,15567,0,46274,32940,240574,45525
4,40225,36203,4022,35495,31890,0.89844,9,21,30,57,0,0,0,0,127.97,2.10,1,113,127.97,0,29748,17382,0,46274,33134,240574,45525
5,40227,36204,4023,35457,32619,0.91996,9,22,31,62,0,0,0,0,127.97,0.00,0,113,127.97,0,32166,19084,0,46274,33157,240574,45525
6,40217,36195,4022,35391,31373,0.88647,9,21,31,55,0,0,0,0,127.97,0.00,0,113,127.97,0,34645,21529,0,46274,33158,240574,45525
7,40061,36055,4006,35225,31761,0.90166,10,22,31,57,0,0,0,0,127.97,0.00,0,113,127.97,0,36129,23013,0,46274,33158,240574,45525
8,40069,36061,4008,35161,31023,0.88231,10,22,31,60,0,0,0,0,127.97,0.10,4,113,127.97,0,39245,26129,0,46274,33158,240574,45525
9,40033,36032,4001,35053,30512,0.87045,10,23,31,59,0,0,0,0,127.97,0.04,1,113,127.97,0,41533,28417,0,46274,33158,240574,45525
10,40080,36071,4009,35055,30512,0.87040,10,23,34,61,0,0,0,0,127.97,0.00,0,113,127.97,0,43263,30147,0,46274,33158,240574,45525
11,40047,36042,4005,35003,29244,0.83547,11,24,34,61,0,0,0,0,127.97,0.00,0,113,127.97,0,44259,31143,0,46274,33158,240574,45525
12,40057,36052,4005,34986,29257,0.83625,11,23,33,59,0,0,0,0,127.97,0.05,1,113,127.97,0,44296,31180,0,46274,33158,240574,45525
13,40251,36225,4026,36226,31593,0.87211,7,23,37,3520,1,3,1,0,123.25,11.34,7,122,123.27,11080,44489,31341,0,54704,35605,269198,52709
14,40199,36179,4020,36236,31535,0.87027,5,22,37,3776,1,5,0,0,99.68,2.36,9,117,99.70,18506,46609,33443,0,63831,42101,314622,64376
15,40036,36033,4003,35884,30547,0.85127,5,20,35,3776,0,4,0,0,123.82,11.68,7,114,123.83,6021,46750,33464,0,73839,49852,351615,70500
16,40222,36201,4021,35906,30171,0.84028,8,20,28,54,0,0,0,0,127.97,11.39,7,114,127.97,0,51385,35170,0,73839,51815,351615,70500
17,40203,36181,4022,35861,30075,0.83865,9,23,32,57,0,0,0,0,127.97,9.44,7,114,127.97,0,56986,39129,0,73839,51943,351615,70500
18,40052,36047,4005,35580,30839,0.86675,10,23,32,57,0,0,0,0,127.97,2.25,3,114,127.97,0,61601,40708,0,73839,52003,351615,70500
19,40257,36233,4024,35672,30104,0.84391,10,23,33,57,0,0,0,0,127.97,0.00,0,114,127.97,0,66305,44617,0,73839,52151,351615,70500
20,40054,36048,4006,35599,28941,0.81297,10,23,33,58,0,0,0,0,127.97,0.01,2,114,127.97,0,69849,48161,0,73839,52151,351615,70500
21,40191,36171,4020,35691,30891,0.86551,10,23,32,57,0,0,0,0,127.97,0.00,0,114,127.97,0,70790,49102,0,73839,52151,351615,70500
22,40043,36039,4004,35529,31365,0.88280,8,20,29,54,0,0,0,0,127.97,0.00,0,114,127.97,0,71128,49440,0,73839,52151,351615,70500
23,40225,36202,4023,35600,30012,0.84303,10,24,35,59,0,0,0,0,127.97,0.00,0,114,127.97,0,72108,50420,0,73839,52151,351615,70500
24,40162,36146,4016,35512,27898,0.78559,11,25,36,68,0,0,0,0,127.97,0.09,1,114,127.97,0,72648,50960,0,73839,52151,351615,70500
25,40096,36085,4011,35409,27520,0.77720,8,21,29,52,0,0,0,0,127.97,0.07,1,114,127.97,0,73201,51513,0,73839,52151,351615,70500
26,40038,36035,4003,35276,28068,0.79567,11,24,34,61,0,0,0,0,127.97,0.00,0,114,127.97,0,73629,51941,0,73839,52151,351615,70500
27,40249,36225,4024,36132,28955,0.80137,8,24,37,3456,1,3,1,0,110.29,2.66,2,123,110.31,9798,73914,52158,0,82087,54834,376369,77678
28,40216,36194,4022,36199,31253,0.86337,5,21,37,3648,1,5,0,0,116.21,12.92,5,118,116.22,13397,74212,52387,0,97100,62651,422234,87360
29,40029,36026,4003,35711,33169,0.92882,5,19,33,3456,0,4,0,0,109.46,8.92,4,114,109.46,5916,74304,52434,0,99786,69563,457914,90450
30,40223,36201,4022,35813,31516,0.88002,6,14,26,34,0,0,0,0,125.97,9.05,4,114,125.99,0,74375,52434,0,99786,71484,457914,90450
31,40110,36099,4011,35673,30451,0.85361,9,22,31,57,0,0,0,0,127.97,5.43,2,114,127.97,0,79058,53487,0,99786,71728,457914,90450
32,40222,36199,4023,35684,31036,0.86975,10,22,33,63,0,0,0,0,127.97,0.97,4,114,127.97,0,83626,56186,0,99786,71784,457914,90450
33,40062,36056,4006,35404,31731,0.89625,10,22,32,82,0,0,0,0,127.97,0.00,0,114,127.97,0,86885,59059,0,99786,71797,457914,90450
34,40073,36066,4007,35269,31216,0.88508,10,22,31,58,0,0,0,0,127.97,0.00,0,114,127.97,0,90291,62302,0,99786,71797,457914,90450
35,40140,36126,4014,35272,31572,0.89510,10,22,32,58,0,0,0,0,127.97,0.07,1,114,127.97,0,92547,64558,0,99786,71797,457914,90450
36,40066,36059,4007,35100,31235,0.88989,10,23,32,58,0,0,0,0,127.97,0.00,0,114,127.97,0,93540,65551,0,99786,71797,457914,90450
37,40250,36225,4025,35068,31575,0.90039,10,22,32,59,0,0,0,0,127.97,0.00,0,114,127.97,0,94127,66138,0,99786,71797,457914,90450
38,40037,36034,4003,34767,31762,0.91357,9,20,29,57,0,0,0,0,127.97,0.00,0,114,127.97,0,94582,66593,0,99786,71797,457914,90450
39,40210,36189,4021,35004,30346,0.86693,10,22,30,57,0,0,0,0,127.97,0.00,0,114,127.97,0,95001,67012,0,99786,71797,457914,90450
40,40160,36144,4016,35111,28387,0.80849,11,24,34,60,0,0,0,0,127.97,0.04,1,114,127.97,0,95991,68002,0,99786,71797,457914,90450
41,40253,36227,4026,36082,29017,0.80420,8,24,37,3392,0,3,1,0,116.12,4.39,5,123,116.13,9154,97399,69365,0,107165,73364,479539,95176
42,40219,36198,4021,36365,29413,0.80883,6,23,37,3456,1,4,0,0,121.40,14.37,8,119,121.42,12417,98980,70873,0,117171,79066,525316,104435
43,40056,36050,4006,35962,29646,0.82437,5,22,36,3520,0,5,0,0,122.79,19.11,10,114,122.81,12074,101219,72250,0,126066,86048,570780,113486
44,40213,36192,4021,35982,28878,0.80257,8,19,27,51,0,0,0,0,127.97,7.28,5,114,127.97,0,106883,73740,0,126066,88010,570780,113486
45,40061,36055,4006,35755,30912,0.86455,10,23,33,57,0,0,0,0,127.97,5.30,3,114,127.97,0,111306,77016,0,126066,88160,570780,113486
46,40158,36142,4016,35772,30896,0.86369,9,22,30,58,0,0,0,0,127.97,0.28,3,114,127.97,0,115280,78995,0,126066,88187,570780,113486
47,40210,36189,4021,35825,29839,0.83291,9,22,31,57,0,0,0,0,127.97,0.01,2,114,127.97,0,119602,81724,0,126066,88188,570780,113486
48,40038,36034,4004,35703,28578,0.80044,10,23,33,57,0,0,0,0,127.97,0.00,0,114,127.97,0,123401,85523,0,126066,88188,570780,113486
49,40036,36032,4004,35618,29450,0.82683,10,23,34,59,0,0,0,0,127.97,0.00,0,114,127.97,0,124279,86401,0,126066,88188,570780,113486
50,40174,36156,4018,35680,29885,0.83758,10,23,32,56,0,0,0,0,127.97,0.02,1,114,127.97,0,125671,87793,0,126066,88188,570780,113486
51,40110,36099,4011,35540,29943,0.84252,10,23,32,57,0,0,0,0,127.97,0.06,1,114,127.97,0,126066,88188,0,126066,88188,570780,113486
