t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,40030,36027,4003,35801,25586,0.71467,6,17,28,3776,0,4,0,0,85.50,0.22,4,113,85.52,100465,114296,2257,0,114296,2257,240573,101516
2,40225,36203,4022,35850,30851,0.86056,7,16,26,55,0,0,0,0,105.04,0.06,1,113,105.05,0,114296,2257,0,114296,2257,240573,101516
3,40126,36113,4013,35544,32206,0.90609,9,19,29,59,0,0,0,0,118.07,0.11,2,113,118.11,0,114296,2257,0,114296,2257,240573,101516
4,40103,36092,4011,35381,31672,0.89517,10,21,31,59,0,0,0,0,127.87,0.06,1,113,127.88,0,114296,2257,0,114296,2257,240573,101516
5,40221,36199,4022,35429,32650,0.92156,10,22,30,57,0,0,0,0,127.97,0.06,1,113,127.97,0,114296,2257,0,114296,2257,240573,101516
6,40067,36061,4006,35279,31251,0.88582,10,22,32,59,0,0,0,0,127.97,0.00,0,113,127.97,0,114296,2257,0,114296,2257,240573,101516
7,40040,36036,4004,35175,31731,0.90209,10,22,31,56,0,0,0,0,127.97,0.00,0,113,127.97,0,114296,2257,0,114296,2257,240573,101516
8,40050,36045,4005,35164,30961,0.88047,10,23,34,58,0,0,0,0,127.97,0.10,4,113,127.97,0,114296,2257,0,114296,2257,240573,101516
9,40086,36078,4008,35086,30528,0.87009,9,20,30,56,0,0,0,0,127.97,0.22,1,113,127.97,0,114296,2257,0,114296,2257,240573,101516
10,40045,36040,4005,34996,30508,0.87176,10,23,32,78,0,0,0,0,127.97,0.06,1,113,127.97,0,114296,2257,0,114296,2257,240573,101516
11,40075,36067,4008,35023,29229,0.83457,10,22,31,58,0,0,0,0,127.97,0.00,0,113,127.97,0,114296,2257,0,114296,2257,240573,101516
12,40145,36131,4014,35030,29277,0.83577,10,23,33,59,0,0,0,0,127.97,0.07,1,113,127.97,0,114296,2257,0,114296,2257,240573,101516
13,40251,36226,4025,36178,28735,0.79427,7,22,35,3584,1,3,1,0,110.08,0.02,1,122,110.11,15038,115865,2391,0,115865,2391,270331,116251
14,40036,36032,4004,36107,24393,0.67558,6,21,35,3584,1,5,0,0,79.63,0.18,4,117,79.65,15988,115865,2391,0,115865,2391,317261,131907
15,40026,36023,4003,35848,22703,0.63331,6,19,34,3584,0,4,0,0,84.41,0.00,0,114,84.43,9199,115865,2391,0,115865,2391,351615,142301
16,40221,36199,4022,35929,28343,0.78886,8,18,28,56,0,0,0,0,114.05,0.00,1,114,114.09,0,115865,2391,0,115865,2391,351615,142301
17,40249,36225,4024,35894,30494,0.84956,9,21,31,70,0,0,0,0,127.97,0.03,1,114,127.97,0,115865,2391,0,115865,2391,351615,142301
18,40241,36216,4025,35771,31363,0.87677,9,21,30,66,0,0,0,0,127.97,0.00,0,114,127.97,0,115865,2391,0,115865,2391,351615,142301
19,40052,36049,4003,35539,29781,0.83798,9,23,33,59,0,0,0,0,127.97,0.01,1,114,127.97,0,115865,2391,0,115865,2391,351615,142301
20,40109,36096,4013,35684,28996,0.81258,10,23,34,61,0,0,0,0,127.97,0.04,2,114,127.97,0,115865,2391,0,115865,2391,351615,142301
21,40014,36013,4001,35602,30889,0.86762,9,22,31,55,0,0,0,0,127.97,0.00,0,114,127.97,0,115865,2391,0,115865,2391,351615,142301
22,40052,36047,4005,35544,31453,0.88490,10,23,32,58,0,0,0,0,127.97,0.00,0,114,127.97,0,115865,2391,0,115865,2391,351615,142301
23,40059,36053,4006,35479,29892,0.84253,10,23,33,59,0,0,0,0,127.97,0.00,0,114,127.97,0,115865,2391,0,115865,2391,351615,142301
