t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,40041,36036,4005,35776,31040,0.86762,5,11,17,25,0,0,0,0,121.07,4.37,3,113,121.07,64077,24442,16297,0,45080,31314,240577,64924
2,40226,36204,4022,35840,34239,0.95533,5,12,21,32,0,0,0,0,126.64,4.35,2,113,126.64,0,24616,16297,0,45080,33185,240577,64924
3,40022,36020,4002,35474,33162,0.93483,9,21,30,59,0,0,0,0,127.97,4.00,3,113,127.97,0,26587,16928,0,45080,33718,240577,64924
4,40056,36050,4006,35306,31635,0.89602,9,22,31,59,0,0,0,0,127.97,0.00,0,113,127.97,0,29993,18723,0,45080,33767,240577,64924
5,40159,36143,4016,35364,32538,0.92009,7,16,26,52,0,0,0,0,127.97,0.10,1,113,127.97,0,31882,20569,0,45080,33767,240577,64924
6,40034,36030,4004,35225,31224,0.88642,5,12,20,27,0,0,0,0,127.97,0.00,0,113,127.97,0,33654,22341,0,45080,33767,240577,64924
7,40017,36016,4001,35177,31761,0.90289,5,12,20,29,0,0,0,0,127.97,0.00,0,113,127.97,0,34490,23177,0,45080,33767,240577,64924
8,40027,36024,4003,35113,30927,0.88078,5,10,17,26,0,0,0,0,127.97,0.07,3,113,127.97,0,36725,25412,0,45080,33767,240577,64924
9,40030,36027,4003,35043,30524,0.87104,5,11,18,25,0,0,0,0,127.97,0.28,2,113,127.97,0,39627,28314,0,45080,33767,240577,64924
10,40227,36205,4022,35162,30630,0.87111,6,16,26,50,0,0,0,0,127.97,0.00,0,113,127.97,0,41441,30128,0,45080,33767,240577,64924
11,40239,36215,4024,35183,29474,0.83773,6,14,23,34,0,0,0,0,127.97,0.00,0,113,127.97,0,43242,31929,0,45080,33767,240577,64924
12,40019,36017,4002,34909,29101,0.83362,6,14,22,33,0,0,0,0,127.97,0.00,0,113,127.97,0,43500,32187,0,45080,33767,240577,64924
13,40043,36038,4005,35945,31468,0.87545,4,13,23,3584,1,5,1,0,106.98,6.96,9,121,106.99,19971,44772,33393,0,58419,37989,286077,83227
