t,type,level,bytes
-29.927,flush_begin,0,0
-29.901,flush_end,0,6638552
-29.892,flush_begin,0,0
-29.869,flush_end,0,6638554
-29.860,flush_begin,0,0
-29.835,flush_end,0,6638553
-29.826,flush_begin,0,0
-29.802,flush_end,0,6638553
-29.792,flush_begin,0,0
-29.767,flush_end,0,6638553
-29.758,flush_begin,0,0
-29.733,flush_end,0,6638554
-29.725,flush_begin,0,0
-29.700,flush_end,0,6638552
-29.692,flush_begin,0,0
-29.666,flush_end,0,6638554
-29.658,flush_begin,0,0
-29.634,flush_end,0,6638554
-29.625,flush_begin,0,0
-29.600,flush_end,0,6638552
-29.592,flush_begin,0,0
-29.567,flush_end,0,6638553
-29.558,flush_begin,0,0
-29.534,flush_end,0,6638553
-29.525,flush_begin,0,0
-29.501,flush_end,0,6638554
-29.492,flush_begin,0,0
-29.469,flush_end,0,6638552
-29.460,flush_begin,0,0
-29.435,flush_end,0,6638554
-29.427,flush_begin,0,0
-29.403,flush_end,0,6638554
-29.385,trivial_move,3,6638552
-29.385,flush_begin,0,0
-29.361,flush_end,0,6638552
-29.342,trivial_move,3,6638554
-29.342,flush_begin,0,0
-29.318,flush_end,0,6638555
-29.300,trivial_move,3,6638553
-29.300,flush_begin,0,0
-29.273,flush_end,0,6638553
-29.255,trivial_move,3,6638553
-29.255,flush_begin,0,0
-29.232,flush_end,0,6638553
-29.214,trivial_move,3,6638553
-29.214,flush_begin,0,0
-29.190,flush_end,0,6638552
-29.173,trivial_move,3,6638554
-29.173,flush_begin,0,0
-29.149,flush_end,0,6638554
-29.131,trivial_move,3,6638552
-29.131,flush_begin,0,0
-29.106,flush_end,0,6638554
-29.088,trivial_move,3,6638554
-29.088,flush_begin,0,0
-29.064,flush_end,0,6638552
-29.045,trivial_move,3,6638554
-29.045,flush_begin,0,0
-29.020,flush_end,0,6638554
-29.004,trivial_move,3,6638552
-29.004,flush_begin,0,0
-28.979,flush_end,0,6638553
-28.960,trivial_move,3,6638553
-28.960,flush_begin,0,0
-28.936,flush_end,0,6638553
-28.928,flush_begin,0,0
-28.903,flush_end,0,6638553
-28.884,trivial_move,3,6638553
-28.884,flush_begin,0,0
-28.860,flush_end,0,6638554
-28.841,trivial_move,3,6638554
-28.841,flush_begin,0,0
-28.817,flush_end,0,6638553
-28.798,trivial_move,3,6638552
-28.798,flush_begin,0,0
-28.774,flush_end,0,6638552
-28.756,trivial_move,3,6638554
-28.756,flush_begin,0,0
-28.731,flush_end,0,6638554
-28.713,trivial_move,3,6638554
-28.713,flush_begin,0,0
-28.689,flush_end,0,6638553
-28.670,trivial_move,3,6638552
-28.670,flush_begin,0,0
-28.644,flush_end,0,6638553
-28.625,trivial_move,3,6638555
-28.625,flush_begin,0,0
-28.601,flush_end,0,6638553
-28.581,trivial_move,3,6638553
-28.581,flush_begin,0,0
-28.557,flush_end,0,6638555
-28.538,trivial_move,3,6638553
-28.538,flush_begin,0,0
-28.514,flush_end,0,6638553
-28.495,trivial_move,3,6638552
-28.495,flush_begin,0,0
-28.472,flush_end,0,6638553
-28.463,flush_begin,0,0
-28.440,flush_end,0,6638554
-28.424,trivial_move,3,6638554
-28.424,flush_begin,0,0
-28.400,flush_end,0,6638552
-28.382,trivial_move,3,6638554
-28.382,flush_begin,0,0
-28.358,flush_end,0,6638553
-28.340,trivial_move,3,6638552
-28.340,flush_begin,0,0
-28.316,flush_end,0,6638553
-28.298,trivial_move,3,6638554
-28.298,flush_begin,0,0
-28.273,flush_end,0,6638554
-28.255,trivial_move,3,6638553
-28.255,flush_begin,0,0
-28.231,flush_end,0,6638553
-28.213,trivial_move,3,6638553
-28.213,flush_begin,0,0
-28.188,flush_end,0,6638553
-28.170,trivial_move,3,6638553
-28.170,flush_begin,0,0
-28.146,flush_end,0,6638554
-28.127,trivial_move,3,6638554
-28.127,flush_begin,0,0
-28.103,flush_end,0,6638552
-28.085,trivial_move,3,6638553
-28.085,flush_begin,0,0
-28.061,flush_end,0,6638554
-28.052,flush_begin,0,0
-28.028,flush_end,0,6638553
-28.012,trivial_move,3,6638552
-28.004,trivial_move,3,6638554
-28.004,flush_begin,0,0
-27.980,flush_end,0,6638553
-27.962,trivial_move,3,6638553
-27.962,flush_begin,0,0
-27.938,flush_end,0,6638553
-27.920,trivial_move,3,6638553
-27.920,flush_begin,0,0
-27.895,flush_end,0,6638553
-27.877,trivial_move,3,6638553
-27.877,flush_begin,0,0
-27.853,flush_end,0,6638555
-27.835,trivial_move,3,6638555
-27.835,flush_begin,0,0
-27.810,flush_end,0,6638552
-27.793,trivial_move,3,6638553
-27.793,flush_begin,0,0
