t,type,level,bytes
-29.907,flush_begin,0,0
-29.885,flush_end,0,6638552
-29.876,flush_begin,0,0
-29.854,flush_end,0,6638554
-29.845,flush_begin,0,0
-29.824,flush_end,0,6638553
-29.816,flush_begin,0,0
-29.796,flush_end,0,6638553
-29.788,flush_begin,0,0
-29.769,flush_end,0,6638553
-29.761,flush_begin,0,0
-29.742,flush_end,0,6638554
-29.733,flush_begin,0,0
-29.715,flush_end,0,6638552
-29.707,flush_begin,0,0
-29.689,flush_end,0,6638554
-29.680,flush_begin,0,0
-29.663,flush_end,0,6638554
-29.655,flush_begin,0,0
-29.637,flush_end,0,6638552
-29.628,flush_begin,0,0
-29.611,flush_end,0,6638553
-29.602,flush_begin,0,0
-29.583,flush_end,0,6638553
-29.575,flush_begin,0,0
-29.558,flush_end,0,6638554
-29.549,flush_begin,0,0
-29.531,flush_end,0,6638552
-29.522,flush_begin,0,0
-29.505,flush_end,0,6638554
-29.497,flush_begin,0,0
-29.479,flush_end,0,6638554
-29.463,trivial_move,3,6638552
-29.463,flush_begin,0,0
-29.445,flush_end,0,6638552
-29.427,trivial_move,3,6638554
-29.426,flush_begin,0,0
-29.409,flush_end,0,6638555
-29.390,trivial_move,3,6638553
-29.390,flush_begin,0,0
-29.373,flush_end,0,6638553
-29.355,trivial_move,3,6638553
-29.355,flush_begin,0,0
-29.336,flush_end,0,6638553
-29.318,trivial_move,3,6638553
-29.318,flush_begin,0,0
-29.300,flush_end,0,6638552
-29.281,trivial_move,3,6638554
-29.281,flush_begin,0,0
-29.263,flush_end,0,6638554
-29.244,trivial_move,3,6638552
-29.244,flush_begin,0,0
-29.227,flush_end,0,6638554
-29.207,trivial_move,3,6638554
-29.207,flush_begin,0,0
-29.188,flush_end,0,6638552
-29.169,trivial_move,3,6638554
-29.169,flush_begin,0,0
-29.149,flush_end,0,6638554
-29.131,trivial_move,3,6638552
-29.131,flush_begin,0,0
-29.111,flush_end,0,6638553
-29.092,trivial_move,3,6638553
-29.092,flush_begin,0,0
-29.064,flush_end,0,6638553
-29.040,trivial_move,3,6638553
-29.040,flush_begin,0,0
-29.017,flush_end,0,6638553
-29.001,trivial_move,3,6638554
-29.001,flush_begin,0,0
-28.978,flush_end,0,6638554
-28.961,trivial_move,3,6638552
-28.961,flush_begin,0,0
-28.933,flush_end,0,6638553
-28.914,trivial_move,3,6638554
-28.914,flush_begin,0,0
-28.894,flush_end,0,6638552
-28.875,trivial_move,3,6638554
-28.875,flush_begin,0,0
-28.856,flush_end,0,6638554
-28.838,trivial_move,3,6638552
