t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,40410,36370,4040,36097,27101,0.75078,7,19,25,52,0,0,0,0,127.97,34.81,10,113,127.97,58604,333622,23511,0,352327,29844,240577,61034
2,40170,36153,4017,35779,31809,0.88904,9,21,29,56,0,0,0,0,127.97,24.21,7,113,127.97,0,337386,23674,0,352327,30994,240577,61034
3,40076,36067,4009,35525,32541,0.91600,5,14,24,61,0,0,0,0,127.97,14.30,8,113,127.97,0,340256,23775,0,352327,31311,240577,61034
4,40207,36187,4020,35508,31808,0.89580,8,20,28,57,0,0,0,0,127.97,5.27,4,113,127.97,0,343627,23930,0,352327,31344,240577,61034
5,40230,36207,4023,35438,32611,0.92023,7,16,25,54,0,0,0,0,127.97,0.11,1,113,127.97,0,345300,24317,0,352327,31344,240577,61034
6,40157,36140,4017,35384,31380,0.88684,6,14,24,32,0,0,0,0,127.97,0.00,0,113,127.97,0,346356,25373,0,352327,31344,240577,61034
7,40081,36074,4007,35187,31770,0.90289,5,13,21,34,0,0,0,0,127.97,0.00,0,113,127.97,0,347126,26143,0,352327,31344,240577,61034
8,40027,36024,4003,35093,30847,0.87901,5,13,21,29,0,0,0,0,127.97,0.13,4,113,127.97,0,348352,27369,0,352327,31344,240577,61034
9,40030,36027,4003,35095,30637,0.87297,5,12,19,25,0,0,0,0,127.97,0.19,2,113,127.97,0,349261,28278,0,352327,31344,240577,61034
10,40021,36020,4001,34989,30484,0.87125,6,13,23,38,0,0,0,0,127.97,0.00,0,113,127.97,0,350284,29301,0,352327,31344,240577,61034
11,40039,36035,4004,35000,29267,0.83620,6,15,26,39,0,0,0,0,127.97,0.00,0,113,127.97,0,351960,30977,0,352327,31344,240577,61034
12,40011,36011,4000,34893,29118,0.83449,5,13,21,32,0,0,0,0,127.97,0.05,1,113,127.97,0,352163,31180,0,352327,31344,240577,61034
13,40038,36032,4006,35981,28933,0.80412,4,13,22,3648,1,5,1,0,127.97,64.74,22,121,127.97,11126,368738,32056,0,396451,35536,283826,72160
14,40013,36014,3999,35873,22023,0.61392,3,12,20,3584,0,6,0,0,127.97,54.37,18,115,127.97,4008,428211,37049,0,453623,40739,341451,77012
15,40032,36027,4005,35798,25246,0.70523,5,11,19,2560,0,1,0,0,127.97,46.30,13,114,127.97,100,446741,38107,0,463684,41938,351620,77128
16,40225,36202,4023,35931,29938,0.83321,6,17,25,54,0,0,0,0,127.97,21.19,7,114,127.97,0,451612,38452,0,463684,42739,351620,77128
17,40123,36111,4012,35772,30252,0.84569,8,20,28,54,0,0,0,0,127.97,3.53,3,114,127.97,0,456701,38582,0,463684,43289,351620,77128
18,40072,36065,4007,35581,30969,0.87038,9,21,29,56,0,0,0,0,127.97,0.00,0,114,127.97,0,459489,39107,0,463684,43302,351620,77128
19,40228,36205,4023,35717,30136,0.84374,7,17,27,51,0,0,0,0,127.97,0.01,1,114,127.97,0,460775,40393,0,463684,43302,351620,77128
20,40019,36017,4002,35611,28821,0.80933,3,10,160,21,0,0,0,0,127.97,0.01,2,114,127.97,0,462107,41725,0,463684,43302,351620,77128
21,40017,36016,4001,35540,30755,0.86536,3,8,22,16,0,0,0,0,127.97,0.00,0,114,127.97,0,462474,42092,0,463684,43302,351620,77128
22,40025,36022,4003,35488,31401,0.88483,5,11,21,29,0,0,0,0,127.97,0.00,0,114,127.97,0,462621,42239,0,463684,43302,351620,77128
23,40027,36024,4003,35421,29903,0.84422,5,12,21,29,0,0,0,0,127.97,0.00,0,114,127.97,0,462720,42338,0,463684,43302,351620,77128
24,40011,36010,4001,35373,27832,0.78681,6,13,22,30,0,0,0,0,127.97,0.00,0,114,127.97,0,462778,42396,0,463684,43302,351620,77128
25,40119,36108,4011,35422,27427,0.77429,6,13,21,29,0,0,0,0,127.97,0.13,1,114,127.97,0,462925,42543,0,463684,43302,351620,77128
26,40022,36019,4003,35228,28024,0.79550,5,21,140,27,0,0,0,0,127.97,0.00,0,114,127.97,0,463412,43030,0,463684,43302,351620,77128
27,40155,36140,4015,36133,28958,0.80143,3,100,144,3072,1,2,1,0,109.94,12.37,4,124,109.94,7732,465197,43298,0,477140,44054,363974,83263
28,40208,36187,4021,36364,28489,0.78344,3,94,126,2816,1,2,0,0,127.98,57.61,18,122,127.98,4442,476712,43983,0,499477,47740,386237,87463
