t,type,level,bytes
-29.918,flush_begin,0,0
-29.900,flush_end,0,6638552
-29.890,flush_begin,0,0
-29.873,flush_end,0,6638554
-29.864,flush_begin,0,0
-29.847,flush_end,0,6638553
-29.839,flush_begin,0,0
-29.823,flush_end,0,6638553
-29.814,flush_begin,0,0
-29.797,flush_end,0,6638553
-29.786,flush_begin,0,0
-29.771,flush_end,0,6638554
-29.762,flush_begin,0,0
-29.746,flush_end,0,6638552
-29.737,flush_begin,0,0
-29.722,flush_end,0,6638554
-29.713,flush_begin,0,0
-29.698,flush_end,0,6638554
-29.689,flush_begin,0,0
-29.674,flush_end,0,6638552
-29.665,flush_begin,0,0
-29.649,flush_end,0,6638553
-29.640,flush_begin,0,0
-29.625,flush_end,0,6638553
-29.616,flush_begin,0,0
-29.600,flush_end,0,6638554
-29.591,flush_begin,0,0
-29.575,flush_end,0,6638552
-29.566,flush_begin,0,0
-29.550,flush_end,0,6638554
-29.541,flush_begin,0,0
-29.526,flush_end,0,6638554
-29.508,trivial_move,3,6638552
-29.508,flush_begin,0,0
-29.491,flush_end,0,6638552
-29.482,flush_begin,0,0
-29.467,flush_end,0,6638555
-29.450,trivial_move,3,6638554
-29.450,flush_begin,0,0
-29.433,flush_end,0,6638553
-29.415,trivial_move,3,6638553
-29.415,flush_begin,0,0
-29.398,flush_end,0,6638553
-29.382,trivial_move,3,6638553
-29.382,flush_begin,0,0
-29.365,flush_end,0,6638552
-29.356,flush_begin,0,0
-29.341,flush_end,0,6638554
-29.322,trivial_move,3,6638553
-29.322,flush_begin,0,0
-29.306,flush_end,0,6638554
-29.288,trivial_move,3,6638554
-29.288,flush_begin,0,0
-29.271,flush_end,0,6638552
-29.252,trivial_move,3,6638552
-29.252,flush_begin,0,0
-29.236,flush_end,0,6638554
-29.218,trivial_move,3,6638554
-29.218,flush_begin,0,0
-29.202,flush_end,0,6638553
-29.184,trivial_move,3,6638554
-29.184,flush_begin,0,0
-29.168,flush_end,0,6638553
-29.150,trivial_move,3,6638552
-29.150,flush_begin,0,0
-29.133,flush_end,0,6638553
-29.116,trivial_move,3,6638553
-29.116,flush_begin,0,0
-29.099,flush_end,0,6638554
-29.082,trivial_move,3,6638553
-29.082,flush_begin,0,0
-29.065,flush_end,0,6638553
-29.047,trivial_move,3,6638554
-29.047,flush_begin,0,0
-29.031,flush_end,0,6638552
-29.013,trivial_move,3,6638552
-29.013,flush_begin,0,0
-28.996,flush_end,0,6638554
-28.988,flush_begin,0,0
-28.972,flush_end,0,6638553
-28.956,trivial_move,3,6638554
-28.956,flush_begin,0,0
-28.939,flush_end,0,6638553
-28.921,trivial_move,3,6638554
-28.921,flush_begin,0,0
-28.905,flush_end,0,6638553
-28.886,trivial_move,3,6638552
-28.886,flush_begin,0,0
-28.869,flush_end,0,6638555
-28.851,trivial_move,3,6638555
-28.851,flush_begin,0,0
-28.834,flush_end,0,6638553
-28.815,trivial_move,3,6638553
-28.815,flush_begin,0,0
-28.797,flush_end,0,6638553
-28.780,trivial_move,3,6638553
-28.780,flush_begin,0,0
-28.762,flush_end,0,6638554
-28.746,trivial_move,3,6638552
-28.746,flush_begin,0,0
-28.729,flush_end,0,6638552
-28.711,trivial_move,3,6638554
-28.711,flush_begin,0,0
-28.694,flush_end,0,6638553
-28.677,trivial_move,3,6638554
-28.677,flush_begin,0,0
-28.661,flush_end,0,6638553
-28.653,flush_begin,0,0
-28.636,flush_end,0,6638554
-28.620,trivial_move,3,6638552
-28.620,flush_begin,0,0
-28.604,flush_end,0,6638553
-28.588,trivial_move,3,6638554
-28.588,flush_begin,0,0
-28.571,flush_end,0,6638553
-28.555,trivial_move,3,6638553
-28.555,flush_begin,0,0
-28.539,flush_end,0,6638554
-28.523,trivial_move,3,6638553
-28.523,flush_begin,0,0
-28.508,flush_end,0,6638552
-28.490,trivial_move,3,6638553
-28.490,flush_begin,0,0
-28.475,flush_end,0,6638554
-28.456,trivial_move,3,6638554
-28.456,flush_begin,0,0
-28.441,flush_end,0,6638553
-28.433,flush_begin,0,0
-28.417,flush_end,0,6638553
-28.401,trivial_move,3,6638553
-28.401,flush_begin,0,0
-28.385,flush_end,0,6638553
-28.367,trivial_move,3,6638552
-28.367,flush_begin,0,0
-28.350,flush_end,0,6638553
-28.334,trivial_move,3,6638554
-28.334,flush_begin,0,0
-28.318,flush_end,0,6638555
-28.300,trivial_move,3,6638553
-28.300,flush_begin,0,0
-28.283,flush_end,0,6638552
-28.265,trivial_move,3,6638553
-28.265,flush_begin,0,0
-28.249,flush_end,0,6638554
-28.230,trivial_move,3,6638553
-28.230,flush_begin,0,0
-28.215,flush_end,0,6638553
-28.197,trivial_move,3,6638555
-28.197,flush_begin,0,0
-28.181,flush_end,0,6638553
-28.162,trivial_move,3,6638553
-28.162,flush_begin,0,0
-28.146,flush_end,0,6638554
-28.128,trivial_move,3,6638553
-28.128,flush_begin,0,0
-28.111,flush_end,0,6638553
-28.094,trivial_move,3,6638554
-28.094,flush_begin,0,0
-28.077,flush_end,0,6638553
-28.060,trivial_move,3,6638552
-28.060,flush_begin,0,0
-28.043,flush_end,0,6638552
-28.025,trivial_move,3,6638553
