t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,40457,36411,4046,36140,32452,0.89795,5,11,16,30,0,0,0,0,126.69,3.63,2,113,126.69,65355,248,7,0,0,3284,0,0
2,40054,36049,4005,35685,34152,0.95704,5,11,16,28,0,0,0,0,127.97,0.94,2,113,127.97,0,1334,146,0,0,5488,0,0
3,40032,36028,4004,35426,32657,0.92184,5,12,16,28,0,0,0,0,127.97,0.00,0,113,127.97,0,3355,749,0,0,5943,0,0
4,40044,36040,4004,35333,31735,0.89817,6,12,17,29,0,0,0,0,127.97,0.00,0,113,127.97,0,4115,1424,0,0,5951,0,0
5,40180,36162,4018,35398,32560,0.91983,6,13,19,33,0,0,0,0,127.97,0.00,0,113,127.97,0,5070,2379,0,0,5951,0,0
6,40259,36233,4026,35459,31404,0.88564,6,12,16,31,0,0,0,0,127.97,0.00,0,113,127.97,0,6056,3365,0,0,5951,0,0
7,40031,36029,4002,35130,31635,0.90051,6,12,16,29,0,0,0,0,127.97,0.00,0,113,127.97,0,7087,4396,0,0,5951,0,0
8,40198,36177,4021,35233,31003,0.87994,6,12,16,28,0,0,0,0,127.97,0.11,3,113,127.97,0,9509,6818,0,0,5951,0,0
9,40335,36302,4033,35343,30781,0.87092,6,12,16,28,0,0,0,0,127.97,0.00,0,113,127.97,0,12216,9525,0,0,5951,0,0
10,40034,36030,4004,34993,30456,0.87035,6,13,16,28,0,0,0,0,127.97,0.00,1,113,127.97,0,13793,11102,0,0,5951,0,0
11,40218,36196,4022,35144,29215,0.83129,6,12,16,29,0,0,0,0,127.97,0.00,0,113,127.97,0,15493,12802,0,0,5951,0,0
12,40123,36111,4012,34995,29370,0.83926,6,13,16,29,0,0,0,0,127.97,0.00,0,113,127.97,0,15836,13145,0,0,5951,0,0
13,40207,36187,4020,36259,31599,0.87148,4,13,26,3648,1,5,1,0,121.00,13.08,9,120,121.00,16823,18395,15152,0,14627,10712,49626,16946
14,40025,36022,4003,35921,31724,0.88316,3,10,20,3712,1,6,0,0,110.41,14.81,11,115,110.42,15521,18557,15222,0,26420,20480,103062,32623
15,40407,36366,4041,36122,30290,0.83855,5,12,18,2304,0,1,0,0,127.97,12.92,7,114,127.97,0,20553,15285,0,27320,23937,111040,32723
16,40264,36239,4025,35966,30172,0.83890,8,16,21,30,0,0,0,0,127.97,8.56,3,114,127.97,0,26099,17956,0,27320,24410,111040,32723
17,40242,36217,4025,35874,30772,0.85778,7,16,22,42,0,0,0,0,127.97,1.26,4,114,127.97,0,30977,19793,0,27320,24427,111040,32723
18,40284,36255,4029,35815,31375,0.87603,7,14,19,28,0,0,0,0,127.97,0.00,0,114,127.97,0,35218,23683,0,27320,24427,111040,32723
19,40136,36122,4014,35636,29561,0.82953,6,13,17,29,0,0,0,0,127.97,0.00,0,114,127.97,0,39322,27787,0,27320,24427,111040,32723
20,40203,36184,4019,35755,29305,0.81961,6,13,17,28,0,0,0,0,127.97,0.08,2,114,127.97,0,41467,29932,0,27320,24427,111040,32723
21,40421,36378,4043,35925,31235,0.86945,6,13,18,30,0,0,0,0,127.97,0.00,0,114,127.97,0,42265,30730,0,27320,24427,111040,32723
22,40419,36377,4042,35852,31623,0.88204,6,12,17,28,0,0,0,0,127.97,0.00,0,114,127.97,0,42579,31044,0,27320,24427,111040,32723
23,40022,36020,4002,35441,29780,0.84027,6,13,18,30,0,0,0,0,127.97,0.02,2,114,127.97,0,42885,31350,0,27320,24427,111040,32723
24,40205,36185,4020,35565,27654,0.77756,6,14,18,29,0,0,0,0,127.97,0.00,0,114,127.97,0,43298,31763,0,27320,24427,111040,32723
25,40152,36137,4015,35458,27591,0.77813,6,13,17,28,0,0,0,0,127.97,0.10,1,114,127.97,0,43859,32324,0,27320,24427,111040,32723
26,40036,36033,4003,35300,28227,0.79963,7,13,18,30,0,0,0,0,127.97,0.00,0,114,127.97,0,44382,32847,0,27320,24427,111040,32723
27,40307,36278,4029,36250,29191,0.80527,4,14,26,3776,1,5,1,0,118.12,4.34,3,121,118.12,15130,45534,33300,0,39584,28841,156822,45252
28,40129,36114,4015,35990,31848,0.88491,3,9,19,3968,0,7,0,0,97.38,11.98,7,114,97.39,15296,45943,33604,0,48847,36710,217330,63578
29,40414,36372,4042,35970,32001,0.88966,5,11,16,30,0,0,0,0,112.89,11.93,7,114,112.91,0,45943,33604,0,48847,38393,217330,63578
30,40301,36271,4030,35879,31160,0.86847,5,12,16,30,0,0,0,0,127.84,7.47,4,114,127.85,0,46825,33810,0,48847,39050,217330,63578
