t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,40428,36386,4042,36087,28830,0.79890,8,20,28,55,0,0,0,0,127.98,0.06,1,113,127.98,0,0,0,0,0,0,0,0
2,40135,36122,4013,35758,32025,0.89560,8,21,31,58,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,0,0
3,40269,36242,4027,35702,32410,0.90779,9,22,31,60,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,0,0
4,40275,36248,4027,35540,31952,0.89904,9,22,31,60,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,0,0
5,40159,36142,4017,35400,32550,0.91949,9,22,31,59,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,0,0
6,40093,36084,4009,35318,31324,0.88691,9,21,31,56,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,0,0
7,40217,36195,4022,35360,31852,0.90079,9,22,31,60,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,0,0
8,40156,36141,4015,35258,31006,0.87940,10,23,32,59,0,0,0,0,127.97,0.15,3,113,127.97,0,0,0,0,0,0,0,0
9,40246,36221,4025,35248,30682,0.87046,9,21,31,57,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,0,0
10,40049,36045,4004,35009,30487,0.87083,9,23,32,58,0,0,0,0,127.97,0.00,1,113,127.97,0,0,0,0,0,0,0,0
11,40286,36256,4030,35232,29311,0.83194,9,22,31,60,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,0,0
12,40105,36095,4010,35006,29375,0.83914,10,23,33,61,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,0,0
13,40359,36326,4033,36340,26739,0.73580,5,18,31,3584,1,5,1,0,127.98,0.33,4,120,127.98,0,0,0,0,0,0,51287,20346
14,40117,36102,4015,35929,21776,0.60608,4,12,22,3456,1,6,0,0,127.98,0.55,7,115,127.97,0,0,0,0,0,0,105746,25532
15,40414,36373,4041,36131,27274,0.75486,8,21,30,82,0,1,0,0,127.97,0.01,2,114,127.97,0,0,0,0,0,0,111041,25532
16,40252,36227,4025,35937,29750,0.82784,9,22,31,60,0,0,0,0,127.97,0.01,2,114,127.97,0,0,0,0,0,0,111041,25532
17,40187,36168,4019,35807,30739,0.85846,9,22,33,60,0,0,0,0,127.97,0.14,3,114,127.97,0,0,0,0,0,0,111041,25532
18,40058,36052,4006,35596,31187,0.87614,8,21,29,57,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,111041,25532
19,40064,36058,4006,35584,29462,0.82796,9,23,32,57,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,111041,25532
20,40196,36177,4019,35779,29328,0.81970,10,24,35,61,0,0,0,0,127.97,0.09,2,114,127.97,0,0,0,0,0,0,111041,25532
21,40360,36323,4037,35896,31245,0.87043,8,21,30,57,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,111041,25532
22,40057,36052,4005,35548,31309,0.88075,9,22,31,57,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,111041,25532
23,40459,36413,4046,35839,30149,0.84123,10,23,33,62,0,0,0,0,127.97,0.04,3,114,127.97,0,0,0,0,0,0,111041,25532
24,40114,36102,4012,35449,27423,0.77359,10,24,34,59,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,111041,25532
25,40059,36053,4006,35384,27648,0.78137,10,23,33,59,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,111041,25532
26,40067,36060,4007,35256,28123,0.79768,10,24,34,59,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,111041,25532
27,40450,36406,4044,36438,25683,0.70484,5,18,28,3584,1,5,1,0,127.99,0.33,6,121,127.99,0,0,0,0,0,0,160457,39400
28,40336,36302,4034,36153,23362,0.64620,4,11,20,3456,0,7,0,0,127.98,0.39,6,114,127.98,0,0,0,0,0,0,217333,49192
29,40420,36378,4042,35999,29835,0.82877,8,21,30,56,0,0,0,0,127.98,0.05,1,114,127.98,0,0,0,0,0,0,217333,49192
30,40338,36305,4033,35911,30445,0.84779,7,19,28,55,0,0,0,0,127.97,0.03,1,114,127.97,0,0,0,0,0,0,217333,49192
31,40243,36218,4025,35757,30621,0.85636,9,21,31,56,0,0,0,0,127.97,0.09,3,114,127.97,0,0,0,0,0,0,217333,49192
32,40324,36292,4032,35747,31088,0.86967,9,22,32,60,0,0,0,0,127.97,0.02,1,114,127.97,0,0,0,0,0,0,217333,49192
33,40057,36050,4007,35373,31716,0.89662,9,22,32,59,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,217333,49192
34,40129,36117,4012,35322,31440,0.89010,9,22,32,59,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,217333,49192
35,40042,36038,4004,35158,31300,0.89027,9,22,32,60,0,0,0,0,127.97,0.02,1,114,127.97,0,0,0,0,0,0,217333,49192
36,40110,36099,4011,35159,31449,0.89448,9,22,31,59,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,217333,49192
37,40380,36342,4038,35197,31722,0.90127,9,21,30,60,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,217333,49192
38,40112,36101,4011,34732,31397,0.90398,9,22,32,62,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,217333,49192
39,40462,36415,4047,35216,30665,0.87077,9,22,30,59,0,0,0,0,127.97,0.03,2,114,127.97,0,0,0,0,0,0,217333,49192
40,40025,36023,4002,34978,27720,0.79250,10,23,33,60,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,217333,49192
41,40302,36272,4030,36252,26915,0.74244,5,16,26,3392,1,5,1,0,127.98,0.63,8,121,127.98,0,0,0,0,0,0,263848,64798
42,40058,36053,4005,36030,19468,0.54033,4,12,20,3392,0,6,0,0,127.98,0.16,2,115,127.98,0,0,0,0,0,0,319913,76849
43,40039,36034,4005,35798,25499,0.71230,8,22,32,2496,0,1,0,0,127.98,0.04,2,114,127.98,0,0,0,0,0,0,330196,77015
44,40425,36383,4042,36154,29173,0.80691,8,22,31,64,0,0,0,0,127.97,0.02,3,114,127.97,0,0,0,0,0,0,330196,77015
45,40239,36215,4024,35859,31085,0.86687,9,23,33,59,0,0,0,0,127.97,0.01,1,114,127.97,0,0,0,0,0,0,330196,77015
46,40434,36377,4057,36039,30930,0.85824,9,22,32,63,0,0,0,0,127.97,0.07,2,114,127.97,0,0,0,0,0,0,330196,77015
47,40450,36419,4031,36023,30385,0.84349,7,19,28,55,0,0,0,0,127.97,0.17,2,114,127.97,0,0,0,0,0,0,330196,77015
48,40054,36048,4006,35696,28040,0.78552,10,24,35,61,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,330196,77015
49,40079,36071,4008,35642,29609,0.83073,9,22,31,59,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,330196,77015
50,40374,36336,4038,35819,30607,0.85449,9,22,31,60,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,330196,77015
51,40334,36302,4032,35729,29551,0.82709,9,23,33,61,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,330196,77015
52,40205,36184,4021,35539,30884,0.86902,10,23,33,59,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,330196,77015
53,40154,36139,4015,35421,32284,0.91144,10,22,32,61,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,330196,77015
54,40402,36362,4040,35455,32112,0.90571,9,22,31,60,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,330196,77015
55,40256,36229,4027,36182,29794,0.82345,5,19,31,3584,1,5,1,0,127.99,0.35,5,121,127.99,0,0,0,0,0,0,376640,91810
56,40394,36355,4039,36246,22455,0.61952,4,12,21,3392,0,5,0,0,127.98,0.03,1,115,127.98,0,0,0,0,0,0,423959,99148
57,40089,36079,4010,35780,30212,0.84438,8,21,30,55,0,0,0,0,127.98,0.11,3,115,127.98,0,0,0,0,0,0,423959,99148
58,40001,36005,3996,35593,30468,0.85601,7,19,28,2432,1,1,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,434075,99306
59,40348,36310,4038,35852,29743,0.82961,7,20,28,2496,0,1,0,0,127.97,0.00,1,113,127.97,0,0,0,0,0,0,443210,99607
60,40055,36050,4005,35572,29866,0.83959,9,22,33,62,0,0,0,0,127.97,0.05,1,113,127.97,0,0,0,0,0,0,443210,99607
61,40107,36096,4011,35539,30764,0.86564,9,23,32,62,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,443210,99607
62,40330,36296,4034,35806,29353,0.81978,9,22,32,58,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,443210,99607
