t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,40046,36042,4004,35771,34933,0.97657,5,11,17,220,0,1,0,0,117.16,0.00,0,113,117.16,65974,0,0,0,1112,6328,8040,1248
2,40422,36380,4042,36002,35839,0.99547,5,10,15,29,0,0,0,0,117.80,0.00,0,113,117.80,0,0,0,0,1112,9870,8040,1248
3,40018,36017,4001,35371,33132,0.93670,5,11,16,30,0,0,0,0,126.05,0.19,1,113,126.05,0,0,0,0,1112,10776,8040,1248
4,40260,36234,4026,35552,32069,0.90203,5,12,16,28,0,0,0,0,127.97,0.00,0,113,127.97,0,820,459,0,1112,10908,8040,1248
5,40226,36203,4023,35454,32592,0.91928,6,12,16,28,0,0,0,0,127.97,0.00,0,113,127.97,0,1939,1542,0,1112,10909,8040,1248
6,40412,36372,4040,35567,31563,0.88742,6,12,16,28,0,0,0,0,127.97,0.00,0,113,127.97,0,3403,2990,0,1112,10909,8040,1248
7,40324,36290,4034,35379,31860,0.90053,6,12,16,27,0,0,0,0,127.97,0.00,0,113,127.97,0,5815,5399,0,1112,10909,8040,1248
8,40029,36026,4003,35136,30947,0.88078,6,13,17,28,0,0,0,0,127.97,0.04,2,113,127.97,0,9097,8681,0,1112,10909,8040,1248
9,40027,36025,4002,35041,30486,0.87001,6,13,17,28,0,0,0,0,127.97,0.00,0,113,127.97,0,11955,11539,0,1112,10909,8040,1248
10,40132,36118,4014,35101,30531,0.86980,6,14,18,36,0,0,0,0,127.97,0.00,1,113,127.97,0,13950,13534,0,1112,10909,8040,1248
11,40429,36386,4043,35320,29366,0.83143,7,14,20,34,0,0,0,0,127.97,0.00,0,113,127.97,0,16741,16325,0,1112,10909,8040,1248
12,40406,36366,4040,35224,29558,0.83914,6,13,17,29,0,0,0,0,127.97,0.07,1,113,127.97,0,17757,17341,0,1112,10909,8040,1248
13,40145,36133,4012,36170,31953,0.88341,4,13,24,3712,1,5,1,0,106.22,0.03,2,120,106.22,16962,20854,19970,0,14104,16268,56398,18092
14,40118,36104,4014,35926,34061,0.94809,3,10,20,3648,1,6,0,0,114.56,6.12,4,115,114.56,14995,21005,20095,0,31014,27326,112328,33571
15,40403,36363,4040,36122,34975,0.96825,5,11,17,124,0,1,0,0,122.43,4.41,3,114,122.44,0,21017,20096,0,32126,35299,119083,33571
16,40022,36019,4003,35738,32194,0.90083,5,12,16,27,0,0,0,0,127.97,0.06,1,114,127.97,0,23143,20875,0,32126,37824,119083,33571
17,40166,36150,4016,35797,31704,0.88566,6,12,16,26,0,0,0,0,127.97,0.00,0,114,127.97,0,27017,23491,0,32126,38672,119083,33571
18,40116,36104,4012,35630,31224,0.87634,6,13,17,26,0,0,0,0,127.97,0.00,0,114,127.97,0,31378,27735,0,32126,38696,119083,33571
19,40036,36032,4004,35513,29503,0.83077,6,13,17,27,0,0,0,0,127.97,0.00,0,114,127.97,0,37244,33601,0,32126,38696,119083,33571
20,40023,36021,4002,35609,29096,0.81710,6,13,19,30,0,0,0,0,127.97,0.07,2,114,127.97,0,42923,39280,0,32126,38696,119083,33571
21,40031,36027,4004,35598,30925,0.86873,6,13,17,27,0,0,0,0,127.97,0.00,0,114,127.97,0,45314,41671,0,32126,38696,119083,33571
22,40022,36021,4001,35488,31309,0.88224,6,13,17,27,0,0,0,0,127.97,0.00,0,114,127.97,0,46316,42673,0,32126,38696,119083,33571
23,40044,36039,4005,35445,29851,0.84218,6,13,17,28,0,0,0,0,127.97,0.00,0,114,127.97,0,47908,44265,0,32126,38696,119083,33571
24,40221,36199,4022,35540,27662,0.77833,7,14,18,30,0,0,0,0,127.97,0.00,0,114,127.97,0,48437,44794,0,32126,38696,119083,33571
25,40034,36031,4003,35328,27481,0.77788,7,14,17,28,0,0,0,0,127.97,0.00,0,114,127.97,0,49119,45476,0,32126,38696,119083,33571
26,40095,36085,4010,35292,28216,0.79950,6,13,17,28,0,0,0,0,127.97,0.00,0,114,127.97,0,50129,46486,0,32126,38696,119083,33571
27,40111,36100,4011,36048,29544,0.81957,5,13,22,3584,1,5,1,0,113.17,8.73,5,121,113.17,16060,51761,47473,0,45593,43218,162015,47419
28,40158,36142,4016,36062,33754,0.93600,2,10,19,3776,0,7,0,0,119.34,21.31,9,114,119.34,10152,52266,47871,0,63386,54452,225377,60266
29,40411,36370,4041,36003,36003,1.00000,5,11,16,29,0,0,0,0,119.34,4.34,2,114,119.34,0,52266,47871,0,63386,60680,225377,60266
30,40176,36159,4017,35762,34902,0.97595,5,10,15,29,0,0,0,0,122.70,4.37,3,114,122.72,0,52266,47871,0,63386,65224,225377,60266
31,40022,36020,4002,35595,31628,0.88855,5,12,16,28,0,0,0,0,127.97,1.14,4,114,127.97,0,54881,48546,0,63386,66344,225377,60266
32,40228,36205,4023,35734,31207,0.87331,6,12,16,27,0,0,0,0,127.97,0.06,2,114,127.97,0,58912,51826,0,63386,66483,225377,60266
