t,type,level,bytes
-29.942,flush_begin,0,0
-29.926,flush_end,0,6638552
-29.917,flush_begin,0,0
-29.901,flush_end,0,6638554
-29.894,flush_begin,0,0
-29.879,flush_end,0,6638553
-29.871,flush_begin,0,0
-29.855,flush_end,0,6638553
-29.846,flush_begin,0,0
-29.830,flush_end,0,6638553
-29.822,flush_begin,0,0
-29.806,flush_end,0,6638554
-29.798,flush_begin,0,0
-29.782,flush_end,0,6638552
-29.775,flush_begin,0,0
-29.759,flush_end,0,6638554
-29.751,flush_begin,0,0
-29.733,flush_end,0,6638554
-29.725,flush_begin,0,0
-29.709,flush_end,0,6638552
-29.700,flush_begin,0,0
-29.685,flush_end,0,6638553
-29.677,flush_begin,0,0
-29.661,flush_end,0,6638553
-29.653,flush_begin,0,0
-29.636,flush_end,0,6638554
-29.628,flush_begin,0,0
-29.612,flush_end,0,6638552
-29.604,flush_begin,0,0
-29.588,flush_end,0,6638554
-29.580,flush_begin,0,0
-29.564,flush_end,0,6638554
-29.546,trivial_move,3,6638552
-29.546,flush_begin,0,0
-29.530,flush_end,0,6638552
-29.512,trivial_move,3,6638554
-29.512,flush_begin,0,0
-29.496,flush_end,0,6638555
-29.477,trivial_move,3,6638553
-29.477,flush_begin,0,0
-29.461,flush_end,0,6638553
-29.443,trivial_move,3,6638553
-29.443,flush_begin,0,0
-29.427,flush_end,0,6638553
-29.408,trivial_move,3,6638553
-29.408,flush_begin,0,0
-29.391,flush_end,0,6638552
-29.373,trivial_move,3,6638554
-29.373,flush_begin,0,0
-29.355,flush_end,0,6638554
-29.338,trivial_move,3,6638552
-29.338,flush_begin,0,0
-29.321,flush_end,0,6638554
-29.303,trivial_move,3,6638554
-29.303,flush_begin,0,0
-29.285,flush_end,0,6638552
-29.268,trivial_move,3,6638554
-29.268,flush_begin,0,0
-29.250,flush_end,0,6638554
-29.232,trivial_move,3,6638552
-29.232,flush_begin,0,0
-29.215,flush_end,0,6638553
-29.197,trivial_move,3,6638553
-29.197,flush_begin,0,0
-29.179,flush_end,0,6638553
-29.161,trivial_move,3,6638553
-29.161,flush_begin,0,0
-29.144,flush_end,0,6638553
-29.126,trivial_move,3,6638554
-29.126,flush_begin,0,0
-29.109,flush_end,0,6638554
-29.091,trivial_move,3,6638552
-29.091,flush_begin,0,0
-29.075,flush_end,0,6638553
-29.057,trivial_move,3,6638554
-29.057,flush_begin,0,0
-29.040,flush_end,0,6638552
-29.022,trivial_move,3,6638554
-29.022,flush_begin,0,0
-29.006,flush_end,0,6638554
-28.988,trivial_move,3,6638552
-28.988,flush_begin,0,0
-28.971,flush_end,0,6638553
-28.953,trivial_move,3,6638555
-28.953,flush_begin,0,0
-28.937,flush_end,0,6638553
-28.918,trivial_move,3,6638553
-28.918,flush_begin,0,0
-28.902,flush_end,0,6638553
-28.884,trivial_move,3,6638553
-28.884,flush_begin,0,0
-28.867,flush_end,0,6638555
-28.848,trivial_move,3,6638552
-28.848,flush_begin,0,0
-28.831,flush_end,0,6638553
-28.814,trivial_move,3,6638554
-28.814,flush_begin,0,0
-28.798,flush_end,0,6638553
-28.779,trivial_move,3,6638554
-28.779,flush_begin,0,0
-28.762,flush_end,0,6638554
-28.743,trivial_move,3,6638552
-28.743,flush_begin,0,0
-28.724,flush_end,0,6638552
-28.706,trivial_move,3,6638554
-28.706,flush_begin,0,0
-28.689,flush_end,0,6638553
-28.670,trivial_move,3,6638553
-28.670,flush_begin,0,0
-28.652,flush_end,0,6638553
-28.633,trivial_move,3,6638553
-28.633,flush_begin,0,0
-28.616,flush_end,0,6638554
-28.596,trivial_move,3,6638553
-28.596,flush_begin,0,0
-28.579,flush_end,0,6638553
-28.560,trivial_move,3,6638554
-28.560,flush_begin,0,0
-28.542,flush_end,0,6638553
-28.522,trivial_move,3,6638553
-28.522,flush_begin,0,0
-28.504,flush_end,0,6638554
-28.479,trivial_move,3,6638552
-28.479,flush_begin,0,0
-28.462,flush_end,0,6638552
-28.444,trivial_move,3,6638554
-28.444,flush_begin,0,0
-28.427,flush_end,0,6638554
-28.409,trivial_move,3,6638553
-28.409,flush_begin,0,0
-28.390,flush_end,0,6638553
-28.373,trivial_move,3,6638553
-28.373,flush_begin,0,0
-28.356,flush_end,0,6638553
-28.338,trivial_move,3,6638553
-28.338,flush_begin,0,0
-28.319,flush_end,0,6638553
-28.302,trivial_move,3,6638555
-28.302,flush_begin,0,0
-28.285,flush_end,0,6638553
-28.266,trivial_move,3,6638553
-28.266,flush_begin,0,0
-28.249,flush_end,0,6638555
-28.231,trivial_move,3,6638553
-28.231,flush_begin,0,0
-28.213,flush_end,0,6638552
-28.195,trivial_move,3,6638554
-28.195,flush_begin,0,0
-28.177,flush_end,0,6638554
-28.159,trivial_move,3,6638552
-28.159,flush_begin,0,0
-28.140,flush_end,0,6638553
-28.123,trivial_move,3,6638553
-28.123,flush_begin,0,0
-28.105,flush_end,0,6638553
-28.086,trivial_move,3,6638553
-28.086,flush_begin,0,0
-28.067,flush_end,0,6638554
-28.049,trivial_move,3,6638554
-28.049,flush_begin,0,0
-28.031,flush_end,0,6638553
-28.012,trivial_move,3,6638553
-28.012,flush_begin,0,0
-27.994,flush_end,0,6638553
-27.976,trivial_move,3,6638553
-27.976,flush_begin,0,0
-27.959,flush_end,0,6638552
-27.940,trivial_move,3,6638554
-27.940,flush_begin,0,0
-27.922,flush_end,0,6638554
-27.905,trivial_move,3,6638552
-27.905,flush_begin,0,0
-27.887,flush_end,0,6638553
-27.869,trivial_move,3,6638554
-27.869,flush_begin,0,0
-27.851,flush_end,0,6638553
-27.833,trivial_move,3,6638553
-27.833,flush_begin,0,0
-27.816,flush_end,0,6638554
-27.798,trivial_move,3,6638553
-27.798,flush_begin,0,0
-27.780,flush_end,0,6638553
-27.762,trivial_move,3,6638553
-27.762,flush_begin,0,0
-27.744,flush_end,0,6638553
-27.725,trivial_move,3,6638553
-27.725,flush_begin,0,0
-27.708,flush_end,0,6638553
-27.688,trivial_move,3,6638555
-27.688,flush_begin,0,0
-27.670,flush_end,0,6638554
-27.651,trivial_move,3,6638552
-27.651,flush_begin,0,0
-27.634,flush_end,0,6638552
-27.618,trivial_move,3,6638554
-27.618,flush_begin,0,0
-27.611,flush_end,0,1164547
-27.602,compaction_begin,2,0
-27.578,compaction_end,2,6638145
-27.569,compaction_begin,2,0
-27.545,compaction_end,2,6638145
-27.536,compaction_begin,2,0
-27.512,compaction_end,2,6638146
-27.503,compaction_begin,2,0
-27.479,compaction_end,2,6638145
-27.471,compaction_begin,2,0
-27.448,compaction_end,2,6638145
-27.440,compaction_begin,2,0
-27.418,compaction_end,2,6638144
-27.410,compaction_begin,2,0
-27.387,compaction_end,2,6638146
-27.379,compaction_begin,2,0
-27.357,compaction_end,2,6638145
-27.349,compaction_begin,2,0
-27.327,compaction_end,2,6638145
-27.319,compaction_begin,2,0
-27.295,compaction_end,2,6638146
-27.287,compaction_begin,2,0
-27.266,compaction_end,2,6638145
-27.258,compaction_begin,2,0
-27.236,compaction_end,2,6638145
-27.228,compaction_begin,2,0
-27.207,compaction_end,2,6638145
-27.198,compaction_begin,2,0
-27.177,compaction_end,2,6638146
-27.169,compaction_begin,2,0
-27.147,compaction_end,2,6638144
-27.139,compaction_begin,2,0
-27.132,compaction_end,2,1164547
-13.005,flush_begin,0,0
-12.956,flush_end,0,6624765
-12.939,compaction_begin,1,0
-12.859,compaction_end,1,6555025
-12.843,compaction_begin,2,0
-12.666,compaction_end,2,46468049
-12.658,compaction_begin,2,0
-12.525,compaction_end,2,46468049
-12.516,compaction_begin,2,0
-12.387,compaction_end,2,44118861
-12.378,compaction_begin,2,0
-12.247,compaction_end,2,46468050
-12.238,compaction_begin,2,0
-12.106,compaction_end,2,46468047
-12.097,compaction_begin,2,0
-11.966,compaction_end,2,46468050
-11.958,compaction_begin,2,0
-11.841,compaction_end,2,39829710
-11.833,compaction_begin,2,0
-11.700,compaction_end,2,46468049
-11.691,compaction_begin,2,0
-11.569,compaction_end,2,42178896
-11.559,compaction_begin,2,0
-11.427,compaction_end,2,46468049
1.110,flush_begin,0,0
1.159,flush_end,0,6623013
1.176,compaction_begin,1,0
1.263,compaction_end,1,7840684
1.278,compaction_begin,2,0
1.439,compaction_end,2,42179010
1.448,compaction_begin,2,0
1.546,compaction_end,2,33600933
1.555,compaction_begin,2,0
1.674,compaction_end,2,42179011
1.683,compaction_begin,2,0
1.804,compaction_end,2,42179010
1.813,compaction_begin,2,0
1.908,compaction_end,2,33080321
1.917,compaction_begin,2,0
2.013,compaction_end,2,33600933
2.020,compaction_begin,2,0
2.142,compaction_end,2,42890503
2.152,compaction_begin,2,0
2.273,compaction_end,2,42179011
2.282,compaction_begin,2,0
2.393,compaction_end,2,37889970
2.402,compaction_begin,2,0
2.521,compaction_end,2,42179011
4.315,compaction_begin,2,0
4.458,compaction_end,2,29311894
15.226,flush_begin,0,0
15.271,flush_end,0,6622013
15.289,compaction_begin,1,0
15.367,compaction_end,1,6528456
15.381,compaction_begin,2,0
15.531,compaction_end,2,42179010
15.540,compaction_begin,2,0
15.660,compaction_end,2,42179010
15.668,compaction_begin,2,0
15.788,compaction_end,2,42179011
15.797,compaction_begin,2,0
15.917,compaction_end,2,42179010
15.925,compaction_begin,2,0
16.047,compaction_end,2,42179010
16.056,compaction_begin,2,0
16.153,compaction_end,2,33600933
16.161,compaction_begin,2,0
16.289,compaction_end,2,42890390
16.298,compaction_begin,2,0
16.381,compaction_end,2,29311892
16.390,compaction_begin,2,0
16.512,compaction_end,2,42179011
16.671,compaction_begin,2,0
16.789,compaction_end,2,34409806
18.706,compaction_begin,2,0
18.883,compaction_end,2,42179010
29.342,flush_begin,0,0
29.390,flush_end,0,6624186
29.406,compaction_begin,1,0
29.485,compaction_end,1,6549921
29.503,compaction_begin,2,0
29.664,compaction_end,2,42890390
29.673,compaction_begin,2,0
29.792,compaction_end,2,42179010
29.800,compaction_begin,2,0
29.881,compaction_end,2,27159146
29.889,compaction_begin,2,0
30.011,compaction_end,2,42179011
30.020,compaction_begin,2,0
30.141,compaction_end,2,42179010
30.150,compaction_begin,2,0
30.271,compaction_end,2,42179012
30.280,compaction_begin,2,0
30.400,compaction_end,2,42179013
30.408,compaction_begin,2,0
30.534,compaction_end,2,42179009
30.543,compaction_begin,2,0
30.648,compaction_end,2,37178540
30.657,compaction_begin,2,0
30.779,compaction_end,2,42890503
30.787,compaction_begin,2,0
30.906,compaction_end,2,42179009
43.458,flush_begin,0,0
43.509,flush_end,0,6624440
43.526,compaction_begin,1,0
43.606,compaction_end,1,6557600
43.629,compaction_begin,2,0
43.788,compaction_end,2,42890390
43.796,compaction_begin,2,0
43.915,compaction_end,2,42179011
43.923,compaction_begin,2,0
44.043,compaction_end,2,42179009
44.051,compaction_begin,2,0
44.172,compaction_end,2,42179011
44.180,compaction_begin,2,0
44.302,compaction_end,2,42890390
44.310,compaction_begin,2,0
44.418,compaction_end,2,37889971
44.427,compaction_begin,2,0
44.548,compaction_end,2,42179009
44.557,compaction_begin,2,0
44.663,compaction_end,2,37178540
44.673,compaction_begin,2,0
44.780,compaction_end,2,37889971
44.789,compaction_begin,2,0
44.910,compaction_end,2,42890503
47.140,compaction_begin,2,0
47.304,compaction_end,2,36326821
57.574,flush_begin,0,0
57.623,flush_end,0,6627531
57.639,compaction_begin,1,0
57.718,compaction_end,1,6571586
57.738,compaction_begin,2,0
57.893,compaction_end,2,42179010
57.901,compaction_begin,2,0
58.022,compaction_end,2,42179009
58.031,compaction_begin,2,0
58.150,compaction_end,2,42179012
58.158,compaction_begin,2,0
58.278,compaction_end,2,42890503
58.287,compaction_begin,2,0
58.428,compaction_end,2,42890390
58.437,compaction_begin,2,0
58.557,compaction_end,2,42179009
58.566,compaction_begin,2,0
58.685,compaction_end,2,42179010
58.694,compaction_begin,2,0
58.815,compaction_end,2,42890391
58.824,compaction_begin,2,0
58.953,compaction_end,2,45756619
58.962,compaction_begin,2,0
59.058,compaction_end,2,33367504
59.066,compaction_begin,2,0
59.186,compaction_end,2,42179011
71.690,flush_begin,0,0
71.736,flush_end,0,6623688
71.753,compaction_begin,1,0
71.834,compaction_end,1,6548860
71.850,compaction_begin,2,0
72.026,compaction_end,2,42890389
72.035,compaction_begin,2,0
72.157,compaction_end,2,42890503
72.165,compaction_begin,2,0
72.286,compaction_end,2,42179011
72.294,compaction_begin,2,0
72.414,compaction_end,2,42179010
72.422,compaction_begin,2,0
72.530,compaction_end,2,37889973
72.539,compaction_begin,2,0
72.647,compaction_end,2,37889972
72.655,compaction_begin,2,0
72.776,compaction_end,2,42179010
72.784,compaction_begin,2,0
72.896,compaction_end,2,38601352
72.904,compaction_begin,2,0
73.026,compaction_end,2,42890390
75.168,compaction_begin,2,0
75.335,compaction_end,2,42179008
78.459,compaction_begin,2,0
78.581,compaction_end,2,21807465
85.806,flush_begin,0,0
85.857,flush_end,0,6625798
85.866,compaction_begin,1,0
85.946,compaction_end,1,6554511
85.962,compaction_begin,2,0
86.128,compaction_end,2,45756617
86.137,compaction_begin,2,0
86.244,compaction_end,2,37889970
86.253,compaction_begin,2,0
86.374,compaction_end,2,42890391
86.383,compaction_begin,2,0
86.498,compaction_end,2,39568309
86.507,compaction_begin,2,0
86.625,compaction_end,2,42179011
86.634,compaction_begin,2,0
86.754,compaction_end,2,42890503
86.763,compaction_begin,2,0
86.882,compaction_end,2,42179011
86.891,compaction_begin,2,0
86.998,compaction_end,2,37889969
87.007,compaction_begin,2,0
87.128,compaction_end,2,42179009
87.137,compaction_begin,2,0
87.258,compaction_end,2,42890390
87.267,compaction_begin,2,0
87.389,compaction_end,2,42890390
99.922,flush_begin,0,0
99.970,flush_end,0,6624300
99.987,compaction_begin,1,0
100.071,compaction_end,1,6548967
100.090,compaction_begin,2,0
100.258,compaction_end,2,42890390
100.267,compaction_begin,2,0
100.389,compaction_end,2,41467579
100.398,compaction_begin,2,0
100.519,compaction_end,2,42890391
100.528,compaction_begin,2,0
100.635,compaction_end,2,37889971
100.644,compaction_begin,2,0
100.764,compaction_end,2,42179009
100.773,compaction_begin,2,0
100.890,compaction_end,2,41467578
100.899,compaction_begin,2,0
100.972,compaction_end,2,25734233
100.980,compaction_begin,2,0
101.101,compaction_end,2,42890390
101.110,compaction_begin,2,0
101.206,compaction_end,2,33600934
101.215,compaction_begin,2,0
101.338,compaction_end,2,42890391
102.203,compaction_begin,2,0
102.380,compaction_end,2,42890503
114.038,flush_begin,0,0
114.086,flush_end,0,6622848
114.104,compaction_begin,1,0
114.188,compaction_end,1,7869960
114.206,compaction_begin,2,0
114.370,compaction_end,2,42890388
114.379,compaction_begin,2,0
114.487,compaction_end,2,38601353
114.496,compaction_begin,2,0
114.592,compaction_end,2,33600932
114.601,compaction_begin,2,0
114.722,compaction_end,2,42890391
114.731,compaction_begin,2,0
114.853,compaction_end,2,42890391
114.862,compaction_begin,2,0
114.971,compaction_end,2,38601353
114.980,compaction_begin,2,0
115.103,compaction_end,2,42890391
115.222,compaction_begin,2,0
115.366,compaction_end,2,45756618
115.552,compaction_begin,2,0
115.703,compaction_end,2,45756619
116.605,compaction_begin,2,0
116.734,compaction_end,2,41467580
128.154,flush_begin,0,0
128.201,flush_end,0,6619956
128.218,compaction_begin,1,0
128.308,compaction_end,1,9156441
