t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,40429,36386,4043,35906,30132,0.83919,6,18,27,51,0,0,0,0,127.98,0.00,0,112,127.98,0,0,0,0,0,0,0,0
2,40387,36348,4039,35896,30199,0.84129,8,20,30,264,0,1,0,0,127.98,0.18,4,111,127.98,0,0,0,0,0,0,7058,145
3,40074,36067,4007,35589,29468,0.82801,9,22,31,58,0,0,0,0,127.97,0.03,1,111,127.97,0,0,0,0,0,0,7058,145
4,40274,36247,4027,35677,30658,0.85932,9,22,33,63,0,0,0,0,127.97,0.17,2,111,127.97,0,0,0,0,0,0,7058,145
5,40261,36235,4026,35641,31464,0.88280,9,22,32,60,0,0,0,0,127.97,0.09,2,111,127.97,0,0,0,0,0,0,7058,145
6,40285,36256,4029,35682,30529,0.85559,9,22,31,59,0,0,0,0,127.97,0.00,0,111,127.97,0,0,0,0,0,0,7058,145
7,40043,36039,4004,35394,31576,0.89213,10,23,33,62,0,0,0,0,127.97,0.00,0,111,127.97,0,0,0,0,0,0,7058,145
8,40057,36051,4006,35259,30920,0.87694,9,21,31,56,0,0,0,0,127.97,0.00,0,111,127.97,0,0,0,0,0,0,7058,145
9,40266,36239,4027,35157,31910,0.90764,9,22,31,60,0,0,0,0,127.97,0.02,1,111,127.97,0,0,0,0,0,0,7058,145
10,40438,36394,4044,35324,30881,0.87422,9,22,31,58,0,0,0,0,127.98,0.00,0,111,127.97,0,0,0,0,0,0,7058,145
11,40415,36374,4041,35328,29658,0.83950,9,21,30,58,0,0,0,0,127.97,0.00,0,111,127.97,0,0,0,0,0,0,7058,145
12,40075,36067,4008,35030,30281,0.86443,10,23,32,62,0,0,0,0,127.97,0.18,2,111,127.97,0,0,0,0,0,0,7058,145
13,40091,36082,4009,36076,26464,0.73356,4,17,29,3456,1,6,1,0,127.98,0.20,5,117,127.98,0,0,0,0,0,0,61139,18556
14,40029,36026,4003,35806,22909,0.63981,4,11,20,3456,0,5,0,0,127.98,0.08,4,113,127.98,0,0,0,0,0,0,103547,23734
15,40429,36387,4042,36020,28999,0.80508,9,23,33,58,0,0,0,0,127.97,0.10,4,113,127.97,0,0,0,0,0,0,103547,23734
16,40203,36182,4021,35917,28423,0.79135,8,21,32,2176,0,1,0,0,127.97,0.18,3,112,127.97,0,0,0,0,0,0,113734,23924
17,40431,36388,4043,36045,31057,0.86162,9,22,32,60,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,113734,23924
18,40150,36136,4014,35692,30769,0.86207,9,23,32,61,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,113734,23924
19,40149,36134,4015,35616,30615,0.85959,8,20,29,55,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,113734,23924
20,40025,36022,4003,35401,30970,0.87483,9,22,30,57,0,0,0,0,127.97,0.37,2,112,127.97,0,0,0,0,0,0,113734,23924
21,40265,36238,4027,35519,29772,0.83820,10,24,36,126,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,113734,23924
22,40360,36324,4036,35601,29581,0.83090,9,22,32,61,0,0,0,0,127.97,0.03,1,112,127.97,0,0,0,0,0,0,113734,23924
