t,type,level,bytes
-29.930,flush_begin,0,0
-29.909,flush_end,0,6638552
-29.901,flush_begin,0,0
-29.882,flush_end,0,6638554
-29.873,flush_begin,0,0
-29.854,flush_end,0,6638553
-29.847,flush_begin,0,0
-29.828,flush_end,0,6638553
-29.821,flush_begin,0,0
-29.803,flush_end,0,6638553
-29.795,flush_begin,0,0
-29.778,flush_end,0,6638554
-29.771,flush_begin,0,0
-29.753,flush_end,0,6638552
-29.745,flush_begin,0,0
-29.728,flush_end,0,6638554
-29.720,flush_begin,0,0
-29.702,flush_end,0,6638554
-29.694,flush_begin,0,0
-29.677,flush_end,0,6638552
-29.669,flush_begin,0,0
-29.651,flush_end,0,6638553
-29.643,flush_begin,0,0
-29.626,flush_end,0,6638553
-29.618,flush_begin,0,0
-29.600,flush_end,0,6638554
-29.592,flush_begin,0,0
-29.576,flush_end,0,6638552
-29.568,flush_begin,0,0
-29.551,flush_end,0,6638554
-29.543,flush_begin,0,0
-29.527,flush_end,0,6638554
-29.510,trivial_move,3,6638552
-29.510,flush_begin,0,0
-29.490,flush_end,0,6638552
-29.474,trivial_move,3,6638554
-29.474,flush_begin,0,0
-29.456,flush_end,0,6638555
-29.441,trivial_move,3,6638553
-29.441,flush_begin,0,0
-29.422,flush_end,0,6638553
-29.407,trivial_move,3,6638553
-29.407,flush_begin,0,0
-29.388,flush_end,0,6638553
-29.373,trivial_move,3,6638553
-29.373,flush_begin,0,0
-29.352,flush_end,0,6638552
-29.337,trivial_move,3,6638554
-29.337,flush_begin,0,0
-29.317,flush_end,0,6638554
-29.298,trivial_move,3,6638552
-29.298,flush_begin,0,0
-29.279,flush_end,0,6638554
-29.261,trivial_move,3,6638554
-29.261,flush_begin,0,0
-29.242,flush_end,0,6638552
-29.223,trivial_move,3,6638554
-29.223,flush_begin,0,0
-29.204,flush_end,0,6638554
-29.187,trivial_move,3,6638552
-29.187,flush_begin,0,0
-29.168,flush_end,0,6638553
-29.148,trivial_move,3,6638553
-29.148,flush_begin,0,0
-29.129,flush_end,0,6638553
-29.111,trivial_move,3,6638553
-29.111,flush_begin,0,0
-29.091,flush_end,0,6638553
-29.073,trivial_move,3,6638554
-29.073,flush_begin,0,0
-29.054,flush_end,0,6638554
-29.036,trivial_move,3,6638552
-29.036,flush_begin,0,0
-29.016,flush_end,0,6638553
-28.998,trivial_move,3,6638554
-28.998,flush_begin,0,0
-28.979,flush_end,0,6638552
-28.960,trivial_move,3,6638554
-28.960,flush_begin,0,0
-28.941,flush_end,0,6638554
-28.921,trivial_move,3,6638552
-28.921,flush_begin,0,0
-28.901,flush_end,0,6638553
-28.883,trivial_move,3,6638555
-28.883,flush_begin,0,0
-28.863,flush_end,0,6638553
-28.846,trivial_move,3,6638553
-28.846,flush_begin,0,0
-28.826,flush_end,0,6638553
-28.808,trivial_move,3,6638553
-28.808,flush_begin,0,0
-28.788,flush_end,0,6638555
-28.771,trivial_move,3,6638552
-28.771,flush_begin,0,0
-28.750,flush_end,0,6638553
-28.735,trivial_move,3,6638554
-28.735,flush_begin,0,0
-28.717,flush_end,0,6638553
-28.699,trivial_move,3,6638554
-28.699,flush_begin,0,0
-28.681,flush_end,0,6638554
-28.663,trivial_move,3,6638552
-28.663,flush_begin,0,0
-28.645,flush_end,0,6638552
-28.626,trivial_move,3,6638554
-28.626,flush_begin,0,0
-28.608,flush_end,0,6638553
-28.589,trivial_move,3,6638553
-28.589,flush_begin,0,0
-28.571,flush_end,0,6638553
-28.551,trivial_move,3,6638553
-28.551,flush_begin,0,0
-28.533,flush_end,0,6638554
-28.514,trivial_move,3,6638553
-28.514,flush_begin,0,0
-28.495,flush_end,0,6638553
-28.477,trivial_move,3,6638554
-28.477,flush_begin,0,0
-28.459,flush_end,0,6638553
-28.437,trivial_move,3,6638553
-28.437,flush_begin,0,0
-28.418,flush_end,0,6638554
-28.400,trivial_move,3,6638552
-28.400,flush_begin,0,0
-28.381,flush_end,0,6638552
-28.362,trivial_move,3,6638554
-28.362,flush_begin,0,0
-28.343,flush_end,0,6638554
-28.326,trivial_move,3,6638553
-28.326,flush_begin,0,0
-28.307,flush_end,0,6638553
-28.288,trivial_move,3,6638553
-28.288,flush_begin,0,0
-28.269,flush_end,0,6638553
-28.250,trivial_move,3,6638553
-28.250,flush_begin,0,0
-28.231,flush_end,0,6638553
-28.212,trivial_move,3,6638555
-28.212,flush_begin,0,0
-28.193,flush_end,0,6638553
-28.174,trivial_move,3,6638553
-28.174,flush_begin,0,0
-28.153,flush_end,0,6638555
-28.134,trivial_move,3,6638553
-28.134,flush_begin,0,0
-28.114,flush_end,0,6638552
-28.096,trivial_move,3,6638554
-28.096,flush_begin,0,0
-28.075,flush_end,0,6638554
-28.057,trivial_move,3,6638552
-28.057,flush_begin,0,0
-28.037,flush_end,0,6638553
-28.018,trivial_move,3,6638553
-28.018,flush_begin,0,0
-27.999,flush_end,0,6638553
-27.981,trivial_move,3,6638553
