t,type,level,bytes
-29.879,flush_begin,0,0
-29.861,flush_end,0,6638552
-29.853,flush_begin,0,0
-29.836,flush_end,0,6638554
-29.828,flush_begin,0,0
-29.810,flush_end,0,6638553
-29.802,flush_begin,0,0
-29.785,flush_end,0,6638553
-29.776,flush_begin,0,0
-29.758,flush_end,0,6638553
-29.749,flush_begin,0,0
-29.732,flush_end,0,6638554
-29.723,flush_begin,0,0
-29.706,flush_end,0,6638552
-29.697,flush_begin,0,0
-29.679,flush_end,0,6638554
-29.671,flush_begin,0,0
-29.653,flush_end,0,6638554
-29.644,flush_begin,0,0
-29.627,flush_end,0,6638552
-29.618,flush_begin,0,0
-29.599,flush_end,0,6638553
-29.590,flush_begin,0,0
-29.573,flush_end,0,6638553
-29.564,flush_begin,0,0
-29.546,flush_end,0,6638554
-29.537,flush_begin,0,0
-29.520,flush_end,0,6638552
-29.512,flush_begin,0,0
-29.494,flush_end,0,6638554
-29.486,flush_begin,0,0
-29.467,flush_end,0,6638554
-29.451,trivial_move,3,6638552
-29.451,flush_begin,0,0
-29.429,flush_end,0,6638552
-29.412,trivial_move,3,6638554
-29.412,flush_begin,0,0
-29.394,flush_end,0,6638555
-29.378,trivial_move,3,6638553
-29.378,flush_begin,0,0
-29.359,flush_end,0,6638553
-29.342,trivial_move,3,6638553
-29.342,flush_begin,0,0
-29.324,flush_end,0,6638553
-29.305,trivial_move,3,6638553
-29.305,flush_begin,0,0
-29.286,flush_end,0,6638552
-29.271,trivial_move,3,6638554
-29.271,flush_begin,0,0
-29.252,flush_end,0,6638554
-29.236,trivial_move,3,6638552
-29.236,flush_begin,0,0
-29.217,flush_end,0,6638554
-29.203,trivial_move,3,6638554
-29.203,flush_begin,0,0
-29.184,flush_end,0,6638552
-29.168,trivial_move,3,6638554
-29.168,flush_begin,0,0
-29.151,flush_end,0,6638554
-29.133,trivial_move,3,6638552
-29.133,flush_begin,0,0
-29.115,flush_end,0,6638553
-29.098,trivial_move,3,6638553
-29.098,flush_begin,0,0
-29.081,flush_end,0,6638553
-29.063,trivial_move,3,6638553
-29.063,flush_begin,0,0
-29.045,flush_end,0,6638553
-29.031,trivial_move,3,6638554
-29.031,flush_begin,0,0
-29.013,flush_end,0,6638554
-28.994,trivial_move,3,6638552
-28.994,flush_begin,0,0
-28.977,flush_end,0,6638553
-28.959,trivial_move,3,6638554
-28.959,flush_begin,0,0
-28.941,flush_end,0,6638552
-28.924,trivial_move,3,6638554
-28.924,flush_begin,0,0
-28.905,flush_end,0,6638554
-28.887,trivial_move,3,6638552
-28.887,flush_begin,0,0
-28.868,flush_end,0,6638553
-28.851,trivial_move,3,6638555
