t,type,level,bytes
-29.940,flush_begin,0,0
-29.922,flush_end,0,6638552
-29.912,flush_begin,0,0
-29.894,flush_end,0,6638554
-29.884,flush_begin,0,0
-29.866,flush_end,0,6638553
-29.856,flush_begin,0,0
-29.839,flush_end,0,6638553
-29.829,flush_begin,0,0
-29.811,flush_end,0,6638553
-29.803,flush_begin,0,0
-29.785,flush_end,0,6638554
-29.776,flush_begin,0,0
-29.758,flush_end,0,6638552
-29.749,flush_begin,0,0
-29.732,flush_end,0,6638554
-29.723,flush_begin,0,0
-29.706,flush_end,0,6638554
-29.698,flush_begin,0,0
-29.681,flush_end,0,6638552
-29.672,flush_begin,0,0
-29.656,flush_end,0,6638553
-29.647,flush_begin,0,0
-29.630,flush_end,0,6638553
-29.621,flush_begin,0,0
-29.605,flush_end,0,6638554
-29.596,flush_begin,0,0
-29.579,flush_end,0,6638552
-29.570,flush_begin,0,0
-29.554,flush_end,0,6638554
-29.545,flush_begin,0,0
-29.529,flush_end,0,6638554
-29.513,trivial_move,3,6638552
-29.513,flush_begin,0,0
-29.497,flush_end,0,6638552
-29.481,trivial_move,3,6638554
-29.481,flush_begin,0,0
-29.465,flush_end,0,6638555
-29.449,trivial_move,3,6638553
-29.449,flush_begin,0,0
-29.433,flush_end,0,6638553
-29.418,trivial_move,3,6638553
-29.418,flush_begin,0,0
-29.401,flush_end,0,6638553
-29.384,trivial_move,3,6638553
-29.384,flush_begin,0,0
-29.367,flush_end,0,6638552
-29.351,trivial_move,3,6638554
-29.351,flush_begin,0,0
-29.334,flush_end,0,6638554
-29.317,trivial_move,3,6638552
-29.316,flush_begin,0,0
-29.300,flush_end,0,6638554
-29.282,trivial_move,3,6638554
-29.282,flush_begin,0,0
-29.266,flush_end,0,6638552
-29.248,trivial_move,3,6638554
-29.248,flush_begin,0,0
-29.230,flush_end,0,6638554
-29.214,trivial_move,3,6638552
-29.214,flush_begin,0,0
-29.198,flush_end,0,6638553
-29.181,trivial_move,3,6638553
-29.181,flush_begin,0,0
-29.163,flush_end,0,6638553
-29.146,trivial_move,3,6638553
-29.146,flush_begin,0,0
-29.130,flush_end,0,6638553
-29.111,trivial_move,3,6638554
-29.111,flush_begin,0,0
-29.094,flush_end,0,6638554
-29.076,trivial_move,3,6638552
-29.076,flush_begin,0,0
-29.060,flush_end,0,6638553
-29.052,flush_begin,0,0
-29.036,flush_end,0,6638552
-29.018,trivial_move,3,6638554
-29.018,flush_begin,0,0
-29.002,flush_end,0,6638554
-28.984,trivial_move,3,6638554
-28.984,flush_begin,0,0
-28.967,flush_end,0,6638553
-28.949,trivial_move,3,6638552
-28.949,flush_begin,0,0
-28.932,flush_end,0,6638553
-28.914,trivial_move,3,6638555
-28.914,flush_begin,0,0
-28.898,flush_end,0,6638553
-28.880,trivial_move,3,6638553
-28.880,flush_begin,0,0
-28.863,flush_end,0,6638555
-28.845,trivial_move,3,6638553
-28.845,flush_begin,0,0
-28.829,flush_end,0,6638553
-28.812,trivial_move,3,6638552
-28.812,flush_begin,0,0
-28.794,flush_end,0,6638553
-28.776,trivial_move,3,6638554
-28.776,flush_begin,0,0
-28.759,flush_end,0,6638554
-28.743,trivial_move,3,6638554
-28.743,flush_begin,0,0
-28.726,flush_end,0,6638552
-28.710,trivial_move,3,6638552
-28.710,flush_begin,0,0
