t,type,level,bytes
-29.926,flush_begin,0,0
-29.908,flush_end,0,6638552
-29.897,flush_begin,0,0
-29.880,flush_end,0,6638554
-29.870,flush_begin,0,0
-29.852,flush_end,0,6638553
-29.843,flush_begin,0,0
-29.825,flush_end,0,6638553
-29.816,flush_begin,0,0
-29.799,flush_end,0,6638553
-29.789,flush_begin,0,0
-29.772,flush_end,0,6638554
-29.762,flush_begin,0,0
-29.745,flush_end,0,6638552
-29.734,flush_begin,0,0
-29.717,flush_end,0,6638554
-29.708,flush_begin,0,0
-29.691,flush_end,0,6638554
-29.682,flush_begin,0,0
-29.665,flush_end,0,6638552
-29.655,flush_begin,0,0
-29.638,flush_end,0,6638553
-29.629,flush_begin,0,0
-29.612,flush_end,0,6638553
-29.601,flush_begin,0,0
-29.585,flush_end,0,6638554
-29.575,flush_begin,0,0
-29.558,flush_end,0,6638552
-29.547,flush_begin,0,0
-29.531,flush_end,0,6638554
-29.521,flush_begin,0,0
-29.504,flush_end,0,6638554
-29.490,trivial_move,3,6638552
-29.488,flush_begin,0,0
-29.470,flush_end,0,6638552
-29.455,trivial_move,3,6638554
-29.454,flush_begin,0,0
-29.436,flush_end,0,6638555
-29.420,trivial_move,3,6638553
-29.418,flush_begin,0,0
-29.401,flush_end,0,6638553
-29.385,trivial_move,3,6638553
-29.383,flush_begin,0,0
-29.366,flush_end,0,6638553
-29.351,trivial_move,3,6638553
-29.350,flush_begin,0,0
-29.333,flush_end,0,6638552
-29.317,trivial_move,3,6638554
-29.316,flush_begin,0,0
-29.299,flush_end,0,6638554
-29.284,trivial_move,3,6638552
-29.283,flush_begin,0,0
-29.265,flush_end,0,6638554
-29.249,trivial_move,3,6638554
-29.248,flush_begin,0,0
-29.231,flush_end,0,6638552
-29.215,trivial_move,3,6638554
-29.214,flush_begin,0,0
-29.196,flush_end,0,6638554
-29.180,trivial_move,3,6638552
-29.178,flush_begin,0,0
-29.161,flush_end,0,6638553
-29.144,trivial_move,3,6638553
