t,type,level,bytes
-29.924,flush_begin,0,0
-29.901,flush_end,0,6638552
-29.890,flush_begin,0,0
-29.852,flush_end,0,6638554
-29.835,flush_begin,0,0
-29.814,flush_end,0,6638553
-29.803,flush_begin,0,0
-29.782,flush_end,0,6638553
-29.772,flush_begin,0,0
-29.749,flush_end,0,6638553
-29.740,flush_begin,0,0
-29.717,flush_end,0,6638554
-29.708,flush_begin,0,0
-29.688,flush_end,0,6638552
-29.679,flush_begin,0,0
-29.661,flush_end,0,6638554
-29.651,flush_begin,0,0
-29.633,flush_end,0,6638554
-29.623,flush_begin,0,0
-29.604,flush_end,0,6638552
-29.595,flush_begin,0,0
-29.576,flush_end,0,6638553
-29.567,flush_begin,0,0
-29.547,flush_end,0,6638553
-29.538,flush_begin,0,0
-29.520,flush_end,0,6638554
-29.510,flush_begin,0,0
-29.489,flush_end,0,6638552
-29.480,flush_begin,0,0
-29.461,flush_end,0,6638554
-29.452,flush_begin,0,0
-29.432,flush_end,0,6638554
-29.417,trivial_move,3,6638552
-29.415,flush_begin,0,0
-29.396,flush_end,0,6638552
-29.380,trivial_move,3,6638554
-29.380,flush_begin,0,0
-29.358,flush_end,0,6638555
-29.342,trivial_move,3,6638553
-29.342,flush_begin,0,0
-29.324,flush_end,0,6638553
-29.307,trivial_move,3,6638553
-29.306,flush_begin,0,0
-29.288,flush_end,0,6638553
-29.273,trivial_move,3,6638553
-29.272,flush_begin,0,0
-29.253,flush_end,0,6638552
-29.237,trivial_move,3,6638554
-29.235,flush_begin,0,0
-29.217,flush_end,0,6638554
-29.203,trivial_move,3,6638552
-29.203,flush_begin,0,0
-29.181,flush_end,0,6638554
-29.165,trivial_move,3,6638554
-29.164,flush_begin,0,0
-29.144,flush_end,0,6638552
-29.127,trivial_move,3,6638554
-29.127,flush_begin,0,0
-29.105,flush_end,0,6638554
-29.087,trivial_move,3,6638552
-29.087,flush_begin,0,0
-29.068,flush_end,0,6638553
-29.051,trivial_move,3,6638553
-29.051,flush_begin,0,0
-29.033,flush_end,0,6638553
-29.024,flush_begin,0,0
-29.005,flush_end,0,6638553
-28.987,trivial_move,3,6638553
-28.987,flush_begin,0,0
-28.969,flush_end,0,6638554
-28.952,trivial_move,3,6638554
-28.952,flush_begin,0,0
-28.934,flush_end,0,6638553
-28.918,trivial_move,3,6638552
-28.910,trivial_move,3,6638554
-28.910,flush_begin,0,0
-28.890,flush_end,0,6638552
-28.874,trivial_move,3,6638554
-28.874,flush_begin,0,0
-28.851,flush_end,0,6638554
-28.833,trivial_move,3,6638552
-28.833,flush_begin,0,0
-28.815,flush_end,0,6638553
-28.799,trivial_move,3,6638555
-28.798,flush_begin,0,0
-28.780,flush_end,0,6638553
-28.763,trivial_move,3,6638553
-28.763,flush_begin,0,0
-28.744,flush_end,0,6638553
-28.729,trivial_move,3,6638553
-28.728,flush_begin,0,0
-28.708,flush_end,0,6638555
-28.692,trivial_move,3,6638552
-28.690,flush_begin,0,0
-28.672,flush_end,0,6638553
-28.655,trivial_move,3,6638554
-28.655,flush_begin,0,0
-28.637,flush_end,0,6638553
-28.621,trivial_move,3,6638554
-28.621,flush_begin,0,0
-28.603,flush_end,0,6638554
-28.587,trivial_move,3,6638552
-28.587,flush_begin,0,0
-28.567,flush_end,0,6638552
-28.550,trivial_move,3,6638554
-28.548,flush_begin,0,0
-28.526,flush_end,0,6638553
-28.505,trivial_move,3,6638553
-28.505,flush_begin,0,0
-28.483,flush_end,0,6638553
-28.465,trivial_move,3,6638553
-28.465,flush_begin,0,0
-28.446,flush_end,0,6638554
-28.424,trivial_move,3,6638553
-28.424,flush_begin,0,0
-28.404,flush_end,0,6638553
-28.388,trivial_move,3,6638554
-28.387,flush_begin,0,0
-28.367,flush_end,0,6638553
-28.348,trivial_move,3,6638553
-28.348,flush_begin,0,0
-28.331,flush_end,0,6638554
-28.314,trivial_move,3,6638552
-28.313,flush_begin,0,0
-28.294,flush_end,0,6638552
-28.278,trivial_move,3,6638554
-28.277,flush_begin,0,0
-28.260,flush_end,0,6638554
-28.244,trivial_move,3,6638553
-28.241,flush_begin,0,0
-28.218,flush_end,0,6638553
-28.201,trivial_move,3,6638553
-28.201,flush_begin,0,0
-28.184,flush_end,0,6638553
-28.167,trivial_move,3,6638553
-28.166,flush_begin,0,0
-28.146,flush_end,0,6638553
-28.129,trivial_move,3,6638555
-28.129,flush_begin,0,0
-28.111,flush_end,0,6638553
-28.096,trivial_move,3,6638553
-28.093,flush_begin,0,0
-28.075,flush_end,0,6638555
-28.060,trivial_move,3,6638553
-28.059,flush_begin,0,0
-28.039,flush_end,0,6638552
-28.023,trivial_move,3,6638554
-28.021,flush_begin,0,0
-28.001,flush_end,0,6638554
-27.985,trivial_move,3,6638552
-27.981,flush_begin,0,0
-27.963,flush_end,0,6638553
-27.946,trivial_move,3,6638553
-27.945,flush_begin,0,0
-27.920,flush_end,0,6638553
-27.902,trivial_move,3,6638553
-27.902,flush_begin,0,0
-27.882,flush_end,0,6638554
-27.863,trivial_move,3,6638554
-27.863,flush_begin,0,0
-27.843,flush_end,0,6638553
-27.824,trivial_move,3,6638553
-27.824,flush_begin,0,0
-27.802,flush_end,0,6638553
-27.785,trivial_move,3,6638553
-27.785,flush_begin,0,0
-27.764,flush_end,0,6638552
-27.746,trivial_move,3,6638554
-27.746,flush_begin,0,0
-27.725,flush_end,0,6638554
-27.708,trivial_move,3,6638552
-27.708,flush_begin,0,0
-27.685,flush_end,0,6638553
-27.666,trivial_move,3,6638554
-27.666,flush_begin,0,0
-27.645,flush_end,0,6638553
-27.628,trivial_move,3,6638553
-27.628,flush_begin,0,0
-27.607,flush_end,0,6638554
-27.589,trivial_move,3,6638553
-27.589,flush_begin,0,0
-27.569,flush_end,0,6638553
-27.550,trivial_move,3,6638553
-27.550,flush_begin,0,0
-27.527,flush_end,0,6638553
-27.511,trivial_move,3,6638553
-27.511,flush_begin,0,0
-27.490,flush_end,0,6638553
-27.474,trivial_move,3,6638555
-27.470,flush_begin,0,0
-27.448,flush_end,0,6638554
-27.432,trivial_move,3,6638552
-27.431,flush_begin,0,0
-27.412,flush_end,0,6638552
-27.396,trivial_move,3,6638554
-27.396,flush_begin,0,0
-27.389,flush_end,0,1164547
-27.380,compaction_begin,2,0
-27.347,compaction_end,2,6638145
-27.338,compaction_begin,2,0
-27.309,compaction_end,2,6638145
-27.301,compaction_begin,2,0
-27.271,compaction_end,2,6638146
-27.263,compaction_begin,2,0
-27.232,compaction_end,2,6638145
-27.225,compaction_begin,2,0
-27.200,compaction_end,2,6638145
-27.191,compaction_begin,2,0
-27.161,compaction_end,2,6638144
-27.150,compaction_begin,2,0
-27.118,compaction_end,2,6638146
-27.107,compaction_begin,2,0
-27.074,compaction_end,2,6638145
-27.061,compaction_begin,2,0
-27.026,compaction_end,2,6638145
-27.007,compaction_begin,2,0
-26.979,compaction_end,2,6638146
-26.970,compaction_begin,2,0
-26.944,compaction_end,2,6638145
-26.936,compaction_begin,2,0
-26.909,compaction_end,2,6638145
-26.900,compaction_begin,2,0
-26.846,compaction_end,2,6638145
-26.836,compaction_begin,2,0
-26.813,compaction_end,2,6638146
-26.804,compaction_begin,2,0
-26.781,compaction_end,2,6638144
-26.773,compaction_begin,2,0
-26.766,compaction_end,2,1164547
-12.641,flush_begin,0,0
-12.614,flush_end,0,6622959
-12.604,compaction_begin,1,0
-12.539,compaction_end,1,6549976
-12.530,compaction_begin,2,0
-12.328,compaction_end,2,46468050
-12.319,compaction_begin,2,0
-12.154,compaction_end,2,46468047
-12.145,compaction_begin,2,0
-12.027,compaction_end,2,33191398
-12.018,compaction_begin,2,0
-11.809,compaction_end,2,39829709
-11.800,compaction_begin,2,0
-11.604,compaction_end,2,46468049
-11.596,compaction_begin,2,0
-11.392,compaction_end,2,46468050
-11.383,compaction_begin,2,0
-11.240,compaction_end,2,33191398
-11.231,compaction_begin,2,0
-11.042,compaction_end,2,44118863
-11.033,compaction_begin,2,0
-11.021,compaction_end,2,2492235
-11.013,compaction_begin,2,0
-10.848,compaction_end,2,42178895
-10.839,compaction_begin,2,0
-10.680,compaction_end,2,46468049
1.475,flush_begin,0,0
1.509,flush_end,0,6624020
1.519,compaction_begin,1,0
1.595,compaction_end,1,6551408
1.603,compaction_begin,2,0
1.770,compaction_end,2,42179010
1.780,compaction_begin,2,0
1.973,compaction_end,2,42179011
1.983,compaction_begin,2,0
2.207,compaction_end,2,43300039
2.216,compaction_begin,2,0
2.414,compaction_end,2,42179011
2.424,compaction_begin,2,0
2.607,compaction_end,2,37889972
2.616,compaction_begin,2,0
2.822,compaction_end,2,42179010
2.832,compaction_begin,2,0
3.027,compaction_end,2,42890503
3.036,compaction_begin,2,0
3.226,compaction_end,2,43407423
3.236,compaction_begin,2,0
3.442,compaction_end,2,45239611
3.452,compaction_begin,2,0
3.657,compaction_end,2,42179009
4.027,compaction_begin,2,0
4.185,compaction_end,2,33126220
15.591,flush_begin,0,0
15.620,flush_end,0,6621453
15.630,compaction_begin,1,0
15.700,compaction_end,1,6520182
15.709,compaction_begin,2,0
15.954,compaction_end,2,39118499
15.964,compaction_begin,2,0
16.149,compaction_end,2,34434283
16.159,compaction_begin,2,0
16.393,compaction_end,2,42890503
16.404,compaction_begin,2,0
16.623,compaction_end,2,42179010
16.632,compaction_begin,2,0
16.836,compaction_end,2,44528185
16.845,compaction_begin,2,0
17.076,compaction_end,2,42890390
17.085,compaction_begin,2,0
17.296,compaction_end,2,43299925
17.304,compaction_begin,2,0
17.539,compaction_end,2,42179009
17.549,compaction_begin,2,0
17.754,compaction_end,2,42179011
17.763,compaction_begin,2,0
17.957,compaction_end,2,42179011
18.532,compaction_begin,2,0
18.700,compaction_end,2,37889971
29.707,flush_begin,0,0
29.757,flush_end,0,6626745
29.766,compaction_begin,1,0
29.854,compaction_end,1,6569342
29.863,compaction_begin,2,0
30.231,compaction_end,2,43299926
30.242,compaction_begin,2,0
30.585,compaction_end,2,44528187
30.595,compaction_begin,2,0
30.868,compaction_end,2,38601352
30.878,compaction_begin,2,0
31.090,compaction_end,2,42890390
31.099,compaction_begin,2,0
31.355,compaction_end,2,42179011
31.365,compaction_begin,2,0
31.698,compaction_end,2,42179010
31.708,compaction_begin,2,0
31.917,compaction_end,2,27160031
31.926,compaction_begin,2,0
32.243,compaction_end,2,42179009
32.252,compaction_begin,2,0
32.442,compaction_end,2,25734233
32.452,compaction_begin,2,0
32.787,compaction_end,2,42890503
32.798,compaction_begin,2,0
33.126,compaction_end,2,42179010
43.823,flush_begin,0,0
43.842,flush_end,0,6620889
43.851,compaction_begin,1,0
43.908,compaction_end,1,6519657
43.917,compaction_begin,2,0
44.046,compaction_end,2,42179009
44.055,compaction_begin,2,0
44.188,compaction_end,2,42890391
44.197,compaction_begin,2,0
44.332,compaction_end,2,42890390
44.341,compaction_begin,2,0
44.473,compaction_end,2,42890389
44.482,compaction_begin,2,0
44.622,compaction_end,2,43299924
44.631,compaction_begin,2,0
44.757,compaction_end,2,40239147
44.765,compaction_begin,2,0
44.907,compaction_end,2,43407538
44.916,compaction_begin,2,0
45.049,compaction_end,2,42179011
45.058,compaction_begin,2,0
45.187,compaction_end,2,42179012
45.196,compaction_begin,2,0
45.326,compaction_end,2,36355012
45.984,compaction_begin,2,0
46.125,compaction_end,2,42890503
57.939,flush_begin,0,0
57.959,flush_end,0,6627431
57.969,compaction_begin,1,0
58.028,compaction_end,1,6566183
58.037,compaction_begin,2,0
58.168,compaction_end,2,42890388
58.177,compaction_begin,2,0
58.310,compaction_end,2,42890389
58.319,compaction_begin,2,0
58.452,compaction_end,2,42890391
58.461,compaction_begin,2,0
58.593,compaction_end,2,42179011
58.602,compaction_begin,2,0
58.737,compaction_end,2,43407539
58.746,compaction_begin,2,0
58.881,compaction_end,2,42179009
58.889,compaction_begin,2,0
59.024,compaction_end,2,42890389
59.033,compaction_begin,2,0
59.168,compaction_end,2,42588496
59.176,compaction_begin,2,0
59.308,compaction_end,2,39527884
59.317,compaction_begin,2,0
59.451,compaction_end,2,42890391
60.497,compaction_begin,2,0
60.621,compaction_end,2,37666085
72.055,flush_begin,0,0
72.076,flush_end,0,6626428
72.085,compaction_begin,1,0
72.142,compaction_end,1,6560621
72.151,compaction_begin,2,0
72.284,compaction_end,2,42890391
72.293,compaction_begin,2,0
72.429,compaction_end,2,42890391
72.438,compaction_begin,2,0
72.572,compaction_end,2,42890389
72.581,compaction_begin,2,0
72.717,compaction_end,2,42179010
72.726,compaction_begin,2,0
72.860,compaction_end,2,42696018
72.869,compaction_begin,2,0
72.991,compaction_end,2,38299455
73.000,compaction_begin,2,0
73.140,compaction_end,2,42890391
73.149,compaction_begin,2,0
73.287,compaction_end,2,42890388
73.296,compaction_begin,2,0
73.416,compaction_end,2,37889971
73.425,compaction_begin,2,0
73.560,compaction_end,2,42890391
73.677,compaction_begin,2,0
73.781,compaction_end,2,30390322
86.171,flush_begin,0,0
86.193,flush_end,0,6624695
86.202,compaction_begin,1,0
86.263,compaction_end,1,6553813
86.271,compaction_begin,2,0
86.409,compaction_end,2,39561196
86.418,compaction_begin,2,0
86.544,compaction_end,2,37889973
86.553,compaction_begin,2,0
86.692,compaction_end,2,42890391
86.701,compaction_begin,2,0
86.843,compaction_end,2,42890390
86.852,compaction_begin,2,0
86.992,compaction_end,2,42890391
86.999,compaction_begin,2,0
87.140,compaction_end,2,42890389
87.150,compaction_begin,2,0
87.292,compaction_end,2,42890391
87.301,compaction_begin,2,0
87.440,compaction_end,2,42890391
87.449,compaction_begin,2,0
87.575,compaction_end,2,38406978
87.584,compaction_begin,2,0
87.725,compaction_end,2,42588493
87.734,compaction_begin,2,0
87.880,compaction_end,2,43407536
100.287,flush_begin,0,0
100.308,flush_end,0,6620309
100.318,compaction_begin,1,0
100.377,compaction_end,1,6521826
100.386,compaction_begin,2,0
100.526,compaction_end,2,42588493
100.535,compaction_begin,2,0
100.675,compaction_end,2,42890390
100.684,compaction_begin,2,0
100.826,compaction_end,2,42179011
100.835,compaction_begin,2,0
100.980,compaction_end,2,42890389
100.989,compaction_begin,2,0
101.135,compaction_end,2,42890503
101.144,compaction_begin,2,0
101.285,compaction_end,2,42890391
101.294,compaction_begin,2,0
101.435,compaction_end,2,42890391
101.444,compaction_begin,2,0
101.586,compaction_end,2,42890390
101.595,compaction_begin,2,0
101.731,compaction_end,2,40872171
101.738,compaction_begin,2,0
101.882,compaction_end,2,42890391
101.891,compaction_begin,2,0
102.043,compaction_end,2,43407536
114.403,flush_begin,0,0
114.425,flush_end,0,6622573
114.434,compaction_begin,1,0
114.497,compaction_end,1,6540710
114.506,compaction_begin,2,0
114.651,compaction_end,2,42890390
114.660,compaction_begin,2,0
114.810,compaction_end,2,42890391
114.819,compaction_begin,2,0
114.938,compaction_end,2,33609093
114.947,compaction_begin,2,0
115.103,compaction_end,2,42890390
115.112,compaction_begin,2,0
115.258,compaction_end,2,42890390
115.267,compaction_begin,2,0
115.416,compaction_end,2,42890389
115.425,compaction_begin,2,0
115.575,compaction_end,2,42890390
115.584,compaction_begin,2,0
115.728,compaction_end,2,42890503
115.736,compaction_begin,2,0
115.881,compaction_end,2,42890390
115.890,compaction_begin,2,0
116.036,compaction_end,2,42696134
116.043,compaction_begin,2,0
116.189,compaction_end,2,42588493
