t,type,level,bytes
-29.890,flush_begin,0,0
-29.851,flush_end,0,6638552
-29.842,flush_begin,0,0
-29.799,flush_end,0,6638554
-29.790,flush_begin,0,0
-29.754,flush_end,0,6638553
-29.745,flush_begin,0,0
-29.706,flush_end,0,6638553
-29.697,flush_begin,0,0
-29.659,flush_end,0,6638553
-29.650,flush_begin,0,0
-29.611,flush_end,0,6638554
-29.602,flush_begin,0,0
-29.563,flush_end,0,6638552
-29.554,flush_begin,0,0
-29.515,flush_end,0,6638554
-29.507,flush_begin,0,0
-29.467,flush_end,0,6638554
-29.458,flush_begin,0,0
-29.416,flush_end,0,6638552
-29.408,flush_begin,0,0
-29.370,flush_end,0,6638553
-29.361,flush_begin,0,0
-29.322,flush_end,0,6638553
-29.314,flush_begin,0,0
-29.276,flush_end,0,6638554
-29.269,flush_begin,0,0
-29.224,flush_end,0,6638552
-29.217,flush_begin,0,0
-29.180,flush_end,0,6638554
-29.171,flush_begin,0,0
-29.133,flush_end,0,6638554
-29.116,trivial_move,3,6638552
-29.116,flush_begin,0,0
-29.079,flush_end,0,6638552
-29.062,trivial_move,3,6638554
-29.062,flush_begin,0,0
-29.024,flush_end,0,6638555
-29.006,trivial_move,3,6638553
-29.006,flush_begin,0,0
-28.984,flush_end,0,6638553
-28.963,trivial_move,3,6638553
-28.956,flush_begin,0,0
-28.935,flush_end,0,6638553
-28.920,trivial_move,3,6638553
-28.916,flush_begin,0,0
-28.891,flush_end,0,6638552
-28.874,trivial_move,3,6638554
-28.869,flush_begin,0,0
-28.841,flush_end,0,6638554
-28.824,trivial_move,3,6638552
-28.820,flush_begin,0,0
-28.776,flush_end,0,6638554
-28.757,trivial_move,3,6638554
-28.757,flush_begin,0,0
-28.715,flush_end,0,6638552
-28.698,trivial_move,3,6638554
-28.695,flush_begin,0,0
-28.642,flush_end,0,6638554
-28.621,trivial_move,3,6638552
-28.621,flush_begin,0,0
-28.583,flush_end,0,6638553
-28.562,trivial_move,3,6638553
-28.562,flush_begin,0,0
-28.511,flush_end,0,6638553
-28.490,trivial_move,3,6638553
-28.490,flush_begin,0,0
-28.445,flush_end,0,6638553
-28.427,trivial_move,3,6638554
-28.427,flush_begin,0,0
-28.383,flush_end,0,6638554
-28.361,trivial_move,3,6638552
-28.361,flush_begin,0,0
-28.316,flush_end,0,6638553
-28.299,trivial_move,3,6638554
-28.299,flush_begin,0,0
-28.258,flush_end,0,6638552
-28.242,trivial_move,3,6638554
-28.242,flush_begin,0,0
-28.200,flush_end,0,6638554
-28.183,trivial_move,3,6638552
-28.183,flush_begin,0,0
-28.144,flush_end,0,6638553
-28.127,trivial_move,3,6638555
-28.127,flush_begin,0,0
-28.088,flush_end,0,6638553
-28.070,trivial_move,3,6638553
-28.070,flush_begin,0,0
-28.033,flush_end,0,6638553
-28.015,trivial_move,3,6638553
-28.015,flush_begin,0,0
-27.976,flush_end,0,6638555
-27.958,trivial_move,3,6638552
-27.958,flush_begin,0,0
-27.920,flush_end,0,6638553
-27.901,trivial_move,3,6638554
-27.901,flush_begin,0,0
-27.862,flush_end,0,6638553
-27.841,trivial_move,3,6638554
-27.841,flush_begin,0,0
-27.802,flush_end,0,6638554
-27.786,trivial_move,3,6638552
-27.786,flush_begin,0,0
-27.749,flush_end,0,6638552
-27.732,trivial_move,3,6638554
-27.732,flush_begin,0,0
-27.692,flush_end,0,6638553
-27.674,trivial_move,3,6638553
-27.674,flush_begin,0,0
-27.635,flush_end,0,6638553
-27.618,trivial_move,3,6638553
-27.618,flush_begin,0,0
-27.575,flush_end,0,6638554
-27.559,trivial_move,3,6638553
-27.559,flush_begin,0,0
-27.520,flush_end,0,6638553
-27.503,trivial_move,3,6638554
-27.503,flush_begin,0,0
-27.463,flush_end,0,6638553
-27.447,trivial_move,3,6638553
-27.447,flush_begin,0,0
-27.409,flush_end,0,6638554
-27.392,trivial_move,3,6638552
-27.392,flush_begin,0,0
-27.344,flush_end,0,6638552
-27.327,trivial_move,3,6638554
-27.327,flush_begin,0,0
-27.282,flush_end,0,6638554
-27.266,trivial_move,3,6638553
-27.266,flush_begin,0,0
-27.220,flush_end,0,6638553
-27.205,trivial_move,3,6638553
-27.205,flush_begin,0,0
-27.165,flush_end,0,6638553
-27.148,trivial_move,3,6638553
-27.148,flush_begin,0,0
-27.109,flush_end,0,6638553
-27.091,trivial_move,3,6638555
-27.091,flush_begin,0,0
-27.053,flush_end,0,6638553
-27.037,trivial_move,3,6638553
-27.037,flush_begin,0,0
-26.999,flush_end,0,6638555
-26.984,trivial_move,3,6638553
-26.984,flush_begin,0,0
-26.946,flush_end,0,6638552
-26.931,trivial_move,3,6638554
-26.931,flush_begin,0,0
-26.895,flush_end,0,6638554
-26.880,trivial_move,3,6638552
-26.880,flush_begin,0,0
-26.843,flush_end,0,6638553
-26.826,trivial_move,3,6638553
-26.826,flush_begin,0,0
-26.788,flush_end,0,6638553
-26.771,trivial_move,3,6638553
-26.771,flush_begin,0,0
-26.732,flush_end,0,6638554
-26.713,trivial_move,3,6638554
-26.713,flush_begin,0,0
-26.676,flush_end,0,6638553
-26.660,trivial_move,3,6638553
-26.657,flush_begin,0,0
-26.623,flush_end,0,6638553
-26.605,trivial_move,3,6638553
-26.605,flush_begin,0,0
-26.557,flush_end,0,6638552
