t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once
1,1010267,1006259,4008,1006731,996012,0.98935,2,10,19,2112,0,1,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0
2,994217,990178,4039,979366,978998,0.99962,2,11,20,34,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0
3,1041322,1037280,4042,1020340,1015112,0.99488,2,10,18,37,0,0,0,0,127.97,0.05,1,113,127.97,0,0,0,0,0,0
4,770510,766469,4041,751183,748356,0.99624,3,16,27,38,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0
5,774847,770807,4040,754413,750583,0.99492,2,16,29,38,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0
6,776471,772429,4042,755548,752743,0.99629,3,16,28,38,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0
7,687831,683807,4024,666608,662348,0.99361,3,16,29,44,0,0,0,0,127.97,0.00,1,113,127.97,0,0,0,0,0,0
8,699198,695193,4005,677885,671016,0.98987,3,16,27,41,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0
9,791198,787166,4032,765799,762060,0.99512,3,15,26,41,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0
10,825967,821943,4024,797998,794040,0.99504,3,14,25,36,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0
11,1061952,1057917,4035,1028060,1019720,0.99189,2,9,16,32,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0
12,1072180,1068167,4013,1035400,1031395,0.99613,2,9,16,30,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0
13,641716,637688,4028,699645,639533,0.91408,2,13,24,3648,0,7,1,0,127.98,0.00,0,119,127.98,0,0,0,0,0,0
14,775493,771458,4035,819114,759347,0.92703,2,12,22,3456,0,5,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
15,1083065,1079053,4012,1071529,1067208,0.99597,2,9,17,29,0,0,0,0,127.97,0.02,1,114,127.97,0,0,0,0,0,0
16,947482,943454,4028,936307,926958,0.99002,2,11,21,33,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
17,1112475,1108434,4041,1097042,1093517,0.99679,2,9,16,31,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
18,1014629,1010588,4041,997172,994373,0.99719,2,10,19,32,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
19,1047218,1043200,4018,1029123,1018625,0.98980,2,10,18,32,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
20,724530,720446,4084,712093,708114,0.99441,3,16,33,74,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
21,601405,597399,4006,589908,586359,0.99398,3,23,51,61,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
22,516091,512080,4011,504869,498965,0.98831,3,13,51,752,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
23,562929,558902,4027,549492,541995,0.98636,3,18,48,188,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
24,533041,529022,4019,519849,508250,0.97769,3,23,62,114,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
25,377798,373771,4027,366609,361661,0.98650,4,19,74,1088,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
26,537669,533638,4031,521519,514990,0.98748,4,17,31,236,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
27,494095,490053,4042,538770,485826,0.90173,4,16,27,3520,1,5,1,0,127.98,0.17,2,121,127.98,0,0,0,0,0,0
28,531601,527572,4029,579529,522840,0.90218,3,15,28,3840,0,6,0,0,127.98,0.14,2,116,127.98,0,0,0,0,0,0
29,650333,646319,4014,646061,633907,0.98119,3,13,26,2752,0,1,0,0,127.97,0.14,2,114,127.97,0,0,0,0,0,0
30,600508,596474,4034,589969,585751,0.99285,3,20,45,66,0,0,0,0,127.97,0.09,4,114,127.97,0,0,0,0,0,0
31,586449,582419,4030,575079,570238,0.99158,3,23,54,74,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
32,458783,454740,4043,447853,443200,0.98961,3,19,92,424,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
33,221301,217294,4007,213046,209052,0.98125,4,28,152,4992,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
34,292104,288062,4042,281215,279421,0.99362,4,26,118,2496,0,0,0,0,127.97,0.04,1,114,127.97,0,0,0,0,0,0
35,304529,300487,4042,293289,287605,0.98062,4,36,168,272,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
36,237762,233719,4043,227322,224223,0.98637,4,28,164,3968,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
37,345393,341388,4005,329937,326913,0.99083,4,29,132,236,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
38,197436,193381,4055,186401,181972,0.97624,4,32,172,2048,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
39,178479,174414,4065,168957,163867,0.96987,4,45,180,3584,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
40,243493,239467,4026,232806,222072,0.95389,4,84,140,528,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
41,334679,330675,4004,348119,331545,0.95239,4,23,112,4224,1,2,1,0,127.98,0.00,0,124,127.98,0,0,0,0,0,0
42,403955,399951,4004,413304,397035,0.96064,4,18,88,3072,1,1,0,0,127.98,0.13,1,123,127.98,0,0,0,0,0,0
43,577630,573600,4030,590787,567702,0.96093,3,16,86,3008,1,1,0,0,127.97,0.00,0,122,127.97,0,0,0,0,0,0
44,669215,665173,4042,678509,662871,0.97695,3,15,28,3584,1,1,0,0,127.98,0.00,0,121,127.98,0,0,0,0,0,0
45,628181,624175,4006,649788,621765,0.95687,3,16,28,3264,1,3,0,0,127.97,0.00,0,118,127.97,0,0,0,0,0,0
46,620858,616816,4042,627037,603580,0.96259,3,17,44,2880,1,2,0,0,127.97,0.00,0,116,127.97,0,0,0,0,0,0
47,676449,672412,4037,682726,659848,0.96649,3,16,30,2880,1,1,0,0,127.97,0.00,0,115,127.97,0,0,0,0,0,0
48,750971,746947,4024,743348,731729,0.98437,3,16,28,61,0,1,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
49,682817,678788,4029,670519,663904,0.99013,3,17,32,47,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
50,730683,726674,4009,715674,712204,0.99515,3,16,28,40,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
51,780934,776902,4032,764847,758309,0.99145,3,15,27,39,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
52,788223,784181,4042,770445,767056,0.99560,3,15,27,38,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
53,760855,756820,4035,740755,739596,0.99844,3,16,28,46,0,0,0,0,127.97,0.14,1,114,127.97,0,0,0,0,0,0
54,755977,751935,4042,733852,729313,0.99381,3,16,27,38,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
55,532521,528479,4042,572090,532690,0.93113,3,18,31,3328,1,4,1,0,127.99,0.00,0,122,127.99,0,0,0,0,0,0
