t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once
1,1170281,1166247,4034,1160713,1153089,0.99343,2,8,13,61,0,1,0,0,125.16,0.00,0,113,125.16,71716,0,0,0,0,0
2,1197228,1193195,4033,1180065,1179668,0.99966,2,8,12,21,0,0,0,0,126.34,0.00,0,113,126.35,0,0,0,0,0,0
3,1184893,1180860,4033,1161329,1156103,0.99550,2,8,12,22,0,0,0,0,127.97,0.13,1,113,127.97,0,0,0,0,0,0
4,1174087,1170051,4036,1146171,1143184,0.99739,2,9,13,21,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0
5,1172359,1168343,4016,1143229,1139604,0.99683,2,8,13,21,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0
6,1178669,1174660,4009,1148821,1145905,0.99746,2,8,12,22,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0
7,1182224,1178183,4041,1148991,1144594,0.99617,2,8,12,23,0,0,0,0,127.97,0.01,1,113,127.97,0,0,0,0,0,0
8,1150040,1146009,4031,1117409,1110564,0.99387,2,9,13,22,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0
9,1184468,1180435,4033,1148732,1145211,0.99693,2,8,12,21,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0
10,1169112,1165079,4033,1131860,1127814,0.99643,2,8,13,22,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0
11,1173369,1169333,4036,1136584,1128219,0.99264,2,8,12,21,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0
12,1142485,1138444,4041,1103684,1099776,0.99646,2,9,14,22,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0
13,639548,635511,4037,688539,642832,0.93362,2,15,26,3648,1,5,1,0,114.53,0.00,0,121,114.53,19436,0,0,0,0,0
14,696828,692787,4041,747529,689437,0.92229,2,14,25,3776,1,6,0,0,114.85,0.00,1,115,114.87,17087,0,0,0,0,0
15,877827,873795,4032,873712,863733,0.98858,2,12,22,2176,0,1,0,0,126.76,0.13,1,114,126.76,0,0,0,0,0,0
16,720101,716078,4023,710554,701431,0.98716,3,15,27,43,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
17,711126,707091,4035,699528,695929,0.99486,3,16,28,39,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
18,723287,719258,4029,709760,707013,0.99613,3,16,27,39,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
19,697840,693815,4025,684279,673655,0.98447,3,16,28,39,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
20,692675,688633,4042,680631,676416,0.99381,3,16,29,42,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
21,787466,783423,4043,773792,770422,0.99564,3,14,25,38,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
22,1108470,1104453,4017,1088972,1082540,0.99409,2,9,13,24,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
23,1147216,1143210,4006,1123864,1115458,0.99252,2,8,13,23,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
24,1140813,1136787,4026,1117078,1106433,0.99047,2,8,13,22,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
25,1169430,1165389,4041,1143093,1136220,0.99399,2,8,12,21,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
26,1164930,1160888,4042,1134902,1130409,0.99604,2,8,12,23,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
27,656429,652389,4040,706120,655273,0.92799,2,14,25,3712,1,5,1,0,121.10,0.00,0,121,121.10,16785,0,0,0,0,0
28,687659,683624,4035,734487,686375,0.93450,2,14,25,3840,1,6,0,0,95.31,0.00,0,115,95.32,18828,0,0,0,0,0
29,1127903,1123862,4041,1116670,1107475,0.99177,2,8,14,2176,0,1,0,0,108.60,0.00,0,114,108.60,0,0,0,0,0,0
30,1186172,1182130,4042,1169280,1163627,0.99517,2,8,13,24,0,0,0,0,127.81,0.00,0,114,127.82,0,0,0,0,0,0
31,1180507,1176497,4010,1161652,1156531,0.99559,2,8,13,21,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
32,1161741,1157715,4026,1140096,1136417,0.99677,2,9,13,23,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
33,1105094,1101074,4020,1079196,1074120,0.99530,2,9,15,32,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
34,1102393,1098358,4035,1072859,1071371,0.99861,2,9,16,26,0,0,0,0,127.97,0.02,1,114,127.97,0,0,0,0,0,0
35,1167669,1163637,4032,1136228,1130526,0.99498,2,8,13,21,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
36,1029530,1025489,4041,997464,994257,0.99678,2,10,18,32,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
37,1152820,1148789,4031,1110211,1108296,0.99828,2,8,13,22,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
38,1150428,1146397,4031,1104083,1097725,0.99424,2,8,13,26,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
39,1153970,1149928,4042,1113633,1106392,0.99350,2,8,13,23,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
40,1140038,1135997,4041,1104171,1097344,0.99382,2,9,13,22,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
41,647786,643773,4013,693649,649965,0.93702,2,14,26,3712,1,5,1,0,116.51,0.00,0,121,116.54,22228,0,0,0,0,0
42,672802,668794,4008,726021,671715,0.92520,2,14,25,3776,1,5,0,0,117.14,0.05,1,116,117.14,16061,0,0,0,0,0
43,1096342,1092292,4050,1096986,1071645,0.97690,2,8,14,2944,0,2,0,0,127.97,0.00,0,114,127.97,97,0,0,0,0,0
44,1173254,1169213,4041,1161103,1157629,0.99701,2,9,13,21,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
45,1158698,1154690,4008,1144117,1140916,0.99720,2,8,13,33,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
46,1171647,1167622,4025,1155794,1147253,0.99261,2,8,13,22,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
47,1177665,1173627,4038,1162330,1154717,0.99345,2,8,13,21,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
48,1149056,1145020,4036,1133808,1128659,0.99546,2,9,14,21,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
49,1171187,1167145,4042,1153286,1146620,0.99422,2,8,12,21,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
50,1162459,1158442,4017,1141104,1136704,0.99614,2,8,12,23,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
51,1171446,1167405,4041,1149278,1143675,0.99512,2,8,12,22,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0
