t,type,level,bytes
-29.930,flush_begin,0,0
-29.906,flush_end,0,6638552
-29.898,flush_begin,0,0
-29.873,flush_end,0,6638554
-29.865,flush_begin,0,0
-29.841,flush_end,0,6638553
-29.833,flush_begin,0,0
-29.808,flush_end,0,6638553
-29.800,flush_begin,0,0
-29.778,flush_end,0,6638553
-29.770,flush_begin,0,0
-29.748,flush_end,0,6638554
-29.739,flush_begin,0,0
-29.716,flush_end,0,6638552
-29.708,flush_begin,0,0
-29.685,flush_end,0,6638554
-29.677,flush_begin,0,0
-29.654,flush_end,0,6638554
-29.646,flush_begin,0,0
-29.623,flush_end,0,6638552
-29.615,flush_begin,0,0
-29.592,flush_end,0,6638553
-29.584,flush_begin,0,0
-29.561,flush_end,0,6638553
-29.553,flush_begin,0,0
-29.530,flush_end,0,6638554
-29.522,flush_begin,0,0
-29.500,flush_end,0,6638552
-29.492,flush_begin,0,0
-29.470,flush_end,0,6638554
-29.462,flush_begin,0,0
-29.440,flush_end,0,6638554
-29.422,trivial_move,3,6638552
-29.422,flush_begin,0,0
-29.400,flush_end,0,6638552
-29.382,trivial_move,3,6638554
-29.382,flush_begin,0,0
-29.360,flush_end,0,6638555
-29.341,trivial_move,3,6638553
-29.341,flush_begin,0,0
-29.320,flush_end,0,6638553
-29.302,trivial_move,3,6638553
-29.302,flush_begin,0,0
-29.280,flush_end,0,6638553
-29.261,trivial_move,3,6638553
-29.261,flush_begin,0,0
-29.239,flush_end,0,6638552
-29.221,trivial_move,3,6638554
-29.221,flush_begin,0,0
-29.198,flush_end,0,6638554
-29.180,trivial_move,3,6638552
-29.180,flush_begin,0,0
-29.158,flush_end,0,6638554
-29.140,trivial_move,3,6638554
-29.140,flush_begin,0,0
-29.118,flush_end,0,6638552
-29.100,trivial_move,3,6638554
-29.100,flush_begin,0,0
-29.079,flush_end,0,6638554
-29.060,trivial_move,3,6638552
-29.060,flush_begin,0,0
-29.038,flush_end,0,6638553
-29.020,trivial_move,3,6638553
-29.020,flush_begin,0,0
-28.998,flush_end,0,6638553
-28.977,trivial_move,3,6638553
-28.977,flush_begin,0,0
-28.955,flush_end,0,6638553
-28.937,trivial_move,3,6638554
-28.937,flush_begin,0,0
-28.915,flush_end,0,6638554
-28.897,trivial_move,3,6638552
-28.897,flush_begin,0,0
-28.876,flush_end,0,6638553
-28.858,trivial_move,3,6638554
-28.858,flush_begin,0,0
-28.836,flush_end,0,6638552
-28.818,trivial_move,3,6638554
-28.818,flush_begin,0,0
-28.796,flush_end,0,6638554
-28.778,trivial_move,3,6638552
-28.778,flush_begin,0,0
-28.755,flush_end,0,6638553
-28.737,trivial_move,3,6638555
-28.737,flush_begin,0,0
-28.716,flush_end,0,6638553
-28.697,trivial_move,3,6638553
-28.697,flush_begin,0,0
-28.675,flush_end,0,6638553
-28.657,trivial_move,3,6638553
-28.657,flush_begin,0,0
-28.636,flush_end,0,6638555
-28.617,trivial_move,3,6638552
-28.617,flush_begin,0,0
-28.596,flush_end,0,6638553
-28.578,trivial_move,3,6638554
-28.578,flush_begin,0,0
-28.555,flush_end,0,6638553
-28.538,trivial_move,3,6638554
-28.538,flush_begin,0,0
-28.516,flush_end,0,6638554
-28.498,trivial_move,3,6638552
-28.498,flush_begin,0,0
-28.475,flush_end,0,6638552
-28.457,trivial_move,3,6638554
-28.457,flush_begin,0,0
-28.435,flush_end,0,6638553
-28.415,trivial_move,3,6638553
-28.415,flush_begin,0,0
-28.394,flush_end,0,6638553
-28.376,trivial_move,3,6638553
-28.376,flush_begin,0,0
-28.355,flush_end,0,6638554
-28.336,trivial_move,3,6638553
-28.336,flush_begin,0,0
-28.315,flush_end,0,6638553
-28.297,trivial_move,3,6638554
-28.297,flush_begin,0,0
-28.276,flush_end,0,6638553
-28.258,trivial_move,3,6638553
-28.258,flush_begin,0,0
-28.236,flush_end,0,6638554
-28.218,trivial_move,3,6638552
-28.218,flush_begin,0,0
-28.195,flush_end,0,6638552
-28.177,trivial_move,3,6638554
-28.177,flush_begin,0,0
-28.155,flush_end,0,6638554
-28.138,trivial_move,3,6638553
-28.138,flush_begin,0,0
-28.116,flush_end,0,6638553
-28.098,trivial_move,3,6638553
-28.098,flush_begin,0,0
-28.080,flush_end,0,6638553
-28.060,trivial_move,3,6638553
-28.060,flush_begin,0,0
-28.040,flush_end,0,6638553
-28.022,trivial_move,3,6638555
-28.022,flush_begin,0,0
-28.003,flush_end,0,6638553
-27.984,trivial_move,3,6638553
-27.984,flush_begin,0,0
-27.965,flush_end,0,6638555
-27.947,trivial_move,3,6638553
-27.947,flush_begin,0,0
-27.930,flush_end,0,6638552
-27.912,trivial_move,3,6638554
-27.912,flush_begin,0,0
-27.892,flush_end,0,6638554
-27.874,trivial_move,3,6638552
-27.874,flush_begin,0,0
-27.854,flush_end,0,6638553
-27.836,trivial_move,3,6638553
-27.836,flush_begin,0,0
-27.817,flush_end,0,6638553
-27.798,trivial_move,3,6638553
-27.798,flush_begin,0,0
