t,type,level,bytes
-29.928,flush_begin,0,0
-29.909,flush_end,0,6638552
-29.900,flush_begin,0,0
-29.882,flush_end,0,6638554
-29.873,flush_begin,0,0
-29.855,flush_end,0,6638553
-29.845,flush_begin,0,0
-29.829,flush_end,0,6638553
-29.817,flush_begin,0,0
-29.800,flush_end,0,6638553
-29.791,flush_begin,0,0
-29.774,flush_end,0,6638554
-29.764,flush_begin,0,0
-29.747,flush_end,0,6638552
-29.738,flush_begin,0,0
-29.721,flush_end,0,6638554
-29.711,flush_begin,0,0
-29.693,flush_end,0,6638554
-29.684,flush_begin,0,0
-29.667,flush_end,0,6638552
-29.659,flush_begin,0,0
-29.640,flush_end,0,6638553
-29.631,flush_begin,0,0
-29.615,flush_end,0,6638553
-29.605,flush_begin,0,0
-29.587,flush_end,0,6638554
-29.578,flush_begin,0,0
-29.561,flush_end,0,6638552
-29.552,flush_begin,0,0
-29.535,flush_end,0,6638554
-29.526,flush_begin,0,0
-29.510,flush_end,0,6638554
-29.495,trivial_move,3,6638552
-29.495,flush_begin,0,0
-29.479,flush_end,0,6638552
-29.463,trivial_move,3,6638554
-29.462,flush_begin,0,0
-29.445,flush_end,0,6638555
-29.428,trivial_move,3,6638553
-29.428,flush_begin,0,0
-29.411,flush_end,0,6638553
-29.393,trivial_move,3,6638553
-29.393,flush_begin,0,0
-29.376,flush_end,0,6638553
-29.367,flush_begin,0,0
-29.350,flush_end,0,6638552
-29.332,trivial_move,3,6638553
-29.332,flush_begin,0,0
-29.315,flush_end,0,6638554
-29.299,trivial_move,3,6638554
-29.288,trivial_move,3,6638552
-29.288,flush_begin,0,0
-29.270,flush_end,0,6638554
-29.255,trivial_move,3,6638554
-29.255,flush_begin,0,0
-29.237,flush_end,0,6638552
-29.222,trivial_move,3,6638554
-29.221,flush_begin,0,0
-29.203,flush_end,0,6638554
-29.187,trivial_move,3,6638552
-29.187,flush_begin,0,0
-29.170,flush_end,0,6638553
-29.151,trivial_move,3,6638553
-29.151,flush_begin,0,0
-29.134,flush_end,0,6638553
-29.119,trivial_move,3,6638553
-29.118,flush_begin,0,0
-29.099,flush_end,0,6638553
-29.084,trivial_move,3,6638554
-29.083,flush_begin,0,0
-29.066,flush_end,0,6638554
-29.050,trivial_move,3,6638552
-29.049,flush_begin,0,0
-29.030,flush_end,0,6638553
-29.013,trivial_move,3,6638554
-29.013,flush_begin,0,0
-28.995,flush_end,0,6638552
-28.979,trivial_move,3,6638554
-28.979,flush_begin,0,0
-28.961,flush_end,0,6638554
-28.945,trivial_move,3,6638552
-28.944,flush_begin,0,0
-28.927,flush_end,0,6638553
-28.911,trivial_move,3,6638555
-28.910,flush_begin,0,0
-28.893,flush_end,0,6638553
-28.877,trivial_move,3,6638553
-28.876,flush_begin,0,0
-28.859,flush_end,0,6638553
-28.844,trivial_move,3,6638553
-28.843,flush_begin,0,0
-28.826,flush_end,0,6638555
-28.811,trivial_move,3,6638552
-28.811,flush_begin,0,0
-28.793,flush_end,0,6638553
-28.778,trivial_move,3,6638554
-28.778,flush_begin,0,0
-28.761,flush_end,0,6638553
-28.745,trivial_move,3,6638554
-28.745,flush_begin,0,0
-28.726,flush_end,0,6638554
-28.711,trivial_move,3,6638552
-28.709,flush_begin,0,0
-28.692,flush_end,0,6638552
-28.677,trivial_move,3,6638554
-28.675,flush_begin,0,0
-28.658,flush_end,0,6638553
-28.643,trivial_move,3,6638553
-28.641,flush_begin,0,0
-28.624,flush_end,0,6638553
-28.608,trivial_move,3,6638553
-28.607,flush_begin,0,0
-28.590,flush_end,0,6638554
-28.575,trivial_move,3,6638553
-28.574,flush_begin,0,0
-28.558,flush_end,0,6638553
-28.542,trivial_move,3,6638554
-28.541,flush_begin,0,0
-28.525,flush_end,0,6638553
-28.508,trivial_move,3,6638553
-28.508,flush_begin,0,0
-28.491,flush_end,0,6638554
-28.475,trivial_move,3,6638552
-28.474,flush_begin,0,0
-28.458,flush_end,0,6638552
-28.440,trivial_move,3,6638554
-28.440,flush_begin,0,0
-28.422,flush_end,0,6638554
-28.404,trivial_move,3,6638553
-28.404,flush_begin,0,0
-28.387,flush_end,0,6638553
-28.369,trivial_move,3,6638553
-28.369,flush_begin,0,0
-28.352,flush_end,0,6638553
-28.336,trivial_move,3,6638553
-28.336,flush_begin,0,0
-28.320,flush_end,0,6638553
-28.304,trivial_move,3,6638555
-28.303,flush_begin,0,0
-28.287,flush_end,0,6638553
-28.271,trivial_move,3,6638553
-28.271,flush_begin,0,0
-28.254,flush_end,0,6638555
-28.238,trivial_move,3,6638553
-28.237,flush_begin,0,0
-28.221,flush_end,0,6638552
-28.205,trivial_move,3,6638554
-28.204,flush_begin,0,0
-28.187,flush_end,0,6638554
-28.169,trivial_move,3,6638552
-28.169,flush_begin,0,0
-28.152,flush_end,0,6638553
-28.136,trivial_move,3,6638553
-28.136,flush_begin,0,0
-28.119,flush_end,0,6638553
-28.103,trivial_move,3,6638553
-28.102,flush_begin,0,0
-28.085,flush_end,0,6638554
-28.070,trivial_move,3,6638554
-28.069,flush_begin,0,0
-28.053,flush_end,0,6638553
-28.037,trivial_move,3,6638553
