t,type,level,bytes
-29.942,flush_begin,0,0
-29.922,flush_end,0,6638552
-29.913,flush_begin,0,0
-29.893,flush_end,0,6638554
-29.884,flush_begin,0,0
-29.864,flush_end,0,6638553
-29.855,flush_begin,0,0
-29.836,flush_end,0,6638553
-29.828,flush_begin,0,0
-29.808,flush_end,0,6638553
-29.799,flush_begin,0,0
-29.781,flush_end,0,6638554
-29.772,flush_begin,0,0
-29.753,flush_end,0,6638552
-29.745,flush_begin,0,0
-29.727,flush_end,0,6638554
-29.719,flush_begin,0,0
-29.699,flush_end,0,6638554
-29.690,flush_begin,0,0
-29.672,flush_end,0,6638552
-29.663,flush_begin,0,0
-29.645,flush_end,0,6638553
-29.636,flush_begin,0,0
-29.619,flush_end,0,6638553
-29.610,flush_begin,0,0
-29.592,flush_end,0,6638554
-29.583,flush_begin,0,0
-29.565,flush_end,0,6638552
-29.556,flush_begin,0,0
-29.538,flush_end,0,6638554
-29.530,flush_begin,0,0
-29.512,flush_end,0,6638554
-29.495,trivial_move,3,6638552
-29.495,flush_begin,0,0
-29.477,flush_end,0,6638552
-29.459,trivial_move,3,6638554
-29.459,flush_begin,0,0
-29.440,flush_end,0,6638555
-29.422,trivial_move,3,6638553
-29.422,flush_begin,0,0
-29.402,flush_end,0,6638553
-29.384,trivial_move,3,6638553
-29.384,flush_begin,0,0
-29.365,flush_end,0,6638553
-29.347,trivial_move,3,6638553
-29.347,flush_begin,0,0
-29.327,flush_end,0,6638552
-29.309,trivial_move,3,6638554
-29.309,flush_begin,0,0
-29.289,flush_end,0,6638554
-29.270,trivial_move,3,6638552
-29.270,flush_begin,0,0
-29.250,flush_end,0,6638554
-29.232,trivial_move,3,6638554
-29.232,flush_begin,0,0
-29.212,flush_end,0,6638552
-29.194,trivial_move,3,6638554
-29.194,flush_begin,0,0
-29.175,flush_end,0,6638554
-29.157,trivial_move,3,6638552
-29.157,flush_begin,0,0
-29.138,flush_end,0,6638553
-29.120,trivial_move,3,6638553
-29.120,flush_begin,0,0
-29.101,flush_end,0,6638553
-29.083,trivial_move,3,6638553
-29.083,flush_begin,0,0
-29.062,flush_end,0,6638553
-29.045,trivial_move,3,6638554
-29.045,flush_begin,0,0
-29.026,flush_end,0,6638554
-29.008,trivial_move,3,6638552
-29.008,flush_begin,0,0
-28.987,flush_end,0,6638553
-28.968,trivial_move,3,6638554
-28.968,flush_begin,0,0
-28.948,flush_end,0,6638552
-28.928,trivial_move,3,6638554
-28.928,flush_begin,0,0
-28.907,flush_end,0,6638554
-28.889,trivial_move,3,6638552
-28.889,flush_begin,0,0
-28.869,flush_end,0,6638553
-28.849,trivial_move,3,6638555
-28.849,flush_begin,0,0
-28.828,flush_end,0,6638553
-28.810,trivial_move,3,6638553
-28.810,flush_begin,0,0
-28.789,flush_end,0,6638553
-28.770,trivial_move,3,6638553
-28.770,flush_begin,0,0
-28.750,flush_end,0,6638555
-28.732,trivial_move,3,6638552
-28.732,flush_begin,0,0
-28.711,flush_end,0,6638553
-28.693,trivial_move,3,6638554
-28.693,flush_begin,0,0
-28.666,flush_end,0,6638553
-28.650,trivial_move,3,6638554
-28.650,flush_begin,0,0
-28.632,flush_end,0,6638554
-28.614,trivial_move,3,6638552
-28.614,flush_begin,0,0
-28.595,flush_end,0,6638552
-28.576,trivial_move,3,6638554
-28.576,flush_begin,0,0
-28.557,flush_end,0,6638553
-28.540,trivial_move,3,6638553
-28.540,flush_begin,0,0
-28.522,flush_end,0,6638553
-28.504,trivial_move,3,6638553
-28.504,flush_begin,0,0
-28.486,flush_end,0,6638554
-28.468,trivial_move,3,6638553
-28.468,flush_begin,0,0
-28.448,flush_end,0,6638553
-28.430,trivial_move,3,6638554
-28.430,flush_begin,0,0
-28.411,flush_end,0,6638553
-28.393,trivial_move,3,6638553
-28.393,flush_begin,0,0
-28.373,flush_end,0,6638554
-28.356,trivial_move,3,6638552
-28.356,flush_begin,0,0
-28.337,flush_end,0,6638552
-28.318,trivial_move,3,6638554
-28.318,flush_begin,0,0
-28.298,flush_end,0,6638554
-28.280,trivial_move,3,6638553
-28.280,flush_begin,0,0
-28.260,flush_end,0,6638553
-28.242,trivial_move,3,6638553
-28.242,flush_begin,0,0
-28.222,flush_end,0,6638553
-28.203,trivial_move,3,6638553
-28.203,flush_begin,0,0
-28.182,flush_end,0,6638553
-28.163,trivial_move,3,6638555
-28.163,flush_begin,0,0
-28.143,flush_end,0,6638553
-28.126,trivial_move,3,6638553
-28.126,flush_begin,0,0
-28.105,flush_end,0,6638555
-28.087,trivial_move,3,6638553
-28.087,flush_begin,0,0
-28.067,flush_end,0,6638552
-28.047,trivial_move,3,6638554
-28.047,flush_begin,0,0
-28.027,flush_end,0,6638554
-28.009,trivial_move,3,6638552
-28.009,flush_begin,0,0
-27.989,flush_end,0,6638553
-27.971,trivial_move,3,6638553
-27.971,flush_begin,0,0
-27.952,flush_end,0,6638553
-27.934,trivial_move,3,6638553
-27.934,flush_begin,0,0
-27.913,flush_end,0,6638554
-27.894,trivial_move,3,6638554
-27.894,flush_begin,0,0
-27.874,flush_end,0,6638553
-27.857,trivial_move,3,6638553
-27.857,flush_begin,0,0
-27.836,flush_end,0,6638553
-27.818,trivial_move,3,6638553
-27.818,flush_begin,0,0
-27.798,flush_end,0,6638552
-27.778,trivial_move,3,6638554
-27.778,flush_begin,0,0
-27.758,flush_end,0,6638554
-27.739,trivial_move,3,6638552
-27.739,flush_begin,0,0
-27.720,flush_end,0,6638553
-27.700,trivial_move,3,6638554
-27.700,flush_begin,0,0
-27.681,flush_end,0,6638553
-27.663,trivial_move,3,6638553
-27.663,flush_begin,0,0
-27.643,flush_end,0,6638554
-27.623,trivial_move,3,6638553
-27.623,flush_begin,0,0
-27.603,flush_end,0,6638553
-27.584,trivial_move,3,6638553
-27.584,flush_begin,0,0
-27.563,flush_end,0,6638553
-27.545,trivial_move,3,6638553
-27.545,flush_begin,0,0
-27.526,flush_end,0,6638553
-27.508,trivial_move,3,6638555
-27.508,flush_begin,0,0
-27.488,flush_end,0,6638554
-27.471,trivial_move,3,6638552
-27.471,flush_begin,0,0
-27.453,flush_end,0,6638552
-27.437,trivial_move,3,6638554
-27.437,flush_begin,0,0
-27.430,flush_end,0,1164547
-27.422,compaction_begin,2,0
-27.385,compaction_end,2,6638145
-27.377,compaction_begin,2,0
-27.343,compaction_end,2,6638145
-27.334,compaction_begin,2,0
-27.301,compaction_end,2,6638146
-27.292,compaction_begin,2,0
-27.259,compaction_end,2,6638145
-27.250,compaction_begin,2,0
-27.217,compaction_end,2,6638145
-27.208,compaction_begin,2,0
-27.175,compaction_end,2,6638144
-27.166,compaction_begin,2,0
-27.134,compaction_end,2,6638146
-27.125,compaction_begin,2,0
-27.093,compaction_end,2,6638145
-27.084,compaction_begin,2,0
-27.051,compaction_end,2,6638145
-27.042,compaction_begin,2,0
-27.009,compaction_end,2,6638146
-27.000,compaction_begin,2,0
-26.967,compaction_end,2,6638145
-26.958,compaction_begin,2,0
-26.925,compaction_end,2,6638145
-26.916,compaction_begin,2,0
-26.883,compaction_end,2,6638145
-26.874,compaction_begin,2,0
-26.841,compaction_end,2,6638146
-26.832,compaction_begin,2,0
-26.799,compaction_end,2,6638144
-26.790,compaction_begin,2,0
-26.782,compaction_end,2,1164547
-12.657,flush_begin,0,0
-12.632,flush_end,0,6622814
-12.624,compaction_begin,1,0
-12.544,compaction_end,1,6543435
-12.535,compaction_begin,2,0
-12.236,compaction_end,2,46468050
-12.225,compaction_begin,2,0
-11.955,compaction_end,2,42178895
-11.944,compaction_begin,2,0
-11.640,compaction_end,2,46468049
-11.630,compaction_begin,2,0
-11.337,compaction_end,2,44118863
-11.327,compaction_begin,2,0
-11.067,compaction_end,2,39829709
-11.057,compaction_begin,2,0
-10.842,compaction_end,2,33191398
-10.832,compaction_begin,2,0
-10.512,compaction_end,2,46468047
-10.500,compaction_begin,2,0
-10.482,compaction_end,2,2482491
-10.474,compaction_begin,2,0
-10.171,compaction_end,2,46468050
-9.860,compaction_begin,2,0
-9.554,compaction_end,2,46468049
-5.489,compaction_begin,2,0
-5.264,compaction_end,2,33191398
1.459,flush_begin,0,0
1.486,flush_end,0,6623959
1.494,compaction_begin,1,0
1.575,compaction_end,1,6552873
1.584,compaction_begin,2,0
1.854,compaction_end,2,42179010
1.865,compaction_begin,2,0
2.135,compaction_end,2,42179011
2.146,compaction_begin,2,0
2.421,compaction_end,2,42890503
2.431,compaction_begin,2,0
2.726,compaction_end,2,45239611
2.736,compaction_begin,2,0
3.008,compaction_end,2,42179011
3.019,compaction_begin,2,0
3.301,compaction_end,2,43300039
3.312,compaction_begin,2,0
3.555,compaction_end,2,37889972
3.567,compaction_begin,2,0
3.855,compaction_end,2,43407423
3.866,compaction_begin,2,0
4.141,compaction_end,2,42179009
4.151,compaction_begin,2,0
4.418,compaction_end,2,42179010
4.428,compaction_begin,2,0
4.641,compaction_end,2,33129660
15.575,flush_begin,0,0
15.600,flush_end,0,6621482
15.612,compaction_begin,1,0
15.689,compaction_end,1,6520834
15.698,compaction_begin,2,0
15.946,compaction_end,2,39118499
15.956,compaction_begin,2,0
16.242,compaction_end,2,42890390
16.254,compaction_begin,2,0
16.572,compaction_end,2,44528185
16.584,compaction_begin,2,0
16.820,compaction_end,2,34437132
16.830,compaction_begin,2,0
17.108,compaction_end,2,42179009
17.119,compaction_begin,2,0
17.393,compaction_end,2,42179010
17.403,compaction_begin,2,0
17.685,compaction_end,2,42890503
17.696,compaction_begin,2,0
17.965,compaction_end,2,42179011
17.976,compaction_begin,2,0
18.250,compaction_end,2,42179011
18.260,compaction_begin,2,0
18.549,compaction_end,2,43299925
18.561,compaction_begin,2,0
18.814,compaction_end,2,37889971
29.691,flush_begin,0,0
29.717,flush_end,0,6626515
29.726,compaction_begin,1,0
29.809,compaction_end,1,6565189
29.818,compaction_begin,2,0
30.108,compaction_end,2,43299926
30.119,compaction_begin,2,0
30.416,compaction_end,2,42890390
30.426,compaction_begin,2,0
30.730,compaction_end,2,44528187
30.741,compaction_begin,2,0
31.003,compaction_end,2,38601352
31.014,compaction_begin,2,0
31.201,compaction_end,2,27171382
31.211,compaction_begin,2,0
31.482,compaction_end,2,42179009
31.493,compaction_begin,2,0
31.762,compaction_end,2,42179010
31.773,compaction_begin,2,0
32.038,compaction_end,2,42179011
32.049,compaction_begin,2,0
