t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended
1,650038,646016,4022,680188,643312,0.94579,3,15,26,3904,1,3,0,0,124.61,0.00,0,115,124.61,91229,114296,29925,0
2,939132,935116,4016,934770,923362,0.98780,2,10,18,2688,0,2,0,0,124.79,0.00,1,113,124.79,1181,114296,29925,0
3,1016750,1012728,4022,996239,990820,0.99456,2,10,15,26,0,0,0,0,127.97,0.00,0,113,127.97,0,114296,29925,0
4,1027394,1023376,4018,1003145,1000621,0.99748,2,10,16,24,0,0,0,0,127.97,0.00,0,113,127.97,0,114296,29925,0
5,1014471,1010454,4017,989090,984923,0.99579,2,10,16,25,0,0,0,0,127.97,0.00,0,113,127.97,0,114296,29925,0
6,1014086,1010063,4023,987969,985517,0.99752,2,10,15,26,0,0,0,0,127.97,0.00,0,113,127.97,0,114296,29925,0
7,950167,946160,4007,922656,918420,0.99541,2,10,17,28,0,0,0,0,127.97,0.00,0,113,127.97,0,114296,29925,0
8,908225,904222,4003,881874,875221,0.99246,3,11,17,30,0,0,0,0,127.97,0.00,0,113,127.97,0,114296,29925,0
9,879541,875528,4013,851737,847509,0.99504,3,12,19,32,0,0,0,0,127.97,0.00,0,113,127.97,0,114296,29925,0
10,953078,949056,4022,921903,918269,0.99606,2,10,16,28,0,0,0,0,127.97,0.00,0,113,127.97,0,114296,29925,0
11,924633,920624,4009,894597,886663,0.99113,2,11,18,32,0,0,0,0,127.97,0.00,0,113,127.97,0,114296,29925,0
12,1001884,997863,4021,967649,963870,0.99609,2,10,15,25,0,0,0,0,127.97,0.00,0,113,127.97,0,114296,29925,0
13,651932,647919,4013,675330,647059,0.95814,3,15,27,3456,1,3,1,0,122.97,0.00,0,122,122.98,14006,115865,31494,0
14,611855,607846,4009,643940,607402,0.94326,3,16,28,3392,1,4,0,0,122.56,0.00,0,119,122.62,10622,115865,31494,0
15,647568,643552,4016,676765,638175,0.94298,3,16,27,3392,1,3,0,0,124.64,0.00,0,116,124.64,8857,115865,31494,0
16,862016,857989,4027,864902,845632,0.97772,2,11,21,2944,0,2,0,0,127.97,0.00,0,114,127.97,2051,115865,31494,0
17,997271,993249,4022,983653,980254,0.99654,2,10,16,27,0,0,0,0,127.97,0.00,0,114,127.97,0,115865,31494,0
18,993689,989681,4008,977012,974407,0.99733,2,10,16,27,0,0,0,0,127.97,0.00,0,114,127.97,0,115865,31494,0
19,946057,942042,4015,929173,918874,0.98892,2,10,16,25,0,0,0,0,127.97,0.00,0,114,127.97,0,115865,31494,0
20,947358,943337,4021,932097,927815,0.99541,2,10,16,26,0,0,0,0,127.97,0.00,0,114,127.97,0,115865,31494,0
