t,type,level,bytes
-29.814,flush_begin,0,0
-29.799,flush_end,0,6638552
-29.789,flush_begin,0,0
-29.774,flush_end,0,6638554
-29.764,flush_begin,0,0
-29.749,flush_end,0,6638553
-29.740,flush_begin,0,0
-29.724,flush_end,0,6638553
-29.715,flush_begin,0,0
-29.699,flush_end,0,6638553
-29.689,flush_begin,0,0
-29.673,flush_end,0,6638554
-29.663,flush_begin,0,0
-29.648,flush_end,0,6638552
-29.638,flush_begin,0,0
-29.623,flush_end,0,6638554
-29.613,flush_begin,0,0
-29.597,flush_end,0,6638554
-29.587,flush_begin,0,0
-29.570,flush_end,0,6638552
-29.560,flush_begin,0,0
-29.544,flush_end,0,6638553
-29.534,flush_begin,0,0
-29.517,flush_end,0,6638553
-29.507,flush_begin,0,0
-29.492,flush_end,0,6638554
-29.482,flush_begin,0,0
-29.465,flush_end,0,6638552
-29.455,flush_begin,0,0
-29.439,flush_end,0,6638554
-29.430,flush_begin,0,0
-29.413,flush_end,0,6638554
-29.397,trivial_move,3,6638552
-29.396,flush_begin,0,0
-29.380,flush_end,0,6638552
-29.364,trivial_move,3,6638554
-29.363,flush_begin,0,0
-29.346,flush_end,0,6638555
-29.330,trivial_move,3,6638553
-29.329,flush_begin,0,0
-29.313,flush_end,0,6638553
-29.297,trivial_move,3,6638553
-29.296,flush_begin,0,0
-29.280,flush_end,0,6638553
-29.266,trivial_move,3,6638553
-29.265,flush_begin,0,0
-29.249,flush_end,0,6638552
-29.233,trivial_move,3,6638554
-29.232,flush_begin,0,0
-29.216,flush_end,0,6638554
-29.200,trivial_move,3,6638552
-29.199,flush_begin,0,0
-29.182,flush_end,0,6638554
-29.167,trivial_move,3,6638554
-29.166,flush_begin,0,0
-29.149,flush_end,0,6638552
-29.133,trivial_move,3,6638554
-29.132,flush_begin,0,0
-29.114,flush_end,0,6638554
-29.099,trivial_move,3,6638552
-29.097,flush_begin,0,0
-29.080,flush_end,0,6638553
-29.065,trivial_move,3,6638553
-29.064,flush_begin,0,0
-29.046,flush_end,0,6638553
-29.030,trivial_move,3,6638553
-29.028,flush_begin,0,0
-29.010,flush_end,0,6638553
-28.995,trivial_move,3,6638554
-28.994,flush_begin,0,0
-28.977,flush_end,0,6638554
-28.961,trivial_move,3,6638552
-28.960,flush_begin,0,0
-28.943,flush_end,0,6638553
-28.927,trivial_move,3,6638554
-28.926,flush_begin,0,0
-28.910,flush_end,0,6638552
-28.897,trivial_move,3,6638554
-28.896,flush_begin,0,0
-28.879,flush_end,0,6638554
-28.863,trivial_move,3,6638552
-28.862,flush_begin,0,0
-28.845,flush_end,0,6638553
-28.830,trivial_move,3,6638555
-28.829,flush_begin,0,0
-28.811,flush_end,0,6638553
-28.795,trivial_move,3,6638553
-28.794,flush_begin,0,0
-28.777,flush_end,0,6638553
-28.761,trivial_move,3,6638553
-28.760,flush_begin,0,0
-28.743,flush_end,0,6638555
-28.727,trivial_move,3,6638552
-28.726,flush_begin,0,0
-28.709,flush_end,0,6638553
-28.693,trivial_move,3,6638554
-28.692,flush_begin,0,0
-28.675,flush_end,0,6638553
-28.659,trivial_move,3,6638554
-28.658,flush_begin,0,0
-28.641,flush_end,0,6638554
-28.625,trivial_move,3,6638552
-28.624,flush_begin,0,0
-28.607,flush_end,0,6638552
-28.591,trivial_move,3,6638554
-28.590,flush_begin,0,0
-28.572,flush_end,0,6638553
-28.556,trivial_move,3,6638553
-28.555,flush_begin,0,0
-28.538,flush_end,0,6638553
-28.522,trivial_move,3,6638553
-28.521,flush_begin,0,0
-28.503,flush_end,0,6638554
-28.487,trivial_move,3,6638553
-28.485,flush_begin,0,0
-28.469,flush_end,0,6638553
-28.453,trivial_move,3,6638554
-28.452,flush_begin,0,0
-28.435,flush_end,0,6638553
-28.419,trivial_move,3,6638553
-28.418,flush_begin,0,0
-28.401,flush_end,0,6638554
-28.385,trivial_move,3,6638552
-28.384,flush_begin,0,0
-28.367,flush_end,0,6638552
-28.352,trivial_move,3,6638554
-28.351,flush_begin,0,0
-28.334,flush_end,0,6638554
-28.318,trivial_move,3,6638553
-28.317,flush_begin,0,0
-28.301,flush_end,0,6638553
-28.285,trivial_move,3,6638553
-28.284,flush_begin,0,0
-28.266,flush_end,0,6638553
-28.250,trivial_move,3,6638553
-28.249,flush_begin,0,0
-28.232,flush_end,0,6638553
-28.216,trivial_move,3,6638555
-28.215,flush_begin,0,0
-28.197,flush_end,0,6638553
-28.181,trivial_move,3,6638553
