t,type,level,bytes
-29.899,flush_begin,0,0
-29.883,flush_end,0,6638552
-29.874,flush_begin,0,0
-29.859,flush_end,0,6638554
-29.850,flush_begin,0,0
-29.834,flush_end,0,6638553
-29.825,flush_begin,0,0
-29.810,flush_end,0,6638553
-29.801,flush_begin,0,0
-29.785,flush_end,0,6638553
-29.776,flush_begin,0,0
-29.760,flush_end,0,6638554
-29.752,flush_begin,0,0
-29.736,flush_end,0,6638552
-29.727,flush_begin,0,0
-29.711,flush_end,0,6638554
-29.702,flush_begin,0,0
-29.686,flush_end,0,6638554
-29.677,flush_begin,0,0
-29.662,flush_end,0,6638552
-29.653,flush_begin,0,0
-29.637,flush_end,0,6638553
-29.629,flush_begin,0,0
-29.614,flush_end,0,6638553
-29.605,flush_begin,0,0
-29.590,flush_end,0,6638554
-29.581,flush_begin,0,0
-29.566,flush_end,0,6638552
-29.557,flush_begin,0,0
-29.542,flush_end,0,6638554
-29.533,flush_begin,0,0
-29.518,flush_end,0,6638554
-29.500,trivial_move,3,6638552
-29.500,flush_begin,0,0
-29.483,flush_end,0,6638552
-29.465,trivial_move,3,6638554
-29.465,flush_begin,0,0
-29.448,flush_end,0,6638555
-29.431,trivial_move,3,6638553
-29.431,flush_begin,0,0
-29.413,flush_end,0,6638553
-29.404,flush_begin,0,0
-29.388,flush_end,0,6638553
-29.379,flush_begin,0,0
-29.363,flush_end,0,6638552
-29.355,flush_begin,0,0
-29.339,flush_end,0,6638554
-29.331,flush_begin,0,0
-29.315,flush_end,0,6638554
-29.307,flush_begin,0,0
-29.291,flush_end,0,6638552
-29.273,trivial_move,3,6638553
-29.273,flush_begin,0,0
-29.256,flush_end,0,6638554
-29.239,trivial_move,3,6638553
-29.239,flush_begin,0,0
-29.222,flush_end,0,6638553
-29.205,trivial_move,3,6638554
-29.205,flush_begin,0,0
-29.188,flush_end,0,6638553
-29.168,trivial_move,3,6638552
-29.168,flush_begin,0,0
-29.151,flush_end,0,6638553
-29.142,flush_begin,0,0
-29.126,flush_end,0,6638554
-29.109,trivial_move,3,6638554
-29.109,flush_begin,0,0
-29.092,flush_end,0,6638553
-29.075,trivial_move,3,6638554
-29.075,flush_begin,0,0
-29.057,flush_end,0,6638552
-29.039,trivial_move,3,6638552
-29.039,flush_begin,0,0
-29.022,flush_end,0,6638554
-29.004,trivial_move,3,6638553
-29.004,flush_begin,0,0
-28.985,flush_end,0,6638553
-28.968,trivial_move,3,6638553
-28.968,flush_begin,0,0
-28.950,flush_end,0,6638553
-28.931,trivial_move,3,6638554
-28.931,flush_begin,0,0
-28.913,flush_end,0,6638553
-28.896,trivial_move,3,6638552
-28.896,flush_begin,0,0
-28.879,flush_end,0,6638555
-28.860,trivial_move,3,6638554
-28.860,flush_begin,0,0
-28.843,flush_end,0,6638553
-28.825,trivial_move,3,6638554
-28.825,flush_begin,0,0
-28.808,flush_end,0,6638553
-28.790,trivial_move,3,6638552
-28.790,flush_begin,0,0
-28.772,flush_end,0,6638554
-28.754,trivial_move,3,6638555
-28.754,flush_begin,0,0
-28.735,flush_end,0,6638552
-28.717,trivial_move,3,6638553
-28.717,flush_begin,0,0
-28.699,flush_end,0,6638553
-28.681,trivial_move,3,6638553
-28.681,flush_begin,0,0
-28.662,flush_end,0,6638553
-28.644,trivial_move,3,6638552
-28.644,flush_begin,0,0
-28.627,flush_end,0,6638554
-28.608,trivial_move,3,6638554
-28.608,flush_begin,0,0
-28.590,flush_end,0,6638553
-28.573,trivial_move,3,6638554
-28.573,flush_begin,0,0
-28.555,flush_end,0,6638553
-28.536,trivial_move,3,6638552
-28.536,flush_begin,0,0
-28.517,flush_end,0,6638554
-28.499,trivial_move,3,6638554
-28.499,flush_begin,0,0
-28.481,flush_end,0,6638552
-28.465,trivial_move,3,6638553
-28.455,trivial_move,3,6638553
-28.455,flush_begin,0,0
-28.438,flush_end,0,6638554
-28.429,flush_begin,0,0
-28.412,flush_end,0,6638553
-28.392,trivial_move,3,6638553
-28.392,flush_begin,0,0
-28.375,flush_end,0,6638553
-28.367,flush_begin,0,0
-28.350,flush_end,0,6638553
-28.341,flush_begin,0,0
-28.325,flush_end,0,6638553
-28.316,flush_begin,0,0
-28.299,flush_end,0,6638555
-28.290,flush_begin,0,0
-28.274,flush_end,0,6638552
-28.265,flush_begin,0,0
-28.249,flush_end,0,6638554
-28.231,trivial_move,3,6638554
-28.231,flush_begin,0,0
-28.214,flush_end,0,6638553
-28.196,trivial_move,3,6638553
-28.196,flush_begin,0,0
-28.179,flush_end,0,6638553
-28.161,trivial_move,3,6638552
-28.161,flush_begin,0,0
-28.144,flush_end,0,6638554
-28.125,trivial_move,3,6638554
-28.125,flush_begin,0,0
-28.108,flush_end,0,6638553
-28.090,trivial_move,3,6638553
-28.090,flush_begin,0,0
-28.073,flush_end,0,6638553
-28.055,trivial_move,3,6638553
-28.055,flush_begin,0,0
-28.038,flush_end,0,6638552
-28.020,trivial_move,3,6638553
-28.020,flush_begin,0,0
-28.002,flush_end,0,6638554
-27.984,trivial_move,3,6638555
-27.984,flush_begin,0,0
-27.967,flush_end,0,6638553
-27.949,trivial_move,3,6638553
-27.949,flush_begin,0,0
-27.931,flush_end,0,6638553
-27.913,trivial_move,3,6638553
-27.913,flush_begin,0,0
-27.896,flush_end,0,6638554
-27.887,flush_begin,0,0
-27.870,flush_end,0,6638553
-27.862,flush_begin,0,0
-27.846,flush_end,0,6638553
-27.827,trivial_move,3,6638554
-27.827,flush_begin,0,0
-27.809,flush_end,0,6638553
-27.801,flush_begin,0,0
-27.784,flush_end,0,6638554
-27.765,trivial_move,3,6638552
-27.765,flush_begin,0,0
-27.747,flush_end,0,6638552
-27.727,trivial_move,3,6638553
-27.727,flush_begin,0,0
-27.709,flush_end,0,6638554
-27.689,trivial_move,3,6638553
-27.689,flush_begin,0,0
-27.670,flush_end,0,6638554
-27.653,trivial_move,3,6638554
-27.653,flush_begin,0,0
-27.633,flush_end,0,6638553
-27.615,trivial_move,3,6638553
-27.615,flush_begin,0,0
-27.598,flush_end,0,6638553
-27.575,trivial_move,3,6638553
-27.575,flush_begin,0,0
-27.557,flush_end,0,6638553
-27.540,trivial_move,3,6638554
-27.540,flush_begin,0,0
-27.523,flush_end,0,6638554
-27.505,trivial_move,3,6638552
-27.505,flush_begin,0,0
-27.486,flush_end,0,6638552
-27.469,trivial_move,3,6638554
-27.469,flush_begin,0,0
-27.451,flush_end,0,6638554
-27.434,trivial_move,3,6638553
-27.434,flush_begin,0,0
-27.416,flush_end,0,6638554
-27.407,flush_begin,0,0
-27.391,flush_end,0,6638552
-27.372,trivial_move,3,6638553
-27.372,flush_begin,0,0
-27.355,flush_end,0,6638553
-27.337,trivial_move,3,6638553
-27.337,flush_begin,0,0
-27.319,flush_end,0,6638553
-27.302,trivial_move,3,6638553
-27.302,flush_begin,0,0
-27.284,flush_end,0,6638554
-27.267,trivial_move,3,6638555
-27.267,flush_begin,0,0
-27.250,flush_end,0,6638552
-27.231,trivial_move,3,6638552
-27.231,flush_begin,0,0
-27.214,flush_end,0,6638554
-27.195,trivial_move,3,6638554
-27.195,flush_begin,0,0
-27.177,flush_end,0,6638554
-27.159,trivial_move,3,6638553
-27.159,flush_begin,0,0
-27.141,flush_end,0,6638552
-27.123,trivial_move,3,6638553
-27.123,flush_begin,0,0
-27.105,flush_end,0,6638555
-27.087,trivial_move,3,6638554
-27.087,flush_begin,0,0
-27.070,flush_end,0,6638553
-27.051,trivial_move,3,6638553
-27.051,flush_begin,0,0
-27.034,flush_end,0,6638553
-27.016,trivial_move,3,6638553
-27.016,flush_begin,0,0
-26.998,flush_end,0,6638552
-26.980,trivial_move,3,6638552
-26.980,flush_begin,0,0
-26.962,flush_end,0,6638554
-26.944,trivial_move,3,6638554
-26.944,flush_begin,0,0
-26.924,flush_end,0,6638554
-26.907,trivial_move,3,6638553
-26.907,flush_begin,0,0
-26.889,flush_end,0,6638552
-26.873,trivial_move,3,6638553
-26.873,flush_begin,0,0
-26.854,flush_end,0,6638554
-26.836,trivial_move,3,6638554
-26.836,flush_begin,0,0
-26.817,flush_end,0,6638553
-26.796,trivial_move,3,6638553
-26.796,flush_begin,0,0
-26.778,flush_end,0,6638553
-26.760,trivial_move,3,6638553
-26.760,flush_begin,0,0
-26.742,flush_end,0,6638553
-26.733,flush_begin,0,0
-26.714,flush_end,0,6638554
-26.696,trivial_move,3,6638553
-26.696,flush_begin,0,0
-26.678,flush_end,0,6638552
-26.660,trivial_move,3,6638554
-26.660,flush_begin,0,0
-26.642,flush_end,0,6638552
-26.624,trivial_move,3,6638552
-26.624,flush_begin,0,0
-26.606,flush_end,0,6638554
-26.587,trivial_move,3,6638554
-26.587,flush_begin,0,0
-26.569,flush_end,0,6638553
-26.551,trivial_move,3,6638554
-26.551,flush_begin,0,0
-26.532,flush_end,0,6638553
-26.514,trivial_move,3,6638553
-26.514,flush_begin,0,0
-26.497,flush_end,0,6638553
-26.479,trivial_move,3,6638553
-26.479,flush_begin,0,0
-26.461,flush_end,0,6638555
-26.442,trivial_move,3,6638553
-26.442,flush_begin,0,0
-26.424,flush_end,0,6638552
-26.404,trivial_move,3,6638554
-26.404,flush_begin,0,0
-26.386,flush_end,0,6638554
-26.368,trivial_move,3,6638552
-26.368,flush_begin,0,0
-26.350,flush_end,0,6638554
-26.331,trivial_move,3,6638554
-26.331,flush_begin,0,0
-26.314,flush_end,0,6638552
-26.305,flush_begin,0,0
-26.289,flush_end,0,6638553
-26.270,trivial_move,3,6638554
-26.270,flush_begin,0,0
-26.253,flush_end,0,6638553
-26.235,trivial_move,3,6638552
-26.235,flush_begin,0,0
-26.217,flush_end,0,6638554
-26.199,trivial_move,3,6638553
-26.199,flush_begin,0,0
-26.182,flush_end,0,6638552
-26.164,trivial_move,3,6638553
-26.164,flush_begin,0,0
-26.146,flush_end,0,6638554
-26.137,flush_begin,0,0
-26.120,flush_end,0,6638554
-26.103,trivial_move,3,6638554
-26.103,flush_begin,0,0
-26.086,flush_end,0,6638552
-26.070,trivial_move,3,6638552
-26.070,flush_begin,0,0
-26.054,flush_end,0,6638554
-26.035,trivial_move,3,6638554
-26.035,flush_begin,0,0
-26.018,flush_end,0,6638553
-26.000,trivial_move,3,6638554
-26.000,flush_begin,0,0
-25.982,flush_end,0,6638553
