t,type,level,bytes
-29.834,flush_begin,0,0
-29.819,flush_end,0,6638552
-29.809,flush_begin,0,0
-29.793,flush_end,0,6638554
-29.783,flush_begin,0,0
-29.767,flush_end,0,6638553
-29.759,flush_begin,0,0
-29.742,flush_end,0,6638553
-29.732,flush_begin,0,0
-29.717,flush_end,0,6638553
-29.707,flush_begin,0,0
-29.690,flush_end,0,6638554
-29.680,flush_begin,0,0
-29.664,flush_end,0,6638552
-29.655,flush_begin,0,0
-29.638,flush_end,0,6638554
-29.629,flush_begin,0,0
-29.613,flush_end,0,6638554
-29.604,flush_begin,0,0
-29.588,flush_end,0,6638552
-29.579,flush_begin,0,0
-29.563,flush_end,0,6638553
-29.553,flush_begin,0,0
-29.537,flush_end,0,6638553
-29.527,flush_begin,0,0
-29.511,flush_end,0,6638554
-29.501,flush_begin,0,0
-29.485,flush_end,0,6638552
-29.475,flush_begin,0,0
-29.459,flush_end,0,6638554
-29.449,flush_begin,0,0
-29.432,flush_end,0,6638554
-29.423,flush_begin,0,0
-29.407,flush_end,0,6638552
-29.392,trivial_move,3,6638552
-29.382,trivial_move,3,6638554
-29.382,flush_begin,0,0
-29.364,flush_end,0,6638555
-29.347,trivial_move,3,6638553
-29.347,flush_begin,0,0
-29.328,flush_end,0,6638553
-29.312,trivial_move,3,6638553
-29.312,flush_begin,0,0
-29.293,flush_end,0,6638553
-29.278,trivial_move,3,6638553
-29.277,flush_begin,0,0
-29.260,flush_end,0,6638552
-29.245,trivial_move,3,6638554
-29.244,flush_begin,0,0
-29.227,flush_end,0,6638554
-29.212,trivial_move,3,6638552
-29.212,flush_begin,0,0
-29.195,flush_end,0,6638554
-29.179,trivial_move,3,6638554
-29.179,flush_begin,0,0
-29.162,flush_end,0,6638552
-29.146,trivial_move,3,6638554
-29.145,flush_begin,0,0
-29.128,flush_end,0,6638554
-29.112,trivial_move,3,6638552
-29.111,flush_begin,0,0
-29.094,flush_end,0,6638553
-29.078,trivial_move,3,6638553
-29.077,flush_begin,0,0
-29.060,flush_end,0,6638553
-29.045,trivial_move,3,6638553
-29.044,flush_begin,0,0
-29.027,flush_end,0,6638553
-29.012,trivial_move,3,6638554
-29.012,flush_begin,0,0
-28.994,flush_end,0,6638554
-28.978,trivial_move,3,6638552
-28.977,flush_begin,0,0
-28.960,flush_end,0,6638553
-28.945,trivial_move,3,6638554
-28.944,flush_begin,0,0
-28.926,flush_end,0,6638552
-28.912,trivial_move,3,6638554
-28.911,flush_begin,0,0
-28.894,flush_end,0,6638554
-28.878,trivial_move,3,6638552
-28.878,flush_begin,0,0
-28.860,flush_end,0,6638553
-28.845,trivial_move,3,6638555
-28.844,flush_begin,0,0
-28.827,flush_end,0,6638553
-28.811,trivial_move,3,6638553
-28.810,flush_begin,0,0
-28.793,flush_end,0,6638553
-28.777,trivial_move,3,6638553
-28.776,flush_begin,0,0
-28.759,flush_end,0,6638555
-28.743,trivial_move,3,6638552
-28.742,flush_begin,0,0
-28.725,flush_end,0,6638553
-28.709,trivial_move,3,6638554
-28.708,flush_begin,0,0
-28.690,flush_end,0,6638553
-28.675,trivial_move,3,6638554
-28.674,flush_begin,0,0
-28.657,flush_end,0,6638554
-28.641,trivial_move,3,6638552
-28.640,flush_begin,0,0
-28.623,flush_end,0,6638552
-28.607,trivial_move,3,6638554
-28.607,flush_begin,0,0
-28.589,flush_end,0,6638553
-28.575,trivial_move,3,6638553
-28.574,flush_begin,0,0
-28.557,flush_end,0,6638553
-28.543,trivial_move,3,6638553
-28.542,flush_begin,0,0
-28.525,flush_end,0,6638554
-28.510,trivial_move,3,6638553
-28.508,flush_begin,0,0
-28.491,flush_end,0,6638553
-28.476,trivial_move,3,6638554
-28.476,flush_begin,0,0
-28.459,flush_end,0,6638553
-28.443,trivial_move,3,6638553
-28.442,flush_begin,0,0
-28.425,flush_end,0,6638554
-28.409,trivial_move,3,6638552
-28.408,flush_begin,0,0
-28.390,flush_end,0,6638552
-28.375,trivial_move,3,6638554
-28.374,flush_begin,0,0
-28.357,flush_end,0,6638554
-28.342,trivial_move,3,6638553
-28.341,flush_begin,0,0
-28.324,flush_end,0,6638553
-28.308,trivial_move,3,6638553
-28.307,flush_begin,0,0
-28.290,flush_end,0,6638553
-28.275,trivial_move,3,6638553
-28.274,flush_begin,0,0
-28.258,flush_end,0,6638553
-28.242,trivial_move,3,6638555
-28.242,flush_begin,0,0
-28.225,flush_end,0,6638553
-28.208,trivial_move,3,6638553
-28.208,flush_begin,0,0
-28.192,flush_end,0,6638555
-28.176,trivial_move,3,6638553
-28.175,flush_begin,0,0
-28.158,flush_end,0,6638552
-28.143,trivial_move,3,6638554
-28.142,flush_begin,0,0
-28.125,flush_end,0,6638554
-28.110,trivial_move,3,6638552
-28.109,flush_begin,0,0
-28.091,flush_end,0,6638553
-28.076,trivial_move,3,6638553
-28.075,flush_begin,0,0
-28.058,flush_end,0,6638553
-28.043,trivial_move,3,6638553
-28.042,flush_begin,0,0
-28.024,flush_end,0,6638554
-28.008,trivial_move,3,6638554
-28.008,flush_begin,0,0
-27.983,flush_end,0,6638553
-27.968,trivial_move,3,6638553
-27.967,flush_begin,0,0
-27.949,flush_end,0,6638553
-27.934,trivial_move,3,6638553
-27.933,flush_begin,0,0
-27.916,flush_end,0,6638552
-27.900,trivial_move,3,6638554
-27.899,flush_begin,0,0
-27.881,flush_end,0,6638554
-27.866,trivial_move,3,6638552
-27.865,flush_begin,0,0
-27.848,flush_end,0,6638553
-27.832,trivial_move,3,6638554
-27.831,flush_begin,0,0
-27.814,flush_end,0,6638553
-27.798,trivial_move,3,6638553
-27.797,flush_begin,0,0
-27.779,flush_end,0,6638554
-27.764,trivial_move,3,6638553
-27.763,flush_begin,0,0
-27.746,flush_end,0,6638553
-27.731,trivial_move,3,6638553
-27.730,flush_begin,0,0
-27.711,flush_end,0,6638553
-27.696,trivial_move,3,6638553
-27.696,flush_begin,0,0
-27.678,flush_end,0,6638553
-27.661,trivial_move,3,6638555
-27.661,flush_begin,0,0
-27.644,flush_end,0,6638554
-27.628,trivial_move,3,6638552
-27.627,flush_begin,0,0
-27.609,flush_end,0,6638552
-27.594,trivial_move,3,6638554
-27.593,flush_begin,0,0
-27.575,flush_end,0,6638554
-27.560,trivial_move,3,6638553
-27.559,flush_begin,0,0
-27.542,flush_end,0,6638554
-27.526,trivial_move,3,6638553
-27.525,flush_begin,0,0
-27.507,flush_end,0,6638553
-27.491,trivial_move,3,6638554
-27.490,flush_begin,0,0
-27.471,flush_end,0,6638553
-27.456,trivial_move,3,6638553
-27.455,flush_begin,0,0
-27.437,flush_end,0,6638553
-27.421,trivial_move,3,6638553
-27.420,flush_begin,0,0
-27.402,flush_end,0,6638554
-27.386,trivial_move,3,6638552
-27.385,flush_begin,0,0
-27.368,flush_end,0,6638552
-27.351,trivial_move,3,6638554
-27.351,flush_begin,0,0
-27.334,flush_end,0,6638554
-27.319,trivial_move,3,6638553
-27.318,flush_begin,0,0
-27.301,flush_end,0,6638554
-27.285,trivial_move,3,6638553
-27.284,flush_begin,0,0
-27.267,flush_end,0,6638552
-27.252,trivial_move,3,6638554
-27.251,flush_begin,0,0
-27.233,flush_end,0,6638553
-27.218,trivial_move,3,6638553
-27.217,flush_begin,0,0
-27.200,flush_end,0,6638553
-27.183,trivial_move,3,6638553
-27.183,flush_begin,0,0
-27.165,flush_end,0,6638554
-27.149,trivial_move,3,6638553
-27.148,flush_begin,0,0
-27.131,flush_end,0,6638552
-27.115,trivial_move,3,6638554
-27.114,flush_begin,0,0
-27.096,flush_end,0,6638554
-27.080,trivial_move,3,6638552
-27.078,flush_begin,0,0
-27.061,flush_end,0,6638554
-27.046,trivial_move,3,6638554
-27.044,flush_begin,0,0
-27.027,flush_end,0,6638552
-27.012,trivial_move,3,6638554
-27.011,flush_begin,0,0
-26.994,flush_end,0,6638555
-26.978,trivial_move,3,6638553
-26.977,flush_begin,0,0
-26.960,flush_end,0,6638553
-26.944,trivial_move,3,6638553
-26.943,flush_begin,0,0
-26.926,flush_end,0,6638553
-26.910,trivial_move,3,6638553
-26.909,flush_begin,0,0
-26.892,flush_end,0,6638552
-26.876,trivial_move,3,6638554
-26.875,flush_begin,0,0
-26.857,flush_end,0,6638554
-26.841,trivial_move,3,6638552
-26.840,flush_begin,0,0
-26.823,flush_end,0,6638554
-26.807,trivial_move,3,6638554
-26.806,flush_begin,0,0
-26.789,flush_end,0,6638552
-26.774,trivial_move,3,6638554
-26.773,flush_begin,0,0
-26.757,flush_end,0,6638554
-26.741,trivial_move,3,6638552
-26.740,flush_begin,0,0
-26.724,flush_end,0,6638553
-26.708,trivial_move,3,6638553
-26.707,flush_begin,0,0
-26.690,flush_end,0,6638553
-26.675,trivial_move,3,6638553
-26.675,flush_begin,0,0
-26.658,flush_end,0,6638553
-26.642,trivial_move,3,6638554
-26.641,flush_begin,0,0
-26.624,flush_end,0,6638554
-26.608,trivial_move,3,6638552
-26.607,flush_begin,0,0
-26.590,flush_end,0,6638552
-26.576,trivial_move,3,6638554
-26.575,flush_begin,0,0
-26.558,flush_end,0,6638552
-26.542,trivial_move,3,6638554
-26.542,flush_begin,0,0
-26.525,flush_end,0,6638554
-26.509,trivial_move,3,6638552
-26.508,flush_begin,0,0
-26.491,flush_end,0,6638553
-26.475,trivial_move,3,6638555
-26.474,flush_begin,0,0
-26.457,flush_end,0,6638553
-26.441,trivial_move,3,6638553
-26.440,flush_begin,0,0
-26.423,flush_end,0,6638553
-26.407,trivial_move,3,6638553
-26.406,flush_begin,0,0
-26.389,flush_end,0,6638555
-26.373,trivial_move,3,6638552
-26.372,flush_begin,0,0
-26.355,flush_end,0,6638552
-26.340,trivial_move,3,6638554
-26.339,flush_begin,0,0
-26.322,flush_end,0,6638554
-26.307,trivial_move,3,6638554
-26.306,flush_begin,0,0
-26.290,flush_end,0,6638554
-26.275,trivial_move,3,6638552
-26.274,flush_begin,0,0
-26.258,flush_end,0,6638552
-26.243,trivial_move,3,6638554
-26.243,flush_begin,0,0
-26.226,flush_end,0,6638553
-26.211,trivial_move,3,6638553
-26.210,flush_begin,0,0
-26.193,flush_end,0,6638553
-26.178,trivial_move,3,6638553
-26.177,flush_begin,0,0
-26.160,flush_end,0,6638554
-26.145,trivial_move,3,6638553
-26.144,flush_begin,0,0
-26.127,flush_end,0,6638552
-26.109,trivial_move,3,6638554
-26.109,flush_begin,0,0
-26.092,flush_end,0,6638554
-26.077,trivial_move,3,6638552
-26.076,flush_begin,0,0
-26.059,flush_end,0,6638554
-26.044,trivial_move,3,6638552
-26.043,flush_begin,0,0
-26.026,flush_end,0,6638552
-26.010,trivial_move,3,6638554
-26.009,flush_begin,0,0
-25.992,flush_end,0,6638554
-25.976,trivial_move,3,6638553
-25.975,flush_begin,0,0
-25.957,flush_end,0,6638553
-25.942,trivial_move,3,6638553
-25.941,flush_begin,0,0
-25.924,flush_end,0,6638553
-25.909,trivial_move,3,6638553
-25.907,flush_begin,0,0
-25.890,flush_end,0,6638552
-25.874,trivial_move,3,6638555
-25.873,flush_begin,0,0
-25.856,flush_end,0,6638554
-25.840,trivial_move,3,6638552
-25.839,flush_begin,0,0
-25.822,flush_end,0,6638555
-25.806,trivial_move,3,6638554
-25.805,flush_begin,0,0
-25.788,flush_end,0,6638552
-25.771,trivial_move,3,6638554
-25.770,flush_begin,0,0
-25.753,flush_end,0,6638554
-25.737,trivial_move,3,6638552
-25.736,flush_begin,0,0
-25.717,flush_end,0,6638553
-25.702,trivial_move,3,6638553
-25.701,flush_begin,0,0
-25.684,flush_end,0,6638553
-25.668,trivial_move,3,6638553
-25.668,flush_begin,0,0
-25.649,flush_end,0,6638553
-25.634,trivial_move,3,6638554
-25.633,flush_begin,0,0
-25.616,flush_end,0,6638554
-25.600,trivial_move,3,6638552
-25.599,flush_begin,0,0
-25.583,flush_end,0,6638553
-25.567,trivial_move,3,6638554
-25.567,flush_begin,0,0
-25.550,flush_end,0,6638552
-25.533,trivial_move,3,6638554
-25.533,flush_begin,0,0
-25.516,flush_end,0,6638554
-25.500,trivial_move,3,6638552
-25.499,flush_begin,0,0
-25.482,flush_end,0,6638553
-25.467,trivial_move,3,6638554
-25.466,flush_begin,0,0
-25.449,flush_end,0,6638553
-25.433,trivial_move,3,6638553
-25.432,flush_begin,0,0
-25.414,flush_end,0,6638553
-25.399,trivial_move,3,6638553
-25.398,flush_begin,0,0
-25.381,flush_end,0,6638554
-25.365,trivial_move,3,6638552
-25.364,flush_begin,0,0
-25.345,flush_end,0,6638553
-25.330,trivial_move,3,6638554
-25.330,flush_begin,0,0
-25.313,flush_end,0,6638553
-25.297,trivial_move,3,6638555
-25.296,flush_begin,0,0
-25.279,flush_end,0,6638554
-25.264,trivial_move,3,6638552
-25.263,flush_begin,0,0
-25.247,flush_end,0,6638552
-25.230,trivial_move,3,6638554
-25.230,flush_begin,0,0
