t,type,level,bytes
-29.881,flush_begin,0,0
-29.864,flush_end,0,6638552
-29.855,flush_begin,0,0
-29.840,flush_end,0,6638554
-29.831,flush_begin,0,0
-29.815,flush_end,0,6638553
-29.807,flush_begin,0,0
-29.791,flush_end,0,6638553
-29.783,flush_begin,0,0
-29.766,flush_end,0,6638553
-29.758,flush_begin,0,0
-29.742,flush_end,0,6638554
-29.734,flush_begin,0,0
-29.718,flush_end,0,6638552
-29.710,flush_begin,0,0
-29.693,flush_end,0,6638554
-29.685,flush_begin,0,0
-29.669,flush_end,0,6638554
-29.660,flush_begin,0,0
-29.645,flush_end,0,6638552
-29.636,flush_begin,0,0
-29.620,flush_end,0,6638553
-29.612,flush_begin,0,0
-29.596,flush_end,0,6638553
-29.588,flush_begin,0,0
-29.572,flush_end,0,6638554
-29.563,flush_begin,0,0
-29.548,flush_end,0,6638552
-29.540,flush_begin,0,0
-29.524,flush_end,0,6638554
-29.515,flush_begin,0,0
-29.500,flush_end,0,6638554
-29.491,flush_begin,0,0
-29.475,flush_end,0,6638552
-29.466,flush_begin,0,0
-29.450,flush_end,0,6638555
-29.442,flush_begin,0,0
-29.426,flush_end,0,6638553
-29.418,flush_begin,0,0
-29.402,flush_end,0,6638553
-29.384,trivial_move,3,6638552
-29.384,flush_begin,0,0
-29.368,flush_end,0,6638552
-29.349,trivial_move,3,6638554
-29.349,flush_begin,0,0
-29.332,flush_end,0,6638554
-29.314,trivial_move,3,6638553
-29.314,flush_begin,0,0
-29.296,flush_end,0,6638554
-29.277,trivial_move,3,6638553
-29.277,flush_begin,0,0
-29.260,flush_end,0,6638552
-29.241,trivial_move,3,6638553
-29.241,flush_begin,0,0
-29.223,flush_end,0,6638554
-29.205,trivial_move,3,6638554
-29.205,flush_begin,0,0
-29.188,flush_end,0,6638553
-29.169,trivial_move,3,6638552
-29.169,flush_begin,0,0
-29.151,flush_end,0,6638553
-29.133,trivial_move,3,6638554
-29.133,flush_begin,0,0
-29.116,flush_end,0,6638553
-29.098,trivial_move,3,6638554
-29.098,flush_begin,0,0
-29.079,flush_end,0,6638554
-29.062,trivial_move,3,6638552
-29.062,flush_begin,0,0
-29.036,flush_end,0,6638553
-29.018,trivial_move,3,6638553
-29.018,flush_begin,0,0
-29.001,flush_end,0,6638552
-28.992,flush_begin,0,0
-28.975,flush_end,0,6638554
-28.967,flush_begin,0,0
-28.951,flush_end,0,6638553
-28.942,flush_begin,0,0
-28.926,flush_end,0,6638553
-28.918,flush_begin,0,0
-28.901,flush_end,0,6638553
-28.885,trivial_move,3,6638553
-28.885,flush_begin,0,0
-28.868,flush_end,0,6638555
-28.852,trivial_move,3,6638554
-28.852,flush_begin,0,0
-28.836,flush_end,0,6638553
-28.816,trivial_move,3,6638552
-28.816,flush_begin,0,0
-28.799,flush_end,0,6638553
-28.780,trivial_move,3,6638554
-28.780,flush_begin,0,0
-28.763,flush_end,0,6638554
-28.745,trivial_move,3,6638554
-28.745,flush_begin,0,0
-28.728,flush_end,0,6638552
-28.721,flush_begin,0,0
-28.704,flush_end,0,6638553
-28.697,flush_begin,0,0
-28.680,flush_end,0,6638553
-28.672,flush_begin,0,0
-28.657,flush_end,0,6638554
-28.639,trivial_move,3,6638552
-28.639,flush_begin,0,0
-28.623,flush_end,0,6638553
-28.605,trivial_move,3,6638555
-28.605,flush_begin,0,0
-28.589,flush_end,0,6638553
-28.571,trivial_move,3,6638553
-28.571,flush_begin,0,0
-28.554,flush_end,0,6638554
-28.536,trivial_move,3,6638553
-28.536,flush_begin,0,0
-28.519,flush_end,0,6638552
-28.502,trivial_move,3,6638552
-28.502,flush_begin,0,0
-28.484,flush_end,0,6638554
-28.466,trivial_move,3,6638554
-28.466,flush_begin,0,0
-28.449,flush_end,0,6638553
-28.430,trivial_move,3,6638554
-28.430,flush_begin,0,0
-28.412,flush_end,0,6638553
-28.394,trivial_move,3,6638552
-28.394,flush_begin,0,0
-28.377,flush_end,0,6638553
-28.369,flush_begin,0,0
-28.351,flush_end,0,6638553
-28.332,trivial_move,3,6638554
-28.332,flush_begin,0,0
-28.315,flush_end,0,6638555
-28.306,flush_begin,0,0
-28.289,flush_end,0,6638552
-28.281,flush_begin,0,0
-28.265,flush_end,0,6638554
-28.245,trivial_move,3,6638553
-28.245,flush_begin,0,0
-28.227,flush_end,0,6638553
-28.210,trivial_move,3,6638553
-28.210,flush_begin,0,0
-28.193,flush_end,0,6638553
-28.175,trivial_move,3,6638553
-28.175,flush_begin,0,0
-28.158,flush_end,0,6638554
-28.149,flush_begin,0,0
-28.133,flush_end,0,6638553
-28.115,trivial_move,3,6638554
-28.115,flush_begin,0,0
-28.098,flush_end,0,6638553
-28.080,trivial_move,3,6638553
-28.080,flush_begin,0,0
-28.062,flush_end,0,6638552
-28.044,trivial_move,3,6638552
-28.044,flush_begin,0,0
-28.027,flush_end,0,6638554
-28.009,trivial_move,3,6638554
-28.009,flush_begin,0,0
-27.991,flush_end,0,6638553
-27.973,trivial_move,3,6638553
-27.973,flush_begin,0,0
-27.956,flush_end,0,6638553
-27.937,trivial_move,3,6638553
-27.937,flush_begin,0,0
-27.920,flush_end,0,6638554
-27.902,trivial_move,3,6638553
-27.902,flush_begin,0,0
-27.885,flush_end,0,6638553
-27.867,trivial_move,3,6638555
-27.867,flush_begin,0,0
-27.850,flush_end,0,6638553
-27.832,trivial_move,3,6638553
-27.832,flush_begin,0,0
-27.814,flush_end,0,6638553
-27.796,trivial_move,3,6638553
-27.796,flush_begin,0,0
-27.779,flush_end,0,6638554
-27.762,trivial_move,3,6638554
-27.762,flush_begin,0,0
-27.745,flush_end,0,6638552
-27.729,trivial_move,3,6638552
-27.729,flush_begin,0,0
-27.712,flush_end,0,6638554
-27.694,trivial_move,3,6638553
-27.694,flush_begin,0,0
-27.677,flush_end,0,6638554
-27.659,trivial_move,3,6638553
