t,type,level,bytes
-29.837,flush_begin,0,0
-29.819,flush_end,0,6638552
-29.811,flush_begin,0,0
-29.793,flush_end,0,6638554
-29.785,flush_begin,0,0
-29.767,flush_end,0,6638553
-29.759,flush_begin,0,0
-29.742,flush_end,0,6638553
-29.734,flush_begin,0,0
-29.717,flush_end,0,6638553
-29.709,flush_begin,0,0
-29.692,flush_end,0,6638554
-29.684,flush_begin,0,0
-29.667,flush_end,0,6638552
-29.659,flush_begin,0,0
-29.641,flush_end,0,6638554
-29.634,flush_begin,0,0
-29.616,flush_end,0,6638554
-29.608,flush_begin,0,0
-29.590,flush_end,0,6638552
-29.582,flush_begin,0,0
-29.563,flush_end,0,6638553
-29.556,flush_begin,0,0
-29.538,flush_end,0,6638553
-29.530,flush_begin,0,0
-29.511,flush_end,0,6638554
-29.504,flush_begin,0,0
-29.486,flush_end,0,6638552
-29.478,flush_begin,0,0
-29.458,flush_end,0,6638554
-29.450,flush_begin,0,0
-29.431,flush_end,0,6638554
-29.413,trivial_move,3,6638552
-29.413,flush_begin,0,0
-29.395,flush_end,0,6638552
-29.377,trivial_move,3,6638554
-29.377,flush_begin,0,0
-29.359,flush_end,0,6638555
-29.340,trivial_move,3,6638553
-29.340,flush_begin,0,0
-29.321,flush_end,0,6638553
-29.305,trivial_move,3,6638553
-29.305,flush_begin,0,0
-29.286,flush_end,0,6638553
-29.267,trivial_move,3,6638553
-29.267,flush_begin,0,0
-29.248,flush_end,0,6638552
-29.230,trivial_move,3,6638554
-29.230,flush_begin,0,0
-29.211,flush_end,0,6638554
-29.195,trivial_move,3,6638552
-29.195,flush_begin,0,0
-29.176,flush_end,0,6638554
-29.158,trivial_move,3,6638554
-29.158,flush_begin,0,0
-29.138,flush_end,0,6638552
-29.120,trivial_move,3,6638554
-29.120,flush_begin,0,0
-29.100,flush_end,0,6638554
-29.084,trivial_move,3,6638552
-29.084,flush_begin,0,0
-29.064,flush_end,0,6638553
-29.046,trivial_move,3,6638553
-29.046,flush_begin,0,0
-29.027,flush_end,0,6638553
-29.009,trivial_move,3,6638553
-29.009,flush_begin,0,0
-28.989,flush_end,0,6638553
-28.971,trivial_move,3,6638554
-28.971,flush_begin,0,0
-28.953,flush_end,0,6638554
-28.935,trivial_move,3,6638552
-28.935,flush_begin,0,0
-28.916,flush_end,0,6638553
-28.899,trivial_move,3,6638554
-28.899,flush_begin,0,0
-28.880,flush_end,0,6638552
-28.861,trivial_move,3,6638554
-28.861,flush_begin,0,0
-28.840,flush_end,0,6638554
-28.821,trivial_move,3,6638552
-28.821,flush_begin,0,0
-28.801,flush_end,0,6638553
-28.784,trivial_move,3,6638555
-28.784,flush_begin,0,0
-28.764,flush_end,0,6638553
-28.745,trivial_move,3,6638553
-28.745,flush_begin,0,0
-28.725,flush_end,0,6638553
-28.706,trivial_move,3,6638553
-28.706,flush_begin,0,0
-28.686,flush_end,0,6638555
-28.668,trivial_move,3,6638552
-28.668,flush_begin,0,0
-28.648,flush_end,0,6638553
-28.630,trivial_move,3,6638554
-28.630,flush_begin,0,0
-28.610,flush_end,0,6638553
-28.591,trivial_move,3,6638554
-28.591,flush_begin,0,0
-28.570,flush_end,0,6638554
-28.552,trivial_move,3,6638552
-28.552,flush_begin,0,0
-28.532,flush_end,0,6638552
-28.515,trivial_move,3,6638554
-28.515,flush_begin,0,0
-28.495,flush_end,0,6638553
-28.477,trivial_move,3,6638553
-28.477,flush_begin,0,0
-28.457,flush_end,0,6638553
-28.438,trivial_move,3,6638553
-28.438,flush_begin,0,0
-28.420,flush_end,0,6638554
-28.402,trivial_move,3,6638553
-28.402,flush_begin,0,0
-28.382,flush_end,0,6638553
-28.364,trivial_move,3,6638554
-28.364,flush_begin,0,0
-28.345,flush_end,0,6638553
-28.327,trivial_move,3,6638553
-28.327,flush_begin,0,0
-28.307,flush_end,0,6638554
-28.290,trivial_move,3,6638552
-28.290,flush_begin,0,0
-28.271,flush_end,0,6638552
-28.252,trivial_move,3,6638554
-28.252,flush_begin,0,0
-28.233,flush_end,0,6638554
-28.216,trivial_move,3,6638553
-28.216,flush_begin,0,0
-28.197,flush_end,0,6638553
-28.178,trivial_move,3,6638553
-28.178,flush_begin,0,0
-28.158,flush_end,0,6638553
-28.141,trivial_move,3,6638553
-28.141,flush_begin,0,0
-28.122,flush_end,0,6638553
-28.104,trivial_move,3,6638555
-28.104,flush_begin,0,0
-28.085,flush_end,0,6638553
-28.067,trivial_move,3,6638553
-28.067,flush_begin,0,0
-28.046,flush_end,0,6638555
-28.028,trivial_move,3,6638553
-28.028,flush_begin,0,0
-28.008,flush_end,0,6638552
-27.990,trivial_move,3,6638554
-27.990,flush_begin,0,0
-27.970,flush_end,0,6638554
-27.952,trivial_move,3,6638552
-27.952,flush_begin,0,0
-27.932,flush_end,0,6638553
-27.913,trivial_move,3,6638553
-27.913,flush_begin,0,0
-27.894,flush_end,0,6638553
-27.878,trivial_move,3,6638553
-27.878,flush_begin,0,0
-27.859,flush_end,0,6638554
-27.840,trivial_move,3,6638554
-27.840,flush_begin,0,0
-27.820,flush_end,0,6638553
-27.802,trivial_move,3,6638553
-27.802,flush_begin,0,0
-27.782,flush_end,0,6638553
-27.764,trivial_move,3,6638553
-27.764,flush_begin,0,0
-27.745,flush_end,0,6638552
-27.725,trivial_move,3,6638554
-27.725,flush_begin,0,0
-27.704,flush_end,0,6638554
-27.687,trivial_move,3,6638552
-27.687,flush_begin,0,0
-27.668,flush_end,0,6638553
-27.651,trivial_move,3,6638554
-27.651,flush_begin,0,0
-27.630,flush_end,0,6638553
-27.612,trivial_move,3,6638553
-27.612,flush_begin,0,0
-27.592,flush_end,0,6638554
-27.574,trivial_move,3,6638553
-27.574,flush_begin,0,0
-27.554,flush_end,0,6638553
-27.536,trivial_move,3,6638553
-27.536,flush_begin,0,0
-27.517,flush_end,0,6638553
-27.498,trivial_move,3,6638553
-27.498,flush_begin,0,0
-27.478,flush_end,0,6638553
-27.461,trivial_move,3,6638555
-27.461,flush_begin,0,0
-27.441,flush_end,0,6638554
-27.422,trivial_move,3,6638552
-27.422,flush_begin,0,0
-27.401,flush_end,0,6638552
-27.382,trivial_move,3,6638554
-27.382,flush_begin,0,0
-27.361,flush_end,0,6638554
-27.343,trivial_move,3,6638553
-27.343,flush_begin,0,0
-27.323,flush_end,0,6638554
-27.307,trivial_move,3,6638553
-27.307,flush_begin,0,0
-27.285,flush_end,0,6638553
-27.266,trivial_move,3,6638554
-27.266,flush_begin,0,0
-27.245,flush_end,0,6638553
-27.226,trivial_move,3,6638553
-27.226,flush_begin,0,0
-27.204,flush_end,0,6638553
-27.185,trivial_move,3,6638553
-27.185,flush_begin,0,0
-27.164,flush_end,0,6638554
-27.144,trivial_move,3,6638552
-27.144,flush_begin,0,0
-27.123,flush_end,0,6638552
-27.100,trivial_move,3,6638554
-27.100,flush_begin,0,0
-27.080,flush_end,0,6638554
-27.062,trivial_move,3,6638553
-27.062,flush_begin,0,0
-27.042,flush_end,0,6638554
-27.023,trivial_move,3,6638553
-27.023,flush_begin,0,0
-27.003,flush_end,0,6638552
-26.994,flush_begin,0,0
-26.973,flush_end,0,6638553
-26.957,trivial_move,3,6638554
-26.957,flush_begin,0,0
-26.938,flush_end,0,6638553
-26.919,trivial_move,3,6638553
-26.919,flush_begin,0,0
-26.898,flush_end,0,6638554
-26.883,trivial_move,3,6638553
-26.883,flush_begin,0,0
-26.863,flush_end,0,6638552
-26.845,trivial_move,3,6638553
-26.845,flush_begin,0,0
-26.825,flush_end,0,6638554
-26.806,trivial_move,3,6638554
-26.806,flush_begin,0,0
-26.785,flush_end,0,6638554
-26.766,trivial_move,3,6638552
-26.766,flush_begin,0,0
-26.746,flush_end,0,6638552
-26.729,trivial_move,3,6638554
-26.729,flush_begin,0,0
-26.708,flush_end,0,6638555
-26.689,trivial_move,3,6638554
-26.689,flush_begin,0,0
-26.668,flush_end,0,6638553
-26.649,trivial_move,3,6638553
-26.649,flush_begin,0,0
-26.628,flush_end,0,6638553
-26.609,trivial_move,3,6638553
-26.609,flush_begin,0,0
-26.588,flush_end,0,6638552
-26.569,trivial_move,3,6638553
-26.569,flush_begin,0,0
-26.548,flush_end,0,6638554
-26.531,trivial_move,3,6638554
-26.531,flush_begin,0,0
-26.510,flush_end,0,6638554
-26.492,trivial_move,3,6638552
-26.492,flush_begin,0,0
-26.471,flush_end,0,6638552
-26.452,trivial_move,3,6638554
-26.452,flush_begin,0,0
-26.431,flush_end,0,6638554
-26.413,trivial_move,3,6638554
-26.413,flush_begin,0,0
-26.394,flush_end,0,6638553
-26.375,trivial_move,3,6638552
-26.375,flush_begin,0,0
-26.355,flush_end,0,6638553
-26.337,trivial_move,3,6638553
-26.337,flush_begin,0,0
-26.317,flush_end,0,6638553
-26.301,trivial_move,3,6638553
-26.301,flush_begin,0,0
-26.280,flush_end,0,6638554
-26.265,trivial_move,3,6638554
-26.265,flush_begin,0,0
-26.245,flush_end,0,6638552
-26.225,trivial_move,3,6638552
-26.225,flush_begin,0,0
-26.204,flush_end,0,6638552
-26.187,trivial_move,3,6638554
-26.187,flush_begin,0,0
-26.165,flush_end,0,6638554
-26.146,trivial_move,3,6638554
-26.146,flush_begin,0,0
-26.125,flush_end,0,6638553
-26.107,trivial_move,3,6638552
-26.107,flush_begin,0,0
-26.085,flush_end,0,6638553
-26.068,trivial_move,3,6638555
-26.068,flush_begin,0,0
-26.048,flush_end,0,6638553
-26.031,trivial_move,3,6638553
-26.031,flush_begin,0,0
-26.011,flush_end,0,6638555
-25.993,trivial_move,3,6638553
-25.993,flush_begin,0,0
-25.972,flush_end,0,6638552
-25.955,trivial_move,3,6638552
-25.955,flush_begin,0,0
-25.934,flush_end,0,6638554
-25.916,trivial_move,3,6638554
-25.916,flush_begin,0,0
-25.895,flush_end,0,6638554
-25.877,trivial_move,3,6638554
-25.877,flush_begin,0,0
-25.855,flush_end,0,6638552
-25.836,trivial_move,3,6638552
-25.836,flush_begin,0,0
-25.815,flush_end,0,6638553
-25.794,trivial_move,3,6638554
-25.794,flush_begin,0,0
-25.774,flush_end,0,6638553
-25.756,trivial_move,3,6638553
-25.756,flush_begin,0,0
-25.736,flush_end,0,6638554
-25.721,trivial_move,3,6638553
-25.721,flush_begin,0,0
-25.702,flush_end,0,6638552
-25.683,trivial_move,3,6638553
-25.683,flush_begin,0,0
-25.663,flush_end,0,6638554
-25.645,trivial_move,3,6638554
-25.645,flush_begin,0,0
-25.625,flush_end,0,6638554
-25.606,trivial_move,3,6638552
-25.606,flush_begin,0,0
-25.587,flush_end,0,6638552
-25.569,trivial_move,3,6638552
-25.569,flush_begin,0,0
-25.550,flush_end,0,6638554
-25.531,trivial_move,3,6638554
-25.531,flush_begin,0,0
-25.511,flush_end,0,6638553
-25.495,trivial_move,3,6638553
-25.495,flush_begin,0,0
-25.476,flush_end,0,6638553
-25.467,flush_begin,0,0
-25.448,flush_end,0,6638552
-25.430,trivial_move,3,6638553
-25.430,flush_begin,0,0
-25.411,flush_end,0,6638554
-25.393,trivial_move,3,6638553
-25.393,flush_begin,0,0
-25.374,flush_end,0,6638555
-25.356,trivial_move,3,6638555
-25.356,flush_begin,0,0
-25.335,flush_end,0,6638552
-25.317,trivial_move,3,6638552
-25.317,flush_begin,0,0
-25.297,flush_end,0,6638554
-25.279,trivial_move,3,6638554
-25.279,flush_begin,0,0
-25.259,flush_end,0,6638553
-25.241,trivial_move,3,6638554
-25.241,flush_begin,0,0
-25.222,flush_end,0,6638553
-25.214,flush_begin,0,0
-25.194,flush_end,0,6638553
-25.176,trivial_move,3,6638552
-25.176,flush_begin,0,0
-25.157,flush_end,0,6638554
-25.138,trivial_move,3,6638553
-25.138,flush_begin,0,0
-25.118,flush_end,0,6638553
-25.100,trivial_move,3,6638553
-25.100,flush_begin,0,0
-25.080,flush_end,0,6638552
-25.062,trivial_move,3,6638554
-25.062,flush_begin,0,0
-25.042,flush_end,0,6638554
-25.024,trivial_move,3,6638552
-25.024,flush_begin,0,0
-25.003,flush_end,0,6638553
-24.986,trivial_move,3,6638554
-24.986,flush_begin,0,0
-24.967,flush_end,0,6638553
-24.948,trivial_move,3,6638554
-24.948,flush_begin,0,0
-24.928,flush_end,0,6638553
-24.910,trivial_move,3,6638552
-24.910,flush_begin,0,0
-24.890,flush_end,0,6638554
-24.872,trivial_move,3,6638554
-24.872,flush_begin,0,0
-24.852,flush_end,0,6638553
-24.834,trivial_move,3,6638553
-24.834,flush_begin,0,0
-24.814,flush_end,0,6638553
-24.795,trivial_move,3,6638553
-24.795,flush_begin,0,0
-24.774,flush_end,0,6638554
-24.756,trivial_move,3,6638552
-24.756,flush_begin,0,0
-24.736,flush_end,0,6638552
-24.718,trivial_move,3,6638554
-24.718,flush_begin,0,0
-24.698,flush_end,0,6638554
-24.680,trivial_move,3,6638555
-24.680,flush_begin,0,0
-24.658,flush_end,0,6638553
