t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb
1,6045,4834,1211,4818,1489,0.30905,328,360,368,63,0,0,0,0,229.98,22.69,70,576,229.98
2,6020,4816,1204,4793,1396,0.29126,328,360,368,64,0,0,0,0,229.98,21.89,64,576,229.98
3,6007,4805,1202,4792,1409,0.29403,328,360,376,59,0,0,0,0,229.98,25.08,78,576,229.98
4,6006,4807,1199,4785,1398,0.29216,328,360,376,61,0,0,0,0,229.98,22.81,68,576,229.98
5,6025,4818,1207,4789,1451,0.30299,320,352,368,57,0,0,0,0,229.97,20.02,69,576,229.97
6,6028,4823,1205,4805,1469,0.30572,320,352,360,59,0,0,0,0,229.97,22.81,73,576,229.97
7,6015,4811,1204,4788,1354,0.28279,328,360,368,58,0,0,0,0,229.97,21.04,66,576,229.97
8,6015,4813,1202,4795,1326,0.27654,328,360,368,60,0,0,0,0,229.97,17.87,64,576,229.97
9,6032,4825,1207,4805,1310,0.27263,328,360,376,61,0,0,0,0,229.98,19.21,68,576,229.98
10,6031,4824,1207,4806,1439,0.29942,328,360,376,62,0,0,0,0,229.98,19.00,68,576,229.98
11,6024,4819,1205,4795,1337,0.27883,328,360,376,64,0,0,0,0,229.98,16.72,60,576,229.98
12,6032,4827,1205,4806,1139,0.23700,328,360,376,58,0,0,0,0,229.98,14.84,62,576,229.98
13,6034,4829,1205,4809,1189,0.24724,320,352,368,56,0,0,0,0,229.98,17.23,59,576,229.98
14,6019,4813,1206,4795,1380,0.28780,328,360,376,58,0,0,0,0,229.98,21.97,62,576,229.98
15,6035,4828,1207,4807,1464,0.30456,328,360,368,60,0,0,0,0,229.98,21.31,69,576,229.98
16,6033,4828,1205,4808,1419,0.29513,328,360,376,61,0,0,0,0,229.98,21.18,75,576,229.98
17,6033,4825,1208,4809,1274,0.26492,320,352,368,58,0,0,0,0,229.97,22.14,76,576,229.97
18,6029,4822,1207,5789,2393,0.41337,320,352,384,3264,1,0,1,0,229.97,12.48,55,577,229.97
19,6022,4819,1203,6527,2371,0.36326,320,336,352,2560,1,1,0,0,229.97,11.27,66,627,229.97
20,6036,4829,1207,6922,1823,0.26336,320,344,368,50,1,0,0,0,229.97,15.62,68,627,229.97
21,6030,4824,1206,5977,1862,0.31153,320,344,360,54,1,0,0,0,229.97,20.13,74,627,229.97
22,6024,4819,1205,6849,2425,0.35407,320,352,368,44,1,0,0,0,229.97,23.69,78,627,229.97
