t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb
1,6007,4805,1202,4783,547,0.11436,336,352,368,51,0,0,0,0,22.94,0.30,8,514,22.94
2,6062,4849,1213,4829,524,0.10851,336,352,368,59,0,0,0,0,22.95,0.32,7,514,22.95
3,6022,4819,1203,4801,540,0.11248,328,352,368,55,0,0,0,0,22.94,0.30,13,514,22.94
4,6058,4846,1212,4822,507,0.10514,336,352,368,70,0,0,0,0,22.94,0.38,6,514,22.94
5,6020,4815,1205,4795,549,0.11449,336,352,368,64,0,0,0,0,22.94,0.33,6,514,22.94
6,6016,4813,1203,4793,551,0.11496,320,352,368,59,0,0,0,0,22.94,0.48,14,514,22.94
7,6065,4851,1214,4830,563,0.11656,336,352,360,66,0,0,0,0,22.94,0.23,8,514,22.94
8,6002,4801,1201,4783,512,0.10705,336,352,368,66,0,0,0,0,22.94,0.80,9,514,22.94
9,6027,4823,1204,4804,536,0.11157,328,352,368,57,0,0,0,0,22.94,0.27,5,514,22.94
10,6039,4833,1206,4821,556,0.11533,336,352,368,54,0,0,0,0,22.94,0.46,6,514,22.94
11,6037,4827,1210,4796,574,0.11968,336,352,368,56,0,0,0,0,22.94,0.65,12,514,22.94
12,6006,4810,1196,4793,540,0.11266,336,352,368,57,0,0,0,0,22.94,0.14,6,514,22.94
13,6027,4818,1209,4805,582,0.12112,336,352,360,60,0,0,0,0,22.94,0.07,5,514,22.94
14,6030,4824,1206,4803,656,0.13658,320,352,360,52,0,0,0,0,22.94,0.34,9,514,22.94
15,6026,4819,1207,4800,671,0.13979,328,352,368,55,0,0,0,0,22.94,0.21,8,514,22.94
16,6035,4830,1205,4813,631,0.13110,336,352,368,58,0,0,0,0,22.94,0.84,18,514,22.94
17,6062,4849,1213,4842,559,0.11545,336,352,368,59,0,0,1,0,22.96,1.69,9,515,22.96
18,6060,4848,1212,6514,980,0.15045,320,344,360,3264,1,1,0,0,22.96,0.54,18,566,22.96
19,6064,4850,1214,7901,699,0.08847,320,344,368,49,1,0,0,0,22.95,0.61,27,566,22.95
20,6064,4856,1208,6859,733,0.10687,320,344,360,47,1,0,0,0,22.95,0.47,15,566,22.95
21,6058,4844,1214,6748,881,0.13056,320,344,368,49,1,0,0,0,22.95,0.50,15,566,22.95
22,6035,4826,1209,6234,679,0.10892,320,344,448,49,1,0,0,0,22.95,0.52,19,566,22.95
23,6030,4825,1205,7397,671,0.09071,320,336,352,45,1,0,0,0,22.95,0.43,15,566,22.95
24,6018,4814,1204,7296,857,0.11746,320,344,360,624,1,1,0,0,22.95,1.16,16,569,22.95
25,6025,4821,1204,6920,755,0.10910,320,344,360,46,1,0,0,0,22.95,0.45,15,569,22.95
26,6063,4850,1213,7577,673,0.08882,320,344,368,74,1,0,0,0,22.95,0.70,14,569,22.95
27,6034,4826,1208,7816,636,0.08137,328,352,368,74,1,0,0,0,22.95,0.61,16,569,22.95
28,6023,4819,1204,7298,671,0.09194,328,352,384,1632,1,1,0,0,22.95,0.57,12,572,22.95
29,6049,4838,1211,7906,629,0.07956,320,352,480,52,1,0,0,0,22.95,0.83,15,572,22.95
30,6035,4828,1207,7896,594,0.07523,320,344,360,172,1,0,0,0,22.95,0.58,18,572,22.95
31,6063,4852,1211,7917,731,0.09233,320,336,360,49,1,0,0,0,22.95,0.45,11,572,22.95
32,6032,4826,1206,7363,718,0.09751,320,344,368,1952,1,1,0,0,22.95,1.81,23,568,22.95
33,6063,4850,1213,7767,697,0.08974,320,344,368,76,1,0,0,0,22.95,0.59,17,568,22.95
