t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb
1,6066,4855,1211,4841,877,0.18116,336,352,360,56,0,0,0,0,69.96,0.38,8,509,69.96
2,6065,4850,1215,4829,853,0.17664,328,352,360,56,0,0,0,0,69.96,0.50,6,509,69.96
3,6028,4822,1206,4811,883,0.18354,336,352,368,56,0,0,0,0,69.96,0.27,13,509,69.96
4,6033,4833,1200,4812,841,0.17477,320,344,360,42,0,0,0,0,69.96,0.36,6,509,69.96
5,6055,4838,1217,4819,864,0.17929,336,352,368,54,0,0,0,0,69.96,0.51,8,509,69.96
6,6029,4824,1205,4800,902,0.18792,336,352,368,57,0,0,0,0,69.96,0.98,16,509,69.96
7,6025,4819,1206,4799,820,0.17087,336,352,368,55,0,0,0,0,69.96,0.21,7,509,69.96
8,6032,4828,1204,4801,835,0.17392,328,352,368,56,0,0,0,0,69.96,0.39,7,509,69.96
9,6032,4823,1209,4805,740,0.15401,336,352,368,55,0,0,0,0,69.96,0.29,7,509,69.96
10,6033,4827,1206,4802,842,0.17534,320,352,360,54,0,0,0,0,69.96,0.04,4,509,69.96
11,6044,4834,1210,4806,815,0.16958,336,352,368,58,0,0,0,0,69.96,0.89,14,509,69.96
12,6038,4831,1207,4811,700,0.14550,336,352,368,55,0,0,0,0,69.96,0.17,7,509,69.96
13,6031,4825,1206,4812,802,0.16667,328,352,368,57,0,0,0,0,69.96,0.12,5,509,69.96
14,6037,4829,1208,4809,880,0.18299,336,352,368,56,0,0,0,0,69.96,0.52,9,509,69.96
15,6050,4841,1209,4823,937,0.19428,328,352,368,55,0,0,0,0,69.96,0.54,13,509,69.96
16,6034,4826,1208,4803,916,0.19071,328,352,368,61,0,0,0,0,69.96,1.08,21,509,69.96
17,6012,4810,1202,4928,829,0.16822,328,352,368,1440,1,0,1,0,69.96,0.40,9,510,69.96
18,6035,4827,1208,6647,991,0.14909,320,336,352,3392,1,1,0,0,69.96,0.45,19,560,69.96
19,6063,4855,1208,7923,1014,0.12798,320,344,360,68,1,0,0,0,69.96,0.58,25,560,69.96
20,6051,4838,1213,8774,2058,0.23456,320,344,360,2176,1,0,0,0,69.97,0.52,19,560,69.97
21,6029,4823,1206,8158,1483,0.18178,320,344,360,80,1,0,0,0,69.97,0.42,17,560,69.97
22,6049,4840,1209,7856,1081,0.13760,320,344,360,2624,1,1,0,0,69.97,0.80,30,563,69.97
23,6019,4815,1204,7839,1015,0.12948,320,344,360,55,1,0,0,0,69.97,1.11,25,563,69.97
24,6008,4808,1200,7884,906,0.11492,320,344,368,56,1,0,0,0,69.97,0.32,11,563,69.97
25,6032,4823,1209,8468,1607,0.18977,320,344,360,2816,1,1,0,0,69.97,0.83,16,566,69.97
26,6032,4826,1206,8071,1168,0.14472,320,344,360,232,1,0,0,0,69.97,0.49,11,566,69.97
27,6039,4830,1209,7829,922,0.11777,328,352,360,52,1,0,0,0,69.97,0.52,13,566,69.97
28,6042,4836,1206,7922,918,0.11588,320,344,360,2944,1,1,0,0,69.01,0.87,15,569,69.02
29,6050,4838,1212,7910,904,0.11429,320,344,360,63,1,0,0,0,69.97,0.58,12,569,69.97
30,6030,4825,1205,7838,945,0.12057,320,344,360,64,1,0,0,0,69.97,0.48,15,569,69.97
31,6032,4826,1206,7982,1016,0.12729,320,344,360,50,1,0,0,0,69.97,0.20,8,569,69.97
32,6064,4850,1214,8523,1578,0.18515,320,344,360,2304,1,1,0,0,69.97,0.94,22,565,69.97
33,6032,4826,1206,7858,1002,0.12751,320,352,360,148,1,0,0,0,69.97,0.30,15,565,69.97
34,6016,4812,1204,8378,1508,0.18000,320,344,360,76,1,0,0,0,69.97,0.54,12,565,69.97
35,6035,4829,1206,7835,858,0.10951,320,336,352,1728,1,1,0,0,69.97,0.89,15,562,69.97
36,6037,4830,1207,8048,1204,0.14960,328,352,360,68,1,0,0,0,69.97,0.59,9,562,69.97
37,6047,4843,1204,8069,1245,0.15429,328,352,360,66,1,0,0,0,69.97,0.37,6,562,69.97
38,6030,4818,1212,8010,1095,0.13670,320,344,360,1792,1,1,0,0,69.69,0.29,10,565,69.69
39,6029,4824,1205,7822,1021,0.13053,320,352,368,192,1,0,0,0,69.97,0.47,14,565,69.97
40,6064,4850,1214,8124,1165,0.14340,320,344,360,60,1,0,0,0,69.97,0.32,9,565,69.97
41,6066,4853,1213,8207,1174,0.14305,320,344,352,92,1,0,0,0,69.97,0.32,13,565,69.97
42,6032,4825,1207,8168,1353,0.16565,320,352,368,2624,1,1,0,0,69.97,0.45,12,562,69.97
43,6034,4827,1207,8889,2039,0.22938,320,344,360,1376,1,0,0,0,69.97,0.46,12,562,69.97
44,6065,4852,1213,8281,1403,0.16942,320,344,352,1728,1,0,0,0,69.97,0.25,8,562,69.97
45,6038,4832,1206,7773,1120,0.14409,320,352,360,1152,1,1,0,0,69.89,0.35,11,565,69.89
46,6048,4840,1208,7895,1079,0.13667,328,352,368,1536,1,0,0,0,69.96,0.80,15,565,69.96
47,6014,4809,1205,7863,925,0.11764,320,344,360,64,1,0,0,0,69.96,0.78,23,565,69.96
48,6031,4827,1204,8212,1150,0.14004,320,336,352,2624,1,1,0,0,69.95,1.03,24,563,69.96
49,6016,4810,1206,7812,740,0.09473,320,344,360,120,1,0,0,0,69.97,0.61,18,563,69.97
50,6052,4841,1211,8070,1043,0.12924,328,352,360,58,1,0,0,0,69.97,0.63,13,563,69.97
51,6031,4827,1204,7788,742,0.09527,328,352,368,66,1,0,0,0,69.96,0.52,10,563,69.96
52,6022,4816,1206,7995,993,0.12420,320,352,360,2304,1,1,0,0,69.96,0.71,16,559,69.96
53,6045,4844,1201,8239,1303,0.15815,328,352,368,1536,1,0,0,0,69.97,0.59,11,559,69.97
54,6012,4803,1209,8149,1241,0.15229,320,344,360,2016,1,1,0,0,69.96,0.43,8,556,69.96
55,6022,4816,1206,8247,1253,0.15193,320,336,352,70,1,0,0,0,69.96,0.33,10,556,69.96
56,6064,4851,1213,7842,967,0.12331,320,352,368,66,1,0,0,0,69.97,0.25,9,556,69.97
57,6032,4826,1206,7833,1011,0.12907,320,352,360,1792,1,1,0,0,65.73,0.47,13,559,65.73
58,6062,4849,1213,8322,1356,0.16294,320,344,352,55,1,0,0,0,69.97,0.25,11,559,69.97
59,6044,4838,1206,7836,855,0.10911,320,352,360,59,1,0,0,0,69.97,0.92,19,559,69.97
60,6017,4812,1205,8116,1105,0.13615,320,344,360,3008,1,1,0,0,68.65,0.54,13,562,68.66
61,6065,4851,1214,7900,849,0.10747,320,344,360,80,1,0,0,0,69.97,0.54,11,562,69.97
62,6022,4818,1204,7753,860,0.11092,328,352,360,120,1,0,0,0,69.97,0.31,10,562,69.97
63,6025,4820,1205,8006,1093,0.13652,320,344,360,64,1,0,0,0,69.96,0.72,17,562,69.96
64,6068,4857,1211,8029,1094,0.13626,320,352,376,2752,1,1,1,0,69.97,0.69,20,566,69.97
65,6065,4849,1216,8116,962,0.11853,320,344,408,132,1,0,0,0,69.97,0.24,11,566,69.97
66,6030,4825,1205,7851,848,0.10801,328,352,368,54,1,0,0,0,69.97,0.43,16,566,69.97
67,6033,4826,1207,7861,888,0.11296,328,352,376,68,1,0,0,0,69.97,0.61,14,566,69.97
68,6015,4814,1201,7199,1026,0.14252,320,344,360,3136,1,1,0,0,69.98,0.04,3,569,69.98
69,6065,4856,1209,7169,837,0.11675,320,352,392,2688,1,1,0,0,69.98,0.25,21,584,69.98
70,6048,4835,1213,8269,1145,0.13847,320,344,368,48,1,0,0,0,69.98,0.48,18,584,69.98
71,6023,4818,1205,8083,1093,0.13522,320,344,368,59,1,0,0,0,69.98,0.70,26,584,69.98
72,5987,4782,1205,8159,1289,0.15799,320,352,376,2560,1,1,0,0,64.98,0.28,16,587,65.01
73,6091,4878,1213,8160,1087,0.13321,320,336,352,92,1,0,0,0,69.97,0.72,17,587,69.97
74,6027,4822,1205,8117,1220,0.15030,320,344,360,55,1,0,0,0,69.97,0.65,14,587,69.97
75,6063,4854,1209,7984,924,0.11573,320,344,528,51,1,0,0,0,69.97,0.30,16,587,69.97
76,6063,4849,1214,7819,834,0.10666,320,336,440,2688,1,1,0,0,69.97,1.10,22,588,69.97
77,6045,4833,1212,7898,851,0.10775,320,344,368,55,1,0,0,0,69.96,0.57,20,588,69.96
78,6035,4835,1200,7842,843,0.10750,320,352,368,53,1,0,0,0,69.97,0.61,15,588,69.97
79,6036,4822,1214,8078,1114,0.13791,320,344,360,2816,1,1,0,0,69.96,0.74,20,587,69.96
80,6036,4830,1206,7949,863,0.10857,320,344,360,61,1,0,0,0,69.97,0.82,17,587,69.97
81,6007,4814,1193,7791,870,0.11167,328,352,368,80,1,0,0,0,69.97,0.57,10,587,69.97
82,6025,4811,1214,7873,865,0.10987,328,352,376,54,1,0,0,0,69.97,0.39,13,587,69.97
83,6006,4804,1202,7812,792,0.10138,320,352,368,2432,1,1,0,0,69.97,0.25,6,590,69.97
84,6020,4819,1201,7970,904,0.11343,320,352,360,55,1,0,0,0,69.97,0.91,19,590,69.97
85,6039,4829,1210,7888,856,0.10852,320,352,368,60,1,0,0,0,69.97,0.36,9,590,69.97
86,6054,4846,1208,8162,1306,0.16001,320,344,368,2368,1,1,0,0,69.96,0.99,21,589,69.96
87,6029,4826,1203,7000,822,0.11743,328,352,368,1760,1,1,0,0,69.96,0.48,13,588,69.96
88,6058,4843,1215,8314,1265,0.15215,320,352,368,64,1,0,0,0,69.97,0.57,14,588,69.97
89,6041,4831,1210,7992,1021,0.12775,320,344,360,59,1,0,0,0,69.97,0.54,15,588,69.97
90,6052,4841,1211,7840,916,0.11684,320,352,368,2368,1,1,0,0,69.97,0.46,14,585,69.97
91,6038,4830,1208,8104,1075,0.13265,320,344,360,56,1,0,0,0,69.97,0.43,14,585,69.97
92,6031,4825,1206,7810,815,0.10435,328,352,368,62,1,0,0,0,69.97,0.52,17,585,69.97
93,6041,4833,1208,7641,831,0.10876,320,352,624,3008,1,1,0,0,68.65,0.54,16,588,68.66
94,6022,4818,1204,8126,1143,0.14066,320,344,368,80,1,0,0,0,69.97,0.49,13,588,69.97
95,6032,4826,1206,7796,846,0.10852,328,352,368,60,1,0,0,0,69.98,0.79,28,588,69.98
96,6019,4816,1203,7880,808,0.10254,320,344,360,39,1,0,0,0,69.98,0.67,18,588,69.98
97,6066,4852,1214,7837,836,0.10667,320,344,376,1696,1,1,0,0,69.97,0.68,16,591,69.97
98,6064,4850,1214,8181,1105,0.13507,320,352,368,56,1,0,0,0,69.97,0.28,13,591,69.97
99,6043,4835,1208,8259,1150,0.13924,320,352,368,54,1,0,0,0,69.97,0.66,13,591,69.97
100,6023,4818,1205,8234,1171,0.14222,320,344,408,416,1,1,0,0,69.86,0.67,15,587,69.86
101,6034,4834,1200,8466,1346,0.15899,320,344,360,2304,1,0,0,0,69.97,0.85,15,587,69.97
102,6055,4837,1218,8042,1056,0.13131,328,352,368,55,1,0,0,0,69.97,1.26,22,587,69.97
103,6023,4820,1203,7880,861,0.10926,328,352,360,624,1,1,0,0,69.97,0.84,23,583,69.97
104,6062,4849,1213,7895,710,0.08993,320,352,368,55,1,0,0,0,69.97,0.90,14,583,69.97
105,6035,4830,1205,8120,1109,0.13658,320,344,368,60,1,0,0,0,69.97,0.33,8,583,69.97
106,6064,4850,1214,8126,1094,0.13463,320,344,360,1728,1,0,0,0,69.97,0.44,13,583,69.97
107,6014,4811,1203,7832,913,0.11657,320,352,368,2560,1,1,0,0,69.97,0.38,9,586,69.97
108,6034,4826,1208,7843,802,0.10226,320,352,360,64,1,0,0,0,69.97,0.46,12,586,69.97
109,6028,4823,1205,7810,900,0.11524,320,352,360,63,1,0,0,0,69.97,0.49,12,586,69.97
110,6043,4837,1206,7819,1043,0.13339,320,352,360,2240,1,1,0,0,69.96,0.25,9,585,69.96
111,6065,4849,1216,8011,1006,0.12558,320,336,376,2368,1,0,1,0,69.97,1.34,18,586,69.97
112,6043,4834,1209,7962,831,0.10437,320,352,624,60,1,0,0,0,69.98,0.39,15,586,69.98
113,6040,4834,1206,8171,1113,0.13621,320,352,368,58,1,0,0,0,69.98,0.43,11,586,69.98
114,6006,4803,1203,7638,1136,0.14873,320,344,384,3200,1,1,0,0,69.97,0.81,19,587,69.97
115,6032,4825,1207,6736,888,0.13183,328,352,384,3392,1,1,0,0,69.98,0.68,25,600,69.98
116,6038,4831,1207,8148,1106,0.13574,328,344,384,64,1,0,0,0,69.98,0.83,26,600,69.98
117,6009,4809,1200,8222,1031,0.12540,320,344,368,66,1,0,0,0,69.98,0.44,26,600,69.98
118,6032,4823,1209,8271,1177,0.14230,320,352,368,62,1,0,0,0,69.98,0.49,20,600,69.98
119,6043,4838,1205,8094,1167,0.14418,320,352,368,2624,1,1,0,0,69.97,0.92,18,599,69.97
120,6036,4826,1210,7829,849,0.10844,328,352,376,70,1,0,0,0,69.97,0.79,19,599,69.97
121,6028,4824,1204,7952,866,0.10890,320,344,360,57,1,0,0,0,69.98,1.24,19,599,69.98
122,6038,4829,1209,7999,1011,0.12639,320,344,360,2432,1,1,0,0,69.98,0.50,15,597,69.98
123,6021,4818,1203,8235,1228,0.14912,320,344,360,1216,1,0,0,0,69.97,0.43,10,597,69.97
124,6023,4817,1206,7830,1004,0.12822,320,352,360,55,1,0,0,0,69.97,0.54,13,597,69.97
125,6022,4817,1205,7927,1158,0.14608,328,352,376,54,1,0,0,0,69.97,0.53,12,597,69.97
126,6036,4829,1207,8062,1394,0.17291,320,344,360,2624,1,1,0,0,69.97,0.80,8,600,69.97
127,6038,4831,1207,8284,1543,0.18626,320,344,360,54,1,0,0,0,69.97,0.70,20,600,69.97
128,6060,4848,1212,7914,1096,0.13849,328,352,368,102,1,0,0,0,69.97,0.42,11,600,69.97
129,6051,4841,1210,7829,923,0.11790,320,352,368,384,1,1,0,0,69.97,0.70,15,599,69.97
130,6020,4817,1203,8034,1001,0.12460,320,352,360,56,1,0,0,0,69.97,0.76,19,599,69.97
131,6033,4824,1209,7997,808,0.10104,320,344,360,61,1,0,0,0,69.97,0.46,12,599,69.97
132,6052,4848,1204,7905,912,0.11537,320,352,368,2368,1,1,0,0,69.97,0.59,15,597,69.97
133,6032,4821,1211,7841,723,0.09221,320,352,368,60,1,0,0,0,69.97,0.82,20,597,69.97
134,6020,4818,1202,8118,1001,0.12331,320,344,360,60,1,0,0,0,69.97,0.34,11,597,69.97
135,6029,4820,1209,8124,1069,0.13159,320,336,360,2304,1,1,0,0,68.41,0.68,17,597,68.41
136,6065,4863,1202,8037,889,0.11061,320,344,376,64,1,0,0,0,69.97,0.85,17,597,69.97
137,6041,4822,1219,8198,1121,0.13674,320,336,360,39,1,0,0,0,69.97,0.59,10,597,69.97
138,6058,4850,1208,7981,923,0.11565,320,344,360,148,1,0,0,0,69.97,0.91,13,597,69.97
139,6063,4847,1216,8209,1242,0.15130,320,352,368,2432,1,1,0,0,69.97,0.38,9,598,69.97
