t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb
1,6051,4838,1213,4820,894,0.18548,328,352,368,54,0,0,0,0,69.96,0.37,7,384,69.96
2,6030,4827,1203,4808,844,0.17554,328,352,368,76,0,0,0,0,69.96,0.19,3,384,69.96
3,6037,4826,1211,4813,854,0.17744,328,352,368,58,0,0,0,0,69.96,0.52,13,384,69.96
4,6062,4850,1212,4831,901,0.18650,320,352,360,54,0,0,0,0,69.96,0.20,4,384,69.96
5,6014,4813,1201,4790,874,0.18246,336,352,368,53,0,0,0,0,69.96,0.66,9,384,69.96
6,6064,4851,1213,4833,887,0.18353,328,352,360,53,0,0,0,0,69.96,0.39,11,384,69.96
7,6041,4833,1208,4802,830,0.17284,336,352,368,53,0,0,0,0,69.96,0.13,4,384,69.96
8,6065,4852,1213,4829,794,0.16442,320,352,360,53,0,0,0,0,69.96,0.38,6,384,69.96
9,6041,4831,1210,4809,807,0.16781,336,352,368,55,0,0,0,0,69.96,0.11,2,384,69.96
10,6025,4822,1203,4798,870,0.18133,328,352,360,57,0,0,0,0,69.96,0.03,5,384,69.96
11,6045,4834,1211,4817,830,0.17231,336,352,368,59,0,0,0,0,69.96,0.78,8,384,69.96
12,6019,4816,1203,4796,744,0.15513,336,352,368,58,0,0,0,0,69.96,0.10,6,384,69.96
13,6028,4824,1204,4801,818,0.17038,336,352,368,55,0,0,0,0,69.96,0.49,6,384,69.96
14,6031,4823,1208,4798,894,0.18633,328,352,360,57,0,0,0,0,69.96,0.71,8,384,69.96
15,6017,4814,1203,4793,931,0.19424,328,352,368,54,0,0,0,0,69.96,0.58,12,384,69.96
16,6026,4820,1206,4801,920,0.19163,320,352,360,49,0,0,0,0,69.96,0.87,15,384,69.96
17,6064,4853,1211,5203,842,0.16183,328,352,368,576,1,0,1,0,69.96,0.33,8,385,69.96
18,6031,4823,1208,6870,1007,0.14658,320,344,424,3328,1,1,0,0,69.97,0.68,19,407,69.97
19,6039,4831,1208,8278,1427,0.17238,320,352,360,88,1,0,0,0,69.97,0.40,15,407,69.97
20,6063,4855,1208,7909,1095,0.13845,320,352,360,62,1,0,0,0,69.97,0.37,8,407,69.97
21,6050,4838,1212,8203,1564,0.19066,320,344,368,61,1,0,0,0,69.98,0.40,10,407,69.98
22,6063,4850,1213,8057,1149,0.14261,320,344,360,2432,1,1,0,0,69.97,1.02,22,437,69.97
23,6035,4829,1206,8186,1351,0.16504,320,344,360,2560,1,1,0,0,69.97,0.82,20,438,69.97
24,6036,4830,1206,8018,1079,0.13457,320,352,360,108,1,0,0,0,69.97,0.43,17,438,69.97
25,6024,4815,1209,8187,1277,0.15598,320,344,360,78,1,0,0,0,69.97,0.45,21,438,69.97
26,6012,4813,1199,7732,924,0.11950,328,352,360,1792,1,1,0,0,69.97,0.22,12,439,69.97
27,6033,4823,1210,8062,1178,0.14612,320,352,368,58,1,0,0,0,69.97,0.52,9,439,69.97
28,6008,4806,1202,7883,871,0.11049,320,344,360,59,1,0,0,0,69.97,0.24,6,439,69.97
29,6031,4827,1204,7849,951,0.12116,320,344,360,2048,1,1,0,0,69.97,0.66,14,442,69.97
30,6052,4840,1212,7906,909,0.11498,320,344,360,53,1,0,0,0,69.97,0.34,13,442,69.97
31,6018,4817,1201,7791,902,0.11577,320,352,360,78,1,0,0,0,69.97,0.13,7,442,69.97
32,6037,4827,1210,8015,1071,0.13362,320,344,360,560,1,0,0,0,69.97,0.90,18,442,69.97
33,6041,4834,1207,8030,1128,0.14047,320,344,360,1440,1,1,0,0,69.97,0.39,16,445,69.97
34,6067,4852,1215,8101,1151,0.14208,320,344,360,168,1,0,0,0,69.97,0.41,12,445,69.97
35,6064,4854,1210,8002,954,0.11922,320,352,368,66,1,0,0,0,69.97,0.77,15,445,69.97
36,6006,4804,1202,7897,1018,0.12891,320,344,360,1792,1,1,0,0,69.97,0.36,10,448,69.97
37,6034,4825,1209,8050,1159,0.14398,320,352,360,70,1,0,0,0,69.97,0.50,9,448,69.97
38,6023,4820,1203,7966,1085,0.13620,320,352,368,55,1,0,0,0,69.97,0.48,12,448,69.97
39,6012,4812,1200,7766,1030,0.13263,320,352,368,1984,1,1,0,0,69.97,0.44,13,451,69.97
40,6016,4809,1207,7990,1146,0.14343,320,352,360,656,1,0,0,0,69.97,0.17,10,451,69.97
41,6023,4820,1203,7852,911,0.11602,320,352,368,50,1,0,0,0,69.97,0.52,11,451,69.97
42,6032,4824,1208,8001,1040,0.12998,320,344,360,58,1,0,0,0,69.97,0.21,6,451,69.97
43,6019,4815,1204,8253,1495,0.18115,320,344,360,2048,1,1,0,0,69.97,0.41,12,454,69.97
44,6015,4813,1202,8394,1761,0.20979,320,352,360,1600,1,0,0,0,69.97,0.11,8,454,69.97
45,6037,4832,1205,8405,1689,0.20095,320,344,360,55,1,0,0,0,69.97,0.64,10,454,69.97
46,6035,4826,1209,7796,977,0.12532,328,352,368,896,1,1,0,0,69.96,1.19,20,457,69.96
47,6057,4847,1210,8232,1311,0.15926,320,344,360,80,1,0,0,0,69.96,0.64,15,457,69.96
48,6065,4852,1213,8067,959,0.11888,320,352,368,59,1,0,0,0,69.97,1.37,20,457,69.97
49,6049,4837,1212,8034,1089,0.13555,328,352,360,2432,1,1,0,0,69.97,0.89,15,460,69.97
50,6052,4846,1206,8153,1027,0.12597,320,344,368,59,1,0,0,0,69.97,0.89,11,460,69.97
51,6064,4848,1216,7896,740,0.09372,320,352,360,70,1,0,0,0,69.97,0.21,7,460,69.97
52,6028,4822,1206,7836,726,0.09265,320,344,360,55,1,0,0,0,69.96,0.87,15,460,69.96
53,6062,4850,1212,8110,1072,0.13218,320,352,360,1856,1,1,0,0,69.96,0.48,11,463,69.96
54,6035,4827,1208,7783,811,0.10420,328,352,368,72,1,0,0,0,69.97,0.22,8,463,69.97
55,6041,4834,1207,8083,1185,0.14660,320,344,360,57,1,0,0,0,69.97,0.50,10,463,69.97
56,6034,4826,1208,7797,920,0.11799,328,352,368,58,1,0,0,0,69.97,0.22,6,463,69.97
57,6039,4836,1203,7761,853,0.10991,328,352,360,880,1,1,0,0,69.97,0.73,13,466,69.97
58,6028,4817,1211,7857,924,0.11760,320,344,360,66,1,0,0,0,69.97,0.29,15,466,69.97
59,6017,4814,1203,8248,1307,0.15846,320,344,360,114,1,0,0,0,69.97,0.80,15,466,69.97
60,6049,4843,1206,7885,815,0.10336,320,344,360,2048,1,1,0,0,69.97,0.25,9,469,69.97
61,6033,4824,1209,8014,1037,0.12940,320,344,360,56,1,0,0,0,69.97,0.47,7,469,69.97
62,6010,4807,1203,7973,1080,0.13546,320,344,360,2112,1,0,0,0,69.97,0.23,7,469,69.97
63,6006,4809,1197,7709,900,0.11675,328,352,368,3008,1,1,0,0,69.97,0.20,9,472,69.97
64,6050,4836,1214,7867,739,0.09394,320,344,368,1856,1,0,1,0,69.96,0.72,11,473,69.96
65,6044,4836,1208,8488,1404,0.16541,320,352,624,68,1,0,0,0,69.97,0.62,15,473,69.97
66,6039,4830,1209,7870,876,0.11131,320,352,368,55,1,0,0,0,69.97,0.23,7,473,69.97
67,6022,4817,1205,7701,1066,0.13842,320,352,384,3264,1,1,0,0,69.97,0.53,10,476,69.97
68,6067,4856,1211,7351,862,0.11726,320,352,408,3264,1,1,0,0,69.98,0.19,11,479,69.98
69,6064,4849,1215,8398,1183,0.14087,320,344,368,832,1,0,0,0,69.98,0.33,13,479,69.98
70,6059,4849,1210,8182,1107,0.13530,320,344,368,52,1,0,0,0,69.98,0.26,9,479,69.98
71,6039,4830,1209,7861,1025,0.13039,328,352,384,2560,1,1,0,0,69.98,0.48,23,490,69.98
72,6030,4826,1204,8076,1057,0.13088,320,352,576,57,1,0,0,0,69.98,0.53,23,490,69.98
73,6034,4825,1209,8079,1138,0.14086,320,352,368,72,1,0,0,0,69.97,0.60,17,490,69.97
74,6040,4833,1207,7835,952,0.12151,328,352,368,136,1,0,0,0,69.98,0.51,15,490,69.98
75,6014,4811,1203,7828,834,0.10654,320,352,368,2496,1,1,0,0,69.97,0.24,12,493,69.97
76,6045,4838,1207,7902,796,0.10073,320,344,368,80,1,0,0,0,69.97,0.85,14,493,69.97
77,6046,4834,1212,8281,1214,0.14660,320,344,360,64,1,0,0,0,69.97,0.60,14,493,69.97
78,6032,4825,1207,8160,1237,0.15159,320,352,368,1824,1,1,0,0,69.97,0.44,10,492,69.97
79,6032,4826,1206,7981,1041,0.13043,328,352,368,86,1,0,0,0,69.97,0.86,17,492,69.97
80,6029,4823,1206,7933,1024,0.12908,320,352,368,48,1,0,0,0,69.97,0.24,9,492,69.97
81,6030,4827,1203,7817,901,0.11526,328,352,376,57,1,0,0,0,69.97,0.50,8,492,69.97
82,6033,4832,1201,8024,1057,0.13173,328,352,368,2176,1,1,0,0,69.97,0.55,12,495,69.97
83,6059,4842,1217,8067,981,0.12161,320,352,624,560,1,0,0,0,69.97,0.41,6,495,69.97
84,6020,4813,1207,7923,779,0.09832,320,344,360,55,1,0,0,0,69.97,0.41,10,495,69.97
85,6063,4852,1211,7884,793,0.10058,320,352,360,2432,1,1,0,0,69.97,0.32,10,498,69.97
86,6055,4842,1213,8050,1009,0.12534,328,352,368,112,1,0,0,0,69.97,0.70,14,498,69.97
87,6011,4809,1202,8198,1242,0.15150,320,344,360,132,1,0,0,0,69.97,0.22,11,498,69.97
88,6021,4817,1204,7848,833,0.10614,320,352,368,80,1,0,0,0,69.97,0.35,8,498,69.97
89,6051,4841,1210,7859,879,0.11185,320,344,368,1440,1,1,0,0,69.97,0.69,10,501,69.97
90,6008,4806,1202,7820,886,0.11330,320,352,360,52,1,0,0,0,69.97,0.28,9,501,69.97
91,6053,4843,1210,8322,1380,0.16583,320,352,376,2240,1,1,0,0,69.97,0.62,14,500,69.97
92,6039,4831,1208,7902,933,0.11807,320,352,368,416,1,0,0,0,69.96,0.35,11,500,69.96
93,6044,4836,1208,8069,1015,0.12579,320,344,360,78,1,0,0,0,69.96,0.20,11,500,69.96
94,6008,4807,1201,7824,805,0.10289,320,344,360,64,1,0,0,0,69.97,0.54,14,500,69.97
95,6040,4830,1210,7807,869,0.11131,320,352,368,1344,1,1,0,0,69.97,0.60,16,503,69.97
96,6068,4855,1213,8402,1269,0.15104,320,344,368,68,1,0,0,0,69.97,0.52,9,503,69.97
97,6021,4817,1204,7940,849,0.10693,320,336,360,48,1,0,0,0,69.97,0.48,11,503,69.97
98,6005,4805,1200,7906,777,0.09828,312,328,352,2240,1,1,0,0,69.97,0.39,12,506,69.97
99,6067,4852,1215,8124,889,0.10943,320,344,360,51,1,0,0,0,69.97,0.52,9,506,69.97
100,6039,4831,1208,7876,718,0.09116,320,344,368,62,1,0,0,0,69.97,0.29,10,506,69.97
101,6029,4823,1206,8288,1148,0.13851,320,336,352,48,1,0,0,0,69.97,0.63,14,506,69.97
102,6034,4829,1205,8110,1024,0.12626,320,344,360,1536,1,1,0,0,69.96,0.90,15,509,69.96
103,6048,4838,1210,7846,788,0.10043,320,352,368,78,1,0,0,0,69.97,0.48,14,509,69.97
104,6039,4830,1209,7906,799,0.10106,320,352,368,58,1,0,0,0,69.96,0.77,12,509,69.96
105,6039,4831,1208,8376,1462,0.17455,320,352,368,1920,1,1,0,0,69.96,0.73,20,512,69.96
