t,type,level,bytes
-29.950,flush_begin,0,0
-29.934,flush_end,0,6638552
-29.924,flush_begin,0,0
-29.907,flush_end,0,6638554
-29.898,flush_begin,0,0
-29.882,flush_end,0,6638553
-29.873,flush_begin,0,0
-29.854,flush_end,0,6638553
-29.846,flush_begin,0,0
-29.828,flush_end,0,6638553
-29.820,flush_begin,0,0
-29.802,flush_end,0,6638554
-29.794,flush_begin,0,0
-29.776,flush_end,0,6638552
-29.768,flush_begin,0,0
-29.750,flush_end,0,6638554
-29.742,flush_begin,0,0
-29.725,flush_end,0,6638554
-29.716,flush_begin,0,0
-29.698,flush_end,0,6638552
-29.689,flush_begin,0,0
-29.671,flush_end,0,6638553
-29.663,flush_begin,0,0
-29.646,flush_end,0,6638553
-29.637,flush_begin,0,0
-29.620,flush_end,0,6638554
-29.611,flush_begin,0,0
-29.593,flush_end,0,6638552
-29.585,flush_begin,0,0
-29.567,flush_end,0,6638554
-29.559,flush_begin,0,0
-29.542,flush_end,0,6638554
-29.533,flush_begin,0,0
-29.516,flush_end,0,6638552
-29.507,flush_begin,0,0
-29.491,flush_end,0,6638555
-29.464,trivial_move,3,6638552
-29.464,flush_begin,0,0
-29.447,flush_end,0,6638553
-29.427,trivial_move,3,6638554
-29.427,flush_begin,0,0
-29.409,flush_end,0,6638553
-29.391,trivial_move,3,6638553
-29.391,flush_begin,0,0
-29.372,flush_end,0,6638552
-29.354,trivial_move,3,6638553
-29.354,flush_begin,0,0
-29.336,flush_end,0,6638554
-29.318,trivial_move,3,6638553
-29.318,flush_begin,0,0
-29.300,flush_end,0,6638554
-29.282,trivial_move,3,6638554
-29.282,flush_begin,0,0
-29.264,flush_end,0,6638552
-29.245,trivial_move,3,6638552
-29.245,flush_begin,0,0
-29.227,flush_end,0,6638554
-29.209,trivial_move,3,6638554
-29.209,flush_begin,0,0
-29.191,flush_end,0,6638553
-29.172,trivial_move,3,6638554
-29.172,flush_begin,0,0
-29.153,flush_end,0,6638553
-29.136,trivial_move,3,6638552
-29.136,flush_begin,0,0
-29.116,flush_end,0,6638553
-29.099,trivial_move,3,6638553
-29.099,flush_begin,0,0
-29.080,flush_end,0,6638554
-29.063,trivial_move,3,6638553
-29.063,flush_begin,0,0
-29.043,flush_end,0,6638553
-29.026,trivial_move,3,6638554
-29.026,flush_begin,0,0
-29.007,flush_end,0,6638552
