t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended
1,8020,6516,1504,6987,3277,0.46901,328,352,672,58,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0
2,8085,6569,1516,7027,3763,0.53551,25,352,672,56,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0
3,8087,6571,1516,7010,4208,0.60029,18,352,672,62,0,0,0,0,63.96,0.04,1,86,63.96,0,0,0,0
4,8084,6567,1517,6942,4165,0.59997,22,352,688,66,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0
5,8074,6562,1512,6972,4188,0.60069,18,352,672,57,0,0,0,0,63.95,0.05,1,86,63.95,0,0,0,0
6,8012,6509,1503,6944,3962,0.57056,24,352,672,59,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0
7,8090,6573,1517,7025,4041,0.57523,24,352,672,64,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0
8,8010,6507,1503,8587,4154,0.48375,28,360,688,2496,1,0,1,0,63.97,0.04,1,87,63.97,0,0,0,0
9,8009,6507,1502,11697,5521,0.47200,288,360,944,2304,1,1,0,0,63.98,0.12,4,97,63.98,0,0,0,0
10,8052,6542,1510,13202,7074,0.53583,272,360,688,2304,1,0,0,0,63.97,0.19,4,97,63.96,0,0,0,0
11,8028,6523,1505,11016,4273,0.38789,320,360,928,1120,1,1,0,0,63.97,0.28,2,100,63.97,0,0,0,0
12,8033,6528,1505,10527,3043,0.28907,328,368,688,68,1,0,0,0,63.97,0.00,0,100,63.97,0,0,0,0
13,8005,6504,1501,10786,4212,0.39051,320,360,688,76,1,0,0,0,63.98,0.14,3,100,63.98,0,0,0,0
14,8026,6521,1505,11510,4989,0.43345,312,352,672,57,1,0,0,0,63.98,0.05,2,100,63.98,0,0,0,0
15,8017,6514,1503,10793,3896,0.36097,320,360,688,2496,1,1,0,0,63.98,0.00,0,97,63.98,0,0,0,0
16,8019,6515,1504,10564,3581,0.33898,320,352,672,66,1,0,0,0,63.98,0.00,0,97,63.98,0,0,0,0
17,8012,6510,1502,11259,4541,0.40332,320,352,672,55,1,0,0,0,63.97,0.02,1,97,63.97,0,0,0,0
18,8055,6545,1510,11610,5144,0.44307,312,360,688,1440,1,1,0,0,63.97,0.00,0,100,63.97,0,0,0,0
19,8015,6512,1503,10554,3850,0.36479,320,360,688,57,1,0,0,0,63.97,0.00,0,100,63.97,0,0,0,0
20,8069,6556,1513,11088,4180,0.37698,320,360,688,68,1,0,0,0,63.97,0.05,2,100,63.97,0,0,0,0
21,8084,6569,1515,10613,3760,0.35428,320,360,672,61,1,0,0,0,63.97,0.09,1,100,63.97,0,0,0,0
22,8039,6531,1508,10568,3718,0.35182,312,352,672,2176,1,1,0,0,63.97,0.24,4,103,63.97,0,0,0,0
23,8010,6509,1501,10404,3532,0.33948,320,352,688,72,1,0,0,0,63.97,0.00,0,103,63.97,0,0,0,0
24,8005,6503,1502,11130,3957,0.35553,320,360,688,66,1,0,0,0,63.97,0.13,1,103,63.97,0,0,0,0
25,8011,6509,1502,10545,3135,0.29730,328,368,688,1568,1,1,0,0,63.97,0.28,5,100,63.97,0,0,0,0
26,8088,6571,1517,10577,3110,0.29403,328,360,688,74,1,0,0,0,63.97,0.06,1,100,63.97,0,0,0,0
27,8085,6569,1516,11081,3831,0.34573,320,360,688,82,1,0,0,0,63.97,0.06,1,100,63.97,0,0,0,0
28,8009,6510,1499,10898,4311,0.39558,320,360,688,74,1,0,0,0,63.97,0.01,1,100,63.97,0,0,0,0
29,8012,6509,1503,11062,4926,0.44531,34,352,672,1952,1,1,0,0,63.97,0.18,2,103,63.97,0,0,0,0
30,8085,6569,1516,10581,4148,0.39202,312,360,688,66,1,0,0,0,63.97,0.18,2,103,63.97,0,0,0,0
31,8063,6550,1513,10903,4772,0.43768,33,360,688,76,1,0,0,0,63.97,0.01,1,103,63.97,0,0,0,0
32,8020,6516,1504,10927,4743,0.43406,32,360,688,66,1,0,0,0,63.97,0.00,0,103,63.97,0,0,0,0
33,8063,6554,1509,10923,4519,0.41371,320,360,688,2624,1,1,0,0,63.96,0.05,1,106,63.96,0,0,0,0
34,8008,6504,1504,11044,4892,0.44296,252,360,688,68,1,0,0,0,63.97,0.00,0,106,63.97,0,0,0,0
35,8029,6525,1504,11011,4738,0.43030,38,352,672,66,1,0,0,0,63.97,0.00,0,106,63.97,0,0,0,0
36,8013,6508,1505,10330,4172,0.40387,248,360,688,1472,1,1,0,0,63.97,0.02,2,109,63.97,0,0,0,0
37,8007,6508,1499,11358,5615,0.49437,20,352,656,1760,1,0,0,0,63.96,0.07,1,109,63.96,0,0,0,0
38,8009,6506,1503,11272,5569,0.49406,24,352,672,90,1,0,0,0,63.96,0.04,1,109,63.96,0,0,0,0
39,8014,6511,1503,9146,3973,0.43440,320,360,688,1408,0,1,0,0,63.96,0.00,1,112,63.96,0,0,0,0
40,8013,6511,1502,10119,3404,0.33640,328,368,688,63,1,0,0,0,63.96,0.18,3,112,63.96,0,0,0,0
