t,type,level,bytes
-29.940,flush_begin,0,0
-29.922,flush_end,0,6638552
-29.914,flush_begin,0,0
-29.899,flush_end,0,6638554
-29.891,flush_begin,0,0
-29.873,flush_end,0,6638553
-29.864,flush_begin,0,0
-29.847,flush_end,0,6638553
-29.839,flush_begin,0,0
-29.821,flush_end,0,6638553
-29.813,flush_begin,0,0
-29.798,flush_end,0,6638554
-29.789,flush_begin,0,0
-29.773,flush_end,0,6638552
-29.765,flush_begin,0,0
-29.749,flush_end,0,6638554
-29.740,flush_begin,0,0
-29.725,flush_end,0,6638554
-29.716,flush_begin,0,0
-29.700,flush_end,0,6638552
-29.691,flush_begin,0,0
-29.675,flush_end,0,6638553
-29.666,flush_begin,0,0
-29.651,flush_end,0,6638553
-29.642,flush_begin,0,0
-29.627,flush_end,0,6638554
-29.618,flush_begin,0,0
-29.602,flush_end,0,6638552
-29.593,flush_begin,0,0
-29.578,flush_end,0,6638554
-29.569,flush_begin,0,0
-29.551,flush_end,0,6638554
-29.529,trivial_move,3,6638552
-29.529,flush_begin,0,0
-29.512,flush_end,0,6638552
-29.493,trivial_move,3,6638554
-29.493,flush_begin,0,0
-29.477,flush_end,0,6638555
-29.458,trivial_move,3,6638553
-29.458,flush_begin,0,0
-29.442,flush_end,0,6638553
-29.424,trivial_move,3,6638553
-29.424,flush_begin,0,0
-29.408,flush_end,0,6638553
-29.390,trivial_move,3,6638553
-29.390,flush_begin,0,0
-29.374,flush_end,0,6638552
-29.356,trivial_move,3,6638554
-29.356,flush_begin,0,0
-29.340,flush_end,0,6638554
-29.322,trivial_move,3,6638552
-29.322,flush_begin,0,0
-29.306,flush_end,0,6638554
-29.297,flush_begin,0,0
-29.282,flush_end,0,6638552
-29.273,flush_begin,0,0
-29.257,flush_end,0,6638554
-29.239,trivial_move,3,6638554
-29.239,flush_begin,0,0
-29.223,flush_end,0,6638553
-29.205,trivial_move,3,6638554
-29.205,flush_begin,0,0
-29.189,flush_end,0,6638553
-29.171,trivial_move,3,6638552
-29.171,flush_begin,0,0
-29.155,flush_end,0,6638553
-29.136,trivial_move,3,6638553
-29.136,flush_begin,0,0
-29.119,flush_end,0,6638554
-29.101,trivial_move,3,6638553
-29.101,flush_begin,0,0
-29.084,flush_end,0,6638553
-29.066,trivial_move,3,6638554
-29.066,flush_begin,0,0
-29.049,flush_end,0,6638552
-29.031,trivial_move,3,6638552
-29.031,flush_begin,0,0
-29.014,flush_end,0,6638554
-28.996,trivial_move,3,6638554
-28.996,flush_begin,0,0
-28.980,flush_end,0,6638553
-28.962,trivial_move,3,6638554
-28.962,flush_begin,0,0
-28.945,flush_end,0,6638553
-28.927,trivial_move,3,6638552
-28.927,flush_begin,0,0
-28.911,flush_end,0,6638553
-28.892,trivial_move,3,6638555
-28.892,flush_begin,0,0
-28.875,flush_end,0,6638555
-28.857,trivial_move,3,6638553
-28.857,flush_begin,0,0
-28.840,flush_end,0,6638553
-28.821,trivial_move,3,6638553
-28.821,flush_begin,0,0
-28.803,flush_end,0,6638553
-28.794,flush_begin,0,0
-28.778,flush_end,0,6638554
-28.760,trivial_move,3,6638552
-28.760,flush_begin,0,0
-28.743,flush_end,0,6638552
-28.725,trivial_move,3,6638554
-28.725,flush_begin,0,0
-28.708,flush_end,0,6638553
-28.689,trivial_move,3,6638554
-28.689,flush_begin,0,0
