t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once
1,8088,6570,1518,7069,3391,0.47970,320,360,672,68,0,0,0,0,63.96,0.00,0,87,63.96,0,0,0,0,0,0
2,8016,6513,1503,6954,3670,0.52775,31,360,688,64,0,0,0,0,63.96,0.00,0,87,63.96,0,0,0,0,0,0
3,8048,6543,1505,6971,4216,0.60479,20,352,672,59,0,0,0,0,63.96,0.05,1,87,63.96,0,0,0,0,0,0
4,8013,6508,1505,6892,4075,0.59127,20,360,672,61,0,0,0,0,63.96,0.00,0,87,63.96,0,0,0,0,0,0
5,8065,6551,1514,6963,4224,0.60664,18,352,672,60,0,0,0,0,63.96,0.05,1,87,63.96,0,0,0,0,0,0
6,8036,6532,1504,6958,4001,0.57502,22,360,672,59,0,0,0,0,63.96,0.00,0,87,63.96,0,0,0,0,0,0
7,8023,6521,1502,6966,3961,0.56862,23,352,672,61,0,0,0,0,63.96,0.00,0,87,63.96,0,0,0,0,0,0
8,8051,6537,1514,7791,4189,0.53767,26,352,672,2112,1,0,1,0,63.98,0.03,1,88,63.98,484,0,0,0,484,236
9,8031,6525,1506,9940,5046,0.50765,49,368,688,1920,1,1,0,0,63.97,0.07,3,98,63.97,4500,0,0,0,484,484
10,8011,6510,1501,9939,4938,0.49683,280,368,688,57,1,0,0,0,63.98,0.25,4,98,63.98,0,0,0,0,484,484
11,8073,6558,1515,10991,5953,0.54162,320,360,928,62,1,0,0,0,63.98,0.00,0,98,63.98,0,396,396,0,484,484
12,8010,6509,1501,9905,5363,0.54144,320,360,704,59,1,0,0,0,63.98,0.15,1,98,63.98,0,484,484,0,484,484
13,8065,6552,1513,9916,4600,0.46390,312,360,704,61,1,0,0,0,63.97,0.14,3,98,63.97,0,484,484,0,484,484
14,8009,6508,1501,9860,3877,0.39320,312,352,672,1184,1,1,0,0,55.93,0.04,1,101,55.94,1186,484,484,0,484,484
15,8053,6543,1510,9745,3795,0.38943,336,360,688,68,1,0,0,0,63.98,0.00,0,101,63.98,0,484,484,0,484,484
16,8036,6533,1503,10563,3813,0.36098,320,352,672,62,1,0,0,0,63.98,0.00,0,101,63.98,0,484,484,0,484,484
17,8012,6511,1501,10242,4792,0.46788,328,368,688,70,1,0,0,0,63.98,0.00,0,101,63.98,0,484,484,0,484,484
18,8038,6527,1511,10318,3986,0.38632,328,368,704,70,1,0,0,0,63.98,0.00,0,101,63.98,0,484,484,0,484,484
19,8052,6542,1510,9363,4341,0.46363,320,360,688,74,1,1,0,0,63.72,0.09,2,104,63.72,2254,484,484,0,484,484
20,8013,6510,1503,9843,4813,0.48898,328,360,688,59,1,0,0,0,63.97,0.06,4,104,63.97,0,484,484,0,484,484
21,8066,6555,1511,9989,4199,0.42036,328,360,688,70,1,0,0,0,63.97,0.16,2,104,63.97,0,484,484,0,484,484
22,8092,6573,1519,10734,4327,0.40311,312,360,672,54,1,0,0,0,63.97,0.02,1,104,63.97,0,484,484,0,484,484
23,8175,6645,1530,10157,4320,0.42532,320,360,688,1536,1,1,0,0,63.97,0.00,1,101,63.97,0,484,484,0,484,484
24,8049,6537,1512,10678,3270,0.30624,336,368,704,66,1,0,0,0,63.97,0.18,2,101,63.97,1821,484,484,0,484,484
25,8027,6525,1502,9664,4036,0.41763,328,368,688,61,1,0,0,0,63.97,0.16,3,101,63.97,0,484,484,0,484,484
26,8043,6531,1512,9163,3720,0.40598,328,368,688,60,1,0,0,0,63.97,0.00,0,101,63.97,0,484,484,0,484,484
27,8067,6556,1511,9797,3629,0.37042,336,368,688,66,1,0,0,0,63.97,0.14,1,101,63.97,0,484,484,0,484,484
28,8035,6527,1508,10925,4484,0.41043,320,360,688,1824,1,1,0,0,58.02,0.32,4,103,58.03,1401,484,484,0,484,484
29,8022,6520,1502,9142,4838,0.52921,240,352,688,62,1,0,0,0,63.97,0.00,0,103,63.97,0,484,484,0,484,484
30,8012,6508,1504,9590,4374,0.45610,252,360,688,61,1,0,0,0,63.97,0.00,0,103,63.97,0,484,484,0,484,484
31,8051,6542,1509,10735,5470,0.50955,40,360,688,72,1,0,0,0,63.97,0.00,0,103,63.97,0,484,484,0,484,484
32,8011,6509,1502,9973,4479,0.44911,39,360,688,68,1,0,0,0,63.97,0.00,0,103,63.97,0,484,484,0,484,484
33,8020,6516,1504,10377,4292,0.41361,36,360,688,272,1,1,0,0,56.33,0.20,3,106,56.35,1594,484,484,0,484,484
34,8081,6566,1515,11124,4987,0.44831,280,360,688,328,1,0,0,0,63.97,0.04,1,106,63.97,0,484,484,0,484,484
35,8062,6550,1512,10004,5068,0.50660,29,360,688,66,1,0,0,0,63.97,0.04,2,106,63.97,0,484,484,0,484,484
36,8016,6513,1503,9686,4751,0.49050,44,360,688,66,1,0,0,0,63.97,0.02,1,106,63.97,0,484,484,0,484,484
37,8038,6532,1506,10677,4855,0.45472,29,360,688,1184,1,1,0,0,57.36,0.20,2,109,57.37,1064,484,484,0,484,484
38,8018,6513,1505,9205,4946,0.53732,26,360,688,61,1,0,0,0,63.97,0.04,1,109,63.97,0,484,484,0,484,484
39,8010,6509,1501,9760,4185,0.42879,280,360,688,72,1,0,0,0,63.96,0.00,0,109,63.96,0,484,484,0,484,484
40,8062,6550,1512,10479,3702,0.35328,328,368,688,61,1,0,0,0,63.96,0.09,2,109,63.96,0,484,484,0,484,484
41,8044,6538,1506,10360,3532,0.34093,328,368,688,68,1,0,0,0,63.96,0.00,0,109,63.96,0,484,484,0,484,484
42,8060,6549,1511,10117,3631,0.35890,328,368,688,184,1,1,0,0,63.96,0.00,0,112,63.96,1552,484,484,0,484,484
43,8012,6507,1505,9570,3543,0.37022,320,368,672,58,1,0,0,0,63.96,0.01,1,112,63.96,0,484,484,0,484,484
44,8042,6534,1508,10312,3319,0.32186,336,376,688,1008,1,0,0,0,63.96,0.01,1,112,63.96,0,484,484,0,484,484
45,8063,6552,1511,9901,4567,0.46127,328,368,688,116,1,0,0,0,63.96,0.25,2,112,63.96,0,484,484,0,515,484
46,8084,6568,1516,11063,4704,0.42520,320,368,688,328,1,0,1,0,63.97,0.11,2,113,63.97,0,484,484,0,791,700
47,8069,6556,1513,11050,4906,0.44398,328,368,688,3200,1,1,0,0,63.97,0.08,2,116,63.97,455,484,484,0,791,791
48,8046,6537,1509,9844,3832,0.38927,320,624,976,118,1,1,0,0,63.98,0.00,0,123,63.98,2904,484,484,0,791,791
49,8017,6514,1503,10728,4407,0.41079,328,368,928,59,1,0,0,0,63.98,0.06,1,123,63.98,0,487,487,0,791,791
50,8080,6565,1515,10923,4615,0.42250,328,368,704,68,1,0,0,0,63.97,0.04,1,123,63.97,0,783,783,0,791,791
51,8053,6544,1509,10262,4067,0.39632,320,368,704,58,1,0,0,0,63.97,0.00,0,123,63.97,0,791,791,0,791,791
52,8063,6550,1513,9844,3882,0.39435,320,360,688,544,1,1,0,0,61.72,0.06,1,122,61.74,1592,791,791,0,791,791
53,8010,6512,1498,10505,4145,0.39457,312,360,688,63,1,0,0,0,63.98,0.00,0,122,63.98,0,791,791,0,791,791
54,8066,6552,1514,10588,5641,0.53277,33,360,688,66,1,0,0,0,63.97,0.00,0,122,63.97,0,791,791,0,791,791
55,8084,6569,1515,10433,4962,0.47561,37,360,688,61,1,0,0,0,63.97,0.01,1,122,63.97,0,791,791,0,791,791
56,8087,6569,1518,10339,4645,0.44927,32,352,672,1536,1,1,0,0,63.67,0.30,3,121,63.67,1525,791,791,0,791,791
57,8076,6561,1515,10141,5534,0.54571,26,360,688,58,1,0,0,0,63.97,0.01,1,121,63.97,0,791,791,0,791,791
58,8048,6540,1508,10543,4528,0.42948,34,360,688,66,1,0,0,0,63.97,0.00,0,121,63.97,0,791,791,0,791,791
59,8010,6506,1504,10249,4897,0.47780,320,368,720,61,1,0,0,0,63.97,0.16,3,121,63.97,0,791,791,0,791,791
60,8014,6513,1501,10466,3696,0.35314,328,368,704,1536,1,1,0,0,63.97,0.21,2,119,63.97,1096,791,791,0,791,791
61,8007,6510,1497,10591,3810,0.35974,328,368,688,152,1,0,0,0,63.97,0.16,3,119,63.97,0,791,791,0,791,791
