t,type,level,bytes
-29.957,flush_begin,0,0
-29.941,flush_end,0,6638552
-29.932,flush_begin,0,0
-29.915,flush_end,0,6638554
-29.907,flush_begin,0,0
-29.891,flush_end,0,6638553
-29.883,flush_begin,0,0
-29.865,flush_end,0,6638553
-29.858,flush_begin,0,0
-29.841,flush_end,0,6638553
-29.833,flush_begin,0,0
-29.815,flush_end,0,6638554
-29.807,flush_begin,0,0
-29.790,flush_end,0,6638552
-29.782,flush_begin,0,0
-29.764,flush_end,0,6638554
-29.756,flush_begin,0,0
-29.739,flush_end,0,6638554
-29.731,flush_begin,0,0
-29.714,flush_end,0,6638552
-29.705,flush_begin,0,0
-29.688,flush_end,0,6638553
-29.680,flush_begin,0,0
-29.663,flush_end,0,6638553
-29.655,flush_begin,0,0
-29.638,flush_end,0,6638554
-29.630,flush_begin,0,0
-29.612,flush_end,0,6638552
-29.604,flush_begin,0,0
-29.587,flush_end,0,6638554
-29.579,flush_begin,0,0
-29.561,flush_end,0,6638554
-29.542,trivial_move,3,6638552
-29.542,flush_begin,0,0
-29.525,flush_end,0,6638552
-29.507,trivial_move,3,6638554
-29.507,flush_begin,0,0
-29.490,flush_end,0,6638555
-29.472,trivial_move,3,6638553
-29.472,flush_begin,0,0
-29.455,flush_end,0,6638553
-29.437,trivial_move,3,6638553
-29.437,flush_begin,0,0
-29.418,flush_end,0,6638553
-29.400,trivial_move,3,6638553
-29.400,flush_begin,0,0
-29.382,flush_end,0,6638552
-29.363,trivial_move,3,6638554
-29.363,flush_begin,0,0
-29.344,flush_end,0,6638554
-29.325,trivial_move,3,6638552
-29.325,flush_begin,0,0
-29.306,flush_end,0,6638554
-29.287,trivial_move,3,6638554
-29.287,flush_begin,0,0
-29.269,flush_end,0,6638552
-29.250,trivial_move,3,6638554
-29.250,flush_begin,0,0
-29.232,flush_end,0,6638554
-29.211,trivial_move,3,6638552
-29.211,flush_begin,0,0
-29.192,flush_end,0,6638553
-29.173,trivial_move,3,6638553
-29.173,flush_begin,0,0
-29.154,flush_end,0,6638553
-29.136,trivial_move,3,6638553
-29.136,flush_begin,0,0
-29.118,flush_end,0,6638553
-29.100,trivial_move,3,6638554
-29.100,flush_begin,0,0
-29.081,flush_end,0,6638554
-29.062,trivial_move,3,6638552
-29.062,flush_begin,0,0
-29.043,flush_end,0,6638553
-29.023,trivial_move,3,6638554
-29.023,flush_begin,0,0
-29.005,flush_end,0,6638552
-28.986,trivial_move,3,6638554
-28.986,flush_begin,0,0
-28.967,flush_end,0,6638554
-28.948,trivial_move,3,6638552
-28.948,flush_begin,0,0
-28.929,flush_end,0,6638553
-28.911,trivial_move,3,6638555
-28.911,flush_begin,0,0
-28.892,flush_end,0,6638553
-28.873,trivial_move,3,6638553
-28.873,flush_begin,0,0
-28.854,flush_end,0,6638553
-28.835,trivial_move,3,6638553
-28.835,flush_begin,0,0
-28.816,flush_end,0,6638555
-28.796,trivial_move,3,6638552
-28.796,flush_begin,0,0
-28.777,flush_end,0,6638553
-28.758,trivial_move,3,6638554
-28.758,flush_begin,0,0
-28.738,flush_end,0,6638553
-28.719,trivial_move,3,6638554
-28.719,flush_begin,0,0
-28.700,flush_end,0,6638554
-28.681,trivial_move,3,6638552
-28.681,flush_begin,0,0
-28.662,flush_end,0,6638552
-28.644,trivial_move,3,6638554
-28.644,flush_begin,0,0
-28.626,flush_end,0,6638553
-28.607,trivial_move,3,6638553
-28.607,flush_begin,0,0
-28.589,flush_end,0,6638553
-28.572,trivial_move,3,6638553
-28.572,flush_begin,0,0
-28.554,flush_end,0,6638554
-28.535,trivial_move,3,6638553
-28.535,flush_begin,0,0
-28.516,flush_end,0,6638553
-28.497,trivial_move,3,6638554
-28.497,flush_begin,0,0
-28.478,flush_end,0,6638553
-28.460,trivial_move,3,6638553
-28.460,flush_begin,0,0
-28.442,flush_end,0,6638554
-28.423,trivial_move,3,6638552
-28.423,flush_begin,0,0
-28.404,flush_end,0,6638552
-28.385,trivial_move,3,6638554
-28.385,flush_begin,0,0
-28.367,flush_end,0,6638554
-28.348,trivial_move,3,6638553
-28.348,flush_begin,0,0
-28.330,flush_end,0,6638553
-28.312,trivial_move,3,6638553
-28.312,flush_begin,0,0
-28.294,flush_end,0,6638553
-28.275,trivial_move,3,6638553
-28.275,flush_begin,0,0
-28.257,flush_end,0,6638553
-28.239,trivial_move,3,6638555
-28.239,flush_begin,0,0
-28.221,flush_end,0,6638553
-28.203,trivial_move,3,6638553
-28.203,flush_begin,0,0
-28.185,flush_end,0,6638555
-28.167,trivial_move,3,6638553
-28.167,flush_begin,0,0
-28.148,flush_end,0,6638552
-28.130,trivial_move,3,6638554
-28.130,flush_begin,0,0
-28.112,flush_end,0,6638554
-28.093,trivial_move,3,6638552
-28.093,flush_begin,0,0
-28.075,flush_end,0,6638553
-28.057,trivial_move,3,6638553
-28.057,flush_begin,0,0
-28.040,flush_end,0,6638553
