t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once
1,8005,6504,1501,6984,3346,0.47910,256,264,512,16,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0
2,8004,6503,1501,6953,3605,0.51848,11,264,512,18,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0
3,8006,6505,1501,6899,4230,0.61313,7,264,512,17,0,0,0,0,63.96,0.00,1,86,63.96,0,0,0,0,0,0
4,8006,6505,1501,6900,4030,0.58406,8,264,512,16,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0
5,8005,6506,1499,6890,4154,0.60290,7,264,512,16,0,0,0,0,63.96,0.02,1,86,63.96,0,0,0,0,0,0
6,8002,6501,1501,6948,4041,0.58161,8,264,512,17,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0
7,8006,6503,1503,6951,3937,0.56639,8,264,512,16,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0
8,8004,6504,1500,8100,4018,0.49605,10,272,528,2240,1,0,1,0,63.98,1.21,6,87,63.98,61,0,0,0,304,0
9,8019,6515,1504,13317,6477,0.48637,21,272,528,3072,1,1,0,0,63.98,0.21,5,97,63.98,4604,0,0,0,372,172
10,8004,6503,1501,12622,6477,0.51315,252,272,528,1184,1,0,0,0,63.97,4.48,6,97,63.97,0,7,0,0,1484,218
11,8007,6509,1498,9922,4449,0.44840,256,272,736,2112,1,1,0,0,63.97,7.82,8,100,63.97,864,165,16,0,3541,230
12,8011,6507,1504,11567,3398,0.29377,264,344,624,864,1,0,0,0,63.97,3.33,1,100,63.97,0,895,62,0,3541,455
13,8009,6507,1502,11959,4833,0.40413,312,328,624,232,1,0,0,0,63.98,3.41,4,100,63.98,0,1564,93,0,3541,455
14,8002,6503,1499,11436,4418,0.38632,304,328,624,1600,1,1,0,0,53.08,3.01,4,103,53.09,1325,2538,198,0,3541,455
15,8012,6508,1504,10976,3453,0.31460,312,336,624,46,1,0,0,0,63.97,0.36,2,103,63.97,0,3259,255,0,3541,455
16,8008,6506,1502,11541,4082,0.35370,312,336,624,184,1,0,0,0,63.97,0.04,1,103,63.97,0,3516,430,0,3541,455
17,8001,6501,1500,12359,5142,0.41605,304,328,624,2112,1,1,0,0,63.97,0.11,3,100,63.97,1180,3526,440,0,3541,455
18,8041,6534,1507,10999,3828,0.34803,312,328,624,25,1,0,0,0,63.97,0.00,0,100,63.97,0,3540,454,0,3541,455
19,8002,6501,1501,11454,4592,0.40091,304,328,624,544,1,0,0,0,63.97,0.00,1,100,63.97,0,3541,455,0,3541,455
20,8004,6503,1501,10860,3605,0.33195,312,336,624,1632,1,1,0,0,63.92,0.01,1,103,63.92,1327,3541,455,0,3541,455
21,8057,6550,1507,10902,3690,0.33847,312,328,624,41,1,0,0,0,63.97,0.14,2,103,63.97,0,3541,455,0,3541,455
22,8005,6500,1505,9462,3781,0.39960,304,328,624,28,1,0,0,0,63.97,5.61,5,103,63.97,0,3541,455,0,4949,455
23,8004,6503,1501,10463,3977,0.38010,312,328,624,30,1,0,0,0,63.96,8.69,3,103,63.96,0,3541,455,0,5764,455
24,8007,6508,1499,11109,3493,0.31443,312,344,640,2304,1,1,0,0,61.92,8.12,7,106,61.93,726,3719,455,0,5764,455
25,8032,6524,1508,11183,3257,0.29125,312,344,624,43,1,0,0,0,63.97,2.95,4,106,63.97,0,5016,455,0,5764,455
26,8065,6557,1508,10994,3249,0.29552,312,336,624,37,1,0,0,0,63.97,0.02,1,106,63.97,0,5764,455,0,5764,455
27,8034,6523,1511,11937,4520,0.37865,312,328,624,1536,1,1,0,0,63.97,0.28,3,103,63.97,1852,5764,455,0,5764,455
28,8065,6553,1512,11394,4172,0.36616,312,328,624,144,1,0,0,0,63.97,0.00,1,103,63.97,0,5764,455,0,5764,455
29,8034,6528,1506,11898,5181,0.43545,304,328,624,116,1,0,0,0,63.97,0.02,1,103,63.97,0,5764,455,0,5764,455
30,8000,6504,1496,11534,4770,0.41356,304,328,624,1184,1,1,0,0,63.97,0.00,0,106,63.97,591,5764,455,0,5764,455
31,8006,6501,1505,11654,4915,0.42174,304,328,624,136,1,0,0,0,63.97,0.00,0,106,63.97,0,5764,455,0,5764,455
32,8003,6505,1498,10882,4174,0.38357,304,328,624,63,1,0,0,0,63.96,0.02,1,106,63.96,0,5764,455,0,5764,455
33,8003,6500,1503,10811,4407,0.40764,14,320,624,2368,1,1,0,0,54.84,0.06,3,109,54.85,2620,5764,455,0,5764,455
34,8004,6503,1501,12267,6060,0.49401,9,320,624,816,1,0,0,0,63.92,0.18,4,109,63.92,0,5764,455,0,5764,455
35,8001,6501,1500,12136,5591,0.46070,224,328,624,2016,1,0,0,0,63.96,0.02,2,109,63.96,0,5764,455,0,5764,455
36,8076,6563,1513,10611,4582,0.43182,304,320,624,1184,1,1,0,0,60.47,2.74,2,112,60.49,485,5764,455,0,6463,455
37,8065,6552,1513,11856,5743,0.48440,11,320,624,1664,1,1,0,0,63.96,0.00,0,111,63.96,2066,5764,455,0,6603,681
38,8003,6502,1501,11364,5276,0.46427,9,320,624,1472,1,0,0,0,63.96,0.02,1,111,63.96,0,5764,455,0,6603,713
39,8006,6505,1501,10093,4400,0.43595,304,328,624,2432,0,1,0,0,56.58,0.11,1,114,56.58,0,5764,455,0,6603,713
40,8002,6501,1501,6999,2944,0.42063,312,328,624,21,0,0,0,0,63.95,0.10,3,114,63.95,0,5960,455,0,6603,713
41,8008,6510,1498,6889,2875,0.41733,312,328,624,23,0,0,0,0,63.95,0.00,0,114,63.95,0,6574,684,0,6603,713
42,8001,6497,1504,6960,2794,0.40144,312,328,624,25,0,0,0,0,63.95,0.09,1,114,63.95,0,6603,713,0,6603,713
43,8051,6542,1509,7048,2774,0.39359,312,328,624,24,0,0,0,0,63.95,0.04,1,114,63.95,0,6603,713,0,6603,713
44,8004,6504,1500,7021,2580,0.36747,312,328,624,21,0,0,0,0,63.95,0.00,0,114,63.95,0,6603,713,0,6603,713
45,8016,6513,1503,7043,3085,0.43802,304,328,624,22,0,0,0,0,63.95,0.16,2,114,63.95,0,6603,713,0,6603,713
46,8003,6502,1501,9297,3815,0.41035,304,328,640,2624,1,1,1,0,63.97,0.57,4,126,63.97,2055,6603,713,0,6927,757
47,8004,6505,1499,12629,5406,0.42806,312,328,624,2048,1,0,0,0,63.97,0.00,0,126,63.97,0,6603,713,0,6927,848
48,8008,6508,1500,11665,4535,0.38877,312,328,624,152,1,0,0,0,63.98,0.16,2,126,63.98,0,6603,713,0,6927,853
49,8034,6525,1509,12561,5025,0.40005,304,336,624,2176,1,1,0,0,59.86,0.03,1,125,59.86,1824,6673,780,0,6927,899
50,8003,6502,1501,11881,4520,0.38044,312,336,624,1792,1,0,0,0,63.97,0.00,0,125,63.97,0,6815,805,0,6927,917
51,8043,6535,1508,11265,4105,0.36440,304,328,640,1984,1,1,0,0,55.37,0.01,1,124,55.37,1990,6846,836,0,6927,917
52,8004,6503,1501,12386,5379,0.43428,304,328,624,512,1,0,0,0,63.97,0.18,3,124,63.97,0,6847,837,0,6927,917
53,8003,6503,1500,10952,4392,0.40102,26,328,624,39,1,0,0,0,63.97,0.00,0,124,63.97,0,6853,843,0,6927,917
54,8022,6517,1505,12096,5567,0.46023,232,328,624,976,1,1,0,0,63.97,0.10,1,122,63.97,646,6869,859,0,6927,917
55,8003,6503,1500,10903,3894,0.35715,304,328,624,48,1,0,0,0,63.97,0.00,0,122,63.97,0,6872,862,0,6927,917
56,8004,6504,1500,10941,4373,0.39969,23,328,624,140,1,0,0,0,63.97,0.07,1,122,63.97,0,6875,865,0,6927,917
57,8067,6553,1514,10829,4986,0.46043,13,328,624,1024,1,1,0,0,63.60,2.34,2,121,63.61,2838,6879,869,0,7507,917
58,8005,6504,1501,10936,5622,0.51408,14,328,624,28,1,0,0,0,63.97,6.61,3,121,63.97,0,6879,869,0,8619,917
59,8010,6510,1500,10752,4926,0.45815,304,328,624,34,1,0,0,0,63.97,11.03,9,121,63.97,0,6879,869,0,9731,917
60,8006,6505,1501,10954,3665,0.33458,312,328,624,2560,1,1,0,0,57.20,4.52,5,120,57.21,1158,7776,914,0,9731,919
61,8033,6525,1508,10981,3804,0.34642,312,328,624,29,1,0,0,0,63.97,4.64,6,120,63.97,0,8511,914,0,9731,1013
62,8053,6543,1510,11201,3895,0.34774,312,328,624,44,1,0,0,0,63.97,0.21,2,120,63.97,0,9598,914,0,9731,1013
63,8019,6516,1503,12819,5674,0.44262,312,336,624,2816,1,1,0,0,63.97,0.61,3,119,63.97,2696,9643,925,0,9873,1013
64,8006,6505,1501,10801,4154,0.38459,312,336,624,57,1,0,0,0,63.97,4.65,8,119,63.97,0,9704,986,0,10843,1013
65,8002,6502,1500,11433,5109,0.44686,312,328,624,1184,1,0,0,0,63.96,8.66,6,119,63.96,0,9755,1007,0,11955,1013
66,8047,6537,1510,10865,3501,0.32223,312,328,624,1920,1,1,0,0,56.89,4.34,2,118,56.90,1827,10125,1012,0,11955,1092
67,8059,6548,1511,12087,4955,0.40994,304,320,624,232,1,0,0,0,63.96,4.36,3,118,63.96,0,10736,1012,0,11955,1119
68,8004,6503,1501,11296,4430,0.39217,304,328,624,896,1,0,0,0,63.96,0.80,1,118,63.96,0,11642,1012,0,11955,1119
69,8003,6504,1499,11209,4245,0.37871,312,328,624,1728,1,1,0,0,63.96,0.36,8,117,63.96,852,11909,1073,0,11955,1119
70,8003,6503,1500,10844,4109,0.37892,304,328,624,27,1,0,0,0,63.96,0.07,4,117,63.96,0,11944,1108,0,11955,1119
71,8006,6508,1498,11053,4825,0.43653,312,328,624,1024,1,0,0,0,63.96,3.40,5,117,63.96,0,11945,1109,0,12803,1119
72,8005,6500,1505,11805,4922,0.41694,304,328,624,1248,1,1,0,0,63.96,0.03,3,116,63.96,2132,11947,1111,0,13067,1305
73,8005,6503,1502,10872,3870,0.35596,304,328,624,2112,1,0,0,0,63.96,0.00,0,116,63.96,0,11953,1117,0,13067,1779
74,8003,6506,1497,10988,5011,0.45604,304,328,624,50,1,0,0,0,63.96,4.34,2,116,63.96,0,12271,1121,0,14179,1917
75,8004,6500,1504,11218,4246,0.37850,312,328,624,1664,1,1,0,0,63.96,2.97,2,115,63.96,879,12311,1161,0,14179,1917
76,8003,6503,1500,11640,4722,0.40567,304,328,624,72,1,0,0,0,63.96,2.96,1,115,63.96,0,12469,1319,0,14179,1917
77,8005,6504,1501,9956,4271,0.42899,304,328,624,28,1,0,0,0,63.96,4.22,6,115,63.96,0,13716,1629,0,15210,1917
78,8008,6506,1502,8237,4077,0.49496,312,328,624,58,0,1,0,0,63.95,4.63,5,113,63.95,0,14178,1916,0,15291,1917
79,8002,6502,1500,7603,3880,0.51032,312,320,624,20,0,0,0,0,63.96,4.47,4,113,63.96,0,14179,1917,0,15291,1917
80,8012,6510,1502,7612,3757,0.49356,312,328,624,22,0,0,0,0,63.96,2.35,3,113,63.96,0,14714,1917,0,15291,1917
81,8002,6501,1501,7596,3682,0.48473,304,320,624,21,0,0,0,0,63.95,0.14,4,113,63.95,0,15291,1917,0,15291,1917
82,8006,6507,1499,7648,3979,0.52027,304,328,624,21,0,0,0,0,63.95,0.00,0,113,63.95,0,15291,1917,0,15291,1917
83,8013,6510,1503,8101,4407,0.54401,13,320,624,960,1,0,1,0,63.96,0.44,4,114,63.96,44,15291,1917,0,15381,1917
84,8005,6503,1502,10833,4731,0.43672,304,336,640,2368,1,1,0,0,63.98,0.46,1,123,63.98,1601,15291,1917,0,15931,2142
85,8005,6503,1502,10558,6175,0.58486,10,320,624,32,1,0,0,0,63.98,7.65,3,123,63.98,0,15291,1917,0,17771,2300
86,8006,6509,1497,10185,5241,0.51458,8,320,624,32,1,0,0,0,63.97,11.31,6,123,63.97,0,15341,1917,0,18703,2315
87,8001,6498,1503,11818,6146,0.52005,6,320,624,336,1,0,0,0,63.97,11.04,4,123,63.97,0,15505,1944,0,18703,2316
88,8005,6504,1501,11812,5723,0.48451,9,320,624,2432,1,1,0,0,61.76,0.29,2,122,61.76,1432,15666,2047,0,18703,2690
89,8014,6512,1502,12152,5897,0.48527,10,320,624,272,1,0,0,0,63.97,0.14,2,122,63.97,0,16699,2086,0,18703,2951
90,8007,6505,1502,12048,5875,0.48763,10,320,624,2752,1,1,0,0,58.72,0.00,0,121,58.72,2414,17547,2163,0,18703,2955
91,8006,6505,1501,11428,5096,0.44592,10,320,624,38,1,0,0,0,63.97,0.00,0,121,63.97,0,17923,2175,0,18703,2955
92,8002,6501,1501,12463,5956,0.47789,19,328,624,2240,1,1,0,0,63.97,0.14,3,120,63.97,2248,18097,2349,0,18703,2955
93,8067,6558,1509,11966,5330,0.44543,288,328,624,256,1,0,0,0,63.97,0.13,2,120,63.97,0,18143,2395,0,18703,2955
94,8005,6504,1501,11710,5297,0.45235,14,320,624,124,1,0,0,0,63.97,0.13,5,120,63.97,0,18181,2433,0,18703,2955
95,8042,6532,1510,11539,4500,0.38998,304,328,624,2304,1,1,0,0,58.21,0.00,0,119,58.22,1225,18238,2490,0,18703,2955
96,8005,6503,1502,12138,5251,0.43261,304,328,624,208,1,0,0,0,63.97,0.00,0,119,63.97,0,18315,2567,0,18703,2955
97,8065,6553,1512,10909,4095,0.37538,304,320,624,44,1,0,0,0,63.96,0.06,1,119,63.96,0,18502,2754,0,18703,2955
