t,type,level,bytes
-29.932,flush_begin,0,0
-29.915,flush_end,0,6638552
-29.906,flush_begin,0,0
-29.890,flush_end,0,6638554
-29.882,flush_begin,0,0
-29.865,flush_end,0,6638553
-29.858,flush_begin,0,0
-29.842,flush_end,0,6638553
-29.834,flush_begin,0,0
-29.817,flush_end,0,6638553
-29.809,flush_begin,0,0
-29.793,flush_end,0,6638554
-29.785,flush_begin,0,0
-29.768,flush_end,0,6638552
-29.760,flush_begin,0,0
-29.744,flush_end,0,6638554
-29.736,flush_begin,0,0
-29.719,flush_end,0,6638554
-29.711,flush_begin,0,0
-29.695,flush_end,0,6638552
-29.689,flush_begin,0,0
-29.673,flush_end,0,6638553
-29.665,flush_begin,0,0
-29.649,flush_end,0,6638553
-29.642,flush_begin,0,0
-29.626,flush_end,0,6638554
-29.618,flush_begin,0,0
-29.602,flush_end,0,6638552
-29.594,flush_begin,0,0
-29.578,flush_end,0,6638554
-29.569,flush_begin,0,0
-29.553,flush_end,0,6638554
-29.535,trivial_move,3,6638552
-29.535,flush_begin,0,0
-29.519,flush_end,0,6638552
-29.500,trivial_move,3,6638554
-29.500,flush_begin,0,0
-29.483,flush_end,0,6638555
-29.465,trivial_move,3,6638553
-29.465,flush_begin,0,0
-29.448,flush_end,0,6638553
-29.430,trivial_move,3,6638553
-29.430,flush_begin,0,0
-29.414,flush_end,0,6638553
-29.396,trivial_move,3,6638553
-29.396,flush_begin,0,0
-29.379,flush_end,0,6638552
-29.371,flush_begin,0,0
-29.355,flush_end,0,6638554
-29.337,trivial_move,3,6638554
-29.337,flush_begin,0,0
-29.320,flush_end,0,6638554
-29.301,trivial_move,3,6638552
-29.301,flush_begin,0,0
-29.284,flush_end,0,6638552
-29.265,trivial_move,3,6638554
-29.265,flush_begin,0,0
-29.249,flush_end,0,6638554
-29.241,flush_begin,0,0
-29.225,flush_end,0,6638553
-29.206,trivial_move,3,6638554
-29.206,flush_begin,0,0
-29.190,flush_end,0,6638553
-29.174,trivial_move,3,6638552
-29.174,flush_begin,0,0
-29.158,flush_end,0,6638553
-29.150,flush_begin,0,0
-29.134,flush_end,0,6638554
-29.116,trivial_move,3,6638553
-29.116,flush_begin,0,0
-29.101,flush_end,0,6638553
-29.082,trivial_move,3,6638553
-29.082,flush_begin,0,0
-29.066,flush_end,0,6638552
-29.049,trivial_move,3,6638554
-29.049,flush_begin,0,0
-29.032,flush_end,0,6638554
-29.017,trivial_move,3,6638552
-29.017,flush_begin,0,0
-29.000,flush_end,0,6638553
-28.984,trivial_move,3,6638554
-28.983,flush_begin,0,0
-28.967,flush_end,0,6638553
-28.950,trivial_move,3,6638554
-28.950,flush_begin,0,0
-28.934,flush_end,0,6638553
-28.916,trivial_move,3,6638552
-28.915,flush_begin,0,0
-28.900,flush_end,0,6638555
-28.882,trivial_move,3,6638555
-28.882,flush_begin,0,0
-28.866,flush_end,0,6638553
-28.847,trivial_move,3,6638553
-28.847,flush_begin,0,0
-28.831,flush_end,0,6638553
-28.813,trivial_move,3,6638553
-28.813,flush_begin,0,0
-28.797,flush_end,0,6638554
-28.779,trivial_move,3,6638552
-28.779,flush_begin,0,0
-28.763,flush_end,0,6638552
-28.746,trivial_move,3,6638554
-28.745,flush_begin,0,0
-28.728,flush_end,0,6638553
-28.711,trivial_move,3,6638554
-28.711,flush_begin,0,0
-28.695,flush_end,0,6638553
-28.676,trivial_move,3,6638552
-28.676,flush_begin,0,0
-28.659,flush_end,0,6638554
-28.641,trivial_move,3,6638554
-28.641,flush_begin,0,0
-28.625,flush_end,0,6638553
-28.605,trivial_move,3,6638553
-28.605,flush_begin,0,0
-28.589,flush_end,0,6638553
-28.571,trivial_move,3,6638553
-28.571,flush_begin,0,0
-28.556,flush_end,0,6638554
-28.537,trivial_move,3,6638553
-28.537,flush_begin,0,0
-28.522,flush_end,0,6638552
-28.504,trivial_move,3,6638554
-28.504,flush_begin,0,0
-28.488,flush_end,0,6638554
-28.471,trivial_move,3,6638553
-28.471,flush_begin,0,0
-28.456,flush_end,0,6638553
-28.439,trivial_move,3,6638552
-28.439,flush_begin,0,0
-28.422,flush_end,0,6638553
-28.406,trivial_move,3,6638554
-28.406,flush_begin,0,0
-28.389,flush_end,0,6638553
-28.371,trivial_move,3,6638553
-28.371,flush_begin,0,0
-28.354,flush_end,0,6638553
-28.346,flush_begin,0,0
-28.330,flush_end,0,6638555
-28.322,flush_begin,0,0
-28.305,flush_end,0,6638552
-28.287,trivial_move,3,6638553
-28.287,flush_begin,0,0
-28.271,flush_end,0,6638554
-28.254,trivial_move,3,6638553
-28.254,flush_begin,0,0
-28.237,flush_end,0,6638553
-28.219,trivial_move,3,6638555
-28.219,flush_begin,0,0
-28.204,flush_end,0,6638553
-28.187,trivial_move,3,6638553
-28.186,flush_begin,0,0
-28.170,flush_end,0,6638554
-28.153,trivial_move,3,6638553
-28.153,flush_begin,0,0
-28.137,flush_end,0,6638553
-28.119,trivial_move,3,6638554
-28.119,flush_begin,0,0
-28.103,flush_end,0,6638553
-28.084,trivial_move,3,6638552
-28.084,flush_begin,0,0
-28.068,flush_end,0,6638552
-28.050,trivial_move,3,6638553
-28.050,flush_begin,0,0
-28.033,flush_end,0,6638554
-28.015,trivial_move,3,6638553
-28.015,flush_begin,0,0
-27.997,flush_end,0,6638553
-27.979,trivial_move,3,6638554
-27.979,flush_begin,0,0
-27.963,flush_end,0,6638553
-27.945,trivial_move,3,6638553
-27.945,flush_begin,0,0
-27.927,flush_end,0,6638554
-27.909,trivial_move,3,6638553
-27.909,flush_begin,0,0
-27.893,flush_end,0,6638553
-27.874,trivial_move,3,6638554
-27.874,flush_begin,0,0
-27.858,flush_end,0,6638553
-27.835,trivial_move,3,6638552
-27.835,flush_begin,0,0
-27.819,flush_end,0,6638553
-27.800,trivial_move,3,6638554
-27.800,flush_begin,0,0
-27.783,flush_end,0,6638554
-27.765,trivial_move,3,6638553
-27.765,flush_begin,0,0
-27.749,flush_end,0,6638552
-27.733,trivial_move,3,6638553
-27.733,flush_begin,0,0
-27.728,flush_end,0,1164547
-27.710,trivial_move,3,6638553
-27.702,trivial_move,3,6638553
-27.694,trivial_move,3,6638555
-27.694,compaction_begin,2,0
-27.672,compaction_end,2,6638144
-27.656,trivial_move,3,6638554
-27.656,compaction_begin,2,0
-27.633,compaction_end,2,6638145
-27.625,compaction_begin,2,0
-27.602,compaction_end,2,6638145
-27.594,compaction_begin,2,0
-27.572,compaction_end,2,6638146
-27.564,compaction_begin,2,0
-27.543,compaction_end,2,6638145
-27.535,compaction_begin,2,0
-27.514,compaction_end,2,6638145
-27.506,compaction_begin,2,0
-27.483,compaction_end,2,6638144
-27.475,compaction_begin,2,0
-27.451,compaction_end,2,6638146
-27.443,compaction_begin,2,0
-27.419,compaction_end,2,6638145
-27.411,compaction_begin,2,0
-27.388,compaction_end,2,6638145
-27.380,compaction_begin,2,0
-27.357,compaction_end,2,6638146
-27.349,compaction_begin,2,0
-27.326,compaction_end,2,6638145
-27.318,compaction_begin,2,0
-27.296,compaction_end,2,6638145
-27.287,compaction_begin,2,0
-27.265,compaction_end,2,6638145
-27.257,compaction_begin,2,0
-27.235,compaction_end,2,6638146
-27.227,compaction_begin,2,0
-27.205,compaction_end,2,6638144
-27.197,compaction_begin,2,0
-27.190,compaction_end,2,1164547
10.462,flush_begin,0,0
10.508,flush_end,0,6626840
10.587,compaction_begin,1,0
11.042,compaction_end,1,6558991
11.098,compaction_begin,2,0
13.193,compaction_end,2,46468050
13.205,compaction_begin,2,0
16.107,compaction_end,2,44118863
16.118,compaction_begin,2,0
18.871,compaction_end,2,44118861
18.881,compaction_begin,2,0
21.576,compaction_end,2,46468049
21.585,compaction_begin,2,0
24.529,compaction_end,2,46468050
24.541,compaction_begin,2,0
27.123,compaction_end,2,44118862
27.134,compaction_begin,2,0
29.901,compaction_end,2,46468047
29.911,compaction_begin,2,0
32.847,compaction_end,2,46468049
32.857,compaction_begin,2,0
33.140,compaction_end,2,4825248
33.149,compaction_begin,2,0
36.136,compaction_end,2,46468049
36.148,compaction_begin,2,0
38.928,compaction_end,2,46468049
48.104,flush_begin,0,0
48.153,flush_end,0,6628341
48.228,compaction_begin,1,0
48.708,compaction_end,1,6559066
48.781,compaction_begin,2,0
50.963,compaction_end,2,44118749
50.971,compaction_begin,2,0
53.394,compaction_end,2,42179010
53.404,compaction_begin,2,0
55.543,compaction_end,2,42179011
55.551,compaction_begin,2,0
57.576,compaction_end,2,42179011
57.586,compaction_begin,2,0
60.110,compaction_end,2,42179009
60.120,compaction_begin,2,0
62.200,compaction_end,2,42179010
62.209,compaction_begin,2,0
64.766,compaction_end,2,42890503
64.776,compaction_begin,2,0
67.302,compaction_end,2,42179009
67.313,compaction_begin,2,0
69.698,compaction_end,2,42179010
69.708,compaction_begin,2,0
71.980,compaction_end,2,42179012
71.989,compaction_begin,2,0
74.415,compaction_end,2,42179010
85.748,flush_begin,0,0
85.768,flush_end,0,6629915
85.846,compaction_begin,1,0
86.355,compaction_end,1,7882857
86.465,compaction_begin,2,0
88.678,compaction_end,2,42179011
88.687,compaction_begin,2,0
