t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once
1,8007,6506,1501,6986,3287,0.47051,264,296,576,56,0,0,0,0,63.96,0.00,0,87,63.96,0,0,0,0,0,0
2,8025,6519,1506,6971,3696,0.53020,24,296,576,54,0,0,0,0,63.96,0.00,0,87,63.96,0,0,0,0,0,0
3,8006,6505,1501,6923,4222,0.60985,16,296,544,56,0,0,0,0,63.96,0.01,1,87,63.96,0,0,0,0,0,0
4,8027,6522,1505,6920,4092,0.59133,15,296,576,55,0,0,0,0,63.96,0.00,0,87,63.96,0,0,0,0,0,0
5,8009,6509,1500,6912,4122,0.59635,16,296,560,56,0,0,0,0,63.96,0.01,1,87,63.96,0,0,0,0,0,0
6,8030,6523,1507,6943,4050,0.58332,18,304,560,58,0,0,0,0,63.96,0.00,0,87,63.96,0,0,0,0,0,0
7,8011,6508,1503,6962,3993,0.57354,19,296,576,57,0,0,0,0,63.96,0.14,1,87,63.96,0,0,0,0,0,0
8,8038,6533,1505,8295,4114,0.49596,22,304,576,2496,1,0,1,0,63.97,0.01,1,88,63.97,0,0,0,0,0,0
9,8011,6511,1500,12612,5907,0.46836,256,304,800,1696,1,1,0,0,63.98,0.11,3,98,63.98,0,0,0,0,0,0
10,8011,6505,1506,13492,6746,0.50000,244,296,544,3264,1,0,0,0,63.98,0.21,5,98,63.98,0,0,0,0,0,0
11,8043,6534,1509,12472,4730,0.37925,264,312,576,2304,1,1,0,0,63.98,0.09,1,101,63.98,0,0,0,0,0,0
12,8010,6509,1501,11230,3432,0.30561,264,312,592,66,1,0,0,0,63.98,0.07,1,101,63.98,0,0,0,0,0,0
13,8029,6525,1504,11072,3919,0.35396,264,304,576,58,1,0,0,0,63.98,0.05,3,101,63.98,0,0,0,0,0,0
14,8018,6514,1504,11569,4254,0.36771,264,288,544,1952,1,1,0,0,63.98,0.07,3,103,63.98,0,0,0,0,0,0
15,8006,6504,1502,11138,3772,0.33866,264,304,576,168,1,0,0,0,63.97,0.00,0,103,63.97,0,0,0,0,0,0
16,8024,6519,1505,12067,4724,0.39148,272,304,560,2368,1,1,0,0,63.97,0.02,2,100,63.97,0,0,0,0,0,0
17,8013,6513,1500,11931,4574,0.38337,264,304,560,736,1,0,0,0,63.97,0.00,0,100,63.97,0,0,0,0,0,0
18,8022,6517,1505,11716,4416,0.37692,264,296,544,56,1,0,0,0,63.97,0.00,0,100,63.97,0,0,0,0,0,0
19,8007,6505,1502,12051,4881,0.40503,264,296,544,2432,1,1,0,0,63.97,0.05,1,103,63.97,0,0,0,0,0,0
20,7988,6490,1498,11760,4110,0.34949,264,304,560,236,1,0,0,0,63.98,0.02,1,103,63.97,0,0,0,0,0,0
21,8031,6525,1506,11749,4523,0.38497,264,312,576,64,1,0,0,0,63.97,0.09,1,103,63.97,0,0,0,0,0,0
22,8013,6511,1502,11877,4862,0.40936,264,304,576,2432,1,1,0,0,63.97,0.15,3,106,63.97,0,0,0,0,0,0
23,8005,6504,1501,11722,4380,0.37366,264,296,544,144,1,0,0,0,63.97,0.02,2,106,63.97,0,0,0,0,0,0
24,8019,6520,1499,11351,3624,0.31927,272,304,560,53,1,0,0,0,63.96,0.06,2,106,63.96,0,0,0,0,0,0
25,8006,6500,1506,11438,3577,0.31273,272,304,576,2112,1,1,0,0,63.96,0.09,5,103,63.96,0,0,0,0,0,0
26,8008,6506,1502,11563,3717,0.32146,272,312,576,192,1,0,0,0,63.97,0.07,2,103,63.97,0,0,0,0,0,0
27,8035,6536,1499,12013,4146,0.34513,264,288,544,2432,0,1,0,0,63.96,0.16,3,103,63.96,0,0,0,0,0,0
28,8041,6526,1515,11811,4414,0.37372,264,288,544,1408,1,0,0,0,63.96,0.03,4,106,63.96,0,0,0,0,0,0
29,8009,6509,1500,11658,4924,0.42237,248,296,544,60,1,0,0,0,63.96,0.00,0,106,63.96,0,0,0,0,0,0
30,8039,6530,1509,11005,4105,0.37301,264,296,560,1440,1,1,0,0,63.96,0.21,3,109,63.96,0,0,0,0,0,0
31,8026,6522,1504,11246,4227,0.37587,264,296,560,1760,1,1,0,0,63.96,0.00,0,108,63.96,0,0,0,0,0,0
32,8039,6531,1508,11864,5050,0.42566,256,304,560,84,1,0,0,0,63.96,0.26,4,108,63.96,0,0,0,0,0,0
33,8009,6507,1502,11059,4398,0.39769,17,288,544,152,1,0,0,0,63.96,0.09,2,108,63.96,0,0,0,0,0,0
34,8014,6513,1501,11360,4866,0.42835,19,296,544,2240,1,1,0,0,63.96,0.17,2,111,63.96,0,0,0,0,0,0
35,8007,6504,1503,11598,4817,0.41533,256,296,560,76,1,0,0,0,63.96,0.01,1,111,63.96,0,0,0,0,0,0
36,8004,6505,1499,10302,3543,0.34391,240,296,544,880,0,1,0,0,63.96,0.00,0,111,63.96,0,0,0,0,0,0
37,8020,6515,1505,6946,3730,0.53700,23,304,560,66,0,0,0,0,63.96,0.16,3,114,63.96,0,0,0,0,0,0
38,8016,6513,1503,6930,3839,0.55397,19,304,576,54,0,0,0,0,63.96,0.01,1,114,63.96,0,0,0,0,0,0
39,8013,6511,1502,6926,3471,0.50116,248,304,576,59,0,0,0,0,63.95,0.00,0,114,63.95,0,0,0,0,0,0
40,8029,6524,1505,7015,3087,0.44006,264,304,576,57,0,0,0,0,63.95,0.20,5,114,63.95,0,0,0,0,0,0
41,8008,6506,1502,6932,2863,0.41301,272,304,576,59,0,0,0,0,63.95,0.03,2,114,63.95,0,0,0,0,0,0
42,8045,6540,1505,7012,2805,0.40003,272,304,576,56,0,0,0,0,63.95,0.00,0,114,63.95,0,0,0,0,0,0
43,8046,6533,1513,7002,2711,0.38718,272,304,576,59,0,0,0,0,63.95,0.04,1,114,63.95,0,0,0,0,0,0
44,8008,6507,1501,7048,2610,0.37032,272,312,576,55,0,0,0,0,63.95,0.00,0,114,63.95,0,0,0,0,0,0
45,8011,6510,1501,7047,3197,0.45367,264,304,576,63,0,0,0,0,63.95,0.14,2,114,63.95,0,0,0,0,0,0
46,8041,6533,1508,10134,4112,0.40576,264,304,800,2816,1,1,1,0,63.97,0.08,5,126,63.97,0,0,0,0,0,0
47,8046,6537,1509,12669,5071,0.40027,256,296,544,2176,1,0,0,0,63.97,0.01,1,126,63.97,0,0,0,0,0,0
48,8000,6501,1499,12725,5094,0.40031,256,280,528,2304,0,1,0,0,63.97,0.18,1,126,63.97,0,0,0,0,0,0
