t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once
1,8009,6507,1502,6997,3330,0.47592,256,272,512,17,0,0,0,0,63.96,0.00,0,86,63.96,0,135196,19,0,135196,19
2,8006,6505,1501,6938,3613,0.52076,12,272,512,19,0,0,0,0,63.96,0.00,0,86,63.96,0,135196,19,0,135196,19
3,8037,6531,1506,6941,4232,0.60971,7,264,512,17,0,0,0,0,63.96,0.01,1,86,63.96,0,135196,19,0,135196,19
4,8005,6503,1502,6899,4062,0.58878,8,264,512,16,0,0,0,0,63.96,0.00,0,86,63.96,0,135196,19,0,135196,19
5,8031,6526,1505,6921,4181,0.60410,7,264,512,15,0,0,0,0,63.96,0.01,1,86,63.96,0,135196,19,0,135196,19
6,8004,6505,1499,6925,3980,0.57473,8,264,512,16,0,0,0,0,63.96,0.00,0,86,63.96,0,135196,19,0,135196,19
7,8003,6501,1502,6957,4003,0.57539,8,264,512,17,0,0,0,0,63.96,0.16,1,86,63.96,0,135196,19,0,135196,19
8,8034,6526,1508,6992,3825,0.54705,10,272,512,18,0,0,0,0,63.97,5.79,2,86,63.97,0,135196,19,0,136663,19
9,8008,6507,1501,10449,6145,0.58809,256,272,528,3008,1,1,1,0,63.98,4.33,6,97,63.98,5947,135196,19,0,138938,1802
10,8006,6505,1501,9899,4627,0.46742,256,272,528,17,1,0,0,0,63.96,11.72,5,97,63.96,0,136466,806,0,141299,1989
11,8025,6522,1503,10253,4589,0.44758,256,280,528,18,1,0,0,0,63.98,17.60,5,97,63.98,0,138544,1620,0,143439,2011
12,8004,6503,1501,10654,4815,0.45194,256,280,528,49,1,0,0,0,63.98,17.47,7,97,63.98,0,140864,1690,0,145599,2011
13,8039,6530,1509,9811,4084,0.41627,256,272,528,21,1,0,0,0,63.98,17.62,9,97,63.98,0,142939,1775,0,147666,2011
14,8003,6503,1500,9735,3931,0.40380,256,280,528,72,1,1,0,0,63.98,12.37,5,100,63.98,2013,145167,1843,0,149670,2121
15,8010,6509,1501,9863,3786,0.38386,256,288,528,120,1,0,0,0,63.97,16.35,6,100,63.97,0,147467,1916,0,151866,2169
16,8010,6509,1501,9866,3798,0.38496,256,272,528,29,1,0,0,0,63.97,16.89,5,100,63.97,0,149317,2031,0,153779,2169
17,8004,6501,1503,9907,4242,0.42818,256,280,528,27,1,0,0,0,63.97,18.13,5,100,63.97,0,151508,2163,0,156154,2169
18,8005,6504,1501,9894,3805,0.38458,256,280,528,25,1,0,0,0,63.97,17.34,6,100,63.97,0,153448,2167,0,157889,2169
19,7989,6491,1498,9662,3795,0.39278,256,288,544,864,1,0,0,0,63.98,17.00,7,100,63.98,0,155438,2168,0,159773,2169
20,8069,6557,1512,9900,3699,0.37364,256,280,528,64,1,1,0,0,63.97,10.54,4,103,63.97,688,156945,2168,0,161515,2357
21,8027,6522,1505,9822,4483,0.45642,256,280,512,46,1,0,0,0,63.97,12.83,5,103,63.97,0,159175,2168,0,163748,2617
22,8025,6521,1504,9845,3877,0.39380,256,296,528,39,1,0,0,0,63.97,16.84,8,103,63.97,0,160962,2232,0,165683,2671
23,8005,6504,1501,9684,4012,0.41429,256,280,528,38,1,0,0,0,63.97,17.50,6,103,63.97,0,163338,2463,0,168025,2671
24,8006,6503,1503,9778,3049,0.31182,256,288,528,33,1,0,0,0,63.97,16.43,8,103,63.97,0,165561,2655,0,169757,2671
25,8009,6508,1501,9150,2740,0.29945,256,296,528,76,1,1,0,0,63.97,17.12,7,106,63.97,1949,167568,2671,0,172038,2693
26,8004,6503,1501,10606,4132,0.38959,256,296,528,26,1,0,0,0,63.97,16.08,7,106,63.97,0,169999,2671,0,174084,2693
27,8007,6507,1500,9658,3325,0.34427,256,280,528,30,1,0,0,0,63.96,16.21,6,106,63.96,0,171985,2693,0,176130,2693
28,8028,6523,1505,9516,3616,0.37999,256,280,528,18,1,0,0,0,63.97,16.71,6,106,63.97,0,173903,2693,0,178176,2693
29,8015,6512,1503,9504,4035,0.42456,256,272,528,22,1,0,0,0,63.97,18.62,5,106,63.97,0,175457,2693,0,180222,2693
30,8003,6502,1501,9563,3861,0.40374,256,272,528,23,1,1,0,0,63.97,15.47,7,109,63.97,1328,177351,2693,0,182099,2700
31,8004,6503,1501,9455,3880,0.41036,256,272,528,36,1,0,0,0,63.97,18.40,6,109,63.97,0,179444,2693,0,184145,2705
32,8042,6534,1508,9784,3905,0.39912,256,280,528,29,1,0,0,0,63.97,17.59,5,109,63.97,0,181676,2693,0,186191,2705
33,8035,6530,1505,9871,4266,0.43218,256,272,528,21,1,0,0,0,63.97,19.31,6,109,63.97,0,183315,2701,0,188237,2705
34,8005,6505,1500,9737,4380,0.44983,256,280,528,400,1,0,0,0,63.97,19.40,5,109,63.97,0,185315,2701,0,190283,2705
35,8002,6501,1501,9646,3784,0.39229,256,272,528,22,1,0,0,0,63.97,18.71,7,109,63.97,0,187255,2703,0,192044,2705
36,8006,6502,1504,10001,4454,0.44536,256,272,528,2752,1,1,0,0,63.96,17.88,7,106,63.96,1688,189072,2704,0,193941,2798
37,8006,6506,1500,9693,4165,0.42969,236,272,528,18,1,0,0,0,63.96,16.15,7,106,63.96,0,191274,2704,0,195691,2863
38,8035,6528,1507,9456,4263,0.45082,14,272,528,28,1,0,0,0,63.96,18.43,7,106,63.96,0,192872,2719,0,197737,2873
39,8034,6528,1506,9662,4168,0.43138,256,280,528,33,1,0,0,0,63.96,18.46,5,106,63.96,0,194998,2813,0,199783,2873
40,8003,6506,1497,9380,3502,0.37335,256,280,528,27,1,0,0,0,63.96,18.28,10,106,63.96,0,197196,2873,0,201829,2873
41,8032,6521,1511,9534,3240,0.33984,256,280,528,38,1,1,0,0,63.97,17.02,6,109,63.97,1829,199356,2873,0,203706,2873
42,8003,6503,1500,9718,3480,0.35810,256,288,528,23,1,0,0,0,63.97,16.04,5,109,63.97,0,201645,2873,0,205752,2873
43,8005,6506,1499,9686,3412,0.35226,256,288,528,33,1,0,0,0,63.97,16.31,8,109,63.97,0,203684,2873,0,207798,2873
44,8034,6527,1507,10043,3802,0.37857,256,280,528,21,1,0,0,0,63.96,16.88,5,109,63.96,0,205524,2873,0,209844,2873
45,8004,6502,1502,9455,3654,0.38646,256,280,528,63,1,0,0,0,63.96,18.06,8,109,63.96,0,207347,2873,0,211890,2873
46,8005,6506,1499,9876,3997,0.40472,256,272,528,1728,1,0,1,0,63.95,11.77,6,110,63.95,0,209082,2873,0,213654,3015
47,8022,6519,1503,10991,6009,0.54672,256,280,512,2688,1,1,0,0,63.96,11.36,13,107,63.96,1672,211009,2873,0,216357,4519
48,8039,6531,1508,10098,4511,0.44672,256,272,512,96,1,1,0,0,63.97,5.46,3,113,63.97,2869,213144,4442,0,218212,5042
49,8006,6502,1504,9900,4499,0.45444,256,272,528,1760,1,0,0,0,63.97,14.69,4,113,63.97,0,214742,4444,0,220708,5653
50,8004,6505,1499,10297,4485,0.43556,256,280,528,20,1,0,0,0,63.98,17.95,5,113,63.98,0,217163,4565,0,223087,5895
51,8023,6517,1506,9757,3764,0.38577,256,288,528,17,1,0,0,0,63.98,17.58,5,113,63.98,0,219609,4870,0,225133,5895
52,8007,6506,1501,9719,3690,0.37967,256,280,528,1152,1,1,0,0,61.29,17.88,8,111,61.29,998,222319,5734,0,227010,5895
53,8002,6500,1502,9657,4230,0.43802,256,304,640,288,1,0,0,0,63.97,10.80,5,111,63.97,0,224089,5782,0,228900,6089
54,8060,6550,1510,9859,4466,0.45299,256,280,528,41,1,0,0,0,63.97,17.62,6,111,63.97,0,226241,5805,0,231101,6166
55,8034,6528,1506,9918,3958,0.39907,256,296,592,35,1,0,0,0,63.97,18.04,5,111,63.97,0,228138,5911,0,233009,6166
56,8003,6507,1496,9881,4174,0.42243,256,272,528,20,1,0,0,0,63.97,18.47,5,111,63.97,0,230099,6046,0,234946,6166
57,8007,6501,1506,9683,4114,0.42487,256,272,528,54,1,0,0,0,63.97,18.47,5,111,63.97,0,232197,6131,0,236958,6166
58,8005,6504,1501,10180,5208,0.51159,13,272,528,1536,1,1,0,0,63.97,11.33,3,110,63.97,2021,233854,6149,0,239117,6779
59,8004,6503,1501,10368,4802,0.46316,256,272,528,22,1,0,0,0,63.97,17.15,8,110,63.97,0,236096,6161,0,241163,6885
60,8003,6503,1500,10050,4161,0.41403,256,288,528,21,1,0,0,0,63.97,17.38,8,110,63.97,0,238537,6565,0,243288,6885
61,8007,6508,1499,9793,3686,0.37639,256,288,528,20,1,0,0,0,63.97,16.62,7,110,63.97,0,240875,6740,0,245255,6885
62,8038,6530,1508,9595,3296,0.34351,256,280,528,100,1,1,0,0,59.64,7.52,6,109,59.64,589,242603,6780,0,247132,7018
63,8005,6503,1502,9431,3275,0.34726,256,288,528,39,1,0,0,0,63.97,15.33,5,109,63.97,0,244419,6804,0,249178,7280
64,8003,6502,1501,9503,3163,0.33284,256,312,768,35,1,0,0,0,63.97,16.06,6,109,63.97,0,246667,6831,0,251224,7280
65,8019,6516,1503,9523,3109,0.32647,256,288,528,28,1,0,0,0,63.97,16.72,6,109,63.97,0,248865,7153,0,253264,7280
66,8042,6534,1508,9941,3465,0.34856,256,288,528,23,1,0,0,0,63.97,16.68,5,109,63.97,0,250678,7229,0,254997,7280
67,8004,6503,1501,9820,3486,0.35499,256,288,528,51,1,0,0,0,63.97,16.70,6,109,63.97,0,252486,7276,0,256764,7280
68,8006,6505,1501,9816,4064,0.41402,256,272,528,220,1,1,0,0,63.97,13.60,5,108,63.97,1445,254213,7280,0,258772,7366
69,8002,6503,1499,9747,4601,0.47204,256,272,528,28,1,0,0,0,63.97,14.98,8,108,63.97,0,256301,7280,0,261120,7405
70,8007,6504,1503,9859,4637,0.47033,256,272,528,22,1,0,0,0,63.96,19.25,7,108,63.96,0,258481,7321,0,263500,7422
71,8025,6522,1503,9860,3680,0.37323,256,280,544,82,1,0,0,0,63.96,18.52,8,108,63.96,0,260540,7357,0,265329,7422
72,8009,6506,1503,9643,3359,0.34834,256,288,528,34,1,0,0,0,63.97,17.80,8,108,63.97,0,262737,7400,0,267257,7422
73,8015,6512,1503,10019,4002,0.39944,256,288,528,304,1,1,0,0,63.97,9.74,5,106,63.97,2562,265119,7419,0,269469,7448
74,8008,6509,1499,9541,3745,0.39252,256,272,528,19,1,0,0,0,63.97,16.07,5,106,63.97,0,267228,7422,0,271515,7600
75,8027,6522,1505,9929,4097,0.41263,256,272,528,392,1,0,0,0,63.97,18.43,6,106,63.97,0,268700,7423,0,273561,7600
76,8010,6507,1503,10031,4187,0.41741,256,280,528,23,1,0,0,0,63.97,18.74,5,106,63.97,0,270726,7516,0,275607,7600
77,8031,6524,1507,9572,3923,0.40984,256,272,528,22,1,0,0,0,63.97,18.54,6,106,63.97,0,272885,7564,0,277653,7600
78,8002,6503,1499,9763,3549,0.36352,256,280,528,656,1,1,0,0,63.97,18.29,7,107,63.97,1353,274687,7599,0,279334,7600
79,8029,6524,1505,9538,3733,0.39138,256,280,528,24,1,0,0,0,63.97,16.91,5,107,63.97,0,277053,7600,0,281380,7600
80,8003,6500,1503,9651,3499,0.36255,256,280,528,20,1,0,0,0,63.97,17.42,5,107,63.97,0,278757,7600,0,283215,7600
81,8005,6504,1501,9689,3273,0.33781,256,280,528,34,1,0,0,0,63.97,17.02,8,107,63.97,0,280593,7600,0,284933,7600
82,8006,6506,1500,9809,3843,0.39178,256,280,528,23,1,0,0,0,63.96,17.00,6,107,63.96,0,282550,7600,0,286900,7600
83,8002,6502,1500,8840,3942,0.44593,256,272,528,19,1,0,0,0,63.97,19.32,7,107,63.97,0,284501,7600,0,289420,7600
84,8007,6505,1502,11126,5915,0.53164,256,280,528,2880,1,1,1,0,63.97,10.81,15,111,63.97,1872,286483,7600,0,291771,9015
85,8003,6503,1500,10512,5708,0.54300,256,272,528,2688,1,1,0,0,63.18,9.09,8,118,63.18,1820,288974,9169,0,293959,9776
86,8002,6501,1501,10216,5667,0.55472,7,272,512,25,1,0,0,0,63.96,12.72,10,118,63.96,0,290417,9224,0,296005,9960
87,8032,6525,1507,9685,5085,0.52504,7,264,528,17,1,0,0,0,63.97,19.93,6,118,63.97,0,292311,9393,0,298051,10023
88,8017,6515,1502,9675,4384,0.45313,12,272,528,19,1,0,0,0,63.97,19.79,9,118,63.97,0,294471,9533,0,299998,10024
89,8005,6504,1501,10055,4716,0.46902,212,272,768,18,1,0,0,0,63.97,19.33,8,118,63.97,0,296764,9699,0,301998,10024
90,8005,6505,1500,9907,4053,0.40910,256,272,528,944,1,1,0,0,63.97,18.86,8,120,63.97,742,298692,9867,0,303662,10024
91,8003,6503,1500,9867,4346,0.44046,256,272,528,20,1,0,0,0,63.97,9.65,5,120,63.97,0,300911,9905,0,305641,10202
92,8006,6503,1503,9832,4470,0.45464,256,272,528,24,1,0,0,0,63.97,17.91,5,120,63.97,0,302839,9946,0,307819,10336
93,8007,6505,1502,9749,4248,0.43574,25,272,528,24,1,0,0,0,63.97,17.68,8,120,63.97,0,304735,9998,0,309556,10336
94,8009,6508,1501,9792,4130,0.42177,256,280,528,24,1,0,0,0,63.97,17.13,9,120,63.97,0,306813,10120,0,311376,10336
95,8044,6537,1507,9709,3667,0.37769,256,280,528,672,1,1,0,0,63.97,16.21,6,119,63.97,982,309093,10241,0,313338,10336
96,8002,6500,1502,9611,3395,0.35324,256,280,528,23,1,0,0,0,63.97,15.91,7,119,63.97,0,311254,10313,0,315299,10336
97,8004,6504,1500,9496,3646,0.38395,256,280,528,19,1,0,0,0,63.97,16.25,8,119,63.97,0,313212,10322,0,317345,10336
98,8004,6503,1501,9925,4566,0.46005,256,272,528,21,1,0,0,0,63.97,17.82,5,119,63.97,0,314820,10327,0,319391,10336
