t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,8000,6499,1501,6978,3292,0.47177,264,280,528,26,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0,24038,0
2,8020,6517,1503,6965,3649,0.52391,16,280,528,23,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0,24038,0
3,8004,6502,1502,6940,4183,0.60274,10,272,528,25,0,0,0,0,63.96,0.01,1,86,63.96,0,0,0,0,0,0,24038,0
4,8028,6524,1504,6926,4078,0.58880,10,272,528,25,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0,24038,0
5,8007,6504,1503,6904,4199,0.60820,10,272,528,24,0,0,0,0,63.96,0.02,1,86,63.96,0,0,0,0,0,0,24038,0
6,8011,6510,1501,6923,4018,0.58038,11,272,528,25,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0,24038,0
7,8038,6530,1508,7015,4007,0.57120,12,280,528,25,0,0,0,0,63.96,0.30,2,86,63.96,0,0,0,0,0,0,24038,0
8,8007,6505,1502,7315,4011,0.54833,13,288,544,2752,1,0,1,0,63.97,0.00,1,87,63.97,0,0,0,0,0,0,25057,136
9,8022,6519,1503,7867,4185,0.53197,236,296,752,2624,1,1,0,0,63.98,0.11,3,97,63.98,0,0,0,0,0,0,30106,2059
10,8003,6501,1502,7831,4301,0.54923,220,288,544,2624,1,0,0,0,63.98,0.22,5,97,63.98,0,0,0,0,0,0,35842,4372
11,8007,6507,1500,7806,3217,0.41212,264,312,560,2560,1,1,0,0,63.97,0.00,0,100,63.97,0,0,0,0,0,0,41057,6160
12,8010,6510,1500,7682,3209,0.41773,264,296,544,1952,1,0,0,0,63.98,0.00,0,100,63.98,0,0,0,0,0,0,45336,6899
13,8024,6520,1504,7774,3871,0.49794,264,288,544,2432,1,1,0,0,63.97,0.07,4,97,63.97,0,0,0,0,0,0,49564,7569
14,8006,6503,1503,7723,3834,0.49644,264,288,544,2176,1,0,0,0,63.98,0.11,1,97,63.98,0,0,0,0,0,0,53906,8384
15,8004,6503,1501,7759,3729,0.48060,264,296,544,70,1,0,0,0,63.98,0.00,0,97,63.98,0,0,0,0,0,0,57717,8562
16,8024,6519,1505,7751,3386,0.43685,264,296,544,2944,1,1,0,0,63.98,0.00,0,100,63.98,0,0,0,0,0,0,62145,9490
17,8008,6507,1501,7837,3732,0.47620,264,296,544,704,1,0,0,0,63.97,0.00,0,100,63.97,0,0,0,0,0,0,66491,10273
18,8002,6501,1501,7832,3917,0.50013,264,288,544,3264,1,1,0,0,63.97,0.53,4,103,63.97,0,0,0,0,0,0,71181,11484
19,8032,6526,1506,7821,3847,0.49188,264,296,544,188,1,0,0,0,63.98,0.23,3,103,63.98,0,0,0,0,0,0,75268,11975
20,8028,6524,1504,7779,3512,0.45147,264,296,544,52,1,0,0,0,63.98,0.17,3,103,63.98,0,0,0,0,0,0,78910,11975
21,8007,6505,1502,7672,3686,0.48045,264,288,544,2752,1,1,0,0,63.97,0.22,4,106,63.97,0,0,0,0,0,0,82989,12502
22,8001,6502,1499,7730,3809,0.49276,264,288,544,944,1,0,0,0,63.97,0.08,3,106,63.97,0,0,0,0,0,0,87436,13378
23,8023,6517,1506,7570,3594,0.47477,264,288,544,46,1,0,0,0,63.97,0.05,1,106,63.97,0,0,0,0,0,0,91077,13378
24,8019,6516,1503,7762,3278,0.42231,264,296,544,1792,1,1,0,0,63.97,0.13,3,109,63.97,0,0,0,0,0,0,95681,14479
25,8006,6504,1502,7621,3122,0.40966,264,288,544,3136,1,0,0,0,63.97,0.02,1,109,63.97,0,0,0,0,0,0,100207,15503
26,8030,6525,1505,7739,3108,0.40160,264,296,544,2496,1,1,0,0,63.97,0.37,4,112,63.97,0,0,0,0,0,0,104154,15905
27,8004,6503,1501,7641,3155,0.41290,264,296,544,544,1,0,0,0,63.96,0.02,1,112,63.96,0,0,0,0,0,0,108188,16369
28,8033,6529,1504,7688,3748,0.48751,264,288,544,110,1,0,0,0,63.96,0.03,2,112,63.96,0,0,0,0,0,0,112410,17012
29,8006,6503,1503,7696,4190,0.54444,228,288,528,2368,1,1,0,0,63.96,0.00,1,109,63.96,0,0,0,0,0,0,116821,17962
30,8010,6508,1502,7689,4114,0.53505,256,288,544,90,1,0,0,0,63.97,0.07,2,109,63.97,0,0,0,0,0,0,121283,18856
31,8006,6507,1499,7667,4207,0.54872,33,288,528,2304,1,1,0,0,63.96,0.05,3,112,63.96,0,0,0,0,0,0,124904,18888
32,8007,6503,1504,7433,3434,0.46199,264,296,528,2816,1,1,0,0,63.96,0.01,1,111,63.96,0,0,0,0,0,0,129438,19938
33,8005,6504,1501,7426,3780,0.50902,264,280,528,896,1,0,0,0,63.96,0.09,2,111,63.96,0,0,0,0,0,0,134054,21032
34,8019,6515,1504,7360,3966,0.53886,21,288,528,2112,0,1,0,0,63.96,0.14,4,114,63.96,0,0,0,0,0,0,137201,21032
35,8023,6519,1504,6953,3416,0.49130,264,280,528,24,0,0,0,0,63.96,0.17,3,114,63.96,0,0,0,0,0,0,137201,21032
36,8004,6505,1499,6924,3562,0.51444,16,280,528,26,0,0,0,0,63.96,0.12,3,114,63.96,0,0,0,0,0,0,137201,21032
37,8010,6507,1503,6935,3744,0.53987,13,280,528,24,0,0,0,0,63.96,0.10,2,114,63.96,0,0,0,0,0,0,137201,21032
38,8008,6507,1501,6933,4010,0.57839,11,280,528,25,0,0,0,0,63.95,0.07,1,114,63.95,0,0,0,0,0,0,137201,21032
39,8002,6502,1500,6918,3548,0.51286,17,280,528,31,0,0,0,0,63.95,0.00,0,114,63.95,0,0,0,0,0,0,137201,21032
40,8006,6504,1502,6973,3118,0.44715,264,288,528,28,0,0,0,0,63.95,0.33,5,114,63.95,0,0,0,0,0,0,137201,21032
41,8005,6504,1501,6922,2849,0.41159,264,288,528,30,0,0,0,0,63.95,0.02,1,114,63.95,0,0,0,0,0,0,137201,21032
42,8006,6506,1500,6972,2713,0.38913,264,288,528,28,0,0,0,0,63.95,0.00,0,114,63.95,0,0,0,0,0,0,137201,21032
43,8007,6504,1503,6979,2770,0.39691,264,280,528,28,0,0,0,0,63.95,0.35,2,114,63.95,0,0,0,0,0,0,137201,21032
44,8004,6503,1501,7049,2537,0.35991,264,296,528,26,0,0,0,0,63.95,0.00,0,114,63.95,0,0,0,0,0,0,137201,21032
45,8009,6509,1500,7005,3062,0.43712,264,280,528,25,0,0,0,0,63.95,0.09,2,114,63.95,0,0,0,0,0,0,137201,21032
46,8002,6505,1497,7609,3646,0.47917,264,288,784,2752,1,1,1,0,63.97,0.07,5,126,63.97,0,0,0,0,0,0,139724,21479
47,8032,6522,1510,7799,3712,0.47596,264,296,560,2368,1,0,0,0,63.97,0.02,1,126,63.97,0,0,0,0,0,0,144488,22740
48,8041,6533,1508,7848,3732,0.47554,264,288,544,2368,1,0,0,0,63.97,0.24,3,126,63.97,0,0,0,0,0,0,149316,24051
49,8022,6518,1504,7828,3152,0.40266,264,304,560,1920,1,1,0,0,63.98,0.02,1,125,63.98,0,0,0,0,0,0,153033,24184
50,8007,6505,1502,7825,3381,0.43208,264,304,560,82,1,0,0,0,63.98,0.00,0,125,63.98,0,0,0,0,0,0,156675,24184
51,8010,6510,1500,7862,3595,0.45726,264,304,560,2560,1,1,0,0,63.98,0.11,3,124,63.98,0,0,0,0,0,0,161752,25817
52,8040,6532,1508,7793,3594,0.46118,264,296,544,2880,1,0,0,0,63.98,0.17,3,124,63.98,0,0,0,0,0,0,166105,26622
53,8008,6506,1502,7804,4004,0.51307,264,288,544,2432,1,1,0,0,63.97,0.26,3,122,63.97,0,0,0,0,0,0,170388,27364
54,8008,6506,1502,7664,3789,0.49439,264,288,528,2688,1,0,0,0,63.97,0.00,0,122,63.97,0,0,0,0,0,0,175068,28556
55,8019,6517,1502,7799,4049,0.51917,264,288,544,45,1,0,0,0,63.97,0.00,0,122,63.97,0,0,0,0,0,0,178840,28675
56,8006,6503,1503,7752,4305,0.55534,22,288,544,1984,1,1,0,0,63.97,0.07,1,121,63.97,0,0,0,0,0,0,183440,29789
57,8026,6521,1505,7745,4400,0.56811,17,280,528,2304,1,0,0,0,63.97,0.06,2,121,63.97,0,0,0,0,0,0,188351,31210
58,8005,6505,1500,7758,4146,0.53442,264,288,544,2112,1,1,0,0,63.97,0.07,1,120,63.97,0,0,0,0,0,0,192084,31342
59,8007,6507,1500,7686,3689,0.47996,264,288,544,1344,1,0,0,0,63.97,0.35,4,120,63.97,0,0,0,0,0,0,195708,31343
60,8015,6511,1504,7739,3554,0.45923,264,288,544,2752,1,1,0,0,63.97,0.07,1,119,63.97,0,0,0,0,0,0,201009,33231
61,8008,6506,1502,7803,3622,0.46418,264,296,544,200,1,0,0,0,63.97,0.20,4,119,63.97,0,0,0,0,0,0,204675,33284
62,8005,6504,1501,7705,3476,0.45114,264,296,544,248,1,0,0,0,63.97,0.13,2,119,63.97,0,0,0,0,0,0,208853,33881
63,8020,6517,1503,7671,3351,0.43684,264,296,544,2496,1,1,0,0,63.97,0.11,4,117,63.97,0,0,0,0,0,0,213053,34547
64,8007,6505,1502,7666,3153,0.41130,264,296,544,236,1,0,0,0,63.97,0.12,4,117,63.97,0,0,0,0,0,0,217726,35687
65,8006,6505,1501,7747,3273,0.42249,264,296,544,3328,1,1,0,0,63.97,0.26,8,116,63.97,0,0,0,0,0,0,221678,36110
66,8003,6506,1497,7743,3713,0.47953,264,296,544,2752,1,0,0,0,63.97,0.21,5,116,63.96,0,0,0,0,0,0,226437,37381
67,8047,6535,1512,7730,3713,0.48034,264,288,544,156,1,0,0,0,63.96,0.17,6,116,63.96,0,0,0,0,0,0,230809,38176
68,8018,6514,1504,7688,3510,0.45656,264,288,544,2752,1,1,0,0,63.97,0.01,2,115,63.96,0,0,0,0,0,0,235039,38861
69,8038,6531,1507,7667,3887,0.50698,264,288,528,1184,1,0,0,0,63.96,0.09,3,115,63.96,0,0,0,0,0,0,239077,39316
70,8009,6507,1502,7644,3964,0.51858,264,288,528,2944,1,1,0,0,63.96,0.41,7,114,63.96,0,0,0,0,0,0,243183,39892
71,8040,6533,1507,7711,3692,0.47880,264,288,528,208,1,0,0,0,63.96,0.10,3,114,63.96,0,0,0,0,0,0,246836,39893
72,8005,6504,1501,7611,3394,0.44593,264,288,528,188,1,0,0,0,63.96,0.15,4,114,63.96,0,0,0,0,0,0,251207,40710
73,8006,6505,1501,7705,3251,0.42193,264,296,528,31,0,1,0,0,63.95,0.02,2,113,63.95,0,0,0,0,0,0,251318,40710
74,8017,6514,1503,7665,3620,0.47228,264,288,528,25,0,0,0,0,63.95,0.00,0,113,63.95,0,0,0,0,0,0,251318,40710
75,8005,6504,1501,7642,3900,0.51034,264,288,528,27,0,0,0,0,63.95,0.14,3,113,63.95,0,0,0,0,0,0,251318,40710
76,8005,6505,1500,7579,3831,0.50548,264,280,528,25,0,0,0,0,63.95,0.00,0,113,63.95,0,0,0,0,0,0,251318,40710
