t,type,level,bytes
-29.915,flush_begin,0,0
-29.890,flush_end,0,6638552
-29.879,flush_begin,0,0
-29.855,flush_end,0,6638554
-29.844,flush_begin,0,0
-29.820,flush_end,0,6638553
-29.810,flush_begin,0,0
-29.786,flush_end,0,6638553
-29.776,flush_begin,0,0
-29.752,flush_end,0,6638553
-29.742,flush_begin,0,0
-29.717,flush_end,0,6638554
-29.707,flush_begin,0,0
-29.683,flush_end,0,6638552
-29.673,flush_begin,0,0
-29.649,flush_end,0,6638554
-29.639,flush_begin,0,0
-29.615,flush_end,0,6638554
-29.604,flush_begin,0,0
-29.580,flush_end,0,6638552
-29.569,flush_begin,0,0
-29.545,flush_end,0,6638553
-29.534,flush_begin,0,0
-29.510,flush_end,0,6638553
-29.500,flush_begin,0,0
-29.476,flush_end,0,6638554
-29.466,flush_begin,0,0
-29.441,flush_end,0,6638552
-29.431,flush_begin,0,0
-29.406,flush_end,0,6638554
-29.396,flush_begin,0,0
-29.370,flush_end,0,6638554
-29.354,trivial_move,3,6638552
-29.353,flush_begin,0,0
-29.330,flush_end,0,6638552
-29.313,trivial_move,3,6638554
-29.311,flush_begin,0,0
-29.288,flush_end,0,6638555
-29.272,trivial_move,3,6638553
-29.271,flush_begin,0,0
-29.246,flush_end,0,6638553
-29.230,trivial_move,3,6638553
-29.229,flush_begin,0,0
-29.205,flush_end,0,6638553
-29.189,trivial_move,3,6638553
-29.188,flush_begin,0,0
-29.163,flush_end,0,6638552
-29.146,trivial_move,3,6638554
-29.145,flush_begin,0,0
-29.120,flush_end,0,6638554
-29.104,trivial_move,3,6638552
-29.103,flush_begin,0,0
-29.078,flush_end,0,6638554
-29.062,trivial_move,3,6638554
-29.060,flush_begin,0,0
-29.036,flush_end,0,6638552
-29.020,trivial_move,3,6638554
-29.019,flush_begin,0,0
-28.994,flush_end,0,6638554
-28.978,trivial_move,3,6638552
-28.977,flush_begin,0,0
-28.953,flush_end,0,6638553
-28.937,trivial_move,3,6638553
-28.936,flush_begin,0,0
-28.912,flush_end,0,6638553
-28.896,trivial_move,3,6638553
-28.895,flush_begin,0,0
-28.871,flush_end,0,6638553
-28.855,trivial_move,3,6638554
-28.854,flush_begin,0,0
-28.830,flush_end,0,6638554
-28.814,trivial_move,3,6638552
-28.813,flush_begin,0,0
-28.788,flush_end,0,6638553
-28.771,trivial_move,3,6638554
-28.770,flush_begin,0,0
-28.746,flush_end,0,6638552
-28.730,trivial_move,3,6638554
-28.728,flush_begin,0,0
-28.703,flush_end,0,6638554
-28.687,trivial_move,3,6638552
-28.686,flush_begin,0,0
-28.662,flush_end,0,6638553
-28.646,trivial_move,3,6638555
-28.644,flush_begin,0,0
-28.620,flush_end,0,6638553
-28.601,trivial_move,3,6638553
-28.600,flush_begin,0,0
-28.576,flush_end,0,6638553
-28.560,trivial_move,3,6638553
-28.559,flush_begin,0,0
-28.535,flush_end,0,6638555
-28.519,trivial_move,3,6638552
-28.518,flush_begin,0,0
-28.494,flush_end,0,6638553
-28.478,trivial_move,3,6638554
-28.476,flush_begin,0,0
-28.452,flush_end,0,6638553
-28.436,trivial_move,3,6638554
-28.434,flush_begin,0,0
-28.410,flush_end,0,6638554
-28.394,trivial_move,3,6638552
-28.393,flush_begin,0,0
-28.369,flush_end,0,6638552
-28.353,trivial_move,3,6638554
-28.352,flush_begin,0,0
-28.326,flush_end,0,6638553
-28.310,trivial_move,3,6638553
-28.309,flush_begin,0,0
-28.285,flush_end,0,6638553
-28.269,trivial_move,3,6638553
-28.267,flush_begin,0,0
-28.242,flush_end,0,6638554
-28.226,trivial_move,3,6638553
-28.225,flush_begin,0,0
-28.201,flush_end,0,6638553
-28.185,trivial_move,3,6638554
-28.183,flush_begin,0,0
-28.159,flush_end,0,6638553
-28.143,trivial_move,3,6638553
-28.142,flush_begin,0,0
-28.118,flush_end,0,6638554
-28.102,trivial_move,3,6638552
-28.101,flush_begin,0,0
-28.077,flush_end,0,6638552
-28.061,trivial_move,3,6638554
-28.059,flush_begin,0,0
-28.035,flush_end,0,6638554
-28.019,trivial_move,3,6638553
-28.017,flush_begin,0,0
-27.994,flush_end,0,6638553
-27.979,trivial_move,3,6638553
-27.977,flush_begin,0,0
-27.952,flush_end,0,6638553
-27.936,trivial_move,3,6638553
-27.934,flush_begin,0,0
-27.911,flush_end,0,6638553
-27.895,trivial_move,3,6638555
-27.894,flush_begin,0,0
-27.868,flush_end,0,6638553
-27.852,trivial_move,3,6638553
-27.851,flush_begin,0,0
-27.827,flush_end,0,6638555
-27.811,trivial_move,3,6638553
-27.810,flush_begin,0,0
-27.786,flush_end,0,6638552
-27.770,trivial_move,3,6638554
-27.769,flush_begin,0,0
-27.745,flush_end,0,6638554
-27.729,trivial_move,3,6638552
-27.727,flush_begin,0,0
-27.704,flush_end,0,6638553
-27.688,trivial_move,3,6638553
-27.687,flush_begin,0,0
-27.663,flush_end,0,6638553
-27.646,trivial_move,3,6638553
-27.645,flush_begin,0,0
-27.621,flush_end,0,6638554
-27.605,trivial_move,3,6638554
-27.604,flush_begin,0,0
-27.579,flush_end,0,6638553
-27.563,trivial_move,3,6638553
-27.562,flush_begin,0,0
-27.538,flush_end,0,6638553
-27.522,trivial_move,3,6638553
-27.520,flush_begin,0,0
-27.495,flush_end,0,6638552
-27.479,trivial_move,3,6638554
-27.478,flush_begin,0,0
-27.453,flush_end,0,6638554
-27.437,trivial_move,3,6638552
-27.435,flush_begin,0,0
-27.411,flush_end,0,6638553
-27.395,trivial_move,3,6638554
-27.394,flush_begin,0,0
-27.370,flush_end,0,6638553
-27.354,trivial_move,3,6638553
-27.352,flush_begin,0,0
-27.328,flush_end,0,6638554
-27.312,trivial_move,3,6638553
-27.311,flush_begin,0,0
-27.287,flush_end,0,6638553
-27.270,trivial_move,3,6638553
-27.268,flush_begin,0,0
-27.244,flush_end,0,6638553
-27.228,trivial_move,3,6638553
-27.227,flush_begin,0,0
-27.202,flush_end,0,6638553
-27.186,trivial_move,3,6638555
-27.184,flush_begin,0,0
-27.160,flush_end,0,6638554
-27.144,trivial_move,3,6638552
-27.143,flush_begin,0,0
-27.119,flush_end,0,6638552
-27.103,trivial_move,3,6638554
-27.103,flush_begin,0,0
-27.096,flush_end,0,1164547
-27.087,compaction_begin,2,0
-27.056,compaction_end,2,6638145
-27.048,compaction_begin,2,0
-27.017,compaction_end,2,6638145
-27.009,compaction_begin,2,0
-26.977,compaction_end,2,6638146
-26.969,compaction_begin,2,0
-26.936,compaction_end,2,6638145
-26.928,compaction_begin,2,0
-26.896,compaction_end,2,6638145
-26.888,compaction_begin,2,0
-26.856,compaction_end,2,6638144
-26.848,compaction_begin,2,0
-26.816,compaction_end,2,6638146
-26.808,compaction_begin,2,0
-26.771,compaction_end,2,6638145
-26.762,compaction_begin,2,0
-26.729,compaction_end,2,6638145
-26.721,compaction_begin,2,0
-26.688,compaction_end,2,6638146
-26.680,compaction_begin,2,0
-26.647,compaction_end,2,6638145
-26.639,compaction_begin,2,0
-26.606,compaction_end,2,6638145
-26.598,compaction_begin,2,0
-26.566,compaction_end,2,6638145
-26.558,compaction_begin,2,0
-26.525,compaction_end,2,6638146
-26.517,compaction_begin,2,0
-26.483,compaction_end,2,6638144
-26.475,compaction_begin,2,0
-26.466,compaction_end,2,1164547
11.188,flush_begin,0,0
11.367,flush_end,0,6627001
11.446,compaction_begin,1,0
11.959,compaction_end,1,6561518
12.035,compaction_begin,2,0
16.199,compaction_end,2,46468050
16.215,compaction_begin,2,0
20.111,compaction_end,2,46468050
20.119,compaction_begin,2,0
23.958,compaction_end,2,46468049
23.975,compaction_begin,2,0
27.843,compaction_end,2,44118862
27.859,compaction_begin,2,0
31.952,compaction_end,2,46468049
31.961,compaction_begin,2,0
35.942,compaction_end,2,46468049
35.962,compaction_begin,2,0
39.843,compaction_end,2,46468047
39.864,compaction_begin,2,0
43.032,compaction_end,2,44118863
43.045,compaction_begin,2,0
45.774,compaction_end,2,44118861
45.786,compaction_begin,2,0
48.823,compaction_end,2,46468049
48.832,flush_begin,0,0
48.945,flush_end,0,6628249
49.020,compaction_begin,1,0
49.600,compaction_end,1,8003551
49.667,compaction_begin,2,0
53.213,compaction_end,2,42178895
53.228,compaction_begin,2,0
56.340,compaction_end,2,42179009
56.348,compaction_begin,2,0
59.268,compaction_end,2,42179010
59.291,compaction_begin,2,0
62.420,compaction_end,2,42890503
62.433,compaction_begin,2,0
65.244,compaction_end,2,42179010
65.258,compaction_begin,2,0
68.620,compaction_end,2,42179010
68.630,compaction_begin,2,0
72.396,compaction_end,2,42179012
72.413,compaction_begin,2,0
75.846,compaction_end,2,42179011
75.868,compaction_begin,2,0
79.523,compaction_end,2,42179011
79.538,compaction_begin,2,0
83.097,compaction_end,2,42179010
83.118,compaction_begin,2,0
86.469,compaction_end,2,42179009
86.479,flush_begin,0,0
86.687,flush_end,0,6629521
86.765,compaction_begin,1,0
87.441,compaction_end,1,9272125
87.525,compaction_begin,2,0
91.328,compaction_end,2,42179011
