t,type,level,bytes
-29.911,flush_begin,0,0
-29.883,flush_end,0,6638552
-29.874,flush_begin,0,0
-29.846,flush_end,0,6638554
-29.838,flush_begin,0,0
-29.811,flush_end,0,6638553
-29.803,flush_begin,0,0
-29.775,flush_end,0,6638553
-29.767,flush_begin,0,0
-29.739,flush_end,0,6638553
-29.731,flush_begin,0,0
-29.702,flush_end,0,6638554
-29.694,flush_begin,0,0
-29.666,flush_end,0,6638552
-29.658,flush_begin,0,0
-29.630,flush_end,0,6638554
-29.622,flush_begin,0,0
-29.594,flush_end,0,6638554
-29.586,flush_begin,0,0
-29.559,flush_end,0,6638552
-29.551,flush_begin,0,0
-29.522,flush_end,0,6638553
-29.514,flush_begin,0,0
-29.486,flush_end,0,6638553
-29.478,flush_begin,0,0
-29.451,flush_end,0,6638554
-29.443,flush_begin,0,0
-29.415,flush_end,0,6638552
-29.407,flush_begin,0,0
-29.377,flush_end,0,6638554
-29.369,flush_begin,0,0
-29.341,flush_end,0,6638554
-29.322,trivial_move,3,6638552
-29.322,flush_begin,0,0
-29.295,flush_end,0,6638552
-29.277,trivial_move,3,6638554
-29.277,flush_begin,0,0
-29.250,flush_end,0,6638555
-29.231,trivial_move,3,6638553
-29.231,flush_begin,0,0
-29.204,flush_end,0,6638553
-29.187,trivial_move,3,6638553
-29.186,flush_begin,0,0
-29.159,flush_end,0,6638553
-29.142,trivial_move,3,6638553
-29.141,flush_begin,0,0
-29.115,flush_end,0,6638552
-29.099,trivial_move,3,6638554
-29.099,flush_begin,0,0
-29.070,flush_end,0,6638554
-29.052,trivial_move,3,6638552
-29.052,flush_begin,0,0
-29.024,flush_end,0,6638554
-29.007,trivial_move,3,6638554
-29.007,flush_begin,0,0
-28.976,flush_end,0,6638552
-28.957,trivial_move,3,6638554
-28.957,flush_begin,0,0
-28.929,flush_end,0,6638554
-28.911,trivial_move,3,6638552
-28.911,flush_begin,0,0
-28.882,flush_end,0,6638553
-28.865,trivial_move,3,6638553
-28.865,flush_begin,0,0
-28.836,flush_end,0,6638553
-28.816,trivial_move,3,6638553
-28.816,flush_begin,0,0
-28.788,flush_end,0,6638553
-28.771,trivial_move,3,6638554
-28.771,flush_begin,0,0
-28.741,flush_end,0,6638554
