t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,8013,6510,1503,7001,3316,0.47365,264,280,528,26,0,0,0,0,63.96,0.00,0,86,63.96,0,135196,14,0,135196,14,24038,0
2,8009,6507,1502,6976,3708,0.53154,14,272,528,24,0,0,0,0,63.96,0.00,0,86,63.96,0,135196,14,0,135196,14,24038,0
3,8005,6505,1500,6910,4182,0.60521,12,280,528,35,0,0,0,0,63.96,0.02,1,86,63.96,0,135196,14,0,135196,14,24038,0
4,8005,6503,1502,6909,4096,0.59285,12,280,528,61,0,0,0,0,63.96,0.00,0,86,63.96,0,135196,14,0,135196,14,24038,0
5,8045,6538,1507,6934,4231,0.61018,13,280,528,42,0,0,0,0,63.96,0.01,1,86,63.96,0,135196,14,0,135196,14,24038,0
6,8021,6516,1505,6945,4047,0.58272,15,280,544,43,0,0,0,0,63.96,0.00,0,86,63.96,0,135196,14,0,135196,14,24038,0
7,8013,6511,1502,6960,3982,0.57213,17,296,544,49,0,0,0,0,63.96,0.00,0,86,63.96,0,135196,14,0,135196,14,24038,0
8,8042,6533,1509,6993,3841,0.54926,17,296,544,54,0,0,0,0,63.96,5.62,2,86,63.96,0,135196,14,0,136619,14,24038,0
9,8025,6523,1502,7829,4277,0.54630,252,288,528,3136,1,1,1,0,63.95,3.61,8,97,63.95,5980,136765,276,0,138751,479,26655,1893
10,8008,6506,1502,7844,4207,0.53633,264,288,528,30,1,0,0,0,63.97,10.73,5,97,63.97,0,136854,276,0,141039,663,28723,2570
11,8044,6536,1508,7857,3831,0.48759,264,288,544,39,1,0,0,0,63.98,17.81,5,97,63.98,0,138408,301,0,143362,692,30795,3279
12,8044,6534,1510,7757,3475,0.44798,264,296,544,33,1,0,0,0,63.98,17.63,6,97,63.98,0,140666,366,0,145485,693,33303,4255
13,8005,6507,1498,7799,3843,0.49276,264,288,544,53,1,0,0,0,63.98,18.30,8,97,63.98,0,142629,455,0,147531,693,35407,4721
14,8006,6502,1504,7728,3685,0.47684,264,288,528,152,1,1,0,0,58.48,11.35,4,100,58.50,1976,144631,629,0,149408,727,37374,4917
15,8005,6504,1501,7752,3510,0.45279,264,288,544,30,1,0,0,0,63.97,17.06,5,100,63.97,0,146809,634,0,151454,913,39170,5035
16,8007,6508,1499,7767,3587,0.46183,264,288,528,26,1,0,0,0,63.98,16.06,5,100,63.98,0,149150,673,0,153500,913,41460,5686
17,8031,6524,1507,7916,3654,0.46160,264,296,560,33,1,0,0,0,63.98,17.45,5,100,63.98,0,151065,897,0,155546,913,43902,6502
18,8004,6503,1501,7866,3910,0.49708,264,296,544,36,1,0,0,0,63.97,18.04,5,100,63.97,0,152972,909,0,157592,913,45583,6503
19,8009,6507,1502,7848,3897,0.49656,264,296,544,28,1,0,0,0,63.98,18.31,6,100,63.98,0,154942,912,0,159609,913,47292,6503
