t,type,level,bytes
-29.948,flush_begin,0,0
-29.930,flush_end,0,6638552
-29.922,flush_begin,0,0
-29.905,flush_end,0,6638554
-29.896,flush_begin,0,0
-29.879,flush_end,0,6638553
-29.870,flush_begin,0,0
-29.853,flush_end,0,6638553
-29.845,flush_begin,0,0
-29.828,flush_end,0,6638553
-29.820,flush_begin,0,0
-29.803,flush_end,0,6638554
-29.795,flush_begin,0,0
-29.778,flush_end,0,6638552
-29.769,flush_begin,0,0
-29.752,flush_end,0,6638554
-29.743,flush_begin,0,0
-29.725,flush_end,0,6638554
-29.716,flush_begin,0,0
-29.698,flush_end,0,6638552
-29.690,flush_begin,0,0
-29.673,flush_end,0,6638553
-29.664,flush_begin,0,0
-29.646,flush_end,0,6638553
-29.637,flush_begin,0,0
-29.620,flush_end,0,6638554
-29.611,flush_begin,0,0
-29.593,flush_end,0,6638552
-29.585,flush_begin,0,0
-29.568,flush_end,0,6638554
-29.559,flush_begin,0,0
-29.541,flush_end,0,6638554
-29.523,trivial_move,3,6638552
-29.523,flush_begin,0,0
-29.505,flush_end,0,6638552
-29.488,trivial_move,3,6638554
-29.488,flush_begin,0,0
-29.470,flush_end,0,6638555
-29.452,trivial_move,3,6638553
-29.452,flush_begin,0,0
-29.435,flush_end,0,6638553
-29.416,trivial_move,3,6638553
-29.416,flush_begin,0,0
-29.399,flush_end,0,6638553
-29.381,trivial_move,3,6638553
-29.381,flush_begin,0,0
-29.363,flush_end,0,6638552
-29.344,trivial_move,3,6638554
-29.344,flush_begin,0,0
-29.326,flush_end,0,6638554
-29.308,trivial_move,3,6638552
-29.308,flush_begin,0,0
-29.289,flush_end,0,6638554
-29.271,trivial_move,3,6638554
-29.271,flush_begin,0,0
-29.254,flush_end,0,6638552
-29.236,trivial_move,3,6638554
-29.236,flush_begin,0,0
-29.217,flush_end,0,6638554
-29.199,trivial_move,3,6638552
-29.199,flush_begin,0,0
-29.181,flush_end,0,6638553
-29.162,trivial_move,3,6638553
-29.162,flush_begin,0,0
-29.144,flush_end,0,6638553
-29.127,trivial_move,3,6638553
-29.127,flush_begin,0,0
-29.109,flush_end,0,6638553
-29.090,trivial_move,3,6638554
-29.090,flush_begin,0,0
-29.072,flush_end,0,6638554
-29.054,trivial_move,3,6638552
-29.054,flush_begin,0,0
-29.036,flush_end,0,6638553
