t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended
1,8085,6569,1516,6458,1601,0.24791,336,344,360,63,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0
2,8013,6512,1501,6409,1772,0.27649,336,352,360,58,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0
3,8012,6508,1504,6397,1707,0.26684,336,352,360,64,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0
4,8008,6506,1502,6381,1545,0.24213,336,352,360,63,0,0,0,0,63.95,0.00,0,86,63.95,0,0,0,0
5,8012,6510,1502,6382,1763,0.27625,336,352,360,58,0,0,0,0,63.96,0.01,1,86,63.96,0,0,0,0
6,8084,6570,1514,6439,1862,0.28918,336,352,360,62,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0
7,8010,6507,1503,6357,1924,0.30266,336,352,360,62,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0
8,8016,6513,1503,7108,1732,0.24367,320,344,360,1760,1,0,1,0,63.96,0.00,0,87,63.96,12,0,0,0
9,8010,6507,1503,8658,1856,0.21437,336,352,368,2432,1,1,0,0,63.96,0.17,7,97,63.96,2548,0,0,0
10,8032,6527,1505,9252,2241,0.24222,336,352,368,60,1,0,0,0,63.97,0.00,0,97,63.97,0,0,0,0
11,8010,6509,1501,9021,2222,0.24631,336,352,368,58,1,0,0,0,63.98,0.00,0,97,63.98,0,0,0,0
12,8008,6507,1501,8721,2866,0.32863,328,352,368,57,1,0,0,0,63.98,0.00,0,97,63.98,0,0,0,0
13,8018,6513,1505,8665,2310,0.26659,336,352,368,52,1,0,0,0,63.98,0.00,0,97,63.98,0,0,0,0
14,8014,6512,1502,9417,2189,0.23245,320,352,368,1408,1,1,0,0,63.18,0.32,5,100,63.19,1496,0,0,0
15,8088,6571,1517,9795,2235,0.22818,328,352,360,64,1,0,0,0,63.98,0.00,0,100,63.98,0,0,0,0
16,8051,6542,1509,10960,3444,0.31423,320,344,352,2432,1,0,0,0,63.97,0.00,0,100,63.97,0,0,0,0
17,8086,6569,1517,9793,2397,0.24477,320,344,360,2048,1,1,0,0,63.98,0.30,4,97,63.98,1014,0,0,0
18,8044,6539,1505,9728,2382,0.24486,320,352,360,68,1,0,0,0,63.97,0.61,3,97,63.97,0,0,0,0
19,8010,6505,1505,9546,2736,0.28661,328,352,360,57,1,0,0,0,63.97,0.76,3,97,63.97,0,0,0,0
20,8018,6518,1500,8685,2340,0.26943,328,352,360,2560,1,1,0,0,58.00,0.10,7,93,58.00,835,0,0,0
21,8004,6501,1503,9446,2081,0.22030,320,352,360,62,1,0,0,0,63.97,0.28,4,93,63.97,0,0,0,0
22,8017,6514,1503,9797,2428,0.24783,336,352,360,60,1,0,0,0,63.97,0.29,2,93,63.97,0,0,0,0
23,8008,6508,1500,9593,2376,0.24768,336,352,360,64,1,0,0,0,63.97,0.00,0,93,63.97,0,0,0,0
24,8014,6514,1500,9560,2177,0.22772,320,344,360,2560,1,1,0,0,63.95,0.34,4,96,63.95,1531,0,0,0
25,8082,6562,1520,10107,2608,0.25804,320,344,360,82,1,0,0,0,63.97,0.29,3,96,63.97,0,0,0,0
26,8004,6504,1500,9950,2599,0.26121,328,352,360,80,1,0,0,0,63.97,0.04,1,96,63.97,0,0,0,0
27,8084,6567,1517,9846,2480,0.25188,320,352,360,1344,1,1,0,0,57.21,0.36,8,99,57.23,1760,0,0,0
28,8086,6569,1517,10053,2796,0.27813,320,352,360,504,1,0,0,0,63.97,0.19,3,99,63.97,0,0,0,0
29,8049,6540,1509,10084,3166,0.31396,328,352,360,100,1,0,0,0,63.96,0.29,3,99,63.96,0,0,0,0
30,8071,6559,1512,9530,2216,0.23253,328,352,360,2368,1,1,0,0,52.62,0.18,8,102,52.64,306,0,0,0
31,8088,6570,1518,8569,2076,0.24227,320,352,360,57,1,0,0,0,63.96,0.27,5,102,63.96,0,0,0,0
32,8010,6510,1500,8198,2186,0.26665,328,352,360,74,1,1,0,0,63.96,0.00,1,100,63.96,1801,0,0,0
33,8016,6512,1504,8605,2286,0.26566,328,352,360,74,1,0,0,0,63.96,0.03,2,100,63.96,0,0,0,0
34,8082,6567,1515,9848,2915,0.29600,320,344,360,64,1,0,0,0,63.96,0.01,1,100,63.96,0,0,0,0
35,8010,6508,1502,8935,2199,0.24611,336,352,360,62,1,0,0,0,63.96,0.00,0,100,63.96,0,0,0,0
36,8011,6508,1503,9667,2006,0.20751,320,344,352,504,1,1,0,0,63.96,0.42,8,103,63.96,1273,0,0,0
37,8047,6539,1508,9417,1864,0.19794,336,352,360,70,1,0,0,0,63.96,0.07,3,103,63.96,0,0,0,0
38,8013,6511,1502,9841,2593,0.26349,336,352,360,78,1,0,0,0,63.96,0.00,1,103,63.96,0,0,0,0
39,8028,6522,1506,9398,2043,0.21739,336,352,360,78,1,0,0,0,63.96,0.03,1,103,63.96,0,0,0,0
40,8008,6507,1501,9379,1853,0.19757,320,344,360,1600,1,1,0,0,63.96,0.42,6,106,63.96,1248,0,0,0
41,8012,6509,1503,9351,2314,0.24746,328,352,360,64,1,0,0,0,63.96,0.35,4,106,63.96,0,0,0,0
42,8011,6509,1502,8766,2106,0.24025,336,352,360,76,1,0,0,0,63.96,0.33,3,106,63.96,0,0,0,0
43,8009,6507,1502,9298,2051,0.22059,320,352,360,66,1,0,0,0,63.96,0.09,2,106,63.96,0,0,0,0
44,8016,6516,1500,8225,2121,0.25787,328,352,360,68,1,1,0,0,63.54,0.75,9,109,63.54,1358,0,0,0
45,8010,6505,1505,9017,2586,0.28679,320,344,352,80,1,0,0,0,63.96,0.19,2,109,63.96,0,0,0,0
46,8016,6513,1503,10065,2675,0.26577,320,352,376,2112,1,0,1,0,63.96,0.00,0,110,63.96,0,0,0,0
47,8028,6523,1505,9549,2048,0.21447,336,352,368,59,1,0,0,0,63.97,0.00,0,110,63.97,0,0,0,0
48,8009,6507,1502,8798,2328,0.26461,320,352,368,2752,1,1,0,0,63.97,0.29,5,113,63.97,396,0,0,0
49,8009,6508,1501,8529,2037,0.23883,328,352,376,1888,1,1,0,0,63.98,0.31,5,124,63.98,2325,0,0,0
50,8071,6562,1509,9487,3307,0.34858,328,352,368,54,1,0,0,0,63.98,0.12,2,124,63.98,0,0,0,0
51,8009,6503,1506,8345,2509,0.30066,328,352,368,59,1,0,0,0,63.98,0.29,2,124,63.98,0,0,0,0
52,8015,6513,1502,9525,2150,0.22572,320,352,368,72,1,0,0,0,63.98,0.13,1,124,63.98,0,0,0,0
53,8019,6516,1503,9989,2782,0.27851,320,344,360,2816,1,1,0,0,63.77,0.00,0,123,63.77,1869,0,0,0
54,8011,6511,1500,8645,2565,0.29670,328,352,368,64,1,0,0,0,63.97,0.18,3,123,63.97,0,0,0,0
55,8070,6554,1516,7890,2075,0.26299,336,352,368,61,1,0,0,0,63.97,0.00,0,123,63.97,0,0,0,0
56,8016,6514,1502,9052,2780,0.30711,328,352,368,58,1,0,0,0,63.97,0.01,1,123,63.97,0,0,0,0
57,8013,6512,1501,9224,2517,0.27288,336,352,360,1792,1,1,0,0,55.97,0.25,6,122,55.98,1807,0,0,0
58,8013,6507,1506,10137,2886,0.28470,336,352,360,90,1,0,0,0,63.97,0.20,3,122,63.97,0,0,0,0
59,8007,6506,1501,8680,2016,0.23226,336,352,360,68,1,0,0,0,63.97,0.20,3,122,63.97,0,0,0,0
