t,type,level,bytes
-29.958,flush_begin,0,0
-29.941,flush_end,0,6638552
-29.932,flush_begin,0,0
-29.916,flush_end,0,6638554
-29.907,flush_begin,0,0
-29.891,flush_end,0,6638553
-29.882,flush_begin,0,0
-29.866,flush_end,0,6638553
-29.858,flush_begin,0,0
-29.842,flush_end,0,6638553
-29.834,flush_begin,0,0
-29.818,flush_end,0,6638554
-29.809,flush_begin,0,0
-29.793,flush_end,0,6638552
-29.784,flush_begin,0,0
-29.768,flush_end,0,6638554
-29.759,flush_begin,0,0
-29.743,flush_end,0,6638554
-29.734,flush_begin,0,0
-29.718,flush_end,0,6638552
-29.709,flush_begin,0,0
-29.693,flush_end,0,6638553
-29.685,flush_begin,0,0
-29.669,flush_end,0,6638553
-29.660,flush_begin,0,0
-29.644,flush_end,0,6638554
-29.635,flush_begin,0,0
-29.619,flush_end,0,6638552
-29.610,flush_begin,0,0
-29.593,flush_end,0,6638554
-29.584,flush_begin,0,0
-29.568,flush_end,0,6638554
-29.559,flush_begin,0,0
-29.542,flush_end,0,6638552
-29.533,flush_begin,0,0
-29.517,flush_end,0,6638555
-29.499,trivial_move,3,6638552
-29.499,flush_begin,0,0
-29.480,flush_end,0,6638553
-29.463,trivial_move,3,6638554
-29.463,flush_begin,0,0
-29.446,flush_end,0,6638553
-29.427,trivial_move,3,6638553
-29.427,flush_begin,0,0
-29.409,flush_end,0,6638552
-29.392,trivial_move,3,6638553
-29.392,flush_begin,0,0
-29.374,flush_end,0,6638554
-29.355,trivial_move,3,6638553
-29.355,flush_begin,0,0
-29.337,flush_end,0,6638554
-29.320,trivial_move,3,6638554
-29.320,flush_begin,0,0
-29.301,flush_end,0,6638552
-29.284,trivial_move,3,6638552
-29.284,flush_begin,0,0
-29.267,flush_end,0,6638554
-29.249,trivial_move,3,6638554
-29.249,flush_begin,0,0
-29.230,flush_end,0,6638553
-29.213,trivial_move,3,6638554
-29.213,flush_begin,0,0
-29.195,flush_end,0,6638553
-29.177,trivial_move,3,6638552
-29.177,flush_begin,0,0
-29.158,flush_end,0,6638553
-29.140,trivial_move,3,6638553
-29.140,flush_begin,0,0
-29.122,flush_end,0,6638554
-29.103,trivial_move,3,6638553
-29.103,flush_begin,0,0
-29.084,flush_end,0,6638553
-29.067,trivial_move,3,6638554
-29.067,flush_begin,0,0
-29.049,flush_end,0,6638552
-29.030,trivial_move,3,6638552
-29.030,flush_begin,0,0
-29.012,flush_end,0,6638554
-28.994,trivial_move,3,6638554
-28.994,flush_begin,0,0
-28.975,flush_end,0,6638553
-28.958,trivial_move,3,6638554
-28.958,flush_begin,0,0
-28.940,flush_end,0,6638553
-28.922,trivial_move,3,6638552
-28.922,flush_begin,0,0
-28.903,flush_end,0,6638553
-28.884,trivial_move,3,6638555
-28.884,flush_begin,0,0
-28.866,flush_end,0,6638555
-28.847,trivial_move,3,6638553
-28.847,flush_begin,0,0
-28.828,flush_end,0,6638553
-28.809,trivial_move,3,6638553
-28.809,flush_begin,0,0
-28.789,flush_end,0,6638553
-28.770,trivial_move,3,6638552
-28.770,flush_begin,0,0
-28.750,flush_end,0,6638554
-28.731,trivial_move,3,6638554
-28.731,flush_begin,0,0
-28.712,flush_end,0,6638552
-28.693,trivial_move,3,6638554
-28.693,flush_begin,0,0
-28.674,flush_end,0,6638553
-28.656,trivial_move,3,6638552
-28.656,flush_begin,0,0
-28.636,flush_end,0,6638553
-28.618,trivial_move,3,6638554
-28.618,flush_begin,0,0
-28.593,flush_end,0,6638554
-28.575,trivial_move,3,6638553
-28.575,flush_begin,0,0
-28.557,flush_end,0,6638553
-28.539,trivial_move,3,6638553
-28.539,flush_begin,0,0
-28.520,flush_end,0,6638553
-28.501,trivial_move,3,6638553
-28.501,flush_begin,0,0
-28.482,flush_end,0,6638554
-28.465,trivial_move,3,6638554
-28.465,flush_begin,0,0
-28.447,flush_end,0,6638552
-28.427,trivial_move,3,6638553
-28.427,flush_begin,0,0
-28.409,flush_end,0,6638554
-28.391,trivial_move,3,6638552
-28.391,flush_begin,0,0
-28.372,flush_end,0,6638553
-28.354,trivial_move,3,6638554
-28.354,flush_begin,0,0
-28.335,flush_end,0,6638553
-28.317,trivial_move,3,6638553
-28.317,flush_begin,0,0
-28.297,flush_end,0,6638553
-28.280,trivial_move,3,6638553
-28.280,flush_begin,0,0
-28.262,flush_end,0,6638553
-28.243,trivial_move,3,6638553
-28.243,flush_begin,0,0
-28.225,flush_end,0,6638555
-28.207,trivial_move,3,6638555
-28.207,flush_begin,0,0
-28.189,flush_end,0,6638552
-28.169,trivial_move,3,6638553
-28.169,flush_begin,0,0
-28.151,flush_end,0,6638554
-28.133,trivial_move,3,6638553
-28.133,flush_begin,0,0
-28.115,flush_end,0,6638553
-28.097,trivial_move,3,6638554
-28.097,flush_begin,0,0
-28.080,flush_end,0,6638553
-28.063,trivial_move,3,6638552
-28.063,flush_begin,0,0
-28.045,flush_end,0,6638554
-28.027,trivial_move,3,6638553
-28.027,flush_begin,0,0
-28.009,flush_end,0,6638553
-27.991,trivial_move,3,6638553
-27.991,flush_begin,0,0
-27.972,flush_end,0,6638553
-27.954,trivial_move,3,6638554
-27.954,flush_begin,0,0
-27.936,flush_end,0,6638552
-27.916,trivial_move,3,6638553
-27.916,flush_begin,0,0
-27.897,flush_end,0,6638554
-27.880,trivial_move,3,6638553
-27.880,flush_begin,0,0
-27.862,flush_end,0,6638553
-27.842,trivial_move,3,6638554
-27.842,flush_begin,0,0
-27.823,flush_end,0,6638553
-27.804,trivial_move,3,6638552
-27.804,flush_begin,0,0
-27.784,flush_end,0,6638554
-27.765,trivial_move,3,6638554
-27.765,flush_begin,0,0
-27.746,flush_end,0,6638553
-27.727,trivial_move,3,6638553
-27.727,flush_begin,0,0
-27.708,flush_end,0,6638553
-27.689,trivial_move,3,6638553
-27.689,flush_begin,0,0
-27.670,flush_end,0,6638553
-27.652,trivial_move,3,6638553
-27.652,flush_begin,0,0
-27.633,flush_end,0,6638554
-27.616,trivial_move,3,6638553
-27.616,flush_begin,0,0
-27.598,flush_end,0,6638552
-27.581,trivial_move,3,6638555
-27.581,flush_begin,0,0
-27.574,flush_end,0,1164547
-27.558,trivial_move,3,6638552
-27.550,trivial_move,3,6638554
-27.550,compaction_begin,2,0
-27.525,compaction_end,2,6638145
-27.516,compaction_begin,2,0
-27.492,compaction_end,2,6638145
-27.483,compaction_begin,2,0
-27.459,compaction_end,2,6638146
-27.451,compaction_begin,2,0
-27.428,compaction_end,2,6638145
-27.419,compaction_begin,2,0
-27.397,compaction_end,2,6638145
-27.389,compaction_begin,2,0
