t,type,level,bytes
-29.930,flush_begin,0,0
-29.910,flush_end,0,6638552
-29.902,flush_begin,0,0
-29.882,flush_end,0,6638554
-29.874,flush_begin,0,0
-29.855,flush_end,0,6638553
-29.847,flush_begin,0,0
-29.828,flush_end,0,6638553
-29.820,flush_begin,0,0
-29.802,flush_end,0,6638553
-29.794,flush_begin,0,0
-29.775,flush_end,0,6638554
-29.766,flush_begin,0,0
-29.747,flush_end,0,6638552
-29.739,flush_begin,0,0
-29.720,flush_end,0,6638554
-29.711,flush_begin,0,0
-29.693,flush_end,0,6638554
-29.685,flush_begin,0,0
-29.665,flush_end,0,6638552
-29.657,flush_begin,0,0
-29.638,flush_end,0,6638553
-29.631,flush_begin,0,0
-29.611,flush_end,0,6638553
-29.603,flush_begin,0,0
-29.585,flush_end,0,6638554
-29.576,flush_begin,0,0
-29.557,flush_end,0,6638552
-29.548,flush_begin,0,0
-29.530,flush_end,0,6638554
-29.522,flush_begin,0,0
-29.504,flush_end,0,6638554
-29.484,trivial_move,3,6638552
-29.484,flush_begin,0,0
-29.466,flush_end,0,6638552
-29.447,trivial_move,3,6638554
-29.447,flush_begin,0,0
-29.428,flush_end,0,6638555
-29.410,trivial_move,3,6638553
-29.410,flush_begin,0,0
-29.391,flush_end,0,6638553
-29.373,trivial_move,3,6638553
-29.373,flush_begin,0,0
-29.353,flush_end,0,6638553
-29.335,trivial_move,3,6638553
-29.335,flush_begin,0,0
-29.316,flush_end,0,6638552
-29.297,trivial_move,3,6638554
-29.297,flush_begin,0,0
-29.276,flush_end,0,6638554
-29.258,trivial_move,3,6638552
-29.258,flush_begin,0,0
-29.239,flush_end,0,6638554
-29.220,trivial_move,3,6638554
-29.220,flush_begin,0,0
-29.200,flush_end,0,6638552
-29.182,trivial_move,3,6638554
-29.182,flush_begin,0,0
-29.163,flush_end,0,6638554
-29.144,trivial_move,3,6638552
-29.144,flush_begin,0,0
-29.125,flush_end,0,6638553
-29.107,trivial_move,3,6638553
-29.107,flush_begin,0,0
-29.087,flush_end,0,6638553
-29.069,trivial_move,3,6638553
-29.069,flush_begin,0,0
-29.050,flush_end,0,6638553
-29.032,trivial_move,3,6638554
-29.032,flush_begin,0,0
-29.012,flush_end,0,6638554
-28.993,trivial_move,3,6638552
-28.993,flush_begin,0,0
-28.973,flush_end,0,6638553
-28.953,trivial_move,3,6638554
-28.953,flush_begin,0,0
-28.933,flush_end,0,6638552
-28.914,trivial_move,3,6638554
-28.914,flush_begin,0,0
-28.894,flush_end,0,6638554
-28.874,trivial_move,3,6638552
-28.874,flush_begin,0,0
-28.854,flush_end,0,6638553
-28.835,trivial_move,3,6638555
-28.835,flush_begin,0,0
-28.815,flush_end,0,6638553
-28.796,trivial_move,3,6638553
-28.796,flush_begin,0,0
-28.776,flush_end,0,6638553
-28.757,trivial_move,3,6638553
-28.757,flush_begin,0,0
-28.736,flush_end,0,6638555
-28.718,trivial_move,3,6638552
-28.718,flush_begin,0,0
-28.691,flush_end,0,6638553
-28.672,trivial_move,3,6638554
-28.672,flush_begin,0,0
-28.652,flush_end,0,6638553
-28.634,trivial_move,3,6638554
-28.634,flush_begin,0,0
-28.614,flush_end,0,6638554
-28.595,trivial_move,3,6638552
-28.595,flush_begin,0,0
-28.575,flush_end,0,6638552
-28.557,trivial_move,3,6638554
-28.557,flush_begin,0,0
-28.537,flush_end,0,6638553
-28.518,trivial_move,3,6638553
-28.518,flush_begin,0,0
-28.498,flush_end,0,6638553
-28.480,trivial_move,3,6638553
-28.480,flush_begin,0,0
-28.459,flush_end,0,6638554
-28.441,trivial_move,3,6638553
-28.441,flush_begin,0,0
-28.421,flush_end,0,6638553
-28.402,trivial_move,3,6638554
-28.402,flush_begin,0,0
-28.381,flush_end,0,6638553
-28.363,trivial_move,3,6638553
-28.363,flush_begin,0,0
-28.343,flush_end,0,6638554
-28.323,trivial_move,3,6638552
-28.323,flush_begin,0,0
-28.303,flush_end,0,6638552
-28.284,trivial_move,3,6638554
-28.284,flush_begin,0,0
-28.264,flush_end,0,6638554
-28.244,trivial_move,3,6638553
-28.244,flush_begin,0,0
-28.224,flush_end,0,6638553
-28.205,trivial_move,3,6638553
-28.205,flush_begin,0,0
-28.185,flush_end,0,6638553
-28.166,trivial_move,3,6638553
-28.166,flush_begin,0,0
-28.146,flush_end,0,6638553
-28.128,trivial_move,3,6638555
-28.128,flush_begin,0,0
-28.107,flush_end,0,6638553
-28.088,trivial_move,3,6638553
-28.088,flush_begin,0,0
-28.068,flush_end,0,6638555
-28.050,trivial_move,3,6638553
-28.050,flush_begin,0,0
-28.029,flush_end,0,6638552
-28.011,trivial_move,3,6638554
-28.011,flush_begin,0,0
-27.991,flush_end,0,6638554
-27.972,trivial_move,3,6638552
-27.972,flush_begin,0,0
-27.952,flush_end,0,6638553
-27.934,trivial_move,3,6638553
-27.934,flush_begin,0,0
-27.914,flush_end,0,6638553
-27.895,trivial_move,3,6638553
-27.895,flush_begin,0,0
-27.875,flush_end,0,6638554
-27.856,trivial_move,3,6638554
-27.856,flush_begin,0,0
-27.834,flush_end,0,6638553
-27.815,trivial_move,3,6638553
-27.815,flush_begin,0,0
-27.795,flush_end,0,6638553
-27.776,trivial_move,3,6638553
-27.776,flush_begin,0,0
-27.755,flush_end,0,6638552
-27.736,trivial_move,3,6638554
-27.736,flush_begin,0,0
-27.716,flush_end,0,6638554
-27.697,trivial_move,3,6638552
-27.697,flush_begin,0,0
-27.677,flush_end,0,6638553
-27.659,trivial_move,3,6638554
-27.659,flush_begin,0,0
-27.639,flush_end,0,6638553
-27.620,trivial_move,3,6638553
