t,type,level,bytes
-29.939,flush_begin,0,0
-29.923,flush_end,0,6638552
-29.914,flush_begin,0,0
-29.898,flush_end,0,6638554
-29.889,flush_begin,0,0
-29.873,flush_end,0,6638553
-29.864,flush_begin,0,0
-29.848,flush_end,0,6638553
-29.840,flush_begin,0,0
-29.823,flush_end,0,6638553
-29.814,flush_begin,0,0
-29.798,flush_end,0,6638554
-29.789,flush_begin,0,0
-29.773,flush_end,0,6638552
-29.764,flush_begin,0,0
-29.748,flush_end,0,6638554
-29.739,flush_begin,0,0
-29.723,flush_end,0,6638554
-29.714,flush_begin,0,0
-29.698,flush_end,0,6638552
-29.690,flush_begin,0,0
-29.672,flush_end,0,6638553
-29.664,flush_begin,0,0
-29.640,flush_end,0,6638553
-29.631,flush_begin,0,0
-29.614,flush_end,0,6638554
-29.605,flush_begin,0,0
-29.588,flush_end,0,6638552
-29.580,flush_begin,0,0
-29.562,flush_end,0,6638554
-29.553,flush_begin,0,0
-29.537,flush_end,0,6638554
-29.518,trivial_move,3,6638552
-29.518,flush_begin,0,0
-29.501,flush_end,0,6638552
-29.483,trivial_move,3,6638554
-29.483,flush_begin,0,0
-29.466,flush_end,0,6638555
-29.447,trivial_move,3,6638553
-29.447,flush_begin,0,0
-29.430,flush_end,0,6638553
-29.412,trivial_move,3,6638553
-29.412,flush_begin,0,0
-29.395,flush_end,0,6638553
-29.379,trivial_move,3,6638553
-29.379,flush_begin,0,0
-29.362,flush_end,0,6638552
-29.346,trivial_move,3,6638554
-29.346,flush_begin,0,0
-29.328,flush_end,0,6638554
-29.310,trivial_move,3,6638552
-29.310,flush_begin,0,0
-29.293,flush_end,0,6638554
-29.285,flush_begin,0,0
-29.269,flush_end,0,6638552
-29.251,trivial_move,3,6638554
-29.251,flush_begin,0,0
-29.235,flush_end,0,6638554
-29.227,flush_begin,0,0
-29.211,flush_end,0,6638553
-29.193,trivial_move,3,6638554
-29.193,flush_begin,0,0
-29.176,flush_end,0,6638553
-29.168,flush_begin,0,0
-29.152,flush_end,0,6638553
-29.132,trivial_move,3,6638552
-29.132,flush_begin,0,0
-29.116,flush_end,0,6638554
-29.097,trivial_move,3,6638553
-29.097,flush_begin,0,0
-29.079,flush_end,0,6638553
-29.063,trivial_move,3,6638553
-29.063,flush_begin,0,0
-29.046,flush_end,0,6638552
-29.030,trivial_move,3,6638554
-29.030,flush_begin,0,0
-29.012,flush_end,0,6638554
-28.996,trivial_move,3,6638552
-28.996,flush_begin,0,0
-28.979,flush_end,0,6638553
-28.963,trivial_move,3,6638554
-28.963,flush_begin,0,0
-28.946,flush_end,0,6638553
-28.926,trivial_move,3,6638554
-28.926,flush_begin,0,0
-28.909,flush_end,0,6638553
-28.901,flush_begin,0,0
-28.884,flush_end,0,6638555
-28.866,trivial_move,3,6638552
-28.866,flush_begin,0,0
-28.848,flush_end,0,6638553
-28.830,trivial_move,3,6638555
-28.830,flush_begin,0,0
-28.812,flush_end,0,6638553
-28.794,trivial_move,3,6638553
-28.794,flush_begin,0,0
-28.776,flush_end,0,6638554
-28.758,trivial_move,3,6638553
-28.758,flush_begin,0,0
-28.741,flush_end,0,6638552
-28.725,trivial_move,3,6638552
-28.725,flush_begin,0,0
-28.707,flush_end,0,6638553
-28.689,trivial_move,3,6638554
-28.689,flush_begin,0,0
-28.671,flush_end,0,6638553
-28.653,trivial_move,3,6638554
-28.653,flush_begin,0,0
-28.635,flush_end,0,6638554
-28.617,trivial_move,3,6638552
-28.617,flush_begin,0,0
-28.599,flush_end,0,6638553
-28.583,trivial_move,3,6638554
-28.583,flush_begin,0,0
-28.565,flush_end,0,6638553
-28.549,trivial_move,3,6638553
-28.549,flush_begin,0,0
-28.531,flush_end,0,6638554
-28.515,trivial_move,3,6638553
-28.515,flush_begin,0,0
-28.497,flush_end,0,6638552
-28.479,trivial_move,3,6638553
-28.479,flush_begin,0,0
-28.462,flush_end,0,6638554
-28.446,trivial_move,3,6638554
-28.445,flush_begin,0,0
-28.428,flush_end,0,6638553
-28.415,flush_begin,0,0
-28.398,flush_end,0,6638553
-28.381,trivial_move,3,6638553
-28.381,flush_begin,0,0
-28.363,flush_end,0,6638553
-28.347,trivial_move,3,6638552
-28.347,flush_begin,0,0
-28.330,flush_end,0,6638553
-28.314,trivial_move,3,6638554
-28.314,flush_begin,0,0
-28.297,flush_end,0,6638555
-28.281,trivial_move,3,6638553
-28.271,trivial_move,3,6638553
-28.271,flush_begin,0,0
-28.253,flush_end,0,6638552
-28.236,trivial_move,3,6638553
-28.236,flush_begin,0,0
-28.219,flush_end,0,6638554
-28.200,trivial_move,3,6638555
-28.200,flush_begin,0,0
-28.183,flush_end,0,6638553
-28.166,trivial_move,3,6638553
-28.166,flush_begin,0,0
-28.148,flush_end,0,6638553
