t,type,level,bytes
-29.926,flush_begin,0,0
-29.910,flush_end,0,6638552
-29.901,flush_begin,0,0
-29.886,flush_end,0,6638554
-29.877,flush_begin,0,0
-29.861,flush_end,0,6638553
-29.852,flush_begin,0,0
-29.836,flush_end,0,6638553
-29.827,flush_begin,0,0
-29.811,flush_end,0,6638553
-29.802,flush_begin,0,0
-29.786,flush_end,0,6638554
-29.776,flush_begin,0,0
-29.760,flush_end,0,6638552
-29.751,flush_begin,0,0
-29.735,flush_end,0,6638554
-29.726,flush_begin,0,0
-29.710,flush_end,0,6638554
-29.700,flush_begin,0,0
-29.685,flush_end,0,6638552
-29.676,flush_begin,0,0
-29.660,flush_end,0,6638553
-29.651,flush_begin,0,0
-29.635,flush_end,0,6638553
-29.626,flush_begin,0,0
-29.610,flush_end,0,6638554
-29.601,flush_begin,0,0
-29.585,flush_end,0,6638552
-29.576,flush_begin,0,0
-29.560,flush_end,0,6638554
-29.551,flush_begin,0,0
-29.536,flush_end,0,6638554
-29.520,trivial_move,3,6638552
-29.520,flush_begin,0,0
-29.504,flush_end,0,6638552
-29.488,trivial_move,3,6638554
-29.488,flush_begin,0,0
-29.472,flush_end,0,6638555
-29.456,trivial_move,3,6638553
-29.455,flush_begin,0,0
-29.439,flush_end,0,6638553
-29.423,trivial_move,3,6638553
-29.423,flush_begin,0,0
-29.407,flush_end,0,6638553
-29.391,trivial_move,3,6638553
-29.390,flush_begin,0,0
-29.373,flush_end,0,6638552
-29.357,trivial_move,3,6638554
-29.356,flush_begin,0,0
-29.333,flush_end,0,6638554
-29.317,trivial_move,3,6638552
-29.317,flush_begin,0,0
-29.301,flush_end,0,6638554
-29.284,trivial_move,3,6638554
-29.283,flush_begin,0,0
-29.268,flush_end,0,6638552
-29.252,trivial_move,3,6638554
-29.251,flush_begin,0,0
-29.236,flush_end,0,6638554
-29.220,trivial_move,3,6638552
-29.220,flush_begin,0,0
-29.204,flush_end,0,6638553
-29.188,trivial_move,3,6638553
-29.187,flush_begin,0,0
-29.171,flush_end,0,6638553
-29.155,trivial_move,3,6638553
-29.155,flush_begin,0,0
-29.138,flush_end,0,6638553
-29.122,trivial_move,3,6638554
-29.121,flush_begin,0,0
-29.105,flush_end,0,6638554
-29.089,trivial_move,3,6638552
-29.088,flush_begin,0,0
-29.071,flush_end,0,6638553
-29.054,trivial_move,3,6638554
-29.054,flush_begin,0,0
-29.038,flush_end,0,6638552
-29.022,trivial_move,3,6638554
-29.022,flush_begin,0,0
-29.005,flush_end,0,6638554
-28.989,trivial_move,3,6638552
-28.989,flush_begin,0,0
-28.973,flush_end,0,6638553
-28.957,trivial_move,3,6638555
-28.957,flush_begin,0,0
-28.941,flush_end,0,6638553
-28.925,trivial_move,3,6638553
-28.925,flush_begin,0,0
-28.909,flush_end,0,6638553
-28.893,trivial_move,3,6638553
-28.893,flush_begin,0,0
-28.877,flush_end,0,6638555
-28.861,trivial_move,3,6638552
-28.861,flush_begin,0,0
-28.844,flush_end,0,6638553
-28.828,trivial_move,3,6638554
-28.828,flush_begin,0,0
-28.812,flush_end,0,6638553
-28.796,trivial_move,3,6638554
-28.796,flush_begin,0,0
-28.779,flush_end,0,6638554
-28.763,trivial_move,3,6638552
-28.763,flush_begin,0,0
-28.747,flush_end,0,6638552
-28.731,trivial_move,3,6638554
-28.731,flush_begin,0,0
-28.715,flush_end,0,6638553
-28.699,trivial_move,3,6638553
-28.699,flush_begin,0,0
-28.683,flush_end,0,6638553
-28.667,trivial_move,3,6638553
-28.667,flush_begin,0,0
-28.651,flush_end,0,6638554
-28.633,trivial_move,3,6638553
-28.633,flush_begin,0,0
-28.616,flush_end,0,6638553
-28.597,trivial_move,3,6638554
-28.597,flush_begin,0,0
-28.581,flush_end,0,6638553
-28.563,trivial_move,3,6638553
-28.563,flush_begin,0,0
-28.545,flush_end,0,6638554
-28.529,trivial_move,3,6638552
-28.529,flush_begin,0,0
-28.512,flush_end,0,6638552
-28.496,trivial_move,3,6638554
-28.495,flush_begin,0,0
-28.478,flush_end,0,6638554
-28.462,trivial_move,3,6638553
-28.461,flush_begin,0,0
-28.445,flush_end,0,6638553
-28.429,trivial_move,3,6638553
-28.428,flush_begin,0,0
-28.412,flush_end,0,6638553
-28.396,trivial_move,3,6638553
-28.396,flush_begin,0,0
-28.380,flush_end,0,6638553
-28.364,trivial_move,3,6638555
-28.364,flush_begin,0,0
-28.348,flush_end,0,6638553
