t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,8014,6510,1504,6364,5168,0.81207,14,344,352,63,0,0,0,0,127.97,2.36,4,86,127.97,0,0,0,0,0,0,24038,0
2,8109,6591,1518,6424,5212,0.81133,14,344,352,58,0,0,0,0,127.97,4.29,5,86,127.97,0,0,0,0,0,0,24038,0
3,8017,6511,1506,6369,5215,0.81881,14,344,352,62,0,0,0,0,127.98,5.60,6,86,127.97,0,0,0,0,0,0,24038,0
4,8009,6508,1501,6355,5297,0.83352,14,344,352,66,0,0,0,0,127.97,4.06,7,86,127.97,0,0,0,0,0,0,24038,0
5,8020,6515,1505,6344,5441,0.85766,14,344,352,66,0,0,0,0,127.97,3.00,7,86,127.97,0,0,0,0,0,0,24038,0
6,8008,6507,1501,6327,5321,0.84100,14,344,352,58,0,0,0,0,127.98,3.45,6,86,127.98,0,0,0,0,0,0,24038,0
7,8032,6528,1504,6343,5265,0.83005,14,344,360,66,0,0,0,0,127.98,4.97,7,86,127.98,0,0,0,0,0,0,24038,0
8,8024,6522,1502,6462,5319,0.82312,12,336,352,2560,1,0,1,0,127.97,6.46,12,87,127.97,23,0,0,0,310,0,24832,60
9,8047,6536,1511,6617,5509,0.83255,13,344,352,2624,1,1,0,0,127.96,7.83,8,97,127.96,4466,0,0,0,1389,168,26638,403
10,8012,6508,1504,6596,5544,0.84051,13,344,352,53,1,0,0,0,127.97,12.43,12,97,127.97,0,0,0,0,1672,287,29736,992
11,8073,6559,1514,6624,5611,0.84707,13,336,352,160,1,0,0,0,127.97,16.63,15,97,127.97,0,0,0,0,2784,357,32892,2480
12,8004,6504,1500,6580,5554,0.84407,14,344,352,68,1,0,0,0,127.97,21.92,12,97,127.97,0,0,0,0,5007,394,35209,4187
13,8084,6568,1516,6562,5768,0.87900,13,336,344,2240,1,1,0,0,108.64,4.55,7,100,108.64,1628,128,101,0,5007,1240,39531,6001
14,8086,6569,1517,6579,5844,0.88828,13,336,344,720,1,0,0,0,111.51,4.47,5,100,111.51,0,128,101,0,5007,2196,42367,6001
15,8012,6510,1502,6508,5880,0.90350,13,336,344,82,1,0,0,0,113.96,4.47,5,100,113.96,0,128,101,0,5007,2779,45152,6002
16,8005,6506,1499,6479,5807,0.89628,14,336,344,126,1,0,0,0,118.78,11.10,10,100,118.80,0,128,101,0,5570,3130,48067,6808
17,8056,6545,1511,6513,5815,0.89283,12,328,344,280,1,1,0,0,119.62,13.28,10,103,119.62,2129,162,131,0,7037,3549,50535,7927
18,8053,6541,1512,6504,5813,0.89376,14,336,344,76,1,0,0,0,122.32,17.08,11,103,122.32,0,162,131,0,7037,3849,53332,7927
19,8059,6549,1510,6513,5878,0.90250,14,336,344,70,1,0,0,0,124.68,24.31,14,103,124.69,0,162,131,0,7037,4033,56149,7928
20,8037,6531,1506,6481,5838,0.90079,13,336,344,2176,1,1,0,0,118.52,24.05,15,106,118.52,3197,197,164,0,7037,4187,59858,9020
21,8024,6518,1506,6436,5935,0.92216,13,328,344,70,1,0,0,0,120.48,24.18,15,106,120.48,0,197,164,0,7037,4273,62841,9181
22,8006,6508,1498,6466,5985,0.92561,14,328,344,82,1,0,0,0,126.59,28.27,16,106,126.59,0,197,164,0,8149,4330,65431,10113
23,8032,6524,1508,6446,6024,0.93453,14,328,344,64,1,0,0,0,127.41,31.52,17,106,127.41,0,197,164,0,8149,4360,69210,11219
24,8050,6540,1510,6469,6087,0.94095,12,320,344,1664,1,1,0,0,119.66,30.79,17,109,119.66,5619,246,197,0,9084,4802,73065,13314
25,8037,6530,1507,6428,6035,0.93886,13,328,344,64,1,0,0,0,126.20,31.64,20,109,126.21,0,246,197,0,10373,5124,75680,14441
26,8039,6531,1508,6444,5971,0.92660,12,320,344,66,1,0,0,0,127.96,36.18,21,109,127.96,0,246,197,0,11485,5424,79645,16685
27,8016,6516,1500,6404,5873,0.91708,13,328,344,2304,1,1,0,0,107.43,24.47,18,112,107.43,3383,388,338,0,13221,5882,82728,18848
28,8013,6508,1505,6395,5770,0.90227,14,336,344,70,1,0,0,0,114.87,25.81,19,112,114.88,0,388,338,0,14502,6619,85477,20096
29,8017,6514,1503,6379,5820,0.91237,14,336,344,82,1,0,0,0,122.55,31.43,26,112,122.55,0,388,338,0,15907,7044,87952,21209
30,8071,6557,1514,6449,5851,0.90727,13,328,344,2304,1,2,0,0,111.49,18.28,16,113,111.49,4251,456,406,0,16185,7684,90706,21497
31,8005,6505,1500,6354,5677,0.89345,13,336,344,68,1,0,0,0,116.13,19.78,15,113,116.13,0,456,406,0,16694,8683,93544,22079
32,8012,6509,1503,6329,5610,0.88640,14,336,344,66,1,0,0,0,121.30,19.15,17,113,121.30,0,456,406,0,17297,9239,96124,22470
33,8013,6512,1501,6351,5543,0.87278,12,328,344,184,1,0,0,0,127.68,22.97,21,113,127.68,0,458,406,0,18770,9689,99595,24677
34,8084,6568,1516,6420,5494,0.85576,13,336,352,90,1,1,0,0,113.44,11.51,12,109,113.44,793,719,495,0,20355,10645,101755,25556
35,8085,6571,1514,6384,5442,0.85244,12,336,344,80,1,0,0,0,117.11,15.04,14,109,117.11,0,719,495,0,20355,11861,104627,25556
36,8034,6526,1508,6334,5516,0.87086,13,336,344,66,1,0,0,0,120.31,15.08,15,109,120.31,0,719,495,0,20355,12635,107446,25565
37,8008,6506,1502,6347,5441,0.85726,14,336,352,74,1,0,0,0,127.72,15.97,14,109,127.72,0,762,513,0,21468,13015,110055,26566
38,8017,6513,1504,6388,5344,0.83657,14,336,344,2560,1,1,0,0,127.67,11.51,10,106,127.67,2905,889,609,0,21663,13565,114260,28460
39,8038,6531,1507,6382,5127,0.80335,14,336,352,72,1,0,0,0,127.97,18.12,15,106,127.97,0,2701,2035,0,22460,13899,117315,29596
40,8011,6510,1501,6367,5044,0.79221,14,336,352,61,1,0,0,0,127.98,15.50,12,106,127.98,0,4190,2424,0,22776,14091,119870,29596
41,8062,6551,1511,6390,5203,0.81424,14,336,352,1056,1,1,0,0,122.53,10.97,7,109,122.53,1618,4581,2523,0,23688,14568,122776,30675
42,8010,6507,1503,6342,5292,0.83444,14,336,352,72,1,0,0,0,126.60,12.12,7,109,126.60,0,4767,2572,0,23888,15178,125398,30718
43,8008,6510,1498,6321,5385,0.85192,13,336,352,61,1,0,0,0,127.98,14.09,9,109,127.97,0,6304,2896,0,25000,15715,127850,31428
44,8016,6510,1506,6321,5359,0.84781,15,344,352,1248,0,1,0,0,127.97,4.95,6,111,127.97,0,7101,3133,0,25000,16278,128815,31428
45,8011,6509,1502,6316,5323,0.84278,14,344,352,68,0,0,0,0,127.98,4.54,5,111,127.98,0,7799,3453,0,25000,16695,128815,31428
46,8038,6529,1509,6634,5469,0.82439,12,336,344,3136,0,1,1,0,126.40,8.51,11,121,126.40,24,7841,3478,0,25676,16927,130384,31550
47,8056,6548,1508,6626,5938,0.89617,12,336,344,57,1,0,0,0,127.80,10.32,9,121,127.80,3508,8068,3638,0,25676,17325,134251,32675
48,8014,6510,1504,6594,6122,0.92842,13,328,344,70,1,0,0,0,127.98,13.81,10,121,127.98,0,8799,4184,0,26203,17601,137585,33808
49,8008,6506,1502,6583,6279,0.95382,13,39,344,2240,1,1,0,0,114.25,9.61,8,120,114.25,3296,10533,5694,0,26788,17826,140867,35076
50,8005,6504,1501,6540,6353,0.97141,12,30,336,88,1,0,0,0,114.98,13.07,10,120,114.98,0,10533,5694,0,26788,18249,144795,36194
51,8010,6508,1502,6535,6405,0.98011,14,30,336,80,1,0,0,0,119.83,22.71,15,120,119.83,0,10533,5694,0,27901,18488,147445,37288
52,8067,6555,1512,6574,6450,0.98114,10,24,328,1952,1,1,0,0,113.10,20.15,17,119,113.11,3187,12113,7145,0,29441,18804,150886,39473
53,8046,6537,1509,6509,6198,0.95222,13,36,344,66,1,0,0,0,120.43,26.28,17,119,120.43,0,12113,7145,0,31006,19745,153346,40650
54,8057,6547,1510,6525,5974,0.91556,13,328,344,1696,0,1,0,0,122.58,22.47,14,119,122.58,0,12113,7145,0,31006,20260,156961,41610
55,8027,6524,1503,6470,5982,0.92457,13,328,344,64,1,0,0,0,116.34,23.46,16,118,116.34,3923,14237,9269,0,32118,21179,159331,42297
56,8012,6507,1505,6429,5906,0.91865,14,336,344,76,1,0,0,0,121.34,33.77,22,118,121.35,0,14237,9269,0,32876,21640,163183,44342
57,8038,6532,1506,6455,5925,0.91789,14,328,344,68,1,0,0,0,126.02,40.64,24,118,126.03,0,14305,9280,0,33617,21921,166408,45534
58,8008,6506,1502,6410,5805,0.90562,14,336,344,352,1,1,0,0,114.33,26.83,17,117,114.35,4108,17003,11570,0,35222,22658,168460,46421
59,8029,6527,1502,6441,5833,0.90560,13,328,344,68,1,0,0,0,118.33,32.68,21,117,118.35,0,17003,11570,0,35638,23802,171532,47129
60,8077,6559,1518,6451,5864,0.90901,12,328,344,53,1,0,0,0,126.02,38.10,24,117,126.02,0,17003,11570,0,37019,24489,174609,48718
61,8069,6558,1511,6433,5802,0.90191,13,328,344,2688,1,1,0,0,111.91,21.31,17,116,111.91,4520,18697,12552,0,37770,25225,179078,51371
62,8029,6521,1508,6391,5641,0.88265,14,336,344,66,1,0,0,0,119.18,21.33,15,116,119.18,0,18697,12552,0,38882,26084,182293,52930
63,8020,6517,1503,6378,5573,0.87378,13,336,344,63,1,0,0,0,126.17,33.77,22,116,126.18,0,18704,12559,0,39886,26639,185515,54373
64,8010,6508,1502,6382,5618,0.88029,14,336,352,3456,1,1,0,0,111.71,23.14,20,115,111.71,3099,22159,15783,0,39995,27260,188898,55240
65,8013,6510,1503,6368,5439,0.85411,14,336,344,1664,1,0,0,0,115.55,23.25,17,115,115.56,0,22159,15783,0,40049,27711,193092,56882
66,8015,6514,1501,6387,5396,0.84484,15,336,344,66,1,0,0,0,123.56,27.18,16,115,123.56,0,22159,15783,0,41107,27956,195253,57296
67,8077,6562,1515,6422,5397,0.84039,12,328,344,1408,1,1,0,0,119.16,19.55,11,114,119.16,2170,23209,16806,0,42127,28356,198325,58550
68,8032,6525,1507,6435,5516,0.85719,11,320,336,68,1,0,0,0,125.70,22.50,12,114,125.70,0,23209,16806,0,42889,28626,201628,59694
69,8038,6531,1507,6428,5663,0.88099,12,328,344,1760,1,1,0,0,120.99,19.33,12,113,120.99,2529,23282,16853,0,43239,29012,204578,60243
70,8010,6508,1502,6399,5775,0.90248,13,336,344,64,1,0,0,0,126.59,22.67,17,113,126.59,0,23325,16853,0,44094,29381,207272,61060
71,8016,6513,1503,6392,5815,0.90973,13,336,344,64,1,0,0,0,127.97,21.75,17,113,127.97,0,24654,17188,0,45463,29718,209806,62191
