t,type,level,bytes
-29.936,flush_begin,0,0
-29.920,flush_end,0,6638552
-29.911,flush_begin,0,0
-29.894,flush_end,0,6638554
-29.886,flush_begin,0,0
-29.869,flush_end,0,6638553
-29.861,flush_begin,0,0
-29.844,flush_end,0,6638553
-29.836,flush_begin,0,0
-29.819,flush_end,0,6638553
-29.810,flush_begin,0,0
-29.791,flush_end,0,6638554
-29.782,flush_begin,0,0
-29.764,flush_end,0,6638552
-29.754,flush_begin,0,0
-29.736,flush_end,0,6638554
-29.728,flush_begin,0,0
-29.711,flush_end,0,6638554
-29.703,flush_begin,0,0
-29.687,flush_end,0,6638552
-29.680,flush_begin,0,0
-29.663,flush_end,0,6638553
-29.655,flush_begin,0,0
-29.639,flush_end,0,6638553
-29.631,flush_begin,0,0
-29.616,flush_end,0,6638554
-29.607,flush_begin,0,0
-29.591,flush_end,0,6638552
-29.582,flush_begin,0,0
-29.567,flush_end,0,6638554
-29.558,flush_begin,0,0
-29.541,flush_end,0,6638554
-29.525,trivial_move,3,6638552
-29.525,flush_begin,0,0
-29.510,flush_end,0,6638552
-29.492,trivial_move,3,6638554
-29.492,flush_begin,0,0
-29.476,flush_end,0,6638555
-29.460,trivial_move,3,6638553
-29.460,flush_begin,0,0
-29.442,flush_end,0,6638553
-29.422,trivial_move,3,6638553
-29.422,flush_begin,0,0
-29.404,flush_end,0,6638553
-29.387,trivial_move,3,6638553
-29.387,flush_begin,0,0
-29.370,flush_end,0,6638552
-29.355,trivial_move,3,6638554
-29.355,flush_begin,0,0
-29.339,flush_end,0,6638554
-29.324,trivial_move,3,6638552
-29.324,flush_begin,0,0
-29.301,flush_end,0,6638554
-29.282,trivial_move,3,6638554
-29.282,flush_begin,0,0
-29.265,flush_end,0,6638552
-29.249,trivial_move,3,6638554
-29.249,flush_begin,0,0
-29.229,flush_end,0,6638554
-29.212,trivial_move,3,6638552
-29.212,flush_begin,0,0
-29.195,flush_end,0,6638553
-29.175,trivial_move,3,6638553
-29.175,flush_begin,0,0
-29.158,flush_end,0,6638553
-29.141,trivial_move,3,6638553
-29.141,flush_begin,0,0
-29.125,flush_end,0,6638553
-29.114,flush_begin,0,0
-29.097,flush_end,0,6638554
-29.078,trivial_move,3,6638554
-29.078,flush_begin,0,0
-29.061,flush_end,0,6638553
-29.043,trivial_move,3,6638552
-29.043,flush_begin,0,0
-29.023,flush_end,0,6638552
-29.005,trivial_move,3,6638554
-29.005,flush_begin,0,0
-28.987,flush_end,0,6638554
-28.969,trivial_move,3,6638554
-28.969,flush_begin,0,0
-28.950,flush_end,0,6638553
-28.932,trivial_move,3,6638552
-28.932,flush_begin,0,0
-28.913,flush_end,0,6638553
-28.895,trivial_move,3,6638555
-28.895,flush_begin,0,0
-28.866,flush_end,0,6638553
-28.847,trivial_move,3,6638553
-28.847,flush_begin,0,0
-28.828,flush_end,0,6638555
-28.810,trivial_move,3,6638553
-28.810,flush_begin,0,0
-28.792,flush_end,0,6638553
-28.773,trivial_move,3,6638552
-28.773,flush_begin,0,0
-28.755,flush_end,0,6638553
-28.747,flush_begin,0,0
-28.730,flush_end,0,6638554
-28.712,trivial_move,3,6638554
-28.712,flush_begin,0,0
-28.695,flush_end,0,6638552
-28.679,trivial_move,3,6638554
-28.679,flush_begin,0,0
-28.662,flush_end,0,6638553
-28.655,flush_begin,0,0
-28.638,flush_end,0,6638553
-28.621,trivial_move,3,6638552
-28.621,flush_begin,0,0
-28.604,flush_end,0,6638554
-28.585,trivial_move,3,6638554
-28.585,flush_begin,0,0
-28.568,flush_end,0,6638553
