t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,8012,6511,1501,6387,5370,0.84077,3,448,464,11,0,0,0,0,127.97,3.45,6,90,127.97,0,0,0,0,0,0,30374,0
2,8003,6501,1502,6374,5649,0.88626,4,448,472,15,0,0,0,0,127.97,2.45,5,90,127.97,0,0,0,0,0,0,30374,0
3,8003,6503,1500,6329,5768,0.91136,4,448,472,18,0,0,0,0,127.97,1.93,7,90,127.97,0,0,0,0,0,0,30374,0
4,8024,6519,1505,6368,5755,0.90374,4,448,480,44,0,0,0,0,127.97,6.69,9,90,127.97,0,0,0,0,0,0,30374,0
5,8004,6507,1497,6315,5578,0.88329,4,448,480,38,0,0,0,0,127.97,8.31,9,90,127.97,0,0,0,0,0,0,30374,0
6,8006,6503,1503,6334,5570,0.87938,4,448,472,40,0,0,0,0,127.97,6.74,8,90,127.97,0,0,0,0,0,0,30374,0
7,8021,6516,1505,6349,5573,0.87778,4,448,472,15,0,0,0,0,127.97,12.66,9,90,127.97,0,0,0,0,0,0,30374,0
8,8006,6506,1500,6430,5609,0.87232,4,456,480,1984,1,0,1,0,127.97,10.29,7,91,127.97,0,0,0,0,0,0,31455,47
9,8002,6501,1501,6591,5666,0.85966,3,424,480,1920,1,1,0,0,127.97,7.71,7,100,127.97,0,0,0,0,0,0,36139,2576
10,8003,6503,1500,6563,5868,0.89410,3,408,448,136,1,0,0,0,127.97,5.99,7,100,127.97,0,0,0,0,0,0,40978,5153
11,8039,6532,1507,6590,5734,0.87011,3,400,448,1280,1,1,0,0,127.97,4.09,7,103,127.97,0,0,0,0,0,0,44318,6200
12,8030,6525,1505,6590,5690,0.86343,3,400,448,23,1,0,0,0,127.97,5.86,12,103,127.97,0,0,0,0,0,0,47799,7380
13,8005,6502,1503,6538,5534,0.84644,3,408,456,42,1,0,0,0,127.97,10.55,10,103,127.97,0,0,0,0,0,0,50188,7430
14,8007,6506,1501,6535,5382,0.82357,3,416,448,12,1,0,0,0,127.97,12.23,9,103,127.97,0,0,0,0,0,0,52725,7610
15,8058,6546,1512,6568,4774,0.72686,3,408,448,1536,1,1,0,0,127.97,13.00,13,103,127.97,0,0,0,0,0,0,57919,10533
16,8007,6507,1500,6517,4982,0.76446,3,408,448,688,1,0,0,0,127.97,9.87,11,103,127.97,0,0,0,0,0,0,61251,11545
17,8052,6541,1511,6536,5265,0.80554,3,408,448,18,1,0,0,0,127.97,8.99,10,103,127.97,0,0,0,0,0,0,63629,11545
18,8008,6511,1497,6505,5180,0.79631,3,408,448,1312,1,1,0,0,127.96,8.97,9,100,127.96,0,0,0,0,0,0,66353,11970
19,8018,6510,1508,6494,5302,0.81645,3,408,448,14,1,0,0,0,127.96,8.95,8,100,127.96,0,0,0,0,0,0,68719,11970
20,8013,6514,1499,6451,5199,0.80592,3,408,448,2016,1,1,0,0,127.96,16.63,17,96,127.96,0,0,0,0,0,0,75104,16155
21,8007,6503,1504,6447,4621,0.71677,4,408,448,34,1,0,0,0,127.97,14.13,13,96,127.97,0,0,0,0,0,0,78802,17528
22,8004,6506,1498,6458,4906,0.75968,3,408,448,17,1,0,0,0,127.96,15.80,15,96,127.96,0,0,0,0,0,0,81944,18323
23,8006,6504,1502,6468,5091,0.78711,3,408,448,1504,1,1,0,0,127.96,13.66,21,99,127.96,0,0,0,0,0,0,85062,19124
24,8020,6516,1504,6427,4832,0.75183,3,400,448,17,1,0,0,0,127.97,8.41,17,99,127.97,0,0,0,0,0,0,87435,19125
25,8040,6530,1510,6448,5120,0.79404,3,400,448,20,1,0,0,0,127.97,7.90,16,99,127.97,0,0,0,0,0,0,89807,19127
26,8003,6503,1500,6419,5007,0.78003,3,416,448,12,1,0,0,0,127.97,10.92,14,99,127.97,0,0,0,0,0,0,92200,19127
27,8005,6507,1498,6450,4923,0.76326,4,416,456,14,1,0,0,0,127.97,6.57,9,99,127.97,0,0,0,0,0,0,94621,19127
28,8003,6501,1502,6430,4757,0.73981,4,416,456,148,1,1,0,0,127.97,2.20,13,102,127.97,0,0,0,0,0,0,97257,19412
29,8006,6505,1501,6442,4852,0.75318,4,416,456,1024,1,0,0,0,127.97,3.79,11,102,127.97,0,0,0,0,0,0,102167,22048
30,8005,6505,1500,6435,4874,0.75742,4,408,448,2016,1,1,0,0,127.97,2.63,14,105,127.97,0,0,0,0,0,0,107047,24675
31,8011,6507,1504,6415,3973,0.61933,4,312,424,14,1,0,0,0,127.97,13.34,13,105,127.97,0,0,0,0,0,0,110485,25746
32,8005,6504,1501,6407,4213,0.65756,4,312,456,2368,1,1,0,0,127.97,5.23,11,103,127.97,0,0,0,0,0,0,113581,26628
33,8067,6554,1513,6445,4660,0.72304,4,352,440,768,1,0,0,0,127.97,0.92,10,103,127.97,0,0,0,0,0,0,117106,27904
34,8007,6505,1502,6411,4660,0.72688,3,312,432,408,1,1,0,0,127.98,3.07,8,105,127.98,0,0,0,0,0,0,119462,27965
35,8004,6504,1500,6392,4572,0.71527,3,304,424,13,1,0,0,0,127.98,0.52,5,105,127.98,0,0,0,0,0,0,121766,27966
36,8004,6503,1501,6412,4850,0.75639,4,312,424,39,1,0,0,0,127.98,0.16,6,105,127.98,0,0,0,0,0,0,125482,29376
37,8004,6503,1501,6378,4986,0.78175,4,312,416,21,1,0,0,0,127.98,0.33,5,105,127.98,0,0,0,0,0,0,127838,29376
38,8010,6508,1502,6397,4884,0.76348,4,416,456,1440,0,1,0,0,127.98,0.24,9,108,127.98,0,0,0,0,0,0,129837,29376
39,8055,6546,1509,6443,4607,0.71504,4,448,472,17,0,0,0,0,127.97,0.43,4,108,127.97,0,0,0,0,0,0,129837,29376
40,8017,6514,1503,6376,4642,0.72804,4,456,472,16,0,0,0,0,127.98,0.40,3,108,127.98,0,0,0,0,0,0,129837,29376
41,8066,6556,1510,6423,4849,0.75494,4,456,472,17,0,0,0,0,127.98,8.90,13,108,127.98,0,0,0,0,0,0,129837,29376
42,8006,6503,1503,6351,4902,0.77185,4,456,480,29,0,0,0,0,127.98,3.52,13,108,127.98,0,0,0,0,0,0,129837,29376
43,8028,6522,1506,6383,5030,0.78803,4,456,472,17,0,0,0,0,127.98,3.52,13,108,127.98,0,0,0,0,0,0,129837,29376
44,8008,6505,1503,6361,5114,0.80396,3,456,472,11,0,0,0,0,127.98,5.20,9,108,127.98,0,0,0,0,0,0,129837,29376
45,8025,6522,1503,6349,5097,0.80280,3,456,472,12,0,0,0,0,127.98,8.16,10,108,127.98,0,0,0,0,0,0,129837,29376
46,8005,6504,1501,6575,5027,0.76456,3,456,488,3072,1,1,1,0,127.98,5.23,17,118,127.98,0,0,0,0,0,0,131799,29438
47,8074,6561,1513,6658,5151,0.77366,3,432,472,23,1,0,0,0,127.97,3.09,8,118,127.97,0,0,0,0,0,0,136422,31788
48,8006,6504,1502,6589,5109,0.77538,3,424,464,20,1,0,0,0,127.98,0.90,6,118,127.98,0,0,0,0,0,0,139837,32863
49,8005,6503,1502,6590,5160,0.78300,3,424,456,11,1,0,0,0,127.98,6.63,11,118,127.98,0,0,0,0,0,0,142241,32863
50,8003,6503,1500,6562,4807,0.73255,3,424,456,2048,1,1,0,0,127.98,3.30,11,118,127.98,0,0,0,0,0,0,145461,33750
51,8039,6531,1508,6591,4979,0.75542,4,440,472,1920,1,0,0,0,127.98,5.64,12,118,127.98,0,0,0,0,0,0,150781,36550
52,8042,6534,1508,6574,4876,0.74171,4,448,472,1248,1,1,0,0,127.98,6.35,21,117,127.98,0,0,0,0,0,0,153713,36680
53,8009,6512,1497,6528,4607,0.70573,3,416,456,12,1,0,0,0,127.98,5.67,12,117,127.98,0,0,0,0,0,0,156173,36759
54,8004,6500,1504,6488,4673,0.72025,3,416,456,12,1,0,0,0,127.98,5.39,8,117,127.98,0,0,0,0,0,0,158926,37181
55,8031,6524,1507,6525,4793,0.73456,3,416,456,12,1,0,0,0,127.99,5.30,8,117,127.98,0,0,0,0,0,0,161317,37182
56,8026,6524,1502,6517,4556,0.69909,4,416,456,2176,1,1,0,0,127.98,5.28,6,118,127.98,0,0,0,0,0,0,165823,39418
57,8050,6539,1511,6525,4613,0.70697,3,416,456,28,1,0,0,0,127.98,5.23,6,118,127.98,0,0,0,0,0,0,170018,41302
58,8007,6507,1500,6488,4818,0.74260,3,408,448,14,1,0,0,0,127.98,4.22,7,118,127.98,0,0,0,0,0,0,172396,41302
59,8005,6502,1503,6438,4517,0.70162,4,408,448,1632,1,1,0,0,127.98,1.44,9,117,127.98,0,0,0,0,0,0,175729,42354
60,8001,6501,1500,6434,4420,0.68698,3,368,432,12,1,0,0,0,127.98,0.92,8,117,127.98,0,0,0,0,0,0,178758,43071
61,8005,6505,1500,6431,4788,0.74452,3,384,440,39,1,0,0,0,127.98,0.93,6,117,127.98,0,0,0,0,0,0,181089,43071
62,8010,6507,1503,6437,4965,0.77132,3,400,440,1728,1,1,0,0,127.98,0.99,9,116,127.98,0,0,0,0,0,0,184254,43946
63,8025,6521,1504,6431,5065,0.78759,3,352,440,2432,1,0,0,0,127.98,5.23,18,116,127.98,0,0,0,0,0,0,187456,44923
64,8042,6534,1508,6433,5263,0.81813,3,304,432,17,1,0,0,0,127.98,2.13,14,116,127.98,0,0,0,0,0,0,189799,44923
65,8010,6507,1503,6414,5351,0.83427,3,304,432,2304,1,1,0,0,127.98,3.63,17,115,127.98,0,0,0,0,0,0,194504,47454
66,8035,6528,1507,6407,5190,0.81005,3,304,432,312,1,0,0,0,127.98,2.92,6,115,127.98,0,0,0,0,0,0,198261,48975
