t,type,level,bytes
-29.922,flush_begin,0,0
-29.903,flush_end,0,6638552
-29.893,flush_begin,0,0
-29.876,flush_end,0,6638554
-29.867,flush_begin,0,0
-29.850,flush_end,0,6638553
-29.841,flush_begin,0,0
-29.825,flush_end,0,6638553
-29.815,flush_begin,0,0
-29.799,flush_end,0,6638553
-29.790,flush_begin,0,0
-29.774,flush_end,0,6638554
-29.764,flush_begin,0,0
-29.748,flush_end,0,6638552
-29.739,flush_begin,0,0
-29.723,flush_end,0,6638554
-29.714,flush_begin,0,0
-29.698,flush_end,0,6638554
-29.689,flush_begin,0,0
-29.673,flush_end,0,6638552
-29.664,flush_begin,0,0
-29.647,flush_end,0,6638553
-29.638,flush_begin,0,0
-29.622,flush_end,0,6638553
-29.614,flush_begin,0,0
-29.598,flush_end,0,6638554
-29.589,flush_begin,0,0
-29.573,flush_end,0,6638552
-29.564,flush_begin,0,0
-29.548,flush_end,0,6638554
-29.539,flush_begin,0,0
-29.523,flush_end,0,6638554
-29.508,trivial_move,3,6638552
-29.508,flush_begin,0,0
-29.491,flush_end,0,6638552
-29.475,trivial_move,3,6638554
-29.475,flush_begin,0,0
-29.459,flush_end,0,6638555
-29.443,trivial_move,3,6638553
-29.443,flush_begin,0,0
-29.427,flush_end,0,6638553
-29.411,trivial_move,3,6638553
-29.410,flush_begin,0,0
-29.395,flush_end,0,6638553
-29.379,trivial_move,3,6638553
-29.379,flush_begin,0,0
-29.363,flush_end,0,6638552
-29.347,trivial_move,3,6638554
-29.347,flush_begin,0,0
-29.330,flush_end,0,6638554
-29.315,trivial_move,3,6638552
-29.315,flush_begin,0,0
-29.299,flush_end,0,6638554
-29.281,trivial_move,3,6638554
-29.281,flush_begin,0,0
-29.264,flush_end,0,6638552
-29.248,trivial_move,3,6638554
-29.248,flush_begin,0,0
-29.232,flush_end,0,6638554
-29.213,trivial_move,3,6638552
-29.213,flush_begin,0,0
-29.195,flush_end,0,6638553
-29.187,flush_begin,0,0
-29.163,flush_end,0,6638553
-29.148,trivial_move,3,6638553
-29.138,trivial_move,3,6638553
-29.138,flush_begin,0,0
-29.122,flush_end,0,6638553
-29.114,flush_begin,0,0
-29.098,flush_end,0,6638554
-29.081,trivial_move,3,6638554
-29.073,trivial_move,3,6638552
-29.072,flush_begin,0,0
-29.056,flush_end,0,6638553
-29.037,trivial_move,3,6638554
-29.037,flush_begin,0,0
-29.021,flush_end,0,6638552
-29.005,trivial_move,3,6638554
-29.005,flush_begin,0,0
-28.988,flush_end,0,6638554
-28.970,trivial_move,3,6638552
-28.970,flush_begin,0,0
-28.953,flush_end,0,6638553
-28.937,trivial_move,3,6638555
-28.936,flush_begin,0,0
-28.920,flush_end,0,6638553
-28.904,trivial_move,3,6638553
-28.904,flush_begin,0,0
-28.886,flush_end,0,6638553
-28.869,trivial_move,3,6638553
-28.869,flush_begin,0,0
-28.853,flush_end,0,6638555
-28.833,trivial_move,3,6638552
-28.833,flush_begin,0,0
-28.816,flush_end,0,6638553
-28.799,trivial_move,3,6638554
-28.799,flush_begin,0,0
-28.782,flush_end,0,6638553
-28.763,trivial_move,3,6638554
-28.763,flush_begin,0,0
-28.747,flush_end,0,6638554
-28.729,trivial_move,3,6638552
-28.729,flush_begin,0,0
-28.712,flush_end,0,6638552
-28.694,trivial_move,3,6638554
-28.694,flush_begin,0,0
-28.677,flush_end,0,6638553
-28.659,trivial_move,3,6638553
-28.659,flush_begin,0,0
-28.642,flush_end,0,6638553
-28.626,trivial_move,3,6638553
-28.626,flush_begin,0,0
-28.610,flush_end,0,6638554
-28.592,trivial_move,3,6638553
-28.592,flush_begin,0,0
-28.575,flush_end,0,6638553
-28.559,trivial_move,3,6638554
-28.559,flush_begin,0,0
-28.543,flush_end,0,6638553
-28.527,trivial_move,3,6638553
-28.526,flush_begin,0,0
-28.510,flush_end,0,6638554
-28.493,trivial_move,3,6638552
-28.493,flush_begin,0,0
-28.476,flush_end,0,6638552
-28.456,trivial_move,3,6638554
-28.456,flush_begin,0,0
-28.436,flush_end,0,6638554
-28.416,trivial_move,3,6638553
-28.416,flush_begin,0,0
-28.399,flush_end,0,6638553
-28.383,trivial_move,3,6638553
-28.383,flush_begin,0,0
-28.366,flush_end,0,6638553
-28.358,flush_begin,0,0
-28.341,flush_end,0,6638553
-28.326,trivial_move,3,6638553
-28.326,flush_begin,0,0
-28.310,flush_end,0,6638553
-28.293,trivial_move,3,6638555
-28.284,trivial_move,3,6638553
-28.284,flush_begin,0,0
-28.267,flush_end,0,6638555
-28.252,trivial_move,3,6638553
-28.252,flush_begin,0,0
-28.235,flush_end,0,6638552
-28.219,trivial_move,3,6638554
-28.218,flush_begin,0,0
-28.201,flush_end,0,6638554
-28.184,trivial_move,3,6638552
-28.184,flush_begin,0,0
-28.168,flush_end,0,6638553
-28.152,trivial_move,3,6638553
-28.152,flush_begin,0,0
-28.136,flush_end,0,6638553
-28.120,trivial_move,3,6638553
-28.120,flush_begin,0,0
-28.104,flush_end,0,6638554
-28.085,trivial_move,3,6638554
-28.085,flush_begin,0,0
-28.069,flush_end,0,6638553
-28.061,flush_begin,0,0
-28.045,flush_end,0,6638553
-28.027,trivial_move,3,6638553
-28.027,flush_begin,0,0
-28.011,flush_end,0,6638552
-27.993,trivial_move,3,6638553
-27.993,flush_begin,0,0
-27.977,flush_end,0,6638554
-27.959,trivial_move,3,6638554
-27.959,flush_begin,0,0
-27.944,flush_end,0,6638553
-27.928,trivial_move,3,6638552
-27.928,flush_begin,0,0
-27.912,flush_end,0,6638553
-27.896,trivial_move,3,6638554
-27.888,trivial_move,3,6638553
-27.888,flush_begin,0,0
-27.872,flush_end,0,6638554
-27.856,trivial_move,3,6638553
-27.856,flush_begin,0,0
-27.839,flush_end,0,6638553
-27.824,trivial_move,3,6638553
-27.824,flush_begin,0,0
-27.808,flush_end,0,6638553
-27.790,trivial_move,3,6638553
-27.790,flush_begin,0,0
-27.774,flush_end,0,6638553
-27.758,trivial_move,3,6638555
-27.758,flush_begin,0,0
-27.741,flush_end,0,6638554
-27.723,trivial_move,3,6638552
-27.723,flush_begin,0,0
-27.708,flush_end,0,6638552
-27.694,trivial_move,3,6638554
-27.694,flush_begin,0,0
-27.688,flush_end,0,1164547
-27.680,compaction_begin,2,0
-27.660,compaction_end,2,6638145
-27.652,compaction_begin,2,0
-27.623,compaction_end,2,6638145
-27.615,compaction_begin,2,0
-27.594,compaction_end,2,6638146
-27.586,compaction_begin,2,0
-27.564,compaction_end,2,6638145
-27.556,compaction_begin,2,0
-27.535,compaction_end,2,6638145
-27.527,compaction_begin,2,0
-27.507,compaction_end,2,6638144
-27.499,compaction_begin,2,0
-27.479,compaction_end,2,6638146
-27.471,compaction_begin,2,0
-27.451,compaction_end,2,6638145
-27.443,compaction_begin,2,0
-27.423,compaction_end,2,6638145
-27.415,compaction_begin,2,0
-27.395,compaction_end,2,6638146
-27.387,compaction_begin,2,0
-27.367,compaction_end,2,6638145
-27.359,compaction_begin,2,0
-27.337,compaction_end,2,6638145
-27.329,compaction_begin,2,0
-27.307,compaction_end,2,6638145
-27.299,compaction_begin,2,0
-27.278,compaction_end,2,6638146
-27.270,compaction_begin,2,0
-27.249,compaction_end,2,6638144
-27.241,compaction_begin,2,0
-27.235,compaction_end,2,1164547
10.418,flush_begin,0,0
10.461,flush_end,0,6622161
10.534,compaction_begin,1,0
11.013,compaction_end,1,6548124
11.088,compaction_begin,2,0
13.000,compaction_end,2,46468050
13.018,compaction_begin,2,0
14.766,compaction_end,2,33191398
14.776,compaction_begin,2,0
17.349,compaction_end,2,46468049
17.363,compaction_begin,2,0
19.074,compaction_end,2,46468047
19.093,compaction_begin,2,0
21.704,compaction_end,2,46468050
21.720,compaction_begin,2,0
23.575,compaction_end,2,44118863
23.593,compaction_begin,2,0
25.296,compaction_end,2,42178895
25.310,compaction_begin,2,0
27.431,compaction_end,2,46468049
27.446,compaction_begin,2,0
27.540,compaction_end,2,2477961
32.675,compaction_begin,2,0
34.815,compaction_end,2,39829709
34.829,compaction_begin,2,0
36.396,compaction_end,2,33191398
48.061,flush_begin,0,0
48.108,flush_end,0,6616609
48.179,compaction_begin,1,0
48.650,compaction_end,1,6501596
48.751,compaction_begin,2,0
51.245,compaction_end,2,42890506
51.255,compaction_begin,2,0
52.491,compaction_end,2,37401224
52.502,compaction_begin,2,0
54.161,compaction_end,2,38601466
54.171,compaction_begin,2,0
55.545,compaction_end,2,25022854
55.554,compaction_begin,2,0
57.738,compaction_end,2,37889971
57.748,compaction_begin,2,0
59.879,compaction_end,2,42179010
59.891,compaction_begin,2,0
62.141,compaction_end,2,42890506
62.152,compaction_begin,2,0
63.384,compaction_end,2,29311892
64.339,compaction_begin,2,0
67.076,compaction_end,2,42890503
82.636,compaction_begin,2,0
84.782,compaction_end,2,33600931
85.703,flush_begin,0,0
85.753,flush_end,0,6616914
85.823,compaction_begin,1,0
86.291,compaction_end,1,6512123
86.366,compaction_begin,2,0
88.143,compaction_end,2,45756618
88.158,compaction_begin,2,0
90.188,compaction_end,2,42890390
90.209,compaction_begin,2,0
91.630,compaction_end,2,38601350
91.640,compaction_begin,2,0
93.555,compaction_end,2,43015211
93.566,compaction_begin,2,0
95.526,compaction_end,2,42179009
95.537,compaction_begin,2,0
96.692,compaction_end,2,29311893
96.701,compaction_begin,2,0
98.467,compaction_end,2,37178540
98.482,compaction_begin,2,0
100.964,compaction_end,2,45756619
100.979,compaction_begin,2,0
103.580,compaction_end,2,42179009
109.582,compaction_begin,2,0
111.479,compaction_end,2,30023273
123.345,flush_begin,0,0
123.367,flush_end,0,6622559
123.437,compaction_begin,1,0
123.900,compaction_end,1,6542807
123.972,compaction_begin,2,0
125.739,compaction_end,2,42179012
125.754,compaction_begin,2,0
128.178,compaction_end,2,42890390
128.197,compaction_begin,2,0
130.434,compaction_end,2,45756617
130.450,compaction_begin,2,0
132.492,compaction_end,2,42890390
132.508,compaction_begin,2,0
134.319,compaction_end,2,31459173
134.332,compaction_begin,2,0
136.312,compaction_end,2,45756619
136.328,compaction_begin,2,0
138.491,compaction_end,2,42179010
138.504,compaction_begin,2,0
140.933,compaction_end,2,45756619
140.967,compaction_begin,2,0
143.309,compaction_end,2,42890503
143.317,compaction_begin,2,0
146.236,compaction_end,2,42890389
146.282,compaction_begin,2,0
149.064,compaction_end,2,42179011
160.988,flush_begin,0,0
161.012,flush_end,0,6615254
161.084,compaction_begin,1,0
161.538,compaction_end,1,6477372
161.607,compaction_begin,2,0
163.569,compaction_end,2,41467579
163.580,compaction_begin,2,0
166.047,compaction_end,2,42890503
166.056,compaction_begin,2,0
167.794,compaction_end,2,45756619
167.808,compaction_begin,2,0
170.186,compaction_end,2,45756619
170.197,compaction_begin,2,0
172.262,compaction_end,2,42179009
172.273,compaction_begin,2,0
173.753,compaction_end,2,42179011
173.764,compaction_begin,2,0
175.086,compaction_end,2,25022854
175.096,compaction_begin,2,0
177.032,compaction_end,2,34312312
177.044,compaction_begin,2,0
179.085,compaction_end,2,42890390
183.231,compaction_begin,2,0
