t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,8020,6515,1505,6370,5176,0.81256,14,296,304,64,0,0,0,0,127.98,2.36,5,86,127.98,0,0,0,0,0,0,0,0
2,8021,6518,1503,6379,5186,0.81298,15,296,304,58,0,0,0,0,127.97,4.34,5,86,127.97,0,0,0,0,0,0,0,0
3,8042,6533,1509,6391,5184,0.81114,15,296,304,70,0,0,0,0,127.98,5.63,6,86,127.98,0,0,0,0,0,0,0,0
4,8010,6509,1501,6342,5315,0.83806,13,288,304,60,0,0,0,0,127.98,4.19,7,86,127.98,0,0,0,0,0,0,0,0
5,8013,6513,1500,6350,5424,0.85417,14,288,304,63,0,0,0,0,127.98,2.95,6,86,127.98,0,0,0,0,0,0,0,0
6,8037,6528,1509,6363,5354,0.84143,14,296,304,68,0,0,0,0,127.98,3.62,7,86,127.98,0,0,0,0,0,0,0,0
7,8037,6529,1508,6329,5239,0.82778,14,296,304,64,0,0,0,0,127.98,5.01,7,86,127.98,0,0,0,0,0,0,0,0
8,8023,6519,1504,6358,5330,0.83831,13,288,304,1920,1,0,1,0,127.97,5.74,11,87,127.97,652,0,0,0,936,76,462,290
9,8036,6529,1507,6622,5559,0.83947,11,280,296,2496,1,1,0,0,127.97,8.02,8,97,127.97,4347,652,155,0,2117,311,3058,1016
10,8007,6506,1501,6603,5547,0.84007,9,272,288,2624,1,0,0,0,127.97,13.50,13,97,127.97,0,652,155,0,2817,440,6749,1988
11,8039,6532,1507,6609,5580,0.84430,10,272,288,44,1,0,0,0,127.97,20.06,16,97,127.97,0,652,155,0,4835,508,10623,4481
12,8044,6535,1509,6581,5602,0.85124,10,272,280,2432,1,1,0,0,109.41,5.26,9,100,109.41,2378,756,256,0,5763,1023,13942,5377
13,8032,6527,1505,6528,5730,0.87776,11,272,280,848,1,0,0,0,112.52,5.34,11,100,112.52,0,756,256,0,5763,2077,17766,5840
14,8006,6504,1502,6516,5861,0.89948,9,272,280,196,1,0,0,0,119.33,9.51,11,100,119.34,0,756,256,0,6851,2766,21159,6844
15,8012,6510,1502,6493,5897,0.90821,12,272,288,2688,1,1,0,0,115.44,8.82,10,103,115.44,2126,805,295,0,7844,3333,25390,8919
16,8019,6515,1504,6475,5795,0.89498,12,272,288,84,1,0,0,0,118.66,14.65,13,103,118.66,0,805,295,0,7988,3830,28636,8919
17,8035,6529,1506,6492,5730,0.88262,12,272,288,68,1,0,0,0,121.63,14.53,12,103,121.64,0,805,295,0,7988,4176,31999,8920
18,8017,6514,1503,6463,5751,0.88983,9,272,280,3328,1,1,0,0,116.92,15.07,13,106,116.94,2181,841,329,0,8208,4435,36284,10140
19,8046,6539,1507,6482,5800,0.89479,8,264,280,244,1,0,0,0,123.07,26.18,17,106,123.07,0,841,329,0,9100,4633,40136,11295
20,8007,6505,1502,6471,5874,0.90774,10,272,280,63,1,0,0,0,125.34,26.22,19,106,125.34,0,841,329,0,9100,4717,43585,11296
21,8040,6531,1509,6451,5939,0.92063,8,264,272,2048,1,1,0,0,117.51,19.57,17,109,117.51,3171,875,360,0,10018,4829,47272,12455
22,8044,6536,1508,6475,6089,0.94039,8,264,272,136,1,0,0,0,119.02,19.51,15,109,119.02,0,875,360,0,10018,5267,51112,12723
23,8006,6504,1502,6423,6071,0.94520,10,264,280,82,1,0,0,0,124.74,27.86,19,109,124.74,0,875,360,0,11130,5517,54602,13866
24,8042,6536,1506,6450,5902,0.91504,9,264,280,3392,1,1,0,0,120.40,22.05,15,105,120.41,3789,911,396,0,13354,6035,58709,16902
25,8043,6533,1510,6395,5809,0.90837,11,272,280,2432,1,0,0,0,122.70,19.92,16,105,122.70,0,911,396,0,13354,6693,64075,19048
26,8011,6510,1501,6419,5813,0.90559,11,272,288,2944,1,1,0,0,111.77,12.15,11,108,111.77,3405,953,432,0,13753,7332,68268,20434
27,8020,6517,1503,6409,5856,0.91372,12,272,288,56,1,0,0,0,119.92,21.39,15,108,119.92,0,953,432,0,15286,7979,71316,21679
28,8048,6539,1509,6427,5912,0.91987,12,272,288,82,1,0,0,0,126.82,26.30,18,108,126.82,0,953,432,0,16691,8480,74405,22809
29,8044,6536,1508,6371,5940,0.93235,10,264,280,3712,1,1,0,0,119.31,17.28,15,110,119.31,6309,1015,493,0,17803,9568,78406,24642
30,8042,6533,1509,6372,5844,0.91714,8,264,280,2496,1,0,0,0,125.65,21.31,13,110,125.65,0,1015,493,0,18915,10515,84140,28009
31,8043,6535,1508,6358,5797,0.91176,8,264,280,2816,1,2,0,0,102.04,13.41,8,112,102.05,1332,1164,642,0,19193,11677,88636,29418
32,8016,6512,1504,6332,5699,0.90003,11,272,280,50,1,0,0,0,104.52,17.68,10,112,104.52,0,1164,642,0,19193,12607,92030,29418
33,8009,6510,1499,6330,5563,0.87883,5,264,272,1888,1,0,0,0,110.30,20.58,13,112,110.30,0,1164,642,0,19906,13235,96395,30866
34,8044,6535,1509,6337,5545,0.87502,8,272,280,2176,1,1,0,0,113.40,19.13,9,109,113.41,2118,1207,643,0,21418,13875,98994,31434
35,8013,6509,1504,6290,5469,0.86948,12,280,288,136,1,0,0,0,116.61,22.72,11,109,116.61,0,1207,643,0,21418,14423,103018,32252
36,8008,6508,1500,6296,5622,0.89295,12,280,288,2304,0,1,0,0,109.57,12.32,9,111,109.57,0,1232,645,0,21418,15102,104779,33016
37,8007,6505,1502,6312,5556,0.88023,14,288,296,62,0,0,0,0,112.51,9.14,9,111,112.52,0,1232,645,0,21418,15663,104779,33016
38,8012,6510,1502,6366,5353,0.84087,13,288,296,61,0,0,0,0,116.47,8.70,5,111,116.47,0,1232,645,0,21418,16082,104779,33016
39,8036,6528,1508,6365,5275,0.82875,5,264,272,35,0,0,0,0,120.73,8.81,6,111,120.73,0,1232,645,0,21418,16425,104779,33016
40,8015,6513,1502,6342,5167,0.81473,6,264,272,38,0,0,0,0,124.97,11.01,10,111,124.97,0,1321,671,0,21418,16716,104779,33016
41,8003,6504,1499,6327,5219,0.82488,6,264,272,49,0,0,0,0,127.60,9.33,7,111,127.60,0,1756,879,0,21418,16957,104779,33016
42,8004,6504,1500,6308,5174,0.82023,6,264,272,38,0,0,0,0,127.97,6.62,7,111,127.97,0,2794,1615,0,21418,17150,104779,33016
43,8043,6533,1510,6359,5246,0.82497,7,264,272,27,0,0,0,0,127.97,7.89,9,111,127.97,0,3900,2430,0,21418,17309,104779,33016
44,8024,6519,1505,6348,5382,0.84783,14,288,304,60,0,0,0,0,127.97,6.58,11,111,127.97,0,4858,2852,0,21418,17446,104779,33016
45,8023,6518,1505,6323,5448,0.86162,14,296,304,61,0,0,0,0,127.97,5.25,5,111,127.97,0,5722,3258,0,21418,17557,104779,33016
