t,type,level,bytes
-29.943,flush_begin,0,0
-29.928,flush_end,0,6638552
-29.919,flush_begin,0,0
-29.903,flush_end,0,6638554
-29.894,flush_begin,0,0
-29.878,flush_end,0,6638553
-29.870,flush_begin,0,0
-29.854,flush_end,0,6638553
-29.846,flush_begin,0,0
-29.830,flush_end,0,6638553
-29.822,flush_begin,0,0
-29.806,flush_end,0,6638554
-29.797,flush_begin,0,0
-29.781,flush_end,0,6638552
-29.773,flush_begin,0,0
-29.757,flush_end,0,6638554
-29.749,flush_begin,0,0
-29.732,flush_end,0,6638554
-29.723,flush_begin,0,0
-29.708,flush_end,0,6638552
-29.700,flush_begin,0,0
-29.683,flush_end,0,6638553
-29.675,flush_begin,0,0
-29.659,flush_end,0,6638553
-29.651,flush_begin,0,0
-29.635,flush_end,0,6638554
-29.627,flush_begin,0,0
-29.611,flush_end,0,6638552
-29.603,flush_begin,0,0
-29.586,flush_end,0,6638554
-29.578,flush_begin,0,0
-29.563,flush_end,0,6638554
-29.555,flush_begin,0,0
-29.539,flush_end,0,6638552
-29.521,trivial_move,3,6638552
-29.521,flush_begin,0,0
-29.506,flush_end,0,6638555
-29.488,trivial_move,3,6638554
-29.488,flush_begin,0,0
-29.471,flush_end,0,6638553
-29.453,trivial_move,3,6638553
-29.453,flush_begin,0,0
-29.437,flush_end,0,6638553
-29.418,trivial_move,3,6638553
-29.418,flush_begin,0,0
-29.400,flush_end,0,6638552
-29.381,trivial_move,3,6638553
-29.381,flush_begin,0,0
-29.364,flush_end,0,6638554
-29.344,trivial_move,3,6638554
-29.344,flush_begin,0,0
-29.327,flush_end,0,6638554
-29.308,trivial_move,3,6638552
-29.308,flush_begin,0,0
-29.292,flush_end,0,6638552
-29.272,trivial_move,3,6638554
-29.272,flush_begin,0,0
-29.255,flush_end,0,6638554
-29.237,trivial_move,3,6638554
-29.237,flush_begin,0,0
-29.219,flush_end,0,6638553
-29.201,trivial_move,3,6638552
-29.201,flush_begin,0,0
-29.186,flush_end,0,6638553
-29.163,trivial_move,3,6638553
-29.163,flush_begin,0,0
-29.147,flush_end,0,6638553
-29.129,trivial_move,3,6638553
-29.129,flush_begin,0,0
-29.113,flush_end,0,6638554
-29.095,trivial_move,3,6638554
-29.095,flush_begin,0,0
-29.079,flush_end,0,6638553
-29.061,trivial_move,3,6638552
-29.061,flush_begin,0,0
-29.045,flush_end,0,6638552
-29.026,trivial_move,3,6638554
-29.026,flush_begin,0,0
-29.010,flush_end,0,6638554
-28.992,trivial_move,3,6638554
-28.992,flush_begin,0,0
-28.976,flush_end,0,6638553
-28.957,trivial_move,3,6638552
-28.957,flush_begin,0,0
-28.940,flush_end,0,6638553
-28.922,trivial_move,3,6638555
-28.922,flush_begin,0,0
-28.904,flush_end,0,6638553
-28.886,trivial_move,3,6638553
-28.886,flush_begin,0,0
-28.869,flush_end,0,6638555
-28.851,trivial_move,3,6638553
-28.851,flush_begin,0,0
-28.834,flush_end,0,6638553
-28.815,trivial_move,3,6638552
-28.815,flush_begin,0,0
-28.798,flush_end,0,6638553
-28.778,trivial_move,3,6638554
-28.778,flush_begin,0,0
-28.760,flush_end,0,6638554
-28.740,trivial_move,3,6638554
-28.740,flush_begin,0,0
-28.723,flush_end,0,6638552
-28.704,trivial_move,3,6638552
-28.704,flush_begin,0,0
-28.687,flush_end,0,6638553
-28.669,trivial_move,3,6638554
-28.669,flush_begin,0,0
-28.652,flush_end,0,6638553
-28.634,trivial_move,3,6638553
-28.634,flush_begin,0,0
-28.617,flush_end,0,6638554
-28.598,trivial_move,3,6638553
-28.598,flush_begin,0,0
-28.580,flush_end,0,6638553
-28.562,trivial_move,3,6638553
-28.562,flush_begin,0,0
-28.545,flush_end,0,6638553
-28.526,trivial_move,3,6638554
-28.526,flush_begin,0,0
-28.509,flush_end,0,6638554
-28.490,trivial_move,3,6638553
-28.490,flush_begin,0,0
-28.474,flush_end,0,6638552
-28.455,trivial_move,3,6638552
-28.455,flush_begin,0,0
-28.438,flush_end,0,6638554
-28.420,trivial_move,3,6638554
-28.420,flush_begin,0,0
-28.403,flush_end,0,6638553
-28.383,trivial_move,3,6638553
-28.383,flush_begin,0,0
-28.366,flush_end,0,6638553
-28.348,trivial_move,3,6638553
-28.348,flush_begin,0,0
-28.329,flush_end,0,6638553
-28.310,trivial_move,3,6638553
-28.310,flush_begin,0,0
-28.293,flush_end,0,6638553
-28.275,trivial_move,3,6638555
-28.275,flush_begin,0,0
-28.257,flush_end,0,6638555
-28.239,trivial_move,3,6638553
-28.239,flush_begin,0,0
-28.222,flush_end,0,6638552
-28.203,trivial_move,3,6638553
-28.203,flush_begin,0,0
-28.186,flush_end,0,6638554
-28.168,trivial_move,3,6638554
-28.168,flush_begin,0,0
-28.151,flush_end,0,6638553
-28.132,trivial_move,3,6638552
-28.132,flush_begin,0,0
-28.115,flush_end,0,6638553
-28.097,trivial_move,3,6638553
-28.097,flush_begin,0,0
-28.080,flush_end,0,6638554
-28.062,trivial_move,3,6638553
-28.062,flush_begin,0,0
-28.046,flush_end,0,6638553
-28.027,trivial_move,3,6638554
-28.027,flush_begin,0,0
-28.009,flush_end,0,6638553
-27.991,trivial_move,3,6638553
-27.991,flush_begin,0,0
-27.975,flush_end,0,6638552
-27.957,trivial_move,3,6638553
-27.957,flush_begin,0,0
-27.940,flush_end,0,6638554
-27.922,trivial_move,3,6638554
-27.922,flush_begin,0,0
-27.906,flush_end,0,6638553
-27.887,trivial_move,3,6638552
-27.887,flush_begin,0,0
-27.870,flush_end,0,6638553
-27.852,trivial_move,3,6638554
-27.852,flush_begin,0,0
-27.836,flush_end,0,6638554
-27.817,trivial_move,3,6638553
-27.817,flush_begin,0,0
-27.801,flush_end,0,6638553
-27.783,trivial_move,3,6638553
-27.783,flush_begin,0,0
-27.767,flush_end,0,6638553
-27.749,trivial_move,3,6638553
-27.749,flush_begin,0,0
-27.733,flush_end,0,6638553
-27.715,trivial_move,3,6638553
