t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,8005,6504,1501,6343,5150,0.81192,3,408,432,11,0,0,0,0,127.97,2.39,5,86,127.97,24038,17,17,0,0,0,0,0
2,8041,6534,1507,6375,5178,0.81224,3,408,432,12,0,0,0,0,127.97,4.43,5,86,127.97,0,25,25,0,0,0,0,0
3,8013,6512,1501,6367,5154,0.80949,3,408,432,10,0,0,0,0,127.97,5.63,6,86,127.97,0,58,58,0,0,0,0,0
4,8020,6515,1505,6332,5315,0.83939,3,408,432,11,0,0,0,0,127.97,4.19,7,86,127.97,0,79,79,0,0,0,0,0
5,8004,6503,1501,6336,5372,0.84785,3,408,432,12,0,0,0,0,127.98,3.05,7,86,127.98,0,101,101,0,0,0,0,0
6,8002,6502,1500,6332,5361,0.84665,4,408,432,12,0,0,0,0,127.98,3.63,7,86,127.98,0,133,133,0,0,0,0,0
7,8010,6509,1501,6320,5260,0.83228,3,408,432,11,0,0,0,0,127.98,4.56,6,86,127.98,0,163,163,0,0,0,0,0
8,8019,6514,1505,6316,5248,0.83091,3,408,432,13,0,0,1,0,127.96,10.03,6,86,127.96,0,216,216,0,1569,0,0,0
9,8034,6528,1506,6627,5528,0.83416,3,408,432,2688,1,1,0,0,127.98,5.44,9,97,127.98,5632,261,261,0,3643,268,2601,1875
10,8034,6527,1507,6619,5536,0.83638,3,416,432,17,1,0,0,0,127.97,12.87,10,97,127.97,0,371,371,0,5612,425,4665,2089
11,8037,6531,1506,6614,5521,0.83474,3,408,432,14,1,0,0,0,127.98,21.75,9,97,127.98,0,445,445,0,7959,507,6751,2710
12,8004,6502,1502,6583,5491,0.83412,3,408,432,27,1,0,0,0,127.98,31.73,11,97,127.98,0,446,446,0,10515,560,9941,4717
13,8002,6502,1500,6548,5434,0.82987,4,416,432,12,1,0,0,0,127.98,41.06,12,97,127.98,0,446,446,0,13026,582,11995,5488
14,8007,6510,1497,6504,5392,0.82903,3,392,424,224,1,1,0,0,107.56,18.71,7,100,107.57,3262,2265,691,0,14974,1491,13922,6007
15,8028,6519,1509,6511,5538,0.85056,3,392,424,11,1,0,0,0,120.37,27.65,8,100,120.37,0,2265,691,0,17276,2625,16011,7035
16,8004,6504,1500,6483,5528,0.85269,3,360,416,11,1,0,0,0,127.38,31.62,10,100,127.38,0,2376,691,0,18303,3381,18061,7098
17,8024,6521,1503,6478,5423,0.83714,3,400,432,14,1,0,0,0,127.98,42.07,12,100,127.98,0,4357,716,0,21042,3855,20140,8433
18,8002,6499,1503,6486,5249,0.80928,3,360,416,12,1,0,0,0,127.97,47.45,13,100,127.97,0,6069,746,0,22651,4030,22215,8953
19,8042,6535,1507,6488,5374,0.82830,3,376,424,13,1,0,0,0,127.98,50.46,13,100,127.98,0,8487,779,0,25244,4099,24130,10000
20,8007,6505,1502,6444,5648,0.87647,3,256,376,132,1,1,0,0,116.36,23.33,7,103,116.36,1960,8659,903,0,26314,5441,26085,10042
21,8003,6502,1501,6438,5790,0.89935,4,256,352,16,1,0,0,0,126.81,31.31,8,103,126.81,0,8672,904,0,28360,6420,27449,10042
22,8002,6501,1501,6402,5728,0.89472,3,256,408,17,1,0,0,0,127.98,35.50,10,103,127.98,0,10090,933,0,30406,7094,29806,11123
23,8026,6526,1500,6433,5731,0.89088,3,256,416,15,1,0,0,0,127.98,36.28,10,103,127.98,0,12149,1020,0,32452,7520,32086,12097
24,8004,6499,1505,6399,5634,0.88045,3,256,416,19,1,0,0,0,127.98,43.79,13,103,127.98,0,14057,1335,0,34428,7750,33436,12099
25,8042,6535,1507,6433,5545,0.86196,3,256,416,15,1,0,0,0,127.98,45.35,18,103,127.98,0,15824,1500,0,35660,7859,35338,12111
26,8004,6503,1501,6391,5389,0.84322,3,256,416,1088,1,1,0,0,127.95,45.80,12,106,127.95,2496,16783,1660,0,38060,8282,37408,13235
27,8002,6503,1499,6387,5356,0.83858,4,264,416,17,1,0,0,0,127.98,49.70,13,106,127.98,0,19234,1949,0,40128,8564,39477,14100
28,8007,6504,1503,6415,5352,0.83429,4,256,416,17,1,0,0,0,127.98,50.33,14,106,127.98,0,21766,2466,0,42142,8704,41568,14945
29,8000,6503,1497,6404,5496,0.85821,3,256,376,12,1,0,0,0,127.98,51.65,17,106,127.98,0,23736,2846,0,43596,8764,43361,14945
30,8013,6508,1505,6407,5600,0.87404,4,256,424,58,1,1,0,0,122.15,34.20,10,108,122.15,3649,24460,3107,0,45315,9487,45429,14946
31,8004,6503,1501,6344,5472,0.86255,4,264,432,37,1,0,0,0,127.97,40.65,14,108,127.97,0,26212,3549,0,47922,10106,47485,15847
32,8014,6512,1502,6363,5468,0.85934,4,264,432,16,1,0,0,0,127.97,40.58,14,108,127.97,0,28823,4191,0,49908,10438,49548,16091
33,8007,6508,1499,6368,5220,0.81972,4,400,432,14,1,0,0,0,127.97,41.79,15,108,127.97,0,32096,5139,0,52476,10651,52641,17985
34,8043,6532,1511,6350,5059,0.79669,3,400,432,2432,1,2,0,0,117.00,27.05,8,103,117.00,788,34353,5784,0,54976,11525,55174,19347
35,8029,6524,1505,6340,5094,0.80347,4,400,424,13,1,0,0,0,127.90,34.93,9,103,127.90,0,34786,5891,0,56993,12600,57049,19404
36,8006,6504,1502,6330,5073,0.80142,4,408,432,14,1,0,0,0,127.97,42.94,12,103,127.97,0,37651,6728,0,59039,13144,58807,19404
37,8010,6512,1498,6366,5144,0.80804,3,408,432,13,1,0,0,0,127.98,45.22,19,103,127.98,0,40363,7133,0,61085,13417,61334,20191
38,8024,6516,1508,6421,4957,0.77200,4,408,432,19,1,0,0,0,127.98,44.57,12,103,127.98,0,43412,7746,0,63131,13594,63101,20191
39,8005,6505,1500,6396,4772,0.74609,4,408,432,54,1,0,0,0,127.98,48.22,14,103,127.98,0,46632,8558,0,65227,13649,64790,20191
40,8020,6515,1505,6381,4827,0.75646,4,368,432,304,1,1,0,0,127.98,42.30,15,106,127.98,1290,48498,9080,0,67460,13989,66885,21199
41,8004,6503,1501,6362,4887,0.76815,4,336,408,15,1,0,0,0,127.98,41.34,14,106,127.98,0,50703,9568,0,68539,14240,68866,21199
42,8015,6512,1503,6360,4748,0.74654,4,264,416,14,1,0,0,0,127.98,44.51,13,106,127.98,0,53718,10356,0,70585,14401,70780,21875
43,8037,6533,1504,6388,4786,0.74922,4,264,416,14,1,0,0,0,127.98,43.71,13,106,127.97,0,56478,10922,0,72574,14527,72108,21875
