t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,8029,6520,1509,6387,5146,0.80570,14,296,312,64,0,0,0,0,127.97,2.38,5,86,127.97,24038,102,102,0,0,0,0,0
2,8010,6508,1502,6365,5140,0.80754,15,296,312,66,0,0,0,0,127.97,4.29,4,86,127.97,0,212,212,0,0,0,0,0
3,8014,6512,1502,6352,5168,0.81360,14,296,304,61,0,0,0,0,127.97,5.58,6,86,127.97,0,353,353,0,0,0,0,0
4,8042,6535,1507,6375,5351,0.83937,15,296,304,66,0,0,0,0,127.97,4.09,7,86,127.97,0,505,505,0,0,0,0,0
5,8044,6535,1509,6365,5435,0.85389,15,296,312,68,0,0,0,0,127.97,2.99,6,86,127.97,0,638,638,0,0,0,0,0
6,8029,6525,1504,6335,5367,0.84720,13,288,304,66,0,0,0,0,127.97,3.58,7,86,127.97,0,771,771,0,0,0,0,0
7,8016,6513,1503,6317,5253,0.83157,15,296,304,66,0,0,0,0,127.97,5.04,7,86,127.97,0,882,882,0,0,0,0,0
8,8050,6539,1511,6332,5322,0.84049,12,288,304,64,0,0,0,0,127.96,10.03,6,86,127.96,0,1032,1032,0,1561,0,0,0
9,8009,6507,1502,6575,5307,0.80715,7,272,272,2944,1,1,1,0,126.14,5.31,7,97,126.15,5684,2605,1073,0,1569,37,5071,2308
10,8045,6537,1508,6623,5498,0.83014,9,272,280,2560,1,0,0,0,127.97,9.89,10,97,127.97,0,2636,1104,0,1569,37,11338,5311
11,8027,6521,1506,6563,4787,0.72939,10,272,288,3136,1,1,0,0,115.03,10.02,10,100,115.03,4406,2651,1119,0,1569,37,17462,8217
12,8034,6530,1504,6566,4982,0.75876,10,272,280,2688,1,0,0,0,121.22,10.02,10,100,121.22,0,2651,1119,0,1569,37,22974,10393
13,8025,6518,1507,6530,5143,0.78760,9,272,280,2560,1,1,0,0,109.16,9.86,10,103,109.16,2432,2684,1152,0,1569,37,27795,11854
14,8033,6528,1505,6530,5421,0.83017,10,272,280,102,1,0,0,0,113.49,9.99,10,103,113.49,0,2684,1152,0,1569,37,31301,11854
15,8045,6540,1505,6515,5495,0.84344,9,272,280,2496,1,1,0,0,107.82,9.38,10,106,107.82,5486,2684,1152,0,1569,37,35784,12859
16,8003,6498,1505,6479,5441,0.83979,8,264,280,2496,1,0,0,0,111.87,12.67,11,106,111.87,0,2684,1152,0,1569,37,43519,17277
17,8025,6522,1503,6468,4891,0.75618,8,272,280,2560,1,1,0,0,118.03,11.58,10,109,118.03,4566,2684,1152,0,1569,37,49087,19409
18,8005,6506,1499,6428,4795,0.74596,11,272,280,1856,1,0,0,0,124.32,15.87,12,109,124.33,0,2684,1152,0,1569,37,54663,21635
