t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,8050,6540,1510,6421,3765,0.58636,18,296,304,58,0,0,0,0,127.98,0.00,0,86,127.98,0,0,0,0,0,0,24038,0
2,8047,6538,1509,6406,4255,0.66422,15,296,304,56,0,0,0,0,127.98,0.00,0,86,127.98,0,0,0,0,0,0,24038,0
3,8041,6534,1507,6340,4768,0.75205,11,288,296,52,0,0,0,0,127.97,0.03,1,86,127.97,0,0,0,0,0,0,24038,0
4,8010,6508,1502,6327,4466,0.70586,14,296,304,56,0,0,0,0,127.98,0.00,0,86,127.98,0,0,0,0,0,0,24038,0
5,8017,6514,1503,6325,4498,0.71115,15,296,304,60,0,0,0,0,127.97,0.01,1,86,127.97,0,0,0,0,0,0,24038,0
6,8046,6540,1506,6366,4594,0.72165,14,296,304,57,0,0,0,0,127.97,0.00,0,86,127.97,0,0,0,0,0,0,24038,0
7,8014,6509,1505,6345,4555,0.71789,15,296,304,59,0,0,0,0,127.97,0.14,2,86,127.97,0,0,0,0,0,0,24038,0
8,8049,6542,1507,6491,4185,0.64474,14,296,304,2816,1,0,1,0,127.97,0.01,1,87,127.97,13,0,0,0,0,0,25114,58
9,8009,6506,1503,6576,4148,0.63078,8,272,288,2880,1,1,0,0,127.98,0.12,6,97,127.98,6343,0,0,0,0,0,31116,2937
10,8009,6508,1501,6597,3838,0.58178,8,272,288,2304,1,1,0,0,106.05,0.27,8,100,106.05,3490,0,0,0,0,0,38174,6720
11,8004,6504,1500,6543,3020,0.46156,264,272,288,3072,1,0,0,0,119.80,0.37,3,100,119.80,0,0,0,0,0,0,44602,9763
12,8018,6514,1504,6559,3280,0.50008,216,272,288,2048,1,1,0,0,114.41,0.99,8,103,114.41,3703,0,0,0,0,0,49101,10753
13,8005,6501,1504,6528,3279,0.50230,15,272,288,1920,1,0,0,0,126.93,0.76,7,103,126.93,0,0,0,0,0,0,54237,12389
14,8003,6503,1500,6543,3736,0.57099,8,272,288,3264,1,1,0,0,112.59,0.95,9,106,112.60,4240,0,0,0,0,0,59475,14238
15,8006,6507,1499,6543,3262,0.49855,220,272,280,2688,1,0,0,0,125.41,0.00,1,106,125.41,0,0,0,0,0,0,66497,17929
16,8006,6503,1503,6551,3574,0.54557,9,272,280,2944,1,1,0,0,111.62,0.61,5,109,111.62,4148,0,0,0,0,0,71785,19848
17,8005,6505,1500,6538,3718,0.56868,8,272,280,2304,1,0,0,0,122.64,1.49,2,109,122.64,0,0,0,0,0,0,77693,22316
18,8007,6506,1501,6531,4239,0.64906,8,272,280,2048,1,1,0,0,127.97,1.08,5,112,127.97,4304,0,0,0,0,0,82969,24180
19,8007,6507,1500,6515,4131,0.63408,7,272,280,2752,1,0,0,0,127.97,0.22,4,112,127.97,0,0,0,0,0,0,88684,26462
20,8007,6503,1504,6494,3385,0.52125,11,272,288,2560,1,1,0,0,96.52,0.21,3,109,96.52,2206,0,0,0,0,0,94343,28749
21,8005,6506,1499,6479,3221,0.49714,216,272,288,43,1,0,0,0,109.25,0.07,2,109,109.26,0,0,0,0,0,0,98940,29755
22,8004,6505,1499,6481,3425,0.52847,11,272,288,152,1,0,0,0,121.19,1.06,6,109,121.19,0,0,0,0,0,0,102572,29799
23,8014,6509,1505,6446,3313,0.51396,10,272,288,2176,1,1,0,0,127.97,2.67,9,112,127.97,3966,0,0,0,0,0,107843,31621
24,8009,6508,1501,6470,3431,0.53029,9,272,280,2368,1,0,0,0,127.98,0.58,4,112,127.98,0,0,0,0,0,0,112718,32972
25,8007,6503,1504,6461,3076,0.47609,256,272,280,2048,1,1,0,0,127.72,0.02,2,115,127.72,3043,0,0,0,0,0,117652,34456
26,8003,6503,1500,6450,3062,0.47473,264,272,280,896,1,0,0,0,127.98,0.02,1,115,127.98,0,0,0,0,0,0,122445,35689
27,8009,6509,1500,6424,3171,0.49362,24,272,280,2944,1,1,0,0,118.69,0.67,2,118,118.69,2477,0,0,0,0,0,127482,37324
28,8006,6505,1501,6394,3826,0.59837,8,272,280,448,1,0,0,0,127.78,3.19,5,118,127.78,0,0,0,0,0,0,132000,38293
29,8007,6504,1503,6400,4009,0.62641,7,272,280,2432,1,1,0,0,106.20,0.02,1,115,106.20,261,0,0,0,0,0,137116,40139
30,8042,6537,1505,6409,3771,0.58839,15,288,296,62,0,1,0,0,115.43,0.09,2,114,115.45,0,0,0,0,0,0,137201,40139
31,8012,6511,1501,6398,4026,0.62926,16,296,304,57,0,0,0,0,124.68,0.00,0,114,124.70,0,0,0,0,0,0,137201,40139
32,8010,6506,1504,6412,3976,0.62009,16,296,304,60,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,137201,40139
33,8013,6509,1504,6354,4170,0.65628,14,296,304,55,0,0,0,0,127.97,0.04,1,114,127.97,0,0,0,0,0,0,137201,40139
34,8016,6513,1503,6359,4337,0.68203,15,296,304,55,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,137201,40139
35,8023,6519,1504,6373,4475,0.70218,15,296,304,62,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,137201,40139
36,8009,6507,1502,6348,4205,0.66241,15,296,304,57,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,137201,40139
37,8037,6529,1508,6357,4371,0.68759,12,288,296,58,0,0,0,0,127.97,0.01,1,114,127.97,0,0,0,0,0,0,137201,40139
38,8029,6526,1503,6363,4564,0.71727,15,296,304,59,0,0,0,0,127.97,0.06,3,114,127.97,0,0,0,0,0,0,137201,40139
39,8013,6509,1504,6354,4398,0.69216,15,296,304,55,0,0,0,0,127.97,0.09,4,114,127.97,0,0,0,0,0,0,137201,40139
40,8008,6507,1501,6356,3997,0.62885,16,296,304,57,0,0,0,0,127.97,0.22,4,114,127.97,0,0,0,0,0,0,137201,40139
41,8054,6544,1510,6408,3686,0.57522,17,296,304,53,0,0,0,0,127.97,0.00,1,114,127.97,0,0,0,0,0,0,137201,40139
42,8041,6539,1502,6418,3459,0.53895,19,296,304,57,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,137201,40139
43,8011,6503,1508,6413,3454,0.53859,20,296,304,55,0,0,0,0,127.97,0.02,1,114,127.97,0,0,0,0,0,0,137201,40139
44,8012,6511,1501,6414,3092,0.48207,264,296,304,52,0,0,0,0,127.97,0.00,0,114,127.97,0,0,0,0,0,0,137201,40139
45,8013,6510,1503,6428,3122,0.48569,264,296,304,53,0,0,0,0,127.97,0.13,2,114,127.97,0,0,0,0,0,0,137201,40139
46,8050,6539,1511,6595,3267,0.49538,232,288,304,3008,1,1,1,0,127.97,0.13,6,126,127.97,2344,0,0,0,0,0,139725,40490
47,8009,6509,1500,6594,3191,0.48392,264,272,288,2112,1,0,0,0,127.97,0.01,2,126,127.97,0,0,0,0,0,0,144425,41679
48,8004,6502,1502,6553,2944,0.44926,264,272,296,2048,1,1,0,0,127.98,0.10,4,125,127.98,2516,0,0,0,0,0,149623,43444
49,8020,6516,1504,6571,2655,0.40405,264,272,296,37,1,0,0,0,127.98,0.00,0,125,127.98,0,0,0,0,0,0,153457,43635
50,8006,6505,1501,6592,3067,0.46526,264,272,280,1952,1,0,0,0,127.98,0.00,0,125,127.98,0,0,0,0,0,0,159284,46084
51,8003,6504,1499,6600,3253,0.49288,248,272,288,2176,1,1,0,0,125.05,0.13,4,124,125.06,2306,0,0,0,0,0,164073,47417
52,8009,6506,1503,6578,3468,0.52721,10,272,296,1696,1,0,0,0,127.98,0.23,5,124,127.98,0,0,0,0,0,0,169025,48877
53,8004,6504,1500,6543,3416,0.52208,10,272,280,3136,1,1,0,0,113.78,0.08,2,122,113.78,3558,0,0,0,0,0,174153,50592
54,8005,6503,1502,6548,3946,0.60263,8,312,320,384,1,0,0,0,123.95,0.18,4,122,123.95,0,0,0,0,0,0,179014,51988
55,8085,6570,1515,6602,2981,0.45153,312,344,352,2944,1,1,0,0,127.98,0.00,1,121,127.98,3919,0,0,0,0,0,183413,53769
56,8008,6506,1502,6522,3845,0.58954,15,344,352,2496,1,0,0,0,127.98,0.00,1,121,127.98,0,0,0,0,0,0,188886,56678
57,8006,6505,1501,6514,4040,0.62020,14,344,352,2624,1,1,0,0,101.19,0.01,1,119,101.20,3606,0,0,0,0,0,192279,57356
58,8084,6568,1516,6601,4198,0.63596,15,344,352,208,1,0,0,0,110.57,0.00,1,119,110.58,0,0,0,0,0,0,196366,58830
59,8033,6527,1506,6525,4108,0.62958,12,328,344,2240,1,1,0,0,102.00,0.54,7,118,102.00,3790,0,0,0,0,0,201320,61056
60,8044,6535,1509,6529,3628,0.55567,17,344,352,160,1,0,0,0,113.33,0.47,5,118,113.35,0,0,0,0,0,0,205159,62177
61,8065,6553,1512,6539,3635,0.55590,18,344,352,1600,1,0,0,0,124.68,2.52,5,118,124.70,0,0,0,0,0,0,210316,64794
62,8044,6536,1508,6511,3586,0.55076,15,336,344,2048,1,1,0,0,120.94,0.11,2,117,120.94,2904,0,0,0,0,0,213844,65459
63,8005,6504,1501,6488,3735,0.57568,16,344,352,62,1,0,0,0,127.95,0.73,3,117,127.95,0,0,0,0,0,0,217269,66072
64,8089,6573,1516,6562,3337,0.50853,21,344,352,2368,1,1,0,0,119.70,0.20,7,116,119.71,5546,0,0,0,0,0,223345,69597
65,8083,6566,1517,6536,3484,0.53305,15,328,344,1472,1,0,0,0,127.97,1.24,6,116,127.97,0,0,0,0,0,0,229954,73494
66,8026,6522,1504,6477,3455,0.53343,17,344,352,2016,1,1,0,0,112.68,0.20,3,115,112.70,3491,0,0,0,0,0,233087,73841
67,8050,6540,1510,6449,4110,0.63731,13,336,344,200,1,0,0,0,121.81,0.39,7,115,121.83,0,0,0,0,0,0,238089,76094
68,8021,6517,1504,6427,3843,0.59795,15,336,344,3264,1,1,0,0,115.17,0.32,6,114,115.18,4200,0,0,0,0,0,242922,78323
69,8017,6518,1499,6420,3675,0.57243,15,344,344,66,1,0,0,0,125.90,0.23,3,114,125.91,0,0,0,0,0,0,246315,78990
70,8079,6562,1517,6476,3652,0.56393,13,336,344,3008,0,1,0,0,112.17,0.52,9,113,112.18,0,0,0,0,0,0,251313,81570
71,8021,6515,1506,6426,3162,0.49206,280,344,352,60,0,0,0,0,124.92,1.01,7,113,124.93,0,0,0,0,0,0,251313,81570
72,8028,6523,1505,6441,3242,0.50334,24,344,352,57,0,0,0,0,127.97,0.09,3,113,127.97,0,0,0,0,0,0,251313,81570
73,8027,6523,1504,6427,3326,0.51750,20,344,352,56,0,0,0,0,127.97,0.02,2,113,127.97,0,0,0,0,0,0,251313,81570
74,8071,6558,1513,6452,3559,0.55161,18,344,352,57,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,251313,81570
75,8039,6533,1506,6428,3780,0.58805,15,344,352,57,0,0,0,0,127.97,0.02,1,113,127.97,0,0,0,0,0,0,251313,81570
76,8027,6520,1507,6417,3682,0.57379,18,344,352,72,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,251313,81570
77,8031,6525,1506,6402,3785,0.59122,16,344,352,56,0,0,0,0,127.97,0.11,1,113,127.97,0,0,0,0,0,0,251313,81570
78,8042,6535,1507,6402,3621,0.56560,17,344,352,60,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,251313,81570
79,8017,6514,1503,6386,3837,0.60085,16,344,352,58,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,251313,81570
80,8043,6535,1508,6422,3642,0.56711,17,344,352,56,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,251313,81570
81,8049,6539,1510,6412,3868,0.60324,16,344,352,57,0,0,0,0,127.97,0.11,1,113,127.97,0,0,0,0,0,0,251313,81570
82,8067,6554,1513,6420,4132,0.64361,15,344,352,59,0,0,0,0,127.97,0.00,0,113,127.97,0,0,0,0,0,0,251313,81570
83,8012,6509,1503,6413,4302,0.67082,13,344,352,2304,1,0,1,0,127.98,0.12,1,114,127.98,18,0,0,0,0,0,252053,81592
84,8067,6555,1512,6653,4419,0.66421,13,344,352,2752,1,1,0,0,127.98,0.06,3,123,127.98,3617,0,0,0,0,0,257371,84629
85,8010,6510,1500,6581,4718,0.71691,14,344,352,59,1,0,0,0,127.98,0.09,2,123,127.98,0,0,0,0,0,0,260132,84643
86,8028,6522,1506,6596,4973,0.75394,12,344,352,2432,1,1,0,0,112.63,0.09,5,122,112.64,3131,0,0,0,0,0,263884,85611
87,8034,6531,1503,6581,4385,0.66631,14,344,352,68,1,0,0,0,121.21,0.07,4,122,121.21,0,0,0,0,0,0,267472,86436
88,8058,6543,1515,6579,4316,0.65603,14,344,352,136,1,0,0,0,127.86,0.11,1,122,127.86,0,0,0,0,0,0,271549,87885
89,8032,6527,1505,6583,4221,0.64120,14,344,352,1824,1,1,0,0,127.98,0.38,5,121,127.98,2651,0,0,0,0,0,275367,89013
90,8086,6568,1518,6581,4352,0.66130,13,336,352,1984,1,0,0,0,127.98,0.07,2,121,127.98,0,0,0,0,0,0,279833,90666
91,8082,6568,1514,6557,4051,0.61781,11,328,344,2880,1,1,0,0,103.62,0.04,3,120,103.63,4008,0,0,0,0,0,283874,91835
92,8023,6518,1505,6517,3974,0.60979,14,336,344,128,1,0,0,0,113.55,0.35,3,120,113.58,0,0,0,0,0,0,288868,94088
93,8013,6510,1503,6508,4473,0.68731,14,336,344,1376,1,0,0,0,121.51,0.86,4,120,121.52,0,0,0,0,0,0,293626,96224
94,8009,6508,1501,6496,3810,0.58651,16,344,352,592,1,1,0,0,114.09,4.93,11,119,114.11,2645,0,0,0,0,0,296414,96297
95,8067,6554,1513,6544,3739,0.57136,16,336,344,86,1,0,0,0,125.00,5.53,10,119,125.02,0,0,0,0,0,0,300876,98007
96,8023,6518,1505,6516,3799,0.58303,16,344,352,2016,1,1,0,0,127.98,6.36,13,118,127.98,4294,0,0,0,0,0,304759,99209
97,8016,6514,1502,6501,4084,0.62821,15,344,352,2368,1,0,0,0,127.98,3.60,15,118,127.98,0,0,0,0,0,0,310535,102432
98,8036,6529,1507,6549,4414,0.67400,12,336,352,53,1,0,0,0,127.98,0.29,2,118,127.98,0,0,0,0,0,0,314566,103532
99,8016,6514,1502,6478,4317,0.66641,13,344,344,2432,1,1,0,0,106.64,0.32,6,117,106.65,2525,0,0,0,0,0,318874,105227
100,8045,6536,1509,6494,4281,0.65922,13,336,344,53,1,0,0,0,115.29,0.83,4,117,115.29,0,0,0,0,0,0,321848,105227
101,8005,6505,1500,6451,4582,0.71028,13,336,344,3072,1,1,0,0,112.56,0.82,2,116,112.57,4193,0,0,0,0,0,325327,106087
102,8036,6529,1507,6438,4775,0.74169,13,336,344,74,1,0,0,0,119.06,0.20,1,116,119.07,0,0,0,0,0,0,329702,107773
103,8062,6551,1511,6477,4851,0.74896,11,328,344,3648,1,1,0,0,108.18,0.24,5,115,108.18,5200,0,0,0,0,0,335060,110530
104,8024,6519,1505,6437,4206,0.65341,11,320,336,2368,1,0,0,0,116.89,0.11,2,115,116.90,0,0,0,0,0,0,341964,114774
105,8010,6507,1503,6413,4516,0.70419,13,336,344,2944,1,1,0,0,100.64,3.60,12,114,100.65,2983,0,0,0,0,0,345968,116246
106,8019,6515,1504,6429,3692,0.57427,10,320,336,2752,1,0,0,0,111.33,3.37,8,114,111.35,0,0,0,0,0,0,351213,118594
107,8009,6509,1500,6430,3578,0.55645,17,344,352,84,1,0,0,0,122.47,2.01,6,114,122.48,0,0,0,0,0,0,354746,119422
108,8013,6511,1502,6442,3514,0.54548,15,336,344,1760,1,1,0,0,119.49,0.12,3,113,119.50,2478,0,0,0,0,0,358319,120201
109,8008,6504,1504,6429,3721,0.57878,16,344,352,180,1,0,0,0,127.69,3.14,4,113,127.69,0,0,0,0,0,0,362503,121795
110,8014,6513,1501,6420,3683,0.57368,15,344,352,2688,0,1,0,0,115.83,6.10,11,112,115.83,0,0,0,0,0,0,365480,122931
111,8011,6510,1501,6432,3620,0.56281,17,344,352,59,0,0,0,0,126.67,5.79,9,112,126.68,0,0,0,0,0,0,365480,122931
112,8019,6513,1506,6399,3723,0.58181,17,344,352,60,0,0,0,0,127.97,1.22,8,112,127.97,0,0,0,0,0,0,365480,122931
113,8092,6579,1513,6464,3851,0.59576,15,344,352,55,0,0,0,0,127.97,1.91,8,112,127.97,0,0,0,0,0,0,365480,122931
114,8085,6566,1519,6424,4188,0.65193,15,344,352,59,0,0,0,0,127.97,0.66,9,112,127.97,0,0,0,0,0,0,365480,122931
115,8019,6524,1495,6402,3864,0.60356,16,344,352,61,0,0,0,0,127.97,0.28,8,112,127.97,0,0,0,0,0,0,365480,122931
116,8028,6517,1511,6396,3605,0.56363,17,344,352,58,0,0,0,0,127.97,0.01,1,112,127.97,0,0,0,0,0,0,365480,122931
117,8044,6532,1512,6423,4041,0.62915,15,344,352,58,0,0,0,0,127.97,0.01,1,112,127.97,0,0,0,0,0,0,365480,122931
118,8018,6516,1502,6382,4171,0.65356,14,344,352,60,0,0,0,0,127.97,0.03,2,112,127.97,0,0,0,0,0,0,365480,122931
119,8014,6510,1504,6400,3812,0.59562,16,344,352,56,0,0,0,0,127.97,0.11,6,112,127.97,0,0,0,0,0,0,365480,122931
120,8008,6509,1499,6412,3281,0.51170,23,344,352,56,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,365480,122931
121,8027,6520,1507,6569,3299,0.50221,27,344,352,3008,1,1,1,0,127.97,0.17,9,124,127.97,4620,0,0,0,0,0,367367,122984
122,8010,6508,1502,6618,3331,0.50332,224,344,352,1408,1,0,0,0,127.98,0.00,0,124,127.98,0,0,0,0,0,0,373124,126145
123,8062,6551,1511,6644,3626,0.54576,17,344,352,2240,1,1,0,0,108.88,0.38,6,123,108.88,2775,0,0,0,0,0,377879,128278
124,8010,6508,1502,6546,3825,0.58433,14,336,344,136,1,0,0,0,119.52,0.08,3,123,119.52,0,0,0,0,0,0,381596,129151
125,8084,6569,1515,6621,4181,0.63148,14,344,352,106,1,0,0,0,127.92,0.00,0,123,127.92,0,0,0,0,0,0,386159,131012
126,8043,6534,1509,6591,3886,0.58959,15,344,352,2560,1,1,0,0,120.26,0.00,0,122,120.27,2357,0,0,0,0,0,389607,131728
127,8020,6516,1504,6557,3751,0.57206,16,344,352,62,1,0,0,0,127.94,0.14,3,122,127.94,0,0,0,0,0,0,392887,132244
128,8053,6543,1510,6586,3810,0.57850,16,344,352,66,1,0,0,0,127.98,0.13,2,122,127.98,0,0,0,0,0,0,396577,133170
129,8008,6507,1501,6560,4022,0.61311,11,328,344,2432,1,1,0,0,124.49,0.00,1,121,124.50,3460,0,0,0,0,0,400254,133970
130,8067,6558,1509,6598,4324,0.65535,13,344,352,55,1,0,0,0,127.98,0.01,3,121,127.98,0,0,0,0,0,0,403444,134275
131,8056,6542,1514,6548,4142,0.63256,13,336,344,3648,1,1,0,0,115.82,0.31,4,120,115.83,4589,0,0,0,0,0,410579,139043
132,8084,6568,1516,6556,4011,0.61181,15,344,352,164,1,0,0,0,125.71,2.94,8,120,125.72,0,0,0,0,0,0,415190,141040
133,8022,6519,1503,6518,3972,0.60939,14,336,352,2944,1,1,0,0,127.98,1.71,6,119,127.98,3116,0,0,0,0,0,419382,142534
134,8028,6521,1507,6523,3693,0.56615,17,344,352,56,1,0,0,0,127.98,0.20,4,119,127.98,0,0,0,0,0,0,422162,142534
135,8009,6507,1502,6500,3349,0.51523,18,336,344,1600,1,0,0,0,127.98,0.11,3,119,127.98,0,0,0,0,0,0,427962,145602
136,8008,6508,1500,6493,3325,0.51209,21,344,352,3328,1,1,0,0,104.45,0.32,5,118,104.46,2765,0,0,0,0,0,432297,147326
137,8074,6560,1514,6516,3486,0.53499,18,344,352,61,1,0,0,0,116.29,0.23,5,118,116.30,0,0,0,0,0,0,435603,147823
138,8062,6549,1513,6505,3921,0.60277,13,336,344,2752,1,1,0,0,113.32,0.61,9,117,113.32,4648,0,0,0,0,0,440801,150252
139,8084,6569,1515,6500,3959,0.60908,9,320,336,2048,1,0,0,0,123.25,2.28,7,117,123.25,0,0,0,0,0,0,445916,152444
140,8011,6509,1502,6438,3681,0.57176,15,336,344,2240,1,1,0,0,113.25,2.91,7,116,113.25,3312,0,0,0,0,0,450883,154700
141,8090,6572,1518,6473,3863,0.59679,14,336,344,2944,1,0,0,0,123.45,6.67,9,116,123.46,0,0,0,0,0,0,455929,157017
142,8009,6508,1501,6425,3983,0.61992,15,344,352,1600,1,1,0,0,113.95,3.34,9,115,113.96,3798,0,0,0,0,0,459539,158012
143,8062,6553,1509,6483,3705,0.57149,16,344,344,136,1,0,0,0,124.81,3.38,10,115,124.81,0,0,0,0,0,0,463476,159267
144,8009,6509,1500,6457,3442,0.53306,18,344,352,220,1,0,0,0,127.98,0.13,1,115,127.98,0,0,0,0,0,0,467822,161020
145,8092,6571,1521,6464,3370,0.52135,15,336,344,2752,1,1,0,0,119.31,1.02,5,114,119.31,2839,0,0,0,0,0,473059,163501
146,8085,6569,1516,6479,3580,0.55255,11,320,336,408,1,0,0,0,127.96,0.92,6,114,127.96,0,0,0,0,0,0,476875,164312
147,8006,6505,1501,6414,3396,0.52947,18,344,352,2560,0,1,0,0,118.75,0.22,4,113,118.77,0,0,0,0,0,0,479298,165121
148,8062,6552,1510,6453,3529,0.54688,18,344,352,736,0,1,0,0,127.97,1.46,7,112,127.97,75,0,0,0,0,0,480666,165196
149,8011,6509,1502,6385,3683,0.57682,16,344,352,58,0,0,0,0,127.97,0.72,7,112,127.97,0,0,0,0,0,0,480666,165196
150,8009,6506,1503,6356,3998,0.62901,15,344,352,60,0,0,0,0,127.97,0.23,2,112,127.97,0,0,0,0,0,0,480666,165196
151,8090,6573,1517,6433,3990,0.62024,14,344,352,57,0,0,0,0,127.97,0.25,5,112,127.97,0,0,0,0,0,0,480666,165196
152,8082,6568,1514,6428,3772,0.58681,16,344,352,57,0,0,0,0,127.97,0.07,1,112,127.97,0,0,0,0,0,0,480666,165196
153,8038,6529,1509,6382,3606,0.56503,16,344,352,54,0,0,0,0,127.97,0.09,2,112,127.97,0,0,0,0,0,0,480666,165196
154,8039,6531,1508,6383,3781,0.59235,16,344,352,56,0,0,0,0,127.97,0.04,1,112,127.97,0,0,0,0,0,0,480666,165196
155,8085,6569,1516,6409,3825,0.59682,16,344,352,59,0,0,0,0,127.97,0.07,1,112,127.97,0,0,0,0,0,0,480666,165196
156,8014,6513,1501,6355,3967,0.62423,15,344,352,59,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,480666,165196
157,8038,6530,1508,6396,4098,0.64071,15,344,352,58,0,0,0,0,127.97,0.00,0,112,127.97,0,0,0,0,0,0,480666,165196
158,8030,6526,1504,6471,4237,0.65477,13,344,352,2304,1,0,1,0,127.97,0.00,0,113,127.97,15,0,0,0,0,0,481580,165221
159,8055,6543,1512,6640,4405,0.66340,14,344,352,2752,1,1,0,0,127.98,0.12,3,124,127.98,4052,0,0,0,0,0,485996,167271
160,8005,6507,1498,6599,3922,0.59433,15,344,352,1600,1,0,0,0,127.98,0.08,3,124,127.98,0,0,0,0,0,0,489558,168155
161,8010,6505,1505,6594,4062,0.61601,14,344,352,2112,1,1,0,0,114.51,0.01,1,123,114.51,4037,0,0,0,0,0,494177,170097
162,8007,6507,1500,6559,4229,0.64476,10,320,344,1760,1,0,0,0,123.62,0.09,4,123,123.63,0,0,0,0,0,0,499149,172222
163,8010,6508,1502,6534,4172,0.63851,15,344,344,2816,1,1,0,0,111.50,0.62,8,122,111.50,4245,0,0,0,0,0,504569,175185
