t,type,level,bytes
-29.899,flush_begin,0,0
-29.873,flush_end,0,6638552
-29.861,flush_begin,0,0
-29.837,flush_end,0,6638554
-29.825,flush_begin,0,0
-29.799,flush_end,0,6638553
-29.787,flush_begin,0,0
-29.763,flush_end,0,6638553
-29.751,flush_begin,0,0
-29.726,flush_end,0,6638553
-29.714,flush_begin,0,0
-29.690,flush_end,0,6638554
-29.679,flush_begin,0,0
-29.653,flush_end,0,6638552
-29.641,flush_begin,0,0
-29.617,flush_end,0,6638554
-29.606,flush_begin,0,0
-29.581,flush_end,0,6638554
-29.570,flush_begin,0,0
-29.545,flush_end,0,6638552
-29.534,flush_begin,0,0
-29.509,flush_end,0,6638553
-29.498,flush_begin,0,0
-29.473,flush_end,0,6638553
-29.462,flush_begin,0,0
-29.438,flush_end,0,6638554
-29.427,flush_begin,0,0
-29.403,flush_end,0,6638552
-29.391,flush_begin,0,0
-29.367,flush_end,0,6638554
-29.355,flush_begin,0,0
-29.332,flush_end,0,6638554
-29.316,trivial_move,3,6638552
-29.314,flush_begin,0,0
-29.290,flush_end,0,6638552
-29.274,trivial_move,3,6638554
-29.271,flush_begin,0,0
-29.247,flush_end,0,6638555
-29.231,trivial_move,3,6638553
-29.229,flush_begin,0,0
-29.205,flush_end,0,6638553
-29.188,trivial_move,3,6638553
-29.186,flush_begin,0,0
-29.162,flush_end,0,6638553
-29.146,trivial_move,3,6638553
-29.143,flush_begin,0,0
-29.118,flush_end,0,6638552
-29.102,trivial_move,3,6638554
-29.100,flush_begin,0,0
-29.076,flush_end,0,6638554
-29.060,trivial_move,3,6638552
-29.058,flush_begin,0,0
-29.033,flush_end,0,6638554
-29.017,trivial_move,3,6638554
-29.015,flush_begin,0,0
-28.990,flush_end,0,6638552
-28.974,trivial_move,3,6638554
-28.972,flush_begin,0,0
-28.948,flush_end,0,6638554
-28.933,trivial_move,3,6638552
-28.931,flush_begin,0,0
-28.907,flush_end,0,6638553
-28.891,trivial_move,3,6638553
-28.889,flush_begin,0,0
-28.865,flush_end,0,6638553
-28.849,trivial_move,3,6638553
-28.847,flush_begin,0,0
-28.822,flush_end,0,6638553
-28.806,trivial_move,3,6638554
-28.804,flush_begin,0,0
-28.779,flush_end,0,6638554
-28.763,trivial_move,3,6638552
-28.761,flush_begin,0,0
-28.736,flush_end,0,6638553
-28.720,trivial_move,3,6638554
-28.718,flush_begin,0,0
-28.694,flush_end,0,6638552
-28.678,trivial_move,3,6638554
-28.675,flush_begin,0,0
-28.651,flush_end,0,6638554
-28.635,trivial_move,3,6638552
-28.633,flush_begin,0,0
-28.609,flush_end,0,6638553
-28.593,trivial_move,3,6638555
-28.590,flush_begin,0,0
-28.566,flush_end,0,6638553
-28.549,trivial_move,3,6638553
-28.547,flush_begin,0,0
-28.523,flush_end,0,6638553
-28.507,trivial_move,3,6638553
-28.505,flush_begin,0,0
-28.480,flush_end,0,6638555
-28.464,trivial_move,3,6638552
-28.462,flush_begin,0,0
-28.437,flush_end,0,6638553
-28.421,trivial_move,3,6638554
-28.419,flush_begin,0,0
-28.395,flush_end,0,6638553
-28.379,trivial_move,3,6638554
-28.376,flush_begin,0,0
-28.351,flush_end,0,6638554
-28.335,trivial_move,3,6638552
-28.333,flush_begin,0,0
-28.310,flush_end,0,6638552
-28.294,trivial_move,3,6638554
-28.291,flush_begin,0,0
-28.265,flush_end,0,6638553
-28.248,trivial_move,3,6638553
-28.246,flush_begin,0,0
-28.222,flush_end,0,6638553
-28.205,trivial_move,3,6638553
-28.202,flush_begin,0,0
-28.178,flush_end,0,6638554
-28.162,trivial_move,3,6638553
-28.160,flush_begin,0,0
-28.136,flush_end,0,6638553
-28.120,trivial_move,3,6638554
-28.117,flush_begin,0,0
-28.093,flush_end,0,6638553
-28.077,trivial_move,3,6638553
-28.074,flush_begin,0,0
-28.051,flush_end,0,6638554
-28.035,trivial_move,3,6638552
-28.033,flush_begin,0,0
-28.008,flush_end,0,6638552
-27.992,trivial_move,3,6638554
-27.990,flush_begin,0,0
-27.965,flush_end,0,6638554
-27.949,trivial_move,3,6638553
-27.947,flush_begin,0,0
-27.923,flush_end,0,6638553
-27.907,trivial_move,3,6638553
-27.905,flush_begin,0,0
-27.879,flush_end,0,6638553
-27.864,trivial_move,3,6638553
-27.862,flush_begin,0,0
-27.837,flush_end,0,6638553
-27.822,trivial_move,3,6638555
-27.820,flush_begin,0,0
-27.795,flush_end,0,6638553
-27.779,trivial_move,3,6638553
-27.776,flush_begin,0,0
-27.751,flush_end,0,6638555
-27.734,trivial_move,3,6638553
-27.731,flush_begin,0,0
-27.706,flush_end,0,6638552
-27.691,trivial_move,3,6638554
-27.688,flush_begin,0,0
-27.663,flush_end,0,6638554
-27.648,trivial_move,3,6638552
-27.644,flush_begin,0,0
-27.619,flush_end,0,6638553
-27.603,trivial_move,3,6638553
-27.601,flush_begin,0,0
-27.576,flush_end,0,6638553
