t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,8052,6540,1512,6411,3718,0.57994,10,424,456,26,0,0,0,0,127.97,0.00,0,86,127.97,0,0,0,0,0,0,24038,0
2,8013,6511,1502,6379,4197,0.65794,10,384,448,25,0,0,0,0,127.97,0.00,0,86,127.97,0,0,0,0,0,0,24038,0
3,8005,6505,1500,6302,4803,0.76214,9,272,440,30,0,0,0,0,127.98,0.02,1,86,127.98,0,0,0,0,0,0,24038,0
4,8006,6503,1503,6326,4489,0.70961,9,280,440,27,0,0,0,0,127.98,0.00,0,86,127.98,0,0,0,0,0,0,24038,0
5,8006,6506,1500,6334,4523,0.71408,9,272,440,31,0,0,0,0,127.97,0.00,1,86,127.97,0,0,0,0,0,0,24038,0
6,8022,6518,1504,6363,4539,0.71334,9,272,288,28,0,0,0,0,127.97,0.00,1,86,127.97,0,0,0,0,0,0,24038,0
7,8002,6499,1503,6348,4579,0.72133,8,272,280,39,0,0,0,0,127.97,0.18,4,86,127.97,0,0,0,0,0,0,24038,0
8,8006,6507,1499,6471,4170,0.64441,8,272,456,2016,1,0,1,0,127.98,1.02,6,87,127.98,13,0,0,0,255,0,24873,40
9,8006,6505,1501,6603,4200,0.63607,7,424,456,2560,1,1,0,0,127.98,0.30,6,97,127.98,6536,0,0,0,365,96,30440,2639
10,8008,6506,1502,6564,4184,0.63742,7,424,456,1632,1,0,0,0,127.99,4.72,9,97,127.99,0,0,0,0,1477,129,36395,6345
11,8013,6511,1502,6575,2929,0.44548,256,416,448,2016,1,1,0,0,118.83,4.38,3,100,118.84,2316,187,95,0,2589,305,39835,7506
12,8006,6504,1502,6543,3245,0.49595,220,280,456,1344,1,0,0,0,127.98,4.49,4,100,127.98,0,187,95,0,2589,321,45162,9398
13,8027,6522,1505,6562,3623,0.55212,9,280,456,2304,1,1,0,0,117.13,4.70,9,103,117.14,3609,229,118,0,2589,331,49374,10151
14,8006,6508,1498,6536,3565,0.54544,9,280,528,2048,1,0,0,0,127.98,3.46,9,103,127.98,0,229,118,0,3206,335,55404,13417
15,8033,6525,1508,6582,3256,0.49468,236,488,608,47,1,0,0,0,127.97,4.56,5,103,127.97,0,229,118,0,3701,429,58555,13428
16,8024,6518,1506,6548,3360,0.51313,14,408,456,2240,1,1,0,0,122.25,4.42,3,106,122.25,3277,236,124,0,3701,857,63483,14945
17,8007,6506,1501,6537,3629,0.55515,10,368,456,1760,1,0,0,0,127.97,0.29,3,106,127.97,0,236,124,0,3770,1404,68684,16794
18,8007,6505,1502,6517,3774,0.57910,9,280,448,1696,1,1,0,0,118.15,4.34,3,103,118.16,2181,321,130,0,4813,1850,72349,18010
19,8009,6508,1501,6527,3799,0.58204,9,272,448,61,1,0,0,0,127.77,4.34,3,103,127.77,0,338,133,0,4813,2114,76866,18956
20,8009,6507,1502,6509,3691,0.56706,10,280,456,352,1,0,0,0,127.98,4.27,3,103,127.98,0,1370,217,0,4813,2157,80563,19066
21,8034,6528,1506,6538,3569,0.54589,10,360,424,1024,1,1,0,0,127.98,4.40,4,106,127.98,3305,1571,305,0,4813,2157,84728,20718
22,8016,6513,1503,6508,3245,0.49862,61,360,408,44,1,0,0,0,127.99,5.85,8,106,127.99,0,1817,310,0,4813,2160,87759,21280
23,8006,6505,1501,6483,3482,0.53710,11,280,392,144,1,0,0,0,127.99,5.76,6,106,127.98,0,1914,374,0,4813,2161,91091,22173
